"ident","sex","age","race","education","income","location","respondent_type","health_priority","other_priority"
"R_00Sowut6bw6yqkh1","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some Graduate Education (Degree Not Complete)","$100,000 - $149,999","San Bernardino City","Resident","Diabetes","Low Reading Levels"
"R_00Sowut6bw6yqkh2","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some Graduate Education (Degree Not Complete)","$100,000 - $149,999","San Bernardino City","Resident","Limited Access To Healthy Foods","Property Crime"
"R_00Sowut6bw6yqkh3","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some Graduate Education (Degree Not Complete)","$100,000 - $149,999","San Bernardino City","Resident","Suicide","Homelessness"
"R_00Sowut6bw6yqkh4","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some Graduate Education (Degree Not Complete)","$100,000 - $149,999","San Bernardino City","Resident","Cancer","High Housing Costs (Purchase or Rental)"
"R_00Sowut6bw6yqkh5","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some Graduate Education (Degree Not Complete)","$100,000 - $149,999","San Bernardino City","Resident","Sexually Transmitted Disease (STDs)","Child Abuse"
"R_00Sowut6bw6yqkh6","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some Graduate Education (Degree Not Complete)","$100,000 - $149,999","San Bernardino City","Resident","Infant Mortality",
"R_00Sowut6bw6yqkh7","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some Graduate Education (Degree Not Complete)","$100,000 - $149,999","San Bernardino City","Resident","Mental Health Problems (Anxiety, Depression, Etc.)",
"R_0BToo6FZhToUZIB1","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$100,000 - $149,999","Hesperia","Resident","Not Having Health Insurance Coverage","Traffic Injuries"
"R_0BToo6FZhToUZIB2","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$100,000 - $149,999","Hesperia","Resident","Low Physical Activity","Violent Crime"
"R_0BToo6FZhToUZIB3","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$100,000 - $149,999","Hesperia","Resident","Smoking / Tobacco Use / Vaping / E-Cigarette Access & Use","Property Crime"
"R_0BToo6FZhToUZIB4","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$100,000 - $149,999","Hesperia","Resident","Mental Health Problems (Anxiety, Depression, Etc.)","Homelessness"
"R_0BToo6FZhToUZIB5","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$100,000 - $149,999","Hesperia","Resident","Traffic Injuries","Poverty"
"R_0BToo6FZhToUZIB6","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$100,000 - $149,999","Hesperia","Resident","Poor Nutrition / Diet",
"R_0BToo6FZhToUZIB7","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$100,000 - $149,999","Hesperia","Resident","Obesity / Overweight",
"R_0CfNEt1Znwwov1D1","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some College (Degree Not Complete)","$50,000 - $74,999",,"Resident","Not Having Health Insurance Coverage","Violent Crime"
"R_0CfNEt1Znwwov1D2","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some College (Degree Not Complete)","$50,000 - $74,999",,"Resident","Shortage of Health Professionals","Homelessness"
"R_0CfNEt1Znwwov1D3","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some College (Degree Not Complete)","$50,000 - $74,999",,"Resident","Limited Access To Healthy Foods","Unemployment / Underemployment"
