"granting_department","grant_number","grant_description","funding_source","cfda","start_date","end_date","fiscal_year_issued","award_amount","grantee_name","address_line_1","address_line_2","city","st","zip"
"Education Agency","05100-4451R6821400","MILK","Federal","10.555","2014-07-01T00:00:00.000","2015-06-30T00:00:00.000","2015","456.86","Victory Baptist Church","PO Box 160",,"Vergennes","VT","05491"
"Agriculture, Food&Mrkts Agency","02200-ARM-BMP-304-1378","Install Best Management Practices on farm","Other",,"2014-07-01T00:00:00.000","2016-12-31T00:00:00.000","2015","2400.00","Hammond,Leonard","1150 Niles Rd",,"Newport Ctr","VT","05857"
"Administration Agency","01100_ACT179,SEC. C.102","Grant for homeowners facing foreclosure","General",,"2014-07-01T00:00:00.000","2015-06-30T00:00:00.000","2015","50000.00","Vermont Legal Aid Inc","PO Box 1367",,"Burlington","VT","05402"
"Agriculture, Food&Mrkts Agency","02200-ARM-BMP-945-1377","Install Best Management Practices on farm","Other",,"2014-07-01T00:00:00.000","2016-12-31T00:00:00.000","2015","9000.00","Clark Price Parmelee","444 Ski Tow Rd",,"Randolph Center","VT","05061"
"Agriculture, Food&Mrkts Agency","02200-ARM-BMP-946-1379","Install Best Management Practices on farm","Other",,"2014-07-01T00:00:00.000","2016-12-31T00:00:00.000","2015","6000.00","Vadnais,Robert","864 Lake Road",,"Milton","VT","05468"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-13","TRADE SHOW ASSISTANCE","General",,"2015-06-30T00:00:00.000","2016-07-13T00:00:00.000","2015","500.00","Wheeler Sugarworks, Inc.","dba Jed's Maple Products","259 Derby Pond Rd","Derby","VT","05829"
"Agriculture, Food&Mrkts Agency","02200-ARM-BMP-852-1398","BEST MANAGEMENT PRACTICES ON FARM","Special",,"2015-06-28T00:00:00.000","2016-12-31T00:00:00.000","2015","75000.00","River Valley Dairy","5785 VT Rte 102",,"Maidstone","VT","05905"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-12","TRADE SHOW ASSISTANCE","General",,"2015-06-27T00:00:00.000","2016-06-26T00:00:00.000","2015","2000.00","The Potlicker, LLC","192 Thomas Ln",,"Stowe","VT","05672"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-11","Trade Show Assistance Grant","General",,"2015-06-26T00:00:00.000","2016-06-25T00:00:00.000","2015","500.00","Sugar Bob's Finest Kind","2564 Landgrove Rd",,"Londonderry","VT","05148"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-103","WORKING LANDS GRANT - REMOTE SAP & PUMP HOUSE","Special",,"2015-06-19T00:00:00.000","2016-06-19T00:00:00.000","2015","15872.89","Green Mountain Sugarhouse","820 Rt 100 N",,"Ludlow","VT","05149"
"Agriculture, Food&Mrkts Agency","02200-WELB-15-102","WORKING LANDS GRANT - BOTTLING EXPANSION","Special",,"2015-06-16T00:00:00.000","2016-06-15T00:00:00.000","2015","15872.89","Kingdom Creamery of Vermont LLC","3411 VT Route 16",,"East Hardwick","VT","05836"
"Agriculture, Food&Mrkts Agency","02200-ARM-BMP-952-1400","Best Management Practice Cost Share Grant","Special",,"2015-06-01T00:00:00.000","2017-12-31T00:00:00.000","2015","32000.00","Four Hills Farm Partnership","722 Burpee Rd",,"Bristol","VT","05443"
"Agriculture, Food&Mrkts Agency","02200-ARM-VACD-LTP-2015","Land Treatment Planning on Farms.","General",,"2015-06-01T00:00:00.000","2017-09-30T00:00:00.000","2015","450000.00","Vermont Assoc of Conservation Districts","PO Box 566",,"Waitsfield","VT","05673-0566"
"Agriculture, Food&Mrkts Agency","02200-WLEB-21A","WORKING LANDS - POULTRY & GRAPE DEVELOPEMENT","Special",,"2015-06-01T00:00:00.000","2015-06-30T00:00:00.000","2015","2300.00","University of Vermont","Treasurer's Office","333 Waterman Bldg","Burlington","VT","05405-0160"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-94","WORKING LANDS - COMPLETE REVOVATION TO START UP DAIRY OPERATION","Special",,"2015-05-29T00:00:00.000","2016-05-28T00:00:00.000","2015","20000.00","Ploughgate Creamery, LLC","PO Box 1037",,"Waitsfield","VT","05673"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-82","WORKING LANDS - SWEET POTATO CURING & STORAGE FACILITY","Special",,"2015-05-28T00:00:00.000","2016-05-27T00:00:00.000","2015","20000.00","Laughing Child Farm","3209 VT Route 30",,"Pawlet","VT","05761"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-062","Implement Farm Agronomic Practices on farm","General",,"2015-05-22T00:00:00.000","2015-06-30T00:00:00.000","2015","2142.00","Thomas,Brad D.","60 Rt 73",,"Shoreham","VT","05770"
"Agriculture, Food&Mrkts Agency","02200-TSAG-06","TRADE SHOW ASSISTANCE","General",,"2015-05-22T00:00:00.000","2016-05-21T00:00:00.000","2015","1500.00","Black River Produce","PO Box 489",,"N Springfield","VT","05150"
