"profile_number","agency_involved","stop_date_and_time","street_address_of_stop","city_of_stop","stop_reason","stop_reason_description","stop_search","stop_search_outcome","stop_outcome","stop_outcome_description","stop_contraband","stop_contraband_description","gender","race","driver_race_description","driver_age","count"
"411855","SPA3","2016-02-04T00:39:00.000","I 89 N MM46                             ","WIL","    ",,"    ",,"    ",,"    ",,"M","W","White","22","1"
"416909","SPA3","2016-02-20T18:50:00.000","INTERSTATE 89 N ENTRANCE EXIT; mm47     ","BER","    ",,"    ",,"    ",,"    ",,"M"," ",,"32","1"
"421601","SPA1","2016-03-04T14:09:00.000","VT ROUTE 15;RT 108 N                    ","CAM","    ",,"    ",,"W   ","Written Warning Issued","    ",,"F","W","White","24","1"
"413268","SPA3","2016-03-14T14:00:00.000","rt14; vast trail                        ","EMO","    ",,"    ",,"    ",,"    ",,"M","W","White","50","1"
"440103","SPH1","2016-03-18T14:04:00.000","I 89 N MM34                             ","RAN","    ",,"    ",,"    ",,"    ",,"F","W","White","47","1"
"417981","SPC2","2016-03-20T18:10:00.000","Vt Route 22A                            ","VRG","    ",,"    ",,"    ",,"    ",,"F","W","White","21","1"
"414243","SPD1","2016-03-20T20:30:00.000","I 91 N MM33                             ","RCK","    ",,"    ",,"    ",,"    ",,"M","W","White","26","1"
"443767","SPA3","2016-06-25T17:40:00.000","TOWNE HILL RD & OLD FARM RD             ","EMO","    ",,"    ",,"    ",,"    ",,"F","W","White","33","1"
"502843","SPH1","2016-09-28T19:00:00.000","Woodstock Ave @ Irving Oil              ","RUT","    ",,"    ",,"    ",,"    ",,"M","B","Black","26","1"
"468821","SPD3","2016-10-05T17:24:00.000","VT ROUTE 14 & BRIDGE ST                 ","ROY","    ",,"    ",,"    ",,"    ",,"M","W","White","30","1"
"475592","SPB1","2016-10-29T02:00:00.000","US Rt 302;2271 Scott Hwy                ","GRO","    ",,"    ",,"    ",,"    ",,"F","W","White","18","1"
"484553","SPB1","2016-11-15T12:23:00.000","US Rt 5;Birch Meadow Rd                 ","FAE","    ",,"    ",,"    ",,"    ",,"F","W","White",,"1"
"490302","SPB1","2016-11-24T12:30:00.000","US RT 2; Oregon Rd                      ","LUN","    ",,"    ",,"    ",,"    ",,"M","W","White",,"1"
"488591","SPC3","2016-12-16T10:37:00.000","48 MORSE HILL RD                        ","DOR","    ",,"    ",,"    ",,"    ",,"F","W","White","38","1"
"419570","SPA1","2016-01-01T00:10:00.000","Rt 109                                  ","CAM","V   ","Vehicle Equipment","NS  ","No Search Conducted","W   ","Written Warning Issued","X   ","Not Applicable/No Search","M","W","White","69","1"
"385320","SPC2","2016-01-01T00:21:00.000","US Route 7                              ","WLM","M   ","Moving Violation","NS  ","No Search Conducted","W   ","Written Warning Issued","X   ","Not Applicable/No Search","F","W","White","45","1"
"395399","SPA3","2016-01-01T00:22:00.000","Route 100                               ","WAT","V   ","Vehicle Equipment","NS  ","No Search Conducted","W   ","Written Warning Issued","X   ","Not Applicable/No Search","F","W","White","29","1"
"386249","SPC2","2016-01-01T00:25:00.000","Vt Route 17                             ","WLM","M   ","Moving Violation","NS  ","No Search Conducted","W   ","Written Warning Issued","X   ","Not Applicable/No Search","F","W","White","20","1"
"407094","SPD2","2016-01-01T00:29:00.000","1114 PUTNEY RD                          ","BRO","M   ","Moving Violation","NS  ","No Search Conducted","W   ","Written Warning Issued","X   ","Not Applicable/No Search","M","W","White","46","1"
"386041","SPD3","2016-01-01T00:31:00.000","I 91 S MM66                             ","HRL","M   ","Moving Violation","SPC ","Consent Search-Probable Cause","T   ","Ticket / VCVC Issued","X   ","Not Applicable/No Search","M","W","White","25","1"
"419533","SPA1","2016-01-01T00:33:00.000","Rt 15                                   ","UND","V   ","Vehicle Equipment","NS  ","No Search Conducted","W   ","Written Warning Issued","X   ","Not Applicable/No Search","M","W","White","56","1"
"385321","SPC2","2016-01-01T00:40:00.000","US Route 7                              ","FER","M   ","Moving Violation","NS  ","No Search Conducted","W   ","Written Warning Issued","X   ","Not Applicable/No Search","M","A","Asian or Pacific Islander","28","1"
