"calendar_year","age","physical_abuse","sexual_abuse","risk_of_sexual_abuse","risk_of_harm","emotional_neglect"
"2021","<20","1","66","2","6","1"
"2021","20-29","20","45","13","72","7"
"2021","30-39","44","49","12","107","16"
"2021","40-49","21","31","5","28","7"
"2021","50-59","8","19","2","7","2"
"2021","60+","7","18","1","2","0"
"2021","Unknown","7","28","0","4","1"
"2020","<20","1","59","1","4","0"
"2020","20-29","23","39","1","54","5"
"2020","30-39","36","55","14","94","5"
"2020","40-49","22","23","12","27","2"
"2020","50-59","4","9","1","5","4"
"2020","60+","2","11","3","1","0"
"2020","Unknown","2","13","0","2","0"
"2019","<20","1","80","4","5","1"
"2019","20-29","40","68","14","110","9"
"2019","30-39","56","37","30","165","13"
"2019","40-49","29","26","5","48","1"
"2019","50-59","9","33","10","8","3"
"2019","60+","4","15","7","3","0"
"2019","Unknown","3","23","0","3","0"
"2018","<20","2","120","0","8","1"
"2018","20-29","40","71","14","136","15"
"2018","30-39","64","61","27","183","18"
"2018","40-49","26","44","8","61","8"
"2018","50-59","11","25","9","20","1"
"2018","60+","9","19","7","6","0"
"2018","Unknown","4","12","1","1","0"
"2017","<20","4","123","3","9","1"
"2017","20-29","43","71","18","116","6"
"2017","30-39","65","38","19","164","17"
"2017","40-49","27","31","8","48","7"
"2017","50-59","10","25","8","14","1"
"2017","60+","2","18","1","6","0"
"2017","Unknown","2","24","0","2","0"
"2016","<20","0","99","1","8","1"
"2016","20-29","38","63","31","176","16"
"2016","30-39","58","49","46","223","19"
"2016","40-49","32","56","31","68","7"
"2016","50-59","5","24","15","13","5"
"2016","60+","4","15","14","1","1"
"2016","Unknown","2","14","0","4","0"
"2015","<20","1","97","2","4","0"
"2015","20-29","52","77","26","120","17"
"2015","30-39","60","38","32","112","10"
"2015","40-49","34","49","27","53","5"
"2015","50-59","6","16","9","15","2"
"2015","60+","2","13","3","2","1"
"2015","Unknown","2","23","0","0","0"
"2014","<20","1","120","8","6","0"
"2014","20-29","43","95","35","100","12"
"2014","30-39","58","57","59","103","13"
"2014","40-49","28","38","32","52","5"
"2014","50-59","8","19","10","10","2"
"2014","60+","4","17","6","1","0"
"2014","Unknown","6","16","0","0","0"
