"grantee_name","address_line_1","address_line_2","city","state","zip","state_of_vermont_granting_department","grant_number","grant_description","funding_source","cfda","start_date","end_date","award_amount","year","location_1"
"Clara Martin Center","Box G",,"Randolph","VT","05060","Mental Health","03150-7186","CUPS","GC Fund",,"2011-07-01T00:00:00.000","2012-06-30T00:00:00.000","35901.00","2012-01-01T00:00:00.000","
Randolph, VT 05060
(43.94916081600047, -72.66939698799968)"
"Springfield Town Treasurer","96 Main St",,"Springfield","VT","05156","Corrections","03520-1295","Community Justice Services","General Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","235000.00","2013-01-01T00:00:00.000","
Springfield, VT 05156
(43.30748171400046, -72.47202945899966)"
"Family Place Inc","319 US Rte 5 South",,"Norwich","VT","05055","Children and Families","03440-10005-13","Reach Up","Federal Fund","93.558","2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","33800.00","2013-01-01T00:00:00.000","
Norwich, VT 05055
(43.7401008760005, -72.30243954899964)"
"Champlain Valley OEO","PO Box 1603",,"Burlington","VT","05402","Children and Families","03440-10216-13-OR","SNAP","General Fund",,"2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","19783.00","2013-01-01T00:00:00.000","
Burlington, VT 05402
(44.48075920400049, -73.21366975699965)"
"Cabot Public Library","PO Box 6",,"Cabot","VT","05647","Libraries","01130_SMITH_FY13-010","Performers grant","Special Fund",,"2013-02-03T00:00:00.000","2013-10-31T00:00:00.000","100.00","2013-01-01T00:00:00.000","
Cabot, VT 05647
(44.416218492000496, -72.30002807099964)"
"Barre City Treasurer","6 North Main St Ste 2",,"Barre","VT","05641","Corrections","03520-1265","Community Outreach","General Fund",,"2012-05-15T00:00:00.000","2013-09-30T00:00:00.000","100000.00","2012-01-01T00:00:00.000","
Barre, VT 05641
(44.196374249000485, -72.49216855999964)"
"KIDS Consortium Inc.","223 Main St",,"Augusta","ME","04330","Education Agency","05100-5555R0051301","TOBACCO USE PREVENTION","Other Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","2000.00","2013-01-01T00:00:00.000","
Augusta, ME 04330
(44.33608355600046, -69.75874732399967)"
"Alburgh Public Library","PO Box 344",,"Alburgh","VT","05440","Libraries","01130_SMITH_FY13-001","Performers grant","Special Fund",,"2013-02-03T00:00:00.000","2013-10-31T00:00:00.000","100.00","2013-01-01T00:00:00.000","
Alburgh, VT 05440
(44.95382602300049, -73.28198627899963)"
"Windsor Public Library","43 State St",,"Windsor","VT","05089","Libraries","01130_SMITH_FY12- 079","Performer's grant","Special Fund",,"2012-02-03T00:00:00.000","2012-10-31T00:00:00.000","100.00","2012-01-01T00:00:00.000","
Windsor, VT 05089
(43.48449289300049, -72.41866844599963)"
"Newbury Town Treasurer","PO Box 126",,"Newbury","VT","05051","Transportation Agency","08122-MP0062","Town of Newbury Park & Ride","Special Fund",,"2012-08-14T00:00:00.000","2015-08-14T00:00:00.000","18205.00","2013-01-01T00:00:00.000","
Newbury, VT 05051
(44.08282187500049, -72.10482869899965)"
"Thetford Academy","Academy Rd","PO Box 190","Thetford","VT","05074","Education Agency","05100-5555P0051301","TOBACCO USE PREVENTION","Other Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","7000.00","2013-01-01T00:00:00.000","
Thetford, VT 05074
(43.82050085800046, -72.23245888999963)"
"Kidsafe Collaborative","308 Pine St",,"Burlington","VT","05401","Health","03420-A13089S","Kidsafe Collaborative","Federal Fund","93.959","2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","15951.00","2013-01-01T00:00:00.000","
Burlington, VT 05401
(44.47575810300049, -73.21083681399966)"
"Rutland Free Library","10 Court St",,"Rutland","VT","057014058","Libraries","01130_SMITH_FY13-062","Performer's Grant","Special Fund",,"2013-02-01T00:00:00.000","2013-10-31T00:00:00.000","100.00","2013-01-01T00:00:00.000","
Rutland, VT 057014058
(43.607740856000476, -72.97564893699968)"
"Vermont Federation of Families for","PO Box 1577",,"Williston","VT","05495","Mental Health","03150-C6003-FY13-YIT","YIT","Federal Fund","93.104","2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","374162.00","2012-01-01T00:00:00.000","
Williston, VT 05495
(44.436887683000464, -73.10777762899966)"
"Twin States Network","PO Box 2606",,"W Brattleboro","VT","05303","Health","03420-6121S","Twin States Network","Other Fund",,"2013-07-01T00:00:00.000","2014-06-30T00:00:00.000","35053.00","2013-01-01T00:00:00.000","
W Brattleboro, VT 05303
(42.855940053000495, -72.60202767899966)"
"Plymouth Town Treasurer","68 Town Office Rd",,"Plymouth","VT","05056","Public Safety","02140-31014C-028","EMPG 12","Federal Fund","97.042","2013-02-07T00:00:00.000","2013-09-30T00:00:00.000","5531.50","2013-01-01T00:00:00.000","
Plymouth, VT 05056
(43.527000082000484, -72.72322726199963)"
"Rutland South Supervisory Union","PO Box 87",,"N Clarendon","VT","05759","Education Agency","05100-3219S0331201","ACT 230","Other Fund",,"2011-07-01T00:00:00.000","2012-06-30T00:00:00.000","3264.77","2012-01-01T00:00:00.000","
N Clarendon, VT 05759
(43.54358062200049, -72.95543739099963)"
"Addison County Court Diversion &","PO Box 881",,"Middlebury","VT","05753","Corrections","03520-1323","Reentry","Federal Fund","16.812","2013-04-01T00:00:00.000","2014-09-30T00:00:00.000","12500.00","2013-01-01T00:00:00.000","
Middlebury, VT 05753
(44.00681034900049, -73.17264856099968)"
"Shoreham Town Treasurer","297 Main St",,"Shoreham","VT","05770","Transportation Agency","08131-FE0769","FEMA 4066","Special Fund",,"2012-05-29T00:00:00.000","2013-12-22T00:00:00.000","14960.80","2013-01-01T00:00:00.000","
Shoreham, VT 05770
(43.89356212500047, -73.31733724399965)"
"Vermont Captive Insurance Association","1 Lawson Lane",,"Burlington","VT","05401-5212","Housing & Comm Development","07110-13-10","Vt Captive Insurance Association","Special Fund",,"2012-10-30T00:00:00.000","2014-10-30T00:00:00.000","100000.00","2013-01-01T00:00:00.000","
Burlington, VT 05401-5212
(44.474308728000494, -73.21845652799965)"
"Turning Point Club of Bennington","PO Box 454",,"Bennington","VT","05201","Health","03420-A13029S","TURNING POINT CLUB OF BENNINGTON, INC","GC Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","59991.00","2013-01-01T00:00:00.000","
Bennington, VT 05201
(42.8814626140005, -73.19112786899967)"
"Windsor Central Supervisory Union","70 Amsden Way",,"Woodstock","VT","05091","Education Agency","05100-4228S0511301","IDEA-B PRESCHOOL REGULAR GRANT","Federal Fund","84.173","2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","10896.00","2013-01-01T00:00:00.000","
Woodstock, VT 05091
(43.6202916950005, -72.53962905499964)"
"Bittersweet Farm of Vermont LLC","887 Kellog Rd",,"ST Albans","VT","05478","Agriculture, Food&Mrkts Agency","02200-ARM-BMP-910-1305","Install Best Management Practices on farm","Other Fund",,"2012-10-10T00:00:00.000","2014-08-31T00:00:00.000","8000.00","2013-01-01T00:00:00.000","
ST Albans, VT 05478
(44.80296743100047, -73.09478606199963)"
"Womens' Information Service","38 Bank St",,"Lebanon","NH","03766","Crime Victims' Services Center","02160-13ACT17420","FY2013 ACT 174 Grant","Special Fund",,"2012-10-01T00:00:00.000","2013-06-30T00:00:00.000","14292.00","2013-01-01T00:00:00.000","
Lebanon, NH 03766
(43.64311166400046, -72.24819650099965)"
"Central Vermont Community Action","195 US Rte 302-Berlin",,"Barre","VT","05641","Children and Families","03440-43002-13-CSBG","Federal Community Services Block Grant","Federal Fund","93.569","2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","582661.00","2013-01-01T00:00:00.000","
Barre, VT 05641
(44.196374249000485, -72.49216855999964)"
"Washington Northeast Supervisory Union","149 Main St","PO Box 470","Plainfield","VT","05667","Education Agency","05100-4226S0411202","IDEA-B PROPORTIONATE SHARE GRANT","Federal Fund","84.027","2011-07-06T00:00:00.000","2012-06-30T00:00:00.000","2272.00","2012-01-01T00:00:00.000","
Plainfield, VT 05667
(44.277773582000464, -72.42108861499963)"
"Vermont Technical College","PO Box 500",,"Randolph Center","VT","050610500","Environmental Conservation","06140-SBDC-12FFA","Pollution prevention & environmental compliance assistance for businesses.","Other Fund",,"2011-11-15T00:00:00.000","2012-09-30T00:00:00.000","29320.00","2012-01-01T00:00:00.000","
Randolph Center, VT 050610500
(43.94151113400045, -72.60714903099966)"
"Windham Central Supervisory Union","1219 VT Rte 30",,"Townshend","VT","05353-9716","Education Agency","05100-4250S0461201","TITLE I A GRANTS TO LOCAL ED AGENCIES","Federal Fund","84.010","2011-08-22T00:00:00.000","2012-06-30T00:00:00.000","278216.89","2012-01-01T00:00:00.000","
Townshend, VT 05353-9716
(43.034851897000465, -72.66399908099964)"
"Family Place Inc","319 US Rte 5 South",,"Norwich","VT","05055","Children and Families","03440-10005-13","Reach Up","Federal Fund","10.561","2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","16900.00","2013-01-01T00:00:00.000","
Norwich, VT 05055
(43.7401008760005, -72.30243954899964)"
"Easter Seals Vermont","631 Comstock Raod",,"Berlin","VT","05602","Children and Families","03440-20377-13-CFS-14","CHILD AND FAMILY SUPPORTS","GC Fund",,"2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","390767.08","2013-01-01T00:00:00.000","
Berlin, VT 05602
(44.263391614000454, -72.58152794299963)"
"Peru Town Treasurer","PO Box 127",,"Peru","VT","05152","Secretary of State's Office","02230-SOS1119","Improvement of Accessibility for Voters","Federal Fund","93.617","2011-09-15T00:00:00.000","2012-10-31T00:00:00.000","10000.00","2012-01-01T00:00:00.000","
Peru, VT 05152
(43.21937369200049, -72.91881768399963)"
"Rivendell Interstate School District","10 School Dr",,"Orford","NH","03777","Forests, Parks & Recreation","06130 NRTF11-21","Cross Rivendell Trail, Britton Property Trail Work","Federal Fund","20.219","2011-07-20T00:00:00.000","2012-12-31T00:00:00.000","4374.00","2012-01-01T00:00:00.000","
Orford, NH 03777
(43.89461361700046, -72.08223901499963)"
"Burlington RU12 Community Center","20 Winooski Falls Way Ste 102",,"Burlington","VT","05401","Crime Victims' Services Center","02160-12VOVA21","OVC FY12 VOCA Victim Assistance Formula","Federal Fund","16.575","2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","92710.00","2013-01-01T00:00:00.000","
Burlington, VT 05401
(44.47575810300049, -73.21083681399966)"
"Windsor Town Treasurer","29 Union St.",,"Windsor","VT","05089","Public Safety","02140-77152V-007","Homeland Security Grant Program","Federal Fund","97.067","2011-07-13T00:00:00.000","2011-10-31T00:00:00.000","11300.00","2012-01-01T00:00:00.000","
Windsor, VT 05089
(43.48449289300049, -72.41866844599963)"
"Winhall Town School District","% Windham Central Sup Union","6378 VT Rte 7A","Sunderland","VT","05250-8427","Treasurer's Office","01260-201310A","US Forest Service Receipt payments to schools FY2013","Federal Fund","10.665","2013-02-25T00:00:00.000","2015-01-31T00:00:00.000","12541.87","2013-01-01T00:00:00.000","
Sunderland, VT 05250-8427
(43.1171028490005, -73.11160849999965)"
"Fletcher Allen Health Care","BAR - Professional Remits","PO Box 1063","Burlington","VT","054021063","Public Safety","02140-1112-6000","2012 FFY CPS Program","Federal Fund","20.600","2011-10-01T00:00:00.000","2012-09-30T00:00:00.000","189974.00","2012-01-01T00:00:00.000","
Burlington, VT 054021063
(44.48074802600047, -73.21366833099967)"
"Unified District #37","Miller's Run School","3249 VT Rte 122","Sheffield","VT","05866","Transportation Agency","08131-FE0782","FEMA Disaster 4022","Federal Fund","97.036","2011-08-27T00:00:00.000","2013-03-11T00:00:00.000","17091.40","2013-01-01T00:00:00.000","
Sheffield, VT 05866
(44.62226734300049, -72.12719678699966)"
"Winhall Town Treasurer","PO Box 420",,"Bondville","VT","05340","Public Safety","02140-0912-3557","FFY 2012 Equipment Incentives","Federal Fund","20.609","2011-12-09T00:00:00.000","2012-09-30T00:00:00.000","1000.00","2012-01-01T00:00:00.000","
Bondville, VT 05340
(43.16947130500046, -72.91855698399962)"
"Twin States Network","PO Box 2606",,"W Brattleboro","VT","05303","Health","03420-5715P","HIV Services","General Fund",,"2011-06-15T00:00:00.000","2012-06-30T00:00:00.000","51815.66","2012-01-01T00:00:00.000","
W Brattleboro, VT 05303
(42.855940053000495, -72.60202767899966)"
"Hurd,Vernon R","785 Tetreault Rd",,"Newport Center","VT","05857","Agriculture, Food&Mrkts Agency","02200-ARM-BMP-913-1310","Install BMP on farm","Other Fund",,"2012-09-01T00:00:00.000","2014-08-31T00:00:00.000","12000.00","2013-01-01T00:00:00.000","
Newport Center, VT 05857
(44.94432784100047, -72.29861594399966)"
"BROC-Community Action in Southwestern","60 Center St",,"Rutland","VT","05701","Children and Families","03440-47011-12-DOE","Low Income Weatherization Assistance Program","Federal Fund","81.042","2011-08-10T00:00:00.000","2012-03-31T00:00:00.000","160776.00","2012-01-01T00:00:00.000","
Rutland, VT 05701
(43.619414003000486, -72.96350606599964)"
"Habit Opco Inc","639 Granite St",,"Braintree","MA","02184","Health","03420-A13093P","HABIT OPCO INC","GC Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","775000.00","2013-01-01T00:00:00.000","
Braintree, MA 02184
(42.2103200300005, -70.99974606999967)"
"Brighton Town Treasurer","PO Box 377",,"Island Pond","VT","05846","AOT Maintenance Headquarters","08131-FE0761","FEMA 4022 Disaster Brighton Town","Federal Fund","97.036","2011-08-27T00:00:00.000","2013-09-26T00:00:00.000","27850.36","2012-01-01T00:00:00.000","
Island Pond, VT 05846
(44.801876835000485, -71.89315741099966)"
"Brattleboro Arts Initiative, Inc.","50 Main St",,"Brattleboro","VT","05301","Housing & Comm Development","07110-2011-EDI/HP-2011-3","SANDERS GRANTS HUDI/EDI","Federal Fund","14.251","2012-04-05T00:00:00.000","2012-09-30T00:00:00.000","13907.00","2013-01-01T00:00:00.000","
Brattleboro, VT 05301
(42.84563370000046, -72.60088928699963)"
"Orange East Supervisory Union","PO Box 396",,"Bradford","VT","05033","Education Agency","05100-4614S0271201","EXTENDED EDUCATION PROGRAMMING","Federal Fund","16.541","2011-07-01T00:00:00.000","2011-09-30T00:00:00.000","32420.00","2012-01-01T00:00:00.000","
Bradford, VT 05033
(43.99925003900046, -72.15923685799964)"
"Warren Town Treasurer","PO Box 337",,"Warren","VT","05674","Public Safety","02140-79152-538","FY09 State Homeland Security Grant Program","Federal Fund","97.067","2012-06-28T00:00:00.000","2012-09-30T00:00:00.000","18447.00","2012-01-01T00:00:00.000","
Warren, VT 05674
(44.113662725000495, -72.84579986699964)"
"Blue Mountain Union School District # 21","% Blue Mountain Sup Union","2420 Rte 302","Wells River","VT","05081","Education Agency","05100-5840U0211201","TO SUPPORT THE EXPENSES OF THE LOCAL AND REGIONAL STANDARDS BOARD","Other Fund",,"2011-07-01T00:00:00.000","2012-06-30T00:00:00.000","1759.93","2012-01-01T00:00:00.000","
Wells River, VT 05081
(44.15027374100049, -72.08409867699964)"
