ID,Reporting Agency,Report Number,Date,Street Address,Town,Number,Number1,Number2,Number3,Intersection,Distance From Intersection,Distance Unit,Posted Speed,Direction of Collision,Direction from Intersection,Easting,Northing,Mile Marker,Mile Marker 1,Mile Marker 2,AOT Roadway,AOT Route,AOT Actual Mile,LRS Number,How Mapped,Crash Type,Location 1,Counties
9804,VTVSP1100,12D305698,12/31/2012,I 89SB,Sharon,NO DATA,NO DATA,NO DATA,89,MM15,2,Miles,65,2 - Head On,North,500859,142730,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),I-89,999.99,NO DATA,XY,Injury,"(43.78480462, -72.48932937)",3218
85,VTVSP0700,12A200166,01/14/2012,I-89 N,Swanton,NO DATA,NO DATA,NO DATA,89,OFF RAMP,10,Feet,65,1 - Rear End,NO DATA,452148,269302,NO DATA,NO DATA,NO DATA,Ramp or Spur,I-89,0.149,I089-0000NR021C,LRS,Property Damage Only,"(44.92246172, -73.10659667)",3205
1076,VTVSP0200,12B104124,12/16/2012,River Road,Victory,1,NO DATA,NO DATA,NO DATA,Victory Hill Road,0,Miles,99,6 - Single Vehicle Crash,North,552564,223650,277,517,120,Federal Aid Secondary System (Class 2 TH),FAS 0277,1.13,S02770517,LRS,Injury,"(44.51083833, -71.83989916)",903
826,VTVSP0300,12C103685,07/17/2012,FAS-143,Mt. Holly,1,NO DATA,NO DATA,NO DATA,Th 59,200,Feet,35,2 - Head On,North,474125,102756,NO DATA,NO DATA,NO DATA,Federal Aid Secondary System (Class 2 TH),FAS 0143,1.63,S01431112,LRS,Injury,"(43.42253279, -72.81999399)",3216
4258,VTVSP0600,12C201379,05/20/2012,Us Rt 7,Salisbury,NO DATA,NO DATA,7,NO DATA,VT RT 53,NO DATA,NO DATA,50,1 - Rear End,West,451115,159090,70,117,185,State System (State Highways and Class I TH links),US-7,2.62,U007-0117,LRS,Injury,"(43.93046343, -73.10889306)",3202
5446,VT0141100,12RY00576,05/31/2012,VT-14,Royalton,NO DATA,14,NO DATA,NO DATA,3590 VT Route 14,50,Feet,50,2 - Head On,North,496685,147150,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-14,3.58,V014-1416,LRS,Injury,"(43.82465976, -72.54113142)",3218
6772,VT0060000,12FRC0582,04/04/2012,Vt Rt 104,Fairfax,NO DATA,104,NO DATA,NO DATA,Fisher Road,30,Feet,50,1 - Rear End,East,459564,240786,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,0.37,V104-0604,LRS,Injury,"(44.63916477, -72.93266282)",3205
7132,VT0041200,12HB00441,05/02/2012,Vt┬á Rt 116,Hinesburg,NO DATA,NO DATA,NO DATA,NO DATA,CVU Rd,500,Feet,40,1 - Rear End,South,450870,204647,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-116,5.36,V116-0407,LRS,Property Damage Only,"(44.33979662, -73.11557196)",3204
8505,VTVSP0300,12C106175,11/11/2012,US-4,Ira,NO DATA,NO DATA,4,NO DATA,Rest Area,3,Miles,65,6 - Single Vehicle Crash,East,451643,123834,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),US-4,999.99,NO DATA,XY,Injury,"(43.6131582, -73.09905231)",3216
8031,VT0010200,12-67-AC,04/13/2012,MILL ST,Middlebury,NO DATA,NO DATA,NO DATA,NO DATA,MUNICIPAL LOT,50,Feet,10,NO DATA,West,446163,168248,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,XY,Property Damage Only,"(44.01250445, -73.17139819)",3202
10718,VT0140400,12WN00621,05/13/2012,456 Hewitt Road,Windsor,NO DATA,NO DATA,NO DATA,NO DATA,,NO DATA,NO DATA,25,NO DATA,West,,,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0007,999.99,NO DATA,GEOCODE,Injury,"(43.47140243, -72.43444936)",3218
