"calendar_year","gender","physical_abuse","sexual_abuse","risk_of_sexual_abuse","risk_of_harm","emotional_neglect"
"2021","Male","63","46","9","160","19"
"2021","Female","58","211","36","137","21"
"2020","Male","58","33","18","147","4"
"2020","Female","47","186","26","144","14"
"2019","Male","98","51","30","247","16"
"2019","Female","57","256","57","212","14"
"2018","Male","98","60","21","293","29"
"2018","Female","69","306","54","253","29"
"2017","Male","89","62","47","267","17"
"2017","Female","70","286","36","244","18"
"2016","Male","76","52","47","212","17"
"2016","Female","57","259","68","216","20"
"2015","Male","105","63","61","212","24"
"2015","Female","66","275","89","207","27"
"2014","Male","88","95","82","196","14"
"2014","Female","73","285","134","177","17"
