"ticket_type","race","gender","dob","issued_at","stop_based_on","search_based_on","contraband_evidence","outcome_of_stop"
"Traffic","A=Asian/Pac.Island","Female - F","1971-02-10T00:00:00.000","2018-01-15T10:50:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Female - F","1979-03-12T00:00:00.000","2018-05-23T14:43:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Female - F","1987-10-31T00:00:00.000","2018-02-16T09:52:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Female - F","1992-07-13T00:00:00.000","2018-01-15T12:19:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Female - F","1993-09-12T00:00:00.000","2018-03-22T14:26:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Warning","A=Asian/Pac.Island","Female - F","1997-05-13T00:00:00.000","2018-10-18T13:35:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","W = Warning"
"Traffic","A=Asian/Pac.Island","Male - M","1971-02-03T00:00:00.000","2018-12-21T22:32:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Male - M","1974-07-16T00:00:00.000","2018-10-20T19:22:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Warning","A=Asian/Pac.Island","Male - M","1977-08-06T00:00:00.000","2018-12-21T19:16:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","W = Warning"
"Traffic","A=Asian/Pac.Island","Male - M","1982-06-28T00:00:00.000","2018-01-01T15:36:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Male - M","1984-12-23T00:00:00.000","2018-12-27T14:59:00.000","O = Other","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Male - M","1988-03-23T00:00:00.000","2018-02-17T00:36:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Male - M","1991-06-28T00:00:00.000","2018-01-29T09:10:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Male - M","1991-09-12T00:00:00.000","2018-03-15T20:04:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Male - M","1992-08-11T00:00:00.000","2018-10-27T00:47:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","A=Asian/Pac.Island","Male - M","1993-01-01T00:00:00.000","2018-05-28T15:30:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Warning","A=Asian/Pac.Island","Male - M","1993-02-23T00:00:00.000","2018-12-15T01:13:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","W = Warning"
"Traffic","A=Asian/Pac.Island","Male - M","1995-08-21T00:00:00.000","2018-04-28T15:15:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","B=Black","Female - F","1946-07-12T00:00:00.000","2018-08-10T19:42:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","B=Black","Female - F","1973-06-21T00:00:00.000","2018-12-26T10:27:00.000","V = Vehicle Equipment","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","B=Black","Female - F","1977-01-20T00:00:00.000","2018-02-03T23:45:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","B=Black","Female - F","1978-08-07T00:00:00.000","2018-06-17T10:22:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
"Traffic","B=Black","Female - F","1979-03-22T00:00:00.000","2018-02-24T21:44:00.000","M = Moving violation","NS = No search","X = Not applicable / no search","T = Ticket"
