"organization_name","description_of_services","populations_served","counties_served","website","how_to_access_resources","days_of_operation","hours_of_operation","notes","table3_addressline1","table3_addressline2","table3_city","table3_phone_numb"
"Central Vermont Council on Aging","Provides confidential consultations by trained professional case managers and in-home/pre-dismissal hospital assessments for eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite and in-home services. Provides assistance with filling out forms for submission. Case managers also work with the VA in assisting veterans with applying for the Veterans Independence Program.","Mature Adults;Persons with Disabilities;Veterans","Lamoille;Orange;Washington","http://cvcoa.org/","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Benefits screening & forms/application assistance.","59 North Main Street","Suite 200","Barre","802-479-0531"
"Central Vermont Council on Aging","Provides confidential consultations by trained professional case managers and in-home/pre-dismissal hospital assessments for eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite and in-home services. Provides assistance with filling out forms for submission. Case managers also work with the VA in assisting veterans with applying for the Veterans Independence Program.","Mature Adults;Persons with Disabilities;Veterans","Lamoille;Orange;Washington","http://cvcoa.org/","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Benefits screening & forms/application assistance.","109 Professional Drive","Suite 1","Morrisville","802-888-1393"
"Southwestern Vermont Council on Aging","Provides case managers to work with people in their homes to enable and promote independence, assess individual situations, and develop service plans. Activities may include benefits counseling, service coordination, and ensuring elder rights.","Mature Adults;Persons with Disabilities","Bennington;Rutland","https://www.svcoa.org/","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm","Benefits screening.","160 Benmont Avenue","90 Benmont Mill","Bennington","802-442-5436"
"Southwestern Vermont Council on Aging","Provides case managers to work with people in their homes to enable and promote independence, assess individual situations, and develop service plans. Activities may include benefits counseling, service coordination, and ensuring elder rights.","Mature Adults;Persons with Disabilities","Bennington;Rutland","https://www.svcoa.org/","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm","Benefits screening.","143 Maple Street",,"Rutland","802-786-5990"
"Age Well","Provides long and short-term Care and Service coordination, and wellness benefits counseling in the senior's home or setting of choice. Trained, professional case managers educate seniors and caregivers about the services and programs available in the community based on their individual needs and goals, and help them access the services that will support their goals. Care and Services Coordinators provide confidential, in-home assessments of eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite, and in-home services. Care and Service Coordinators can assist with applications, provide service coordination and monitoring, and ensure elder rights. Wellness counselors can also provide a HomeMeds medication reconciliation and falls risk assessment in the home.","Mature Adults;Persons with Disabilities","Addison;Chittenden;Franklin;Grand Isle","https://www.agewellvt.org/","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 5:00 pm","Translation services available","76 Pearl Street","Suite 201","Essex Junction","802-662-5271"
"Northeast Kingdom Council on Aging","Provides confidential consultations by trained professional case managers and in-home/pre-dismissal hospital assessments for eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite and in-home services. Provides assistance with filling out forms for submission. Case managers also work with the VA in assisting veterans with applying for the Veterans Independence Program.","Mature Adults;Persons with Disabilities;Veterans","Caledonia;Essex;Orleans","http://nekcouncil.org/","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Benefits screening and application assistance.","82 Maple Street",,"Island Pond","802-748-5182"
"Northeast Kingdom Council on Aging","Provides confidential consultations by trained professional case managers and in-home/pre-dismissal hospital assessments for eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite and in-home services. Provides assistance with filling out forms for submission. Case managers also work with the VA in assisting veterans with applying for the Veterans Independence Program.","Mature Adults;Persons with Disabilities;Veterans","Caledonia;Essex;Orleans","http://nekcouncil.org/","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Benefits screening and application assistance.","4 Slapp Hill",,"Hardwick","802-748-5182"
"Northeast Kingdom Council on Aging","Provides confidential consultations by trained professional case managers and in-home/pre-dismissal hospital assessments for eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite and in-home services. Provides assistance with filling out forms for submission. Case managers also work with the VA in assisting veterans with applying for the Veterans Independence Program.","Mature Adults;Persons with Disabilities;Veterans","Caledonia;Essex;Orleans","http://nekcouncil.org/","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Benefits screening and application assistance.","481 Summer Street","Suite 101","Saint Johnsbury","802-748-5182"
"The Dream Center: Troll House","Provides one-on-one listening support and navigation for a range of government and local services.","General","Rutland","https://www.dreamcenterrutland.org/troll-house","Telephone;Walk-In","Monday;Thursday;Tuesday;Wednesday","1:00 pm - 4:00 pm",,"197 West Street",,"Rutland","802-558-6521"
"RuralEdge","Money management counseling, homebuyer education, renter education, low-interest home rehabilitation loans.","General","Caledonia;Essex;Orleans","http://www.ruraledge.org","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 12:00 pm, 1:00 pm - 4:30 pm",,"48 Elm Street",,"Lyndonville","800-234-0560 Toll Free
802-535-3554"
