"date_time","inc","badge","ticket","location","call_type","reason","unnamed_column","outcome","unnamed_column_1","search","unnamed_column_2","evidence","unnamed_column_3","type","vio_code","violation","unnamed_column_4","sex","dob","age","race","location_1","residence","unnamed_column_5","state"
"2018-12-31T22:30:43.000","18HW002381","M207",,"Vt Rt 15","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","FYY","FYY - Stop Sign",,"M","1986-10-17T00:00:00.000","32","White - W",,"Eden",,"VT"
"2018-12-29T11:02:02.000","18HW002375","M203a","3351481","Terrace Hill","Traffic Stop","E = Externally Generated",,"T = Ticket",,"NS = No search",,"X = Not applicable / no search",,"Traffic","NL","NL - Operating Without A License",,"M","1960-07-05T00:00:00.000","58","White - W",,"Hardwick",,"VT"
"2018-12-28T15:21:09.000","18HW002371","M203a",,"VT RT 14S","Traffic Stop","V = Vehicle Equipment",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","DEF","DEF - Condition Of Vehicle",,"F","1986-11-14T00:00:00.000","32","White - W",,"Hardwick",,"VT"
"2018-12-27T14:09:43.000","18HW002368","M205",,"Vt Rt 15","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Traffic","BR","BR - 11-20 MPH Over Speed Limit",,"F","1998-05-02T00:00:00.000","21","White - W",,"Saint Johnsbury",,"VT"
"2018-12-23T17:03:55.000","18HW002354","M205",,"VT RT 15 E","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Traffic","BR","BR - 11-20 MPH Over Speed Limit",,"F","1981-03-03T00:00:00.000","38","White - W",,"Fairfax",,"VT"
"2018-12-22T20:46:44.000","18HW002350","M207",,"Center Rd","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","DLT","DLT - Driving On Roadways Laned For Traffic",,"M","2000-05-31T00:00:00.000","19","White - W",,"Woodbury",,"VT"
"2018-12-21T19:39:20.000","18HW002345","M204",,"Wolcott St","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","SL1","SL1 - 1-10 MPH Over Speed Limit",,"M","1997-03-26T00:00:00.000","22","Black - B",,"Eden",,"VT"
"2018-12-16T17:18:36.000","18HW002321","M203a",,"S Main St","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","SL2","SL2 - 11-20 MPH Over Speed Limit",,,"1972-09-14T00:00:00.000","46",,"Hardwick",,,"VT"
"2018-12-14T09:03:29.000","18HW002305","M203a",,"VT RT 14","Traffic Stop","V = Vehicle Equipment",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","VNI","VNI - Vehicle Not Inspected Within 15 Days Of Vt. Registration",,"M","1984-12-23T00:00:00.000","34","White - W",,"Hardwick",,"VT"
"2018-12-11T16:59:58.000","18HW002295","M201","3196384","Wolcott Street, Hardwick","Traffic Stop","V = Vehicle Equipment",,"T = Ticket",,"NS = No search",,"X = Not applicable / no search",,"Traffic","INS","INS - Operating Without Liability Insurance",,"M","1989-09-05T00:00:00.000","29","White - W",,"Saint Johnsbury",,"VT"
"2018-12-11T16:59:58.000","18HW002295","M200","3196383","Wolcott Street, Hardwick","Traffic Stop","V = Vehicle Equipment",,"T = Ticket",,"NS = No search",,"X = Not applicable / no search",,"Traffic","OSC","OSC - Operating After Suspension/Revocation/Refusal",,"M","1989-09-05T00:00:00.000","29","White - W",,"Saint Johnsbury",,"VT"
"2018-12-10T21:32:16.000","18HW002288","M203a",,"Vt Rt 15 / Vt Rt 16","Traffic Stop","V = Vehicle Equipment",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","DEF","DEF - Condition Of Vehicle",,"F","1994-11-25T00:00:00.000","24","White - W",,"Plainfield",,"VT"
"2018-12-10T19:38:00.000","18HW002334","M201","hw702","West Church St","Parking Problem",,,,,,,,,"Civil Other","SPL","SPL - Disobeying posted sign or marking in state parking lot",,"M","1940-12-15T00:00:00.000","78","White - W",,"E Calais",,"VT"
"2018-12-10T17:00:11.000","18HW002285","M201","3196382","Vt Rt 14/15","Traffic Stop","V = Vehicle Equipment",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Traffic","NR","NR - Persons Required To Register",,"M","1998-05-01T00:00:00.000","21","White - W",,"Glover",,"VT"
"2018-12-07T22:28:54.000","18HW002271","M212",,"VT Rt 16","Traffic Stop","V = Vehicle Equipment",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","DEF","DEF - Condition Of Vehicle",,"F","1992-06-17T00:00:00.000","26","White - W",,"Morrisville",,"VT"
"2018-11-30T09:07:50.000","18HW002230","M203a",,"S Main Street","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","SL2","SL2 - 11-20 MPH Over Speed Limit",,"M","1981-03-26T00:00:00.000","38","White - W",,"Danville",,"VT"
"2018-11-26T16:18:37.000","18HW002186","M203a",,"South Main Street","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","SL2","SL2 - 11-20 MPH Over Speed Limit - Work Zone",,"M","1957-06-17T00:00:00.000","61",,"E Hardwick",,,"VT"
"2018-11-26T16:10:59.000","18HW002185","M203a",,"Vt Rt 14 S","Traffic Stop","V = Vehicle Equipment",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","DEF","DEF - Condition Of Vehicle",,"F","1979-01-27T00:00:00.000","40",,"Woodbury",,,"VT"
"2018-11-26T13:43:47.000","18HW002184","M203a",,"VT Rt 16 / Cedar St","Traffic Stop","V = Vehicle Equipment",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","DEF","DEF - Condition Of Vehicle",,"F","1997-11-24T00:00:00.000","21","White - W",,"Hardwick",,"VT"
"2018-11-25T14:25:42.000","18HW002181","M205",,"S Main St","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Traffic","DEF","DEF - Condition Of Vehicle",,"M","1994-03-02T00:00:00.000","25","White - W",,"Wilmington",,"NC"
"2018-11-24T16:06:37.000","18HW002179","M205",,"Granite St","Traffic Stop","M = Moving violation",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Traffic","DEF","DEF - Condition Of Vehicle",,,"1987-10-01T00:00:00.000","31",,"River Falls",,,"WI"
"2018-11-24T15:58:11.000","18HW002178","M204",,"Vt Rt 15","Traffic Stop","V = Vehicle Equipment",,"W = Warning",,"NS = No search",,"X = Not applicable / no search",,"Warning","DEF","DEF - Condition Of Vehicle",,"M","1960-07-05T00:00:00.000","58","White - W",,"Hardwick",,"VT"
"2018-11-18T01:03:20.000","18HW002145","M209","hd3403","Church St","Parking Problem",,,,,,,,,"Civil Other","SPL","SPL - Disobeying posted sign or marking in state parking lot",,"F","1969-10-02T00:00:00.000","49","White - W",,"West Wheelock",,"VT"
"2018-11-17T09:40:08.000","18HW002143","M203a",,"Vt Rt 15","Traffic Stop","I = Investigatory",,"N = No action taken",,"NS = No search",,"X = Not applicable / no search",,"Warning","NR","NR - Persons Required To Register",,"F","1983-08-03T00:00:00.000","35",,"Johnson",,,"VT"
