"granting_department","grant_number","grant_description","funding_source","cfda","start_date","end_date","fiscal_year_issued","award_amount","grantee_name","address_line_1","address_line_2","city","st","zip"
"Administration Agency","01100_GRANTS TO MUNICIPALITIES","COLCHESTER TOEN TREASURER","SP",,"2019-06-05T00:00:00.000","2019-06-06T00:00:00.000","2019","25000.00","Colchester Town Treasurer","781 Blakely Road",,"Colchester","VT","05446"
"Administration Agency","01100_GRANTS TO MUNICIPALITIES","South Burlington City Tresurer","SP",,"2019-06-05T00:00:00.000","2019-06-06T00:00:00.000","2019","25000.00","South Burlington City Treasurer","575 Dorset St",,"S Burlington","VT","05403"
"Administration Agency","01100_GRANTS TO MUNICIPALITIES","Burlington City Treasurer","SP",,"2019-06-06T00:00:00.000","2019-06-07T00:00:00.000","2019","25000.00","Burlington City Treasurer","Attn Accounts Receivable","City Hall Room 22","Burlington","VT","05401"
"Agriculture, Food&Mrkts Agency","02200-FAIRS-19-11","2019 FAIRS","GEN",,"2015-05-10T00:00:00.000","2020-12-31T00:00:00.000","2019","11000.00","Tunbridge World's Fair","76 Howe Lane",,"Tunbridge","VT","05077"
"Agriculture, Food&Mrkts Agency","02200-FAIRS-19-11","2019 FAIRS","OTH",,"2015-05-10T00:00:00.000","2020-12-31T00:00:00.000","2019","23144.00","Tunbridge World's Fair","76 Howe Lane",,"Tunbridge","VT","05077"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2018-079","FARM AGRONOMIC PRACTICES PROGRAM GRANT","GEN",,"2018-06-01T00:00:00.000","2018-08-30T00:00:00.000","2019","0.00","Friends of Northern Lake Champlain Inc","PO Box 1145",,"St. Albans","VT","05478"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2018-076","FARM AGRONOMIC PRACTICES PROGRAM GRANT","GEN",,"2018-06-27T00:00:00.000","2018-12-31T00:00:00.000","2019","0.00","Champney,Brian","1467 School Road",,"Derby Line","VT","05830"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2019-012","FARM AGRONOMIC PRACTICES PROGRAM GRANT","GEN",,"2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","2019","2800.00","Riverview Farm","4654 Middle Rd",,"Franklin","VT","05457"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2019-009","FARM AGRONOMIC PRACTICES PROGRAM GRANT","GEN",,"2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","2019","3240.00","Gratton Hill Farm","522 Gratton Hill Rd",,"W Charleston","VT","05872"
"Agriculture, Food&Mrkts Agency","02200-TSAG-19-08","2019 TSAG","GEN",,"2019-05-20T00:00:00.000","2019-08-28T00:00:00.000","2019","2273.00","Farm Connex","259 Fishing Access Rd",,"Newport","VT","05855"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2019-014","FARM AGRONOMIC PRACTICES PROGRAM GRANT","GEN",,"2018-07-01T00:00:00.000","2018-12-31T00:00:00.000","2019","5000.00","Lyle F. Hurtubise & Sons Inc.","212 Drew Rd",,"Richford","VT","05476"
