"calendar_year","gender","physical_abuse","sexual_abuse","risk_of_sexual_abuse","risk_of_harm","emotional_neglect"
"2021","Male","57","237","27","138","11"
"2021","Female","48","13","8","86","22"
"2021","Unknown","3","6","0","2","1"
"2020","Male","57","192","25","108","6"
"2020","Female","33","6","7","79","10"
"2020","Unknown","0","11","0","0","0"
"2019","Male","90","263","49","180","8"
"2019","Female","49","10","21","159","19"
"2019","Unknown","3","9","0","3","0"
"2018","Male","95","334","46","228","13"
"2018","Female","59","14","19","187","30"
"2018","Unknown","2","4","1","0","0"
"2017","Male","86","313","47","200","10"
"2017","Female","65","10","10","159","22"
"2017","Unknown","2","7","0","0","0"
"2016","Male","83","289","93","247","19"
"2016","Female","55","25","45","246","30"
"2016","Unknown","1","6","0","0","0"
"2015","Male","89","293","65","153","17"
"2015","Female","67","14","33","152","18"
"2015","Unknown","1","6","1","1","0"
"2014","Male","88","327","104","135","11"
"2014","Female","55","25","45","137","21"
"2014","Unknown","5","10","1","0","0"
