"provider_id","provider_case","provider_name","license_id","current_license_start_date","current_license_end_date","license_type","provider_program_type","address_1","address_2","provider_town","zip_code","phone_number","email_address","county","ahs_district","total_licensed_capacity","infant_licensed_capacity","toddler_licensed_capacity","preschool_licensed_capacity","school_age_licensed_capacity","special_services_status","provider_referral_status","current_stars_level","reported_food_program_participation","accreditation","accreditation_start_date","accreditation_end_date","reported_desired_infant_capacity","reported_desired_toddler_capacity","reported_desired_preschool_capacity","reported_desired_school_age_capacity","reported_infant_vacancies","reported_toddler_vacancies","reported_preschool_vacancies","reported_school_age_vacancies","special_schedule","usual_program_start","usual_program_end","prequalified_prekindgarten_program","prequalified_prekindgarten_start_date","prequalified_prekindgarten_end_date"
"88887","45209","Allen Brook School","32502","2019-11-24T00:00:00.000","2022-11-19T00:00:00.000","Licensed Provider","CBCCPP","497 Talcott Road",,"Williston","5495","8028716236","egagne@cvsdvt.org","Chittenden","BDO","30","0","0","30","0",,"Active","5 Star",,,,,"0","0","30","0","0","0","0","0",,"07:45:00","14:45:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"146979","94811","Brookside Primary School","42897","2020-08-30T00:00:00.000","2023-08-26T00:00:00.000","Licensed Provider","CBCCPP","47 Stowe Street",,"Waterbury","5676","8022447195","sschoolcraft@huusd.org","Washington","MDO","40","0","0","40","0",,"Active","5 Star",,,,,"0","0","40","0","0","0","1","0",,"07:30:00","14:45:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"3685","2628","Calais Elementary Preschool, n Program @ Calais","1617","2020-02-16T00:00:00.000","2023-02-11T00:00:00.000","Licensed Provider","CBCCPP","321 Lightening Ridge Road",,"Calais","5667","8024547777","cfair@u32.org","Washington","MDO","35","0","0","30","5","Yes","Active","5 Star",,,,,"0","0","35","3","0","0","1","0",,"07:30:00","15:30:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"3209","2290","Doty Memorial Preschool","1383","2020-02-16T00:00:00.000","2023-02-11T00:00:00.000","Licensed Provider","CBCCPP","24 Calais Road",,"Worcester","5682","8022235656","gfuqua@u32.org","Washington","MDO","15","0","0","15","0","Yes","Active","5 Star",,,,,"0","0","15","0","0","0","2","0",,"08:45:00","15:30:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"3648","2606","Lamoille South Early Childhood Program @ Morrisville, lle","1594","2019-09-15T00:00:00.000","2022-09-10T00:00:00.000","Licensed Provider","CBCCPP","46 Copley Avenue",,"Morrisville","5661","8028886707","jessica.spencer@lsuu.org","Lamoille","VDO","36","0","0","36","0","Yes","Inactive","5 Star","1",,,,"0","0","36","0","0","0","0","0",,"08:15:00","14:00:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"3650","2607","Lamoille South Early Childhood Program @ Stowe","1595","2019-10-13T00:00:00.000","2022-10-08T00:00:00.000","Licensed Provider","CBCCPP","254 Park Street",,"Stowe","5661","8022534154","nina.slade@lsuu.org","Lamoille","VDO","12","0","0","12","0","Yes","Inactive","5 Star",,,,,"0","0","12","0","0","0","0","0",,"08:00:00","14:30:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"75383","36336","Richmond Elementary Preschool","23466","2019-12-22T00:00:00.000","2022-12-17T00:00:00.000","Licensed Provider","CBCCPP","125 School Street",,"Richmond","5477","8024342962","kyle.hibbard@mmuusd.org","Chittenden","BDO","45","0","0","45","0","Yes","Active","4 Star",,,,,"0","0","45","0","0","0","0","0",,"07:30:00","14:30:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"175453","114113","Rumney Memorial School Pre-Kindergarten","50576","2020-02-16T00:00:00.000","2023-02-11T00:00:00.000","Licensed Provider","CBCCPP","433 Shady Rill Road",,"Middlesex","5602","8022235429","kmay@u32.org","Washington","MDO","15","0","0","15","0","Yes","Active","4 Star",,,,,"0","0","29","0","0","0","2","0",,"08:45:00","15:45:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"134148","86307","Smilie Preschool Program","39129","2019-10-13T00:00:00.000","2022-10-08T00:00:00.000","Licensed Provider","CBCCPP","2712 Theodore Roosevelt Hwy",,"Bolton","5676","8024342962","kyle.hibbard@mmuusd.org","Chittenden","BDO","15","0","0","15","0",,"Active","4 Star","1",,,,"0","0","15","0","0","0","0","0",,"07:30:00","14:30:00","Prequalified PreK Program - Public School","7/1/2021","6/30/2024"
"267988","194587","Underhill I.D","72499","2021-09-12T00:00:00.000","2022-08-22T00:00:00.000","Licensed Provider","CBCCPP","10 River rd",,"Jericho","5465","8024342962","kyle.hibbard@mmuusd.org","Chittenden","BDO","30","0","0","30","0",,"Active","5 Star","1",,,,"0","0","30","0","0","0","0","0",,"07:30:00","14:30:00","Prequalified PreK Program - Public School","1/11/2021","6/30/2024"
