"service_provider_id","organization_name","description_of_services","populations_served","eligibility","counties_served","resource_categories","service_areas_detail","website","how_to_access_resources","days_of_operation","email_address","hours_of_operation","notes"
"2","Central Vermont Council on Aging","Provides confidential consultations by trained professional case managers and in-home/pre-dismissal hospital assessments for eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite and in-home services. Provides assistance with filling out forms for submission. Case managers also work with the VA in assisting veterans with applying for the Veterans Independence Program.","Mature Adults;Persons with Disabilities;Veterans","Adults 60+; Spouse. Individuals younger than 60 years who are disabled may receive case management services in very specific instances.","Lamoille;Orange;Washington","Federal and State Benefits;Information and Referral","Washington, Lamoille, and Orange Counties (except for Thetford); Neighboring towns of Rochester, Hancock, South Royalton, Strafford, Bethel, Granville, Pittsfield, Stockbridge, and Sharon","#http://cvcoa.org/#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@cvcoa.org#mailto:info@cvcoa.org#","8:30 am - 4:30 pm","Benefits screening & forms/application assistance."
"3","Southwestern Vermont Council on Aging","Provides case managers to work with people in their homes to enable and promote independence, assess individual situations, and develop service plans. Activities may include benefits counseling, service coordination, and ensuring elder rights.","Mature Adults;Persons with Disabilities","Adults Age 60 and Older; Adults Age 18 and Older with Disabilities who are on the Choices for Care program.","Bennington;Rutland","Federal and State Benefits;Information and Referral","Bennington and Rutland Counties","#https://www.svcoa.org/#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","infoandassistance@svcoa.org#mailto:infoandassistance@svcoa.org#","8:00 am - 4:00 pm","Benefits screening."
"4","Age Well","Provides long and short-term Care and Service coordination, and wellness benefits counseling in the senior's home or setting of choice. Trained, professional case managers educate seniors and caregivers about the services and programs available in the community based on their individual needs and goals, and help them access the services that will support their goals. Care and Services Coordinators provide confidential, in-home assessments of eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite, and in-home services. Care and Service Coordinators can assist with applications, provide service coordination and monitoring, and ensure elder rights. Wellness counselors can also provide a HomeMeds medication reconciliation and falls risk assessment in the home.","Mature Adults;Persons with Disabilities","Adults Age 60 and Older and their spouse; Adults Under Age 60 who qualify for Choices for Care Medicaid Waiver Program.","Addison;Chittenden;Franklin;Grand Isle","Federal and State Benefits;Information and Referral","Chittenden, Franklin, Grand Isle Counties and Addison County except the towns of Granville and Hancock.","#https://www.agewellvt.org/#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@agewellvt.org#mailto:info@agewellvt.org#","8:30 am - 5:00 pm","Translation services available"
"5","Northeast Kingdom Council on Aging","Provides confidential consultations by trained professional case managers and in-home/pre-dismissal hospital assessments for eligibility for a variety of programs including Medicaid, SSI, food stamps, fuel assistance, housing, transportation, state pharmacy assistance programs, Lifeline telephone credit, respite and in-home services. Provides assistance with filling out forms for submission. Case managers also work with the VA in assisting veterans with applying for the Veterans Independence Program.","Mature Adults;Persons with Disabilities;Veterans","Adults Age 60 and Older, Spouses and Caregivers; Individuals younger than age 60 who are disabled may receive case management services in very specific instances.","Caledonia;Essex;Orleans","Federal and State Benefits;Information and Referral","Caledonia, Essex and Orleans Counties","#http://nekcouncil.org/#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@nevaaa.org#mailto:info@nevaaa.org#","8:30 am - 4:30 pm","Benefits screening and application assistance."
"6","Neighborhood Connections","Provides preventative health care education and referrals for individuals and families. Services include assistance with access to benefit programs, assistance finding housing and employment, home wellness checks, health education and wellness programs, and linkages to health care and to local resources such as volunteer drivers, utlility assistance, and food programs.","Families;Individuals;Mature Adults","Individuals and families.","Windham","Career Resources;Federal and State Benefits;Health Care;Housing and Basic Needs;Information and Referral","Towns of Andover, Chester, Jamaica, Landgrove, Londonderry, South Londonderry, Peru, Weston, Windham, Winhall.","#https://www.neighborhoodconnectionsvt.org/#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","ncinvermont@gmail.com#mailto:ncinvermont@gmail.com#","9:00 am - 5:00 pm","Benefits screening, health care, housing, employment. Appointment preferred, walk-ins could experience wait time or be asked to schedule an appointment."
"7","The Dream Center: Troll House","Provides one-on-one listening support and navigation for a range of government and local services.","General","Adults age 18 and over.","Rutland","Federal and State Benefits;Information and Referral","City and Town of Rutland.","#https://www.dreamcenterrutland.org/troll-house#","Telephone;Walk-In","Monday;Thursday;Tuesday;Wednesday","ljustin8@gmail.com#mailto:ljustin8@gmail.com#","1:00 pm - 4:00 pm",
"8","Senior Solutions","Provides trained professional case managers who work with elders in their home to create and monitor a plan of care that puts into place a variety of services designed to keep the elder safe and healthy. Care plans are centered on the elder's personal values and preferences. Case managers can assist with filling out assistance forms.","Mature Adults;Persons with Disabilities","Adults 60 Years and Older; Individuals younger than 60 years who are disabled may receive case management services in very specific instances.","Bennington;Orange;Windham;Windsor","Federal and State Benefits;Information and Referral","Windham and Windsor Counties; Towns of Searsburg, Readsboro, and Winhall in Bennington County; Town of Thetford in Orange County; Exception: Does not serve towns of Bethel, Rochester, Royalton, and Sharon in Windsor County","#http://www.seniorsolutionsvt.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","information@seniorsolutionsvt.org#mailto:information@seniorsolutionsvt.org#","8:30 am - 4:30 pm","Benefits screening & application assistance."
"32","Northeastern Vermont Regional Hospital Community Connections","Professional Information & Referral staff also assists individuals with determining eligibility for services, completing applications for benefits and insurance forms, and accessing health care.","General",,"Caledonia;Essex","Federal and State Benefits;Health Care;Information and Referral","Caledonia and Southern Essex Counties","#http://nvrh.org/community-connections#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@nvrh.org#mailto:info@nvrh.org#","8:00 am - 4:30 pm; by appointment after hours.",
"9","Valley Health Connections","Provides assistance in navigating Vermont Health Connect, Green Mountain Care and FQHC health care systems to aid clients in obtaining free or subsidized health care through referrals, including: benefit screening and enrollment assistance, dental referrals and assistance in obtaining care, pharmacy vouchers and patient assistance pharmacy programs, eye care referrals, tobacco use screening and cessation program referrals, and physician referrals.","General","Anyone can be screened for programs. Eligibility varies depending on program-specific guidelines.","Windsor","Federal and State Benefits;Health Care","Greater Springfield area.","#https://www.vtccu.org/valley-health-connections.html#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","valleyhealth@vermontel.net#mailto:valleyhealth@vermontel.net#","9:00 am - 4:00 pm",
"10","Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Program dependent.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Federal and State Benefits;Health Care;Housing and Basic Needs;IDAs;Information and Referral","Statewide.","#http://dcf.vermont.gov/mybenefits#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 5:45 pm (3:15 pm Fridays)",
