"stop_no","agency","date_and_time","gender","sex","race","ethnicity","contact1","action_taken1","outcome1","misc_code1","street_address_of_stop","city","officer"
"H713901","406","2020-01-01T08:46:00.000","F","F","W",,"M","NS","W","X","MM 11","ESS","42"
"H713927","406","2020-01-01T08:59:00.000","F","F","W",,"V","NS","W","X","JERICO RD/ CHASE CT","ESS","42"
"H713891","406","2020-01-01T09:55:00.000","F","F","W",,"M","NS","W","X","SUSIE WILSON BYPASS","ESS","42"
"H713958","406","2020-01-01T13:45:00.000","F","F","W",,"M","NS","W","X","38 LINCOLN ST","EXJ","42"
"H713953","406","2020-01-01T13:52:00.000","F","F","W",,"M","NS","W","X","NORTH ST/ LINCOLN ST","EXJ","42"
"830371","406","2020-01-01T14:17:00.000",,"F","W","NHIS","O","NS","T","X","LINCOLN ST @ FIVE CORNERS","EXJ","2"
"H713957","406","2020-01-01T17:21:00.000","F","F","W",,"M","NS","W","X","WEST ST EXT / WEST ST","EXJ","36"
"805596","406","2020-01-01T18:17:00.000",,"F","W","NHIS","M","NS","W","X","MAIN ST & PLEASANT ST","EXJ","47"
"H713952","406","2020-01-02T00:02:00.000","M","M","W",,"V","NS","W","X","EDUCATIONAL DRIVE / CENTRAL ST","EXJ","36"
"H723990","406","2020-01-02T06:09:00.000","M","M","W",,"M","NS","W","X","OLD STAGE RD & CABOT CT","ESS","44"
"H724006","406","2020-01-02T06:50:00.000","F","F","W",,"M","NS","W","X","PROSPECT ST & LINCOLN ST","EXJ","44"
"800985","406","2020-01-02T07:00:00.000",,"F","W","NHIS","M","NS","W","X","i vt 289; mm11","ESS","40"
"H714083","406","2020-01-02T07:39:00.000","M","M","W",,"M","NS","W","X","PEARL ST/ PARK STPEARL ST/ PARK ST","EXJ","42"
"801565","406","2020-01-02T08:42:00.000",,"M","W",,"M","NS","W","X","72 LINCOLN ST","EXJ","2"
"802967","406","2020-01-02T14:54:00.000",,"M","A",,"M","NS","W","X","11 SUMMIT ST","EXJ","36"
