"recid","organizationid","addressline1","addressline2","city","state","zip","phone_numb","shapeid","x","y","addrtype","addrlocat"
"1","2","59 North Main Street","Suite 200","Barre","VT","05641","802-479-0531","0","-72.5017891768392","44.197774896353","place","house"
"2","2","109 Professional Drive","Suite 1","Morrisville","VT","05661","802-888-1393","1","-72.5977896022163","44.5712591942266","place","house"
"5","3","160 Benmont Avenue","90 Benmont Mill","Bennington","VT","05201","802-442-5436","2","-73.2020790530915","42.8838005842596","place","house"
"6","3","143 Maple Street",,"Rutland","VT","05701","802-786-5990","3","-72.9856267912493","43.6113012643456","place","house"
"7","4","76 Pearl Street","Suite 201","Essex Junction","VT","05452","802-662-5271","4","-73.1194948","44.4935276","shop","clothes"
"8","5","82 Maple Street",,"Island Pond","VT","05846","802-748-5182","5","-71.8843181041984","44.8175852945356","place","house"
"9","5","4 Slapp Hill",,"Hardwick","VT","05843","802-748-5182","6","-72.3607598744373","44.5049252345624","place","house"
"10","5","481 Summer Street","Suite 101","Saint Johnsbury","VT","05819","802-748-5182","7","-72.0212930774843","44.4223880503131","place","house"
"13","7","197 West Street",,"Rutland","VT","05701","802-558-6521","8","-72.983085877551","43.6076456326531","place","house"
"14","8","38 Pleasant Street",,"Springfield","VT","05156","802-642-5119","9","-72.4800876140069","43.2995787346995","place","house"
"15","9","268 River Street",,"Springfield","VT","05156","802-885-1616","10","-72.4961331600422","43.308126854718","place","house"
"17","11","20 Gable Place",,"Barre","VT","05641","802-479-1053","11","-72.5076751317829","44.1997082753187","place","house"
"20","11","Waitsfield United Church of Christ","4335 Main Street","Waitsfield","VT","05763","802-496-6900","12","-72.8233605023146","44.1904996","amenity","place_of_worship"
"21","12","54 Creek Road",,"Middlebury","VT","05753","802-388-2285","13","-73.1602685071768","44.0034613583296","place","house"
"22","13","244 South Champlain Street",,"Burlington","VT","05401","802-863-6248","14","-73.2167487577768","44.4727298798109","place","house"
"23","14","255 South Champlain Street","Suite 9","Burlington","VT","05401","802-660-3451
802-660-3455 (mobile home project)","15","-73.2169667504495","44.4725098761512","place","house"
"25","16","Route 2","Saint Joseph's Church","Grand Isle","VT","05458","802-527-7392","16","-73.2923538","44.7225436","boundary","administrative"
"26","17","53 Main Street",,"Richford","VT","05476","802-524-576","17","-72.6735830133064","44.9938166751948","place","house"
"27","18","255 South Champlain Street",,"Burlington","VT","05401","802-860-1417
800-287-7071","18","-73.2169667504495","44.4725098761512","place","house"
"28","19","5 Lemnah Drive",,"Saint Albans","VT","05478","800-300-7392
802-527-7392","19","-73.0910101013361","44.8035891391465","place","house"
"29","20","70 Main Street",,"Newport","VT","05855","802-334-7316
800-639-4065","20","-72.209039","44.935875","highway","primary"
"30","21","115 Lincoln Street",,"Saint Johnsbury","VT","05819","802-748-6040
888-748-6040","21","-72.0000166035797","44.4201322098631","place","house"
"32","23","7 Mill Street",,"Hardwick","VT","05843","888-748-6040
802-472-3183","22","-72.3658485320406","44.504345079718","place","house"
"34","25","70 Main Street",,"Newport","VT","05855","802-334-7316","23","-72.209039","44.935875","highway","primary"
"35","26","108 Cherry Street",,"Saint Johnsbury","VT","05819","802-274-6334","24","-72.0174420176758","44.4195309008882","place","house"
"36","27","73 Main Street",,"Fair Haven","VT","05743","802-265-3666","25","-73.2653291390493","43.5930019152073","place","house"
"37","28","136 Church Street",,"Lyndonville","VT","05851","802-626-3228","26","-72.0024166699747","44.536549266515","place","house"
"38","29","282 Boardman Street","John V. Craven Community Services Center","Middlebury","VT","05753","802-388-3608","27","-73.133951","44.000517","highway","residential"
"41","32","55 Sherman Drive",,"Saint Johnsbury","VT","05819","802-748-7526","28","-72.0120554308261","44.4468351972235","place","house"
"43","34",,,"West Dummerston","VT","05358","802-257-5800","29","-72.6135869","42.928463","place","hamlet"
"44","35","10 East Allen Street",,"Winooski","VT","05404","802-655-9602","30","-73.1848597","44.4911645","office","company"
"45","36","15 State Street",,"Montpelier","VT","05601","802-223-1448","31","-72.5757643099654","44.2602786291155","place","house"
"46","37","1 Railroad Avenue",,"Windsor","VT","05089","802-67-2900","32","-72.590426","43.268003","highway","residential"
"47","38","5 Perry Street","McFarland State Office Building Suite 200","Barre","VT","05641","802-476-2600 
802-476-2638 TTY","33","-72.4983770898116","44.1942495169356","place","house"
"48","38","200 Veterans Memorial Drive","Suite 2","Bennington","VT","05201","802-442-6376
802-447-2717 TTY","34","-73.1979796798035","42.8879687546196","place","house"
"49","38","28 Vernon Street","Marlboro College Graduate Center Suite 212","Brattleboro","VT","05301","802-254-4555 
802-257-2872 TTY","35","-72.550665","42.842215","highway","secondary"
"50","38","63 Pearl Street",,"Burlington","VT","05401","802-863-7676 
802-863-7679 TTY","36","-73.2177314409689","44.4802109220069","place","house"
"52","38","197 Harrel Street",,"Morrisville","VT","05661","802-888-4545
802-888-2541 TTY","37","-72.5936035033106","44.5687347877031","place","house"
