"code","organization_name","phone_number","website_address","contact_email","organizational_description","umbrella","county_or_counties_served","addison","bennington","caledonia","chittenden","essex","franklin","grand_isle","lamoille","orange","orleans","rutland","washington","windham","windsor"
"01-200","United Way of Addison County","802-388-7189","www.unitedwayaddisoncounty.org","info@unitedwayaddisoncounty.org","United Way of Addison County mobilizes the compassion and generosity of individuals and organizations to improve lives and strengthen Addison County. We currently fund and support 32 life changing programs that enhance the education, financial stability, and physical and mental health of those who live and work in Addison County.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-210","ACTR, a division of Tri-Valley Transit","802-388-2287","actr-vt.org","jim@trivalleytransit.org","ACTR enhances the economic, social and environmental health of the region by providing public transportation services for everyone that are safe, reliable, accessible and affordable.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-220","Age Well","802-865-0360","https://www.agewellvt.org/","swool@agewellvt.org","Age Well's services meet the diverse needs of clients, families, and caregivers of the aging of population of Northwestern Vermont. We believe that health happens at home and focus on lifestyle and wellness.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-230","Alzheimer's Association, Vermont Chapter (Alzheimer's Disease And Related Disorders Association, Inc.)","802-316-3839","https://alz.org/vermont","jmitchell@alz.org","The leading voluntary health organization in Alzheimer's care, support and research; 24/7 Helpine, care consultations, support groups and education programs are provided free of charge.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-240","Charter House Coalition","802-989-9746","http://www.charterhousecoalition.org","charterhouseinformation@gmail.com","Charter House Coalition (CHC) is a growing community of volunteers in Addison County who provide meals for those who are food insecure, housing for individuals and families who need shelter, and a sense of community and opportunity for personal growth for all who enter our open door.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-250","Governor's Institutes of Vermont","802-865-4448","http://www.giv.org","karen@giv.org","Changing hundreds of Vermont teenagers’ lives each year through low-cost, world-class academic and artistic enrichment residencies on college campuses. GIV serves students from every Vermont high school and every possible background with mentorship, social support, academic skill-building and career exposure.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-260","Living Well Residence","802-453-3946","https://livingwellgroup.org/location/living-well-residence-bristol-vermont/","jlavallee@livingwellresidence.org","Living Well Residence is a nonprofit Level III care facility located in Bristol, providing a safe, and enriching home-like setting for residents living with dementia who can no longer function alone at home.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-270","Local  Motion Inc","802-861-2700 Ext 101","www.localmotion.org","giving@localmotion.org","Statewide advocacy organization making biking and walking a way of life across Vermont. Operates the Island Line Bike Ferry, Trailside Center bike rentals and Valet Bike Parking; Holds workshops/trainings to educate children/adults in bike safety; Works with communities and advocate for better bike/walk infrastructure; Influences state policy.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-280","MENTOR Vermont","802-658-1888","https://www.mentorvt.org","chad@mentorvt.org","MENTOR Vermont provides resources and support to youth mentoring programs in Vermont so they can meet the needs of young people in their communities. Our vision is that every young person in Vermont has the supportive mentoring relationships they need to grow and develop into thriving, productive, and engaged adults.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-290","Michael Zemanek Memorial Foundation, Inc. (MZMF)","802-272-4934","http://www.MZMF.ORG","mzmf2014@gmail.com","We provide financial support to widows/ers and half-orphaned children who are faced with situations, which poise a significant financial hardship for their immediate family of sworn Vermont Law enforcement officers who have died.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-300","Mountain Health Center","802-453-5028","www.mountainhealthcenter.com","outreach@mountainhealthcenter.com","A Federally Qualified Health Center which provides full spectrum preventative and primary care to people of all ages, regardless of insurance status or ability to pay. Healthcare with skill, compassion, and respect; lowering barriers to affordable care, delivering broad-based services including preventative, dental, mental and primary health care.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-310","National Alliance on Mental Illness of Vermont (NAMI Vermont)","802-876-7949","http://www.namivt.org","info@namivt.org","NAMI Vermont (National Alliance on Mental Illness of Vermont) is a small grassroots organization dedicated to improving the lives of individuals and families affected by mental illness or mental health challenges. NAMI Vermont focuses on three cornerstones of activity: advocacy, education and support.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-320","Outright Vermont","802-865-9677","http://www.outrightvt.org","dana@outrightvt.org","Outright Vermont improves the lives of LGBTQ+ youth by providing comprehensive statewide initiatives that focus on: developing self and peer connections, strengthening families, and transforming schools, communities, and systems.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-330","STARBASE Vermont, Inc.","802-660-5201","https://starbasevt.org","dan@starbasevt.org","Serves at-risk Vermont youth with hands-on learning to inspire greater student interest, knowledge, and skills in science, technology, engineering, and math (STEM).  Activities also improve problem solving, team-building, and healthy choices.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-340","The Open Door Clinic, Community Health Services of Addison County","802-388-0137","https://opendoormidd.org","hsulis@opendoormidd.org","The Open Door Clinic is a free clinic that provides healthcare, including dental and mental health care services, to uninsured and under-insured adults who meet financial guidelines. We also employ a health insurance specialist to help all community members find an insurance plan that best fits their needs.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-350","Turning Point Center of Addison County","802-388-4249","https://turningpointaddisonvt.org/","tcacvt@yahoo.com","Providing peer-based recovery support to all; we seek to enhance the spiritual, mental, physical, and social growth of our community affected by substance use disorders and addictive behaviors.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"12-760","Vermont Family Network","1-800-800-4005","https://www.vermontfamilynetwork.org","info@vtfn.org","VFN serves all VT families of children with special needs.","Green Mountain United Way","Caledonia, Essex, Orange, Orleans, Washington, Windsor",,,"x",,"x",,,,"x","x",,"x",,"x"
"01-360","Vermont Adult Learning","800-322-4004","http://www.vtadultlearning.org","halcohen@vtadultlearning.org","Vermont Adult Learning provides the estimated 42,000 adult Vermonters who didn’t complete high school, the opportunity to earn their diplomas.  This paves the way to better opportunities for employment and for sustainable, long term improvement of overall quality and betterment of life for themselves, their families, and their communities.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-370","Vermont Bar Foundation","802-223-1400","https://vtbarfoundation.org/","dbailey@vtbarfoundation.org","The Vermont Bar Foundation supports essential legal services by awarding grants to law related programs that provide civil legal services to low-income Vermonters or educate the public about the courts and legal matters.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-380","Vermont Catholic Charities, Inc.","802-658-6111","www.vermontcatholic.org","charities@vermontcatholic.org","Vermont Catholic Charities is a state wide social service 
organization that provides support services to individuals, families and the elderly including emergency aid, counseling, residential care homes","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-390","Vermont Foodbank","802-476-3341","https://www.vtfoodbank.org","jwilliams@vtfoodbank.org","As Vermont's largest hunger relief organization, we help to feed 153,000+ Vermonters annually and provide food and nutrition programs in schools, hospitals, and seniors centers.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
"01-400","Vermont Natural Resources Council","802-223-2328","http://vnrc.org","info@vnrc.org","Through research, education, and advocacy, VNRC protects and enhances Vermont’s natural environments, vibrant communities, working landscapes, rural character, and unique sense of place.","United Way of Addison County","Addison","x",,,,,,,,,,,,,
