"id","reporting_agency","report_number","date","street_address","town","number","number1","number2","number3","intersection","distance_from_intersection","distance_1","posted_speed","direction_of_collision","direction_from_intersection","easting","northing","mile_marker","mile_marker_1","mile_marker_2","aot_roadway","aot_route","aot_actual_mile","lrs_number","how_mapped","crash_type","location_1"
"9804","VTVSP1100","12D305698","2012-12-31T00:00:00.000","I 89SB","Sharon","NO DATA","NO DATA","NO DATA","89","MM15","2","Miles","65.00000000","2 - Head On","North","500859","142730","NO DATA","NO DATA","NO DATA","State System (State Highways and Class I TH links)","I-89","999.99000000","NO DATA","XY","Injury","(43.78480462, -72.48932937)"
"85","VTVSP0700","12A200166","2012-01-14T00:00:00.000","I-89 N","Swanton","NO DATA","NO DATA","NO DATA","89","OFF RAMP","10","Feet","65.00000000","1 - Rear End","NO DATA","452148","269302","NO DATA","NO DATA","NO DATA","Ramp or Spur","I-89","0.14900000","I089-0000NR021C","LRS","Property Damage Only","(44.92246172, -73.10659667)"
"1076","VTVSP0200","12B104124","2012-12-16T00:00:00.000","River Road","Victory","1","NO DATA","NO DATA","NO DATA","Victory Hill Road","0","Miles","99.00000000","6 - Single Vehicle Crash","North","552564","223650","277","517","120","Federal Aid Secondary System (Class 2 TH)","FAS 0277","1.13000000","S02770517","LRS","Injury","(44.51083833, -71.83989916)"
"826","VTVSP0300","12C103685","2012-07-17T00:00:00.000","FAS-143","Mt. Holly","1","NO DATA","NO DATA","NO DATA","Th 59","200","Feet","35.00000000","2 - Head On","North","474125","102756","NO DATA","NO DATA","NO DATA","Federal Aid Secondary System (Class 2 TH)","FAS 0143","1.63000000","S01431112","LRS","Injury","(43.42253279, -72.81999399)"
"4258","VTVSP0600","12C201379","2012-05-20T00:00:00.000","Us Rt 7","Salisbury","NO DATA","NO DATA","7","NO DATA","VT RT 53","NO DATA","NO DATA","50.00000000","1 - Rear End","West","451115","159090","70","117","185","State System (State Highways and Class I TH links)","US-7","2.62000000","U007-0117","LRS","Injury","(43.93046343, -73.10889306)"
"5446","VT0141100","12RY00576","2012-05-31T00:00:00.000","VT-14","Royalton","NO DATA","14","NO DATA","NO DATA","3590 VT Route 14","50","Feet","50.00000000","2 - Head On","North","496685","147150","NO DATA","NO DATA","NO DATA","State System (State Highways and Class I TH links)","VT-14","3.58000000","V014-1416","LRS","Injury","(43.82465976, -72.54113142)"
"6772","VT0060000","12FRC0582","2012-04-04T00:00:00.000","Vt Rt 104","Fairfax","NO DATA","104","NO DATA","NO DATA","Fisher Road","30","Feet","50.00000000","1 - Rear End","East","459564","240786","NO DATA","NO DATA","NO DATA","State System (State Highways and Class I TH links)","VT-104","0.37000000","V104-0604","LRS","Injury","(44.63916477, -72.93266282)"
"7132","VT0041200","12HB00441","2012-05-02T00:00:00.000","Vt┬á Rt 116","Hinesburg","NO DATA","NO DATA","NO DATA","NO DATA","CVU Rd","500","Feet","40.00000000","1 - Rear End","South","450870","204647","NO DATA","NO DATA","NO DATA","State System (State Highways and Class I TH links)","VT-116","5.36000000","V116-0407","LRS","Property Damage Only","(44.33979662, -73.11557196)"
"8505","VTVSP0300","12C106175","2012-11-11T00:00:00.000","US-4","Ira","NO DATA","NO DATA","4","NO DATA","Rest Area","3","Miles","65.00000000","6 - Single Vehicle Crash","East","451643","123834","NO DATA","NO DATA","NO DATA","State System (State Highways and Class I TH links)","US-4","999.99000000","NO DATA","XY","Injury","(43.6131582, -73.09905231)"
"8031","VT0010200","12-67-AC","2012-04-13T00:00:00.000","MILL ST","Middlebury","NO DATA","NO DATA","NO DATA","NO DATA","MUNICIPAL LOT","50","Feet","10.00000000","NO DATA","West","446163","168248","NO DATA","NO DATA","NO DATA","Other Public Roadway (Rest Areas, Shopping Center","Unknown","999.99000000","NO DATA","XY","Property Damage Only","(44.01250445, -73.17139819)"
"10718","VT0140400","12WN00621","2012-05-13T00:00:00.000","456 Hewitt Road","Windsor","NO DATA","NO DATA","NO DATA","NO DATA",,"NO DATA","NO DATA","25.00000000","NO DATA","West",,,"NO DATA","NO DATA","NO DATA","City, Village or Urban Compact Street not in FA Ur","TOWN ROAD 0007","999.99000000","NO DATA","GEOCODE","Injury","(43.47140243, -72.43444936)"
"10938","VT0040700","12SH01712","2012-07-17T00:00:00.000","5476 Dorset St","Shelburne","NO DATA","NO DATA","NO DATA","NO DATA","Bishop Rd","1","Miles","40.00000000","2 - Head On","North",,,"NO DATA","NO DATA","NO DATA","Street or Town Highways in FA Urban Area","Unknown","999.99000000","NO DATA","GEOCODE","Injury","(44.39112986, -73.17675158)"
"1314","VT0040100","2012BU000464","2012-01-06T00:00:00.000","FAU 5038┬á (Pearl Street)","Burlington","NO DATA","NO DATA","NO DATA","NO DATA","Greene St","40","Feet","25.00000000","3 - Same Direction Sideswipe","West","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","Federal Aid Urban System (Class 2 TH's and 3 TH's","PEARL ST., BURLINGTON","0.58000000","S50380403","LRS","Property Damage Only","(44.48060211, -73.20762165)"
"1709","VT0110200","12RL06510","2012-07-07T00:00:00.000","FAU-3054 Stratton Road","Rutland City","NO DATA","NO DATA","NO DATA","NO DATA","Hill Pond Road","NO DATA","NO DATA","35.00000000","1 - Rear End","NO DATA","463146","123852","NO DATA","NO DATA","NO DATA","Federal Aid Urban System (Class 2 TH's and 3 TH's","STRATTON RD., RUTLAND CITY","1.58000000","S30541119","LRS","Injury","(43.61393674, -72.95667517)"
"153","VTVSP0100","12A100075","2012-01-07T00:00:00.000","I 89 N MM 75","Richmond","NO DATA","NO DATA","NO DATA","89","MM 75/75","NO DATA","NO DATA","65.00000000","6 - Single Vehicle Crash","NO DATA","462520","204525","NO DATA","NO DATA","NO DATA","State System (State Highways and Class I TH links)","I-89","75.75000000","I089-0000","LRS","Property Damage Only","(44.39784984, -72.97540401)"
"1973","VT0040300","12SB014842","2012-11-03T00:00:00.000","FAU-5206 Airport Parkway","South Burlington","NO DATA","NO DATA","NO DATA","NO DATA","Dumont Avenue","1","Feet","25.00000000","8 - No Turns, Thru moves only, Broadside ^<","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","Federal Aid Urban System (Class 2 TH's and 3 TH's","AIRPORT PARKWAY, SOUTH BURLINGTON","0.19000000","S52060414","LRS","Property Damage Only","(44.47335592, -73.16444154)"
"1563","VT0040100","2012BU026586","2012-10-15T00:00:00.000","FAU-5014 Colchester Ave","Burlington","NO DATA","NO DATA","NO DATA","NO DATA","Mansfield Ave","NO DATA","NO DATA","99.00000000","1 - Rear End","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","Federal Aid Urban System (Class 2 TH's and 3 TH's","COLCHESTER AVE., BURLINGTON","0.10000000","S50140403","LRS","Property Damage Only","(44.48063497, -73.19863892)"
"1279","VT0130200","12BB09415","2012-12-14T00:00:00.000","FAU-2004 Bridge St","Brattleboro","NO DATA","NO DATA","NO DATA","NO DATA","Depot Street","NO DATA","NO DATA","25.00000000","NO DATA","NO DATA","004-95-310","000-38-993","NO DATA","NO DATA","NO DATA","Federal Aid Urban System (Class 2 TH's and 3 TH's","BRIDGE ST., VT 119, BRATTLEBORO","0.05000000","S20041302","LRS","Property Damage Only","(42.85136792, -72.55642535)"
"1942","VT0040100","2012BU007801","2012-04-01T00:00:00.000","FAU 5040 (Pine Street)","Burlington","NO DATA","NO DATA","NO DATA","NO DATA","Locust St","NO DATA","NO DATA","30.00000000","12 - Left Turn and Thru, Same Direction Sideswipe/Angle Crash vv--","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","Federal Aid Urban System (Class 2 TH's and 3 TH's","PINE ST., BURLINGTON","0.52000000","S50400403","LRS","Property Damage Only","(44.46290608, -73.21468643)"
"789","VTVSP0200","12B103100","2012-09-22T00:00:00.000","I 93 S","Waterford","NO DATA","NO DATA","NO DATA","93","New Hamphire Border, VT Rt 18","0","Miles","65.00000000","6 - Single Vehicle Crash","North","547870","206880","930","316","120","State System (State Highways and Class I TH links)","I-93","1.29000000","I093-0000S","LRS","Property Damage Only","(44.36063879, -71.89957612)"
"299","VT0040100","2012BU026485","2012-10-14T00:00:00.000","Alt. US-7 No Winooski Ave","Burlington","NO DATA","NO DATA","NO DATA","NO DATA","Grant","NO DATA","NO DATA","25.00000000","1 - Rear End","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","State System (State Highways and Class I TH links)","BURLINGTON (ALTERNATE US-7)","1.45000000","A007-0403","LRS","Property Damage Only","(44.48228994, -73.21131621)"
"1495","VT0040100","2012BU018398","2012-07-25T00:00:00.000","FAU-5016 (198 East Ave)","Burlington","NO DATA","NO DATA","NO DATA","NO DATA","East Ave","NO DATA","NO DATA","25.00000000","3 - Same Direction Sideswipe","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","Federal Aid Urban System (Class 2 TH's and 3 TH's","EAST AVE., BURLINGTON","0.31000000","S50160403","LRS","Property Damage Only","(44.4770207, -73.19130301)"
