"department","department_acronym","division","title","servicedescription","servicearea","servicearea2_sub","customerdescription","customerdetail","requiredfees","requiredfeesother","service_federally_mandated","service_federally","service_completed_by_dep","service_completed_by_depother","otherdepartments","delivery_method_walk_in","delivery_method_phone","delivery_method_mail","delivery_method_text","delivery_method_internet","delivery_method_other","delivery_method_other_text","serviceurl","servicephone","helptoservewalkin","helptoservephone","helptoserveinternet","helptoserveother","departmentserveinperson_high","departmentserveinperson_low","digitalmaturity","receivecustomerinformation","receivecustomerinformati","applicationtorecord","technologyreplacement","technologyreplacementdetail","tabulardata","tabulardataother","rawdatamadeavailable","rawdatamadeavailableother","vulnerablepop1","vulnerablepop2","jobs","sub_cat2"
"Academy of Sciences","SCI",,"Academy Relief Fund",,"Arts, Culture, and Community Building","Grants and Funding","Resident",,"Other",,,,,,,"false","false","false","false","true",,,,,"777","99","88","999",,,,,,,"No, we have no plans to replace system. System enhancements are sufficient",,,,,,,,,
"Academy of Sciences","SCI",,"Membership",,"Arts, Culture, and Community Building","Events & Attraction Services","Resident",,,,,,,,,"true","true","false","false","true",,,,,,,,,,,,,,,,,,,,,,,,
"Academy of Sciences","SCI",,"Tickets",,"Arts, Culture, and Community Building","Events & Attraction Services","Resident;#Visitor",,,,,,,,,"true","false","false","false","true",,,,,,,,,,,,,,,,,,,,,,,,
"Adult Probation","ADP","Reentry Division","CASC:  Reentry Center","the CASC is a behavioral health focused, one-stop, multi-services reentry center","Public Safety & Justice","Case Services","Resident;#Other","Any justice-involved adult who lives in San Francisco","No",,"No",,"Yes",,"Yes","true","true","false","false","false","true","By referral","https://sfgov.org/adultprobation/reentry-division","415-489-7300",,,,,,,"3","Other","Excel","Excel","Yes, within 1-2 Years","We need a comprehensive database that collects client-level information, sends and tracks referrals, demographics, and program deliverables","Other","Excel",,"Excel","true","Re-entry population","Null",
"Adult Probation","ADP","Reentry Division","Case Management:  Senior Ex-Offender Program","Reentry case management services to clients of the Adult Probation Department","Public Safety & Justice","Case Services","Resident;#Other","Clients of the Adult Probation Department","No",,"No",,"Yes",,"Yes","true","true","false","false","false","true","By referral","https://sfgov.org/adultprobation/reentry-division","415-489-7308",,,,,,,"3","Other","Excel","Excel","Yes, within 1-2 Years","We need a comprehensive database that collects client-level information, sends and tracks referrals, demographics, and program deliverables","Other","Excel","Other: please describe","Excel","true","Re-entry population","Null",
"Adult Probation","ADP","Reentry Division","Housing Services: RSN CW Hotel CCP Emergency Stabilization Units","Emergency stabilization housing program for justice-involved adults released from jail before their case is adjudicated","Public Safety & Justice","Case Services","Resident;#Other","Justice involved adults released from San Francisco County jail prior to having their criminal case adjudicated","No",,"No",,"Yes",,"Yes","false","false","false","false","false","true","By referral","https://sfgov.org/adultprobation/reentry-division","415-241-4265",,,,,,,"3","Other","Excel","Excel","Yes, within 1-2 Years","We need a comprehensive database that collects client-level information, sends and tracks referrals, demographics, and program deliverables","Other","Excel","Other: please describe","Excel","true","Re-entry population","Housing","Housing Assistance"
"Adult Probation","ADP","Reentry Division","Employment Services:  CASC/Goodwill Employment Services Program","Employment placement and retention program for justice-involved adults who live in San Francisco","Public Safety & Justice","Case Services","Resident;#Other","Clients of the Adult Probation Department and justice involved adults who live in San Francisco","No",,"No",,"Yes",,"Yes","true","false","false","false","false","true","In-person/Referral","https://sfgov.org/adultprobation/casc-employment-services","415-241-4269",,,,,,,"3","Other;#Fillable PDF","Excel","Excel","Yes, within 1-2 Years","We need a comprehensive database that collects client-level information, sends and tracks referrals, demographics, and program deliverables","Other","Excel","Other: please describe","Excel","true","Re-entry population","Jobs","Workforce Development"
"Adult Probation","ADP","Intensive Supervision Services","Supportive Service:  Fathers Matter (Fatherhood Program)","A fatherhood program for clients of the Adult Probation Department","Public Safety & Justice","Case Services","Resident;#Other","Clients of the Adult Probation Department","No",,"No",,,,"Yes","false","false","false","false","false","true","By referral","https://sfgov.org/adultprobation/hoj-ipo-interrupt-predict-and-organized-program-tay-unit","415-241-4230",,,,,,,"3","Not Applicable. No customer information recorded.",,,"Yes, within 1-2 Years","We need a comprehensive database that collects client-level information, sends and tracks referrals, demographics, and program deliverables",,,,,"true","Re-entry population",,
"Adult Probation","ADP","Reentry Division","Education:  Five Keys Schools and Program","Educational services for justice-involved adults","Public Safety & Justice","Case Services","Resident;#Other","Clients of the Adult Probation Department and other ustice involved adults who live in San Francisco","No",,"No",,"Yes",,"Yes","true","false","false","false","false","true","By referrral","https://sfgov.org/adultprobation/reentry-division","415-489-7300",,,,,,,"3","Other","Excel",,"Yes, within 1-2 Years","We need a comprehensive database that collects client-level information, sends and tracks referrals, demographics, and program deliverables","No",,"Other: please describe","Excel","true","Re-entry population",,
"Adult Probation","ADP","Reentry Division","Housing Services: THC New Horizons Transitional Housing Program","Transitional housing program for clients of the Adult Probation Department","Public Safety & Justice","Case Services","Resident;#Other","Clients of the Adult Probation Department","No",,"No",,"Yes",,"Yes","false","false","false","false","false","true","By referral","https://sfgov.org/adultprobation/reentry-division","415-241-4265",,,,,,,"3","Other","Excel","Excel","Yes, within 1-2 Years","We need a comprehensive database that collects client-level information, sends and tracks referrals, demographics, and program deliverables","Other","Excel","Other: please describe","Excel","true","Re-entry population","Housing","Housing Assistance"
"Adult Probation","ADP","Reentry Division","Pre-Release Services:  Reentry Pod","Pre-release services for clients of the Adult Probation Department and other justice-involved adults who are in the San Francisco County Jail","Public Safety & Justice","Case Services","Resident;#Other","Clients of the Adult Probation Department and other justice-involved adults who are in the San Francisco County Jail","No",,"No",,"Yes",,"Yes","false","false","false","false","false","true","By referral","https://sfgov.org/adultprobation/reentry-division","415-241-4265",,,,,,,"3","Other","Excel","Excel","Yes, within 1-2 Years","We need a comprehensive database that collects client-level information, sends and tracks referrals, demographics, and program deliverables","Other","Excel","Other: please describe","Excel","true","Re-entry population",,
"Public Health","DPH","Healthy San Francisco","Changing medical homes",,"Social & Health Services","Mental & Health Services","Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adult Probation","ADP","Victim Restitution","Restitution","Outreach to victims of crime to determine restitution requests and, if applicable assist in submitting the request to court.","Public Safety & Justice","Case Services","Resident;#Other;#Business;#Visitor","Victims of a crime who experience a financial loss.","No",,"Yes",,"No",,"Statutorily mandated service.","true","true","true","false","false","true","E-mail. Walk-ins were very rare prior to COVID.","https://sfgov.org/adultprobation/victim-service","415-553-1706","0","1","1","1","300","175","2","Paper;#Custom Form;#Fillable PDF;#Email;#Other","Phone. Fax.","Ctag - Probation Case Management System. Paper files.","Yes, within 1-2 Years","Ctag CMS system is outdated and does not meet APD's operational needs and does not support best practices in probation case management. Victims' information is confidential.","Yes",,"Through a report generation interface with data export options (e.g. csv, excel, XML, etc.);#Through direct access to the underlying database",,,,,
"Arts Commission","ART",,"Grant Appeals",,"Administration & Records","Public Meetings & Appeals","Resident","Grant Applicants",,,,,,,,"false","false","true","false","false","false",,,,,,,,,,"1",,,,,,,,,,,,,
"Treasurer-Tax Collector","TTX",,"Transient Occupancy Tax (TOT)",,"Business",,,,,,,,,,,"false","false","false","false","true","false",,,,,,,,,,,,,,,,,,,,,,,
"Airport","AIR","Airport Terminal Services","Flight Status","Check the status of a flight","Administration & Records","Microservice","Resident;#Visitor;#Business","Any passenger or family member or acquaintance who needs to determine the status of a flight","No",,"No",,"No",,"Airlines provide fight information and schedules","false","false","false","true","true","false",,"https://www.flysfo.com/flight-info",,"0","0","0","0","100000","1000","4","Not Applicable. No customer information recorded.","Website","The data feed is provided by OAG - no customer information is recorded","No, we have no plans to replace system. System enhancements are sufficient",,"Yes",,"Through direct access to the underlying database;#Through a web service or application programming interface",,,,,
"Airport","AIR","San Francisco Police Department","Lost and Found -Public Areas","Find an item lost in the public areas (Airport Terminals, garages, AirTrain) of the Airport","Administration & Records","Lost & Found","Resident;#Visitor;#Business","Anyone who may have lost an item while in the Airport Terminals excluding security screening  checkpoints or on airline property","No",,"Yes",,"No",,"San Francisco Police Department","true","true","false","false","false","true","Email","https://www.flysfo.com/services-amenities/lost-and-found","650-821-7014","0","0","0","0","0","0","1","Email;#Paper;#Other","Phone",,"No, we have no plans to replace system. System enhancements are sufficient","n/a",,,,,,,,
"Airport","AIR","SFO Museum","Research Services","Schedule a research appointment at the Aviation Library and Archive Collective","Arts, Culture, and Community Building","Events & Attraction Services","Resident;#Visitor;#Business","Any member of the public who wants to make a research appointment to review specific objects/information held in the Aviation Collection.","No",,"No",,"Yes",,"Yes","true","true","false","false","true","true","Email","https://www.sfomuseum.org/aviation-museum-library/research-services","650-821-9909","1","1","1","1","5","0","1","Email;#Paper;#Other","Phone","Outlook and Filemaker Pro","No, we have no plans to replace system. System enhancements are sufficient",,"No",,,,,,,
