"permit_number","contact_type","company_name","street_number","street","street_suffix","state","zipcode","phone","phone2","license_number"
"E200212272259","Contractor","Mcclure Electric Inc","45","Rausch","St","CA","94103","4158645656","4158507071","248877"
"E200212272265","Contractor","Millennium Electric Inc","62","Westlawn Avenue",,"CA","94015-0000","6507557264","4157609699","776534"
"E200212272274","Contractor","Tam's Electric Inc","558","Goettingen","St","CA","94134-0000","4158504939","4158504939","558739"
"E200212302295","Contractor","Sure, Inc.","1728","Ocean","Av","CA","94112-0000","4152212888","4152987298","561658"
"E200302254443","Contractor","Pacific Access Contractors Inc.","937","Industrial","Av","CA","94303-0000","6504942000",,"664633"
"E200302264491","Contractor","S W Electric Co","100","Pinehurst","St","CA","94127-0000","4153085197","4153375322","762831"
"E200212272277","Contractor","Automatic Garage Door","2285","Revere","Av","CA","94124-0000","4156486413","4152980444","671116"
"E200212272280","Contractor","Automatic Garage Door","2285","Revere","Av","CA","94124-0000","4156486413","4152980444","671116"
"E200212302286","Contractor","Summerhill Electric Inc","5230","E-12th","St","CA","94601-0000","5105681685","5104093391","793376"
"E200212302292","Contractor","Brookline Aries Electric","121","Santa Rosa","Av","CA","94112","4152395393","4152395393","273651"
"E200302264536","Contractor","Mc Millan Electric","1950","Cesar Chavez","St","CA","94124-0000","4158265100","4150000000","268179"
"E200302264539","Contractor","Mc Millan Electric","1950","Cesar Chavez","St","CA","94124-0000","4158265100","4150000000","268179"
"E200212302304","Contractor","Acme Home Elevator Inc.","4740","East Second Street",,"CA","94510-0000","7077484490","7073730924","521967"
"E200301022361","Contractor","Ray Tom Construction","1362","Geneva","Av","CA","94112","4155843015","4157161088","524717"
"E200212302307","Contractor","Robert Whiteaker","1819","Polk","St","CA","94109-0000","4155735522","4159330551","570879"
"E200212312310","Contractor","Tri Valley Door Systems Inc","1912","02nd St",,"CA","94550-0000","9253710496",,"733575"
"E200212312316","Contractor","Tri Valley Door Systems Inc","1912","02nd St",,"CA","94550-0000","9253710496",,"733575"
"E200212312319","Contractor","Tri Valley Door Systems Inc","1912","02nd St",,"CA","94550-0000","9253710496",,"733575"
"E200212312322","Contractor","Tri Valley Door Systems Inc","1912","02nd St",,"CA","94550-0000","9253710496",,"733575"
"E200212312313","Contractor","Aznew","5170","Kegan","Ln","CA","94561-0000","9256800793","9253822595","657665"
"E200212312325","Contractor","Mark Olson Electric","1385","Donner","Av","CA","94124","4158223508","4155594094","284499"
"E200212312328","Contractor","Al-Tone Overhead Doors","540","Del Monte Ave","Av","CA","94080","6507553454","4158500329","716940"
"E200212312334","Contractor","Delao Electric Co","617","Moraga","St","CA","94122-0000","4156817011","4157476900","766407"
"E200302264479","Contractor","M S  Electric","315","Baden","St","CA","94131-0000","4155163961","4155163961","770756"
"E200212312343","Contractor","Tom's Construction","2118","Anza","St","CA","94118","5105178773","4152691593","533739"
"E200212312349","Contractor","Dowling Electric","1582","34th","Av","CA","94122-0000","4157133575","4157133575","768020"
"E200302264503","Contractor","Dowling Electric","1582","34th","Av","CA","94122-0000","4157133575","4157133575","768020"
"E200301022355","Others","City Overhead Doors Inc.","5976","Mission","St","CA","94112","6507564226",,"292393"
"E200301022364","Contractor","Center Electrical","655","Adrienne","St","CA","94945-0000","4158981475","4157101398","635075"
"E200301022379","Contractor","Y G Electric Inc","2422","26th","Av","CA","94116-0000","4156022368","4156022368","811211"
"E200301022367","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200302244419","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200302244422","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200302244425","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200302254428","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200302254431","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200302254464","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200302254476","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200302264488","Contractor","Rod Muscio Electrical","901","Palmetto Avenue Suite D",,"CA","94044","6503595360","6502223390","309056"
"E200301022370","Contractor","Joseph T. Hayes","23","Blossom","Dr","CA","94901-0000","4154826003","4159874075","675817"
"E200301022373","Contractor","Joseph T. Hayes","23","Blossom","Dr","CA","94901-0000","4154826003","4159874075","675817"
"E200302254467","Contractor","Specialty Electrical Contractors Inc","2380","35th Ave",,"CA","94116-0000","4154682575","4158678629","676590"
"E200301022391","Contractor","Ruby Plumbing & Electrical","1234","Geneva","Av","CA","94112-0000","4153379133","4153379133","748426"
"E200302244404","Contractor","A L V Construction Inc","526","Vera","Av","CA","94061-0000","6502988820","6506700804","779131"
"E200302244413","Contractor","A M Rocca Inc.","4722","Mission","St","CA","94112-0000","4152390484","4154254789","757461"
"E200302254434","Contractor","B B J   Electric, Inc","1661","Innes","Av","CA","94124-0000","4155991499","4157402854","670906"
"E200302254437","Contractor","P & L Electric Co","816","Ellis","Dr","CA","94015","6509973292",,"424079"
"E200302254440","Contractor","Kerr Electric Service","157","Elsbree Circle",,"CA","95492-0000","7078383152","7079758747","532205"
"E200302254446","Contractor","American Building Cont.","2367","47th","Av","CA","94116","4152544717",,"567562"
"E200302254449","Contractor","Kevin Dorgan Electrical","701","Athens","St","CA","94112-0000","4153125051","4153125051","711943"
"E200302254455","Contractor","Cupertino Electric Inc.","1740","Cesar Chavez","St","CA","94124-0000","4158508145","4158508145","174637"
"E200302254458","Contractor","Ferrera Electric Inc.","108","Wayland","St","CA","94134","4154682248","4158602248","355775"
"E200302254461","Contractor","Rainbow Choy Hung & Co","2674","22nd","Av","CA","94116","4155646147","4153095088","380786"
"E200306028632","Contractor","Rainbow Choy Hung & Co","2674","22nd","Av","CA","94116","4155646147","4153095088","380786"
"E200302254473","Contractor","Redwood Electric Group Inc","2775","Northwestern Pkwy",,"CA","95051-0000","4084504800","4084504847","318433"
"E200302264485","Contractor","C B F Inc","675","Davis","St","CA","94111-1403","4154953085","4153857390","335873"
"E200302264506","Contractor","The Electrician","39","Guerrero","St","CA","94103","4152528574","4155738582","394787"
"E200302264515","Contractor","Mal Rogers Electric","201","Laidley","St","CA","94131-0000","4156471817","4155192780","701032"
"E200302264521","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200302264524","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200302264530","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200302264533","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200302264527","Contractor","Benchmark Construction","60","Hauen","Dr","CA","94014-0000","6509973745","6508260278","724516"
"E200302264542","Contractor","Howard Wong Electric","1423","Clement","St","CA","94118-0000","6509927888","4152159028","678608"
"E200306028629","Contractor","R N R Electric Inc.","814","E 16th","Av","CA","94402-0000","6505778605","6507593662","837858"
"E200306028631","Contractor","R N R Electric Inc.","814","E 16th","Av","CA","94402-0000","6505778605","6507593662","837858"
"E200306028628","Contractor","On-Site Maintenance",,"P.o.box 11506",,"CA","94912-0000","4159789600","4155162840","752883"
"E200306028645","Contractor","The Electrician","39","Guerrero","St","CA","94103","4152528574","4155738582","394787"
"E200306038647","Contractor","Delao Electric Co","617","Moraga","St","CA","94122-0000","4156817011","4157476900","766407"
"E200306038648","Contractor","Delao Electric Co","617","Moraga","St","CA","94122-0000","4156817011","4157476900","766407"
