"landuse","blklot","nameaddr","entitled","beststat","bestdate","units","unitsnet","affordable","affordablenet","section415","aff_target","tenure_type","caseno","descript","dbidesc","total_gsf","net_gsf","cie_exist","cie","cienet","med_exist","med","mednet","mips_exist","mips","mipsnet","pdr_exist","pdr","pdrnet","ret_exist","ret","retnet","restaurant","restaurantnet","visit_exist","visit","visitnet","hotel_room_exist","hotel_room_prop","hotel_room_net","planner","sponsor","contact","contactph","pd","sd","nhood_37","nhood_41","plans","zoning","height_bulk","pda","sud","latitude","longitude","year_","qtr","year_qtr","geocoded_column",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"Resident","5862A027","11 UNIVERSITY ST","1","BP ISSUED","2019-08-20T11:29:41.000","2","1",,"0",,,,,,"LEGALIZE UNIT UNDER ORDINANCE 43-14.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"12 - South Central","9","Excelsior","Portola",,"RH-1(D)","40-X",,,"37.73042004","-122.4154201","2019","Q3","2019_Q3","POINT (-122.4154201 37.73042004)","91","91","2","2","25"
"Resident","6604038","647 DUNCAN ST","1","CONSTRUCTION","2019-03-20T00:00:00.000","1","1",,,,,,,,"ERECT 3 STORIES, 2 BASEMENTS, ONE SINGLE FAMILY","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,,"0",,,,,,"EJACKSON",,,,"7 - Central","8","Noe Valley","Noe Valley",,"RH-1","40-X",,,"37.7454019","-122.4343315","2019","Q3","2019_Q3","POINT (-122.4343315 37.7454019)","84","84","9","5","22"
"Resident","6612017","448 VALLEY ST","0","BP Filed","2017-12-18T00:00:00.000","2","2",,"0",,,,,,"ERECT (N) 3-STORY MUTLI-RESIDENTIAL","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"7 - Central","8","Noe Valley","Noe Valley",,"RH-2","40-X",,,"37.74439722","-122.4324368","2019","Q3","2019_Q3","POINT (-122.4324368 37.74439722)","84","84","9","5","22"
"Resident","6129032","701 DARTMOUTH ST","0","BP Filed","2017-04-11T00:00:00.000","1","1",,"0",,,,,,"TO ERECT 3 STORIES , NO BASEMENT, TYPE VB, SINGLE FAMILY DWELLING.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"12 - South Central","9","Visitacion Valley","Portola",,"RH-1","40-X",,,"37.72191823","-122.4097416","2019","Q3","2019_Q3","POINT (-122.4097416 37.72191823)","91","91","2","2","25"
"Resident","6019006","340 NAPLES ST","0","BP FILED","2016-07-06T00:00:00.000","2","1",,,,,,,,"UNIT LEGALIZATION ORD #43-14 & COMPLY W/ NOV 201208941","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,"ADINASEE",,,,"12 - South Central","11","Excelsior","Excelsior",,"RH-1","40-X",,,"37.72339345","-122.4296248","2019","Q3","2019_Q3","POINT (-122.4296248 37.72339345)","90","90","9","1","7"
"Resident","6613048","311 28TH ST","0","BP FILED","2016-09-06T00:00:00.000","1","1",,,,,,,,"ERECT TYPE V, 4 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,"GORDON-J",,,,"7 - Central","8","Noe Valley","Noe Valley",,"RH-2","40-X","J Church and Mission Corridor PDA",,"37.74488186","-122.4296467","2019","Q3","2019_Q3","POINT (-122.4296467 37.74488186)","84","84","9","5","22"
"Resident","1706037","1238 45TH AV","0","BP FILED","2015-10-09T00:00:00.000","2","2",,,,,,,,"TO ERECT A 3 STORIES OF TWO FAMILY DWELLINGS","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,"0","0",,,,,,,,,,"15 - Outer Sunset","4","Outer Sunset","Sunset/Parkside",,"RH-2","40-X","Sunset Corridors PDA",,"37.76345205","-122.504737","2019","Q3","2019_Q3","POINT (-122.504737 37.76345205)","39","39","10","7","35"
"Resident","1872019","1534 27TH AV","0","BP Filed","2019-06-25T00:00:00.000","2","1",,"0",,,,,,"REFERENCE COMPLAINT# 201853206. LEGALIZATION OF DWELLING UNIT PER ORD# 43-14. LEGALIZE KITCHEN INSTA","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"15 - Outer Sunset","4","Outer Sunset","Sunset/Parkside",,"RH-1","40-X","Sunset Corridors PDA",,"37.75877624","-122.4850607","2019","Q3","2019_Q3","POINT (-122.4850607 37.75877624)","39","39","10","7","35"
"Resident","2690031","4615 18TH ST","0","BP Filed","2018-11-01T00:00:00.000","3","1",,"0",,,,,,"PER UNIT LEGALIZATION ORDAINANCE #43-14, LEGALIZE EXISTING KITCHEN, ADD TUB IN (E) HALF BATHRM, ALL","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"7 - Central","8","Castro/Upper Market","Castro/Upper Market",,"RH-2","40-X",,,"37.76021244","-122.4419003","2019","Q3","2019_Q3","POINT (-122.4419003 37.76021244)","115","115","3","5","5"
"Resident","1524018A","2930 ANZA ST","1","CONSTRUCTION","2019-03-21T00:00:00.000","2","1",,,,,,,,"HORIZONTAL EXTENSION ONLY OF ENLARGING AN (E) 2 STORIES. 1 UNIT RES'D BLDG TO A 2 UNITS RES'D BLDG. NO WORK AT FRONT OF BLDG. NO HEIGHT CHANGE. (E) 6 BEDROOMS (N) 6 BEDROOMS (E) 2 BATHS (N) 5 BATHS.","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,"0","0",,,,,,"FARRENSW",,,,"1 - Richmond","1","Outer Richmond","Outer Richmond",,"RM-1","40-X","Richmond Corridors PDA",,"37.77862753","-122.4798842","2019","Q3","2019_Q3","POINT (-122.4798842 37.77862753)","8","8","8","4","29"
"Resident","1524020","2942 ANZA ST","1","CONSTRUCTION","2019-08-30T00:00:00.000","3","1",,"0",,,,,,"LEGALIZE UNIT (UNIT C) ON 1ST FLOOR W/ (1) BEDROOM, (1) MEDIA ROOM, (1) STORAGE, KITCHEN, LIVING ROO","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"1 - Richmond","1","Outer Richmond","Outer Richmond",,"RM-1","40-X","Richmond Corridors PDA",,"37.77861914","-122.4800694","2019","Q3","2019_Q3","POINT (-122.4800694 37.77861914)","8","8","8","4","29"
"MIPS","3763015C","462 BRYANT ST","0","PL FILED","2016-11-20T00:00:00.000",,,,,,,,"2015-010219PRJ","The proposed project is to add five (5) stories of office as well as a green roof and a commonly-accessible rooftop deck. The first-floor office and basement-level will remain. Currently, the Project site contains 13,505 gross square feet (""gsf"") off office use, 9,965 gsf of which will remain. The 3, 540 gsf mezzanine level currently used as office is proposed to be eliminated. The Project will add 49,995 gsf of office at the site, for a total of 63,239 gsf of office. Although the Project will eliminate two off-street parking spaces int he basement, the Property's off-street service vehicle spaces will remain.",,"49995","36490",,,,,,,"13505","49995","36490",,,,,,,,"0",,,,,,,"VBYRD","Reuben, Junius & Rose, LLP","Mark Loper","415-567-9000","9 - South of Market","6","South of Market","Financial District/South Beach","East SoMa (EN); Central SoMa","CMUO","85-X","Eastern Neighborhoods PDA","Central SoMa","37.78214115","-122.3953838","2019","Q3","2019_Q3","POINT (-122.3953838 37.78214115)","32","32","1","10","8"
