"fiscal_year","related_govt_units","organization_group_code","organization_group","department_code","department","program_code","program","character_code","character","object_code","object","sub_object_code","sub_object","fund_type_code","fund_type","fund_code","fund","fund_category_code","fund_category","revenue_or_spending","amount"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","ASG","Medical Examiner","445","Intergovernmental Rev-State","448","State - Other","448923","Peace Officer Training","1G","General Fund","1GAGF","General Fund","3","Continuing Projects","Revenue","5182.06"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","ASG","Medical Examiner","460","Charges For Services","460","Public Safety Service Charges","460690","Medical Examiner Fees","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","181015.22"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","ASM","Medical Examiner - Medical Services","445","Intergovernmental Rev-State","448","State - Other","448929","State Mandated Cost - SB 90","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","12915.00"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","ASM","Medical Examiner - Medical Services","475","Other Revenues","479","Other Non-Operating Revenues","479999","Other Non-Operating Revenue","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","12243.69"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","AUA","Animal Welfare","420","Licenses; Permits & Franchises","420","Other Licenses & Permits","420911","Dog License","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","102959.89"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","AUA","Animal Welfare","460","Charges For Services","460","Humane Services","460501","Public Pound Fee","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","58948.98"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","AUA","Animal Welfare","460","Charges For Services","460","Humane Services","460502","Public Pound Sale Of Animals","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","12028.00"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","AUA","Animal Welfare","460","Charges For Services","460","Humane Services","460503","Public Donation","7E","Expendable Trust Funds","7EGIF","Gift Fund","4","Grants","Revenue","45554.99"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","AUA","Animal Welfare","460","Charges For Services","460","Humane Services","460505","Cat Registration","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","5030.00"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","AUA","Animal Welfare","460","Charges For Services","460","Humane Services","60504","Spay/Neuter Deposit","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","7485.00"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","AUA","Animal Welfare","475","Other Revenues","479","Other Non-Operating Revenues","479999","Other Non-Operating Revenue","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","91.68"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","AXX","No Program Defined","475","Other Revenues","478","Other Operating Adjustments","478902","NSFChecks","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","-440.00"
"1999","No","01","Public Protection","ADM","ADM Gen Svcs Agency-City Admin","XXX","No Program Defined","475","Other Revenues","478","Other Operating Adjustments","478901","Overage(Shortage) Cash Receipt","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","-15.03"
"1999","No","01","Public Protection","ADP","ADP Adult Probation","AKB","Community Services","425","Fines; Forfeitures & Penalties","425","Court Fines-Non Traffic","425210","Court Fines","1G","General Fund","1GAGF","General Fund","1","Operating","Revenue","22409.06"
