"fiscal_year","eff_date","group","job_code","title","union","setid","range_a","range_b","range_c","min_a","max_a","min_b","max_b","min_c","max_c"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0922","Manager I","351","COMMN","0922A","0922B","0922C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0923","Manager II","351","COMMN","0923A","0923B","0923C","53.7875","68.6375","68.6500","79.4500","79.4625","83.4250"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0931","Manager III","351","COMMN","0931A","0931B","0931C","57.9750","74.0000","74.0125","85.6875","85.7000","89.9750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0932","Manager IV","351","COMMN","0932A","0932B","0932C","62.2625","79.4500","79.4625","91.9750","91.9875","96.5750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0933","Manager V","351","COMMN","0933A","0933B","0933C","67.1250","85.6875","85.7000","99.1750","99.1875","104.1500"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0941","Manager VI","351","COMMN","0941A","0941B","0941C","72.0750","91.9750","91.9875","106.4750","106.4875","111.7875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0942","Manager VII","351","COMMN","0942A","0942B","0942C","77.2125","98.5375","98.5500","114.0500","114.0625","119.7625"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0943","Manager VIII","351","COMMN","0943A","0943B","0943C","87.3625","111.4750","111.4875","129.0500","129.0625","135.5125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0951","Deputy Director I","351","COMMN","0951A","0951B","0951C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0952","Deputy Director II","351","COMMN","0952A","0952B","0952C","57.9750","74.0000","74.0125","85.6875","85.7000","89.9750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0953","Deputy Director III","351","COMMN","0953A","0953B","0953C","72.0750","91.9750","91.9875","106.4750","106.4875","111.7875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0954","Deputy Director IV","351","COMMN","0954A","0954B","0954C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0955","Deputy Director V","351","COMMN","0955A","0955B","0955C","87.3625","111.4750","111.4875","129.0500","129.0625","135.5125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0961","Department Head I","351","COMMN","0961A","0961B","0961C","62.2625","79.4500","79.4625","91.9750","91.9875","96.5750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0962","Department Head II","351","COMMN","0962A","0962B","0962C","77.2125","98.5375","98.5500","114.0500","114.0625","119.7625"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0963","Department Head III","351","COMMN","0963A","0963B","0963C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0964","Department Head IV","351","COMMN","0964A","0964B","0964C","94.2500","120.2750","120.2875","139.2375","139.2500","146.2125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","0965","Department Head V","351","COMMN","0965A","0965B","0965C","117.0625","149.3875","149.4000","172.9250","172.9375","181.5750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","1114","Senior Portfolio Manager","351","COMMN","1114A",,,"71.8625","91.7125",,,,
"FY18-19","2018-07-01T00:00:00.000","MCCP","1115","Director","351","COMMN","1115A",,,"87.3625","111.4750",,,,
"FY18-19","2018-07-01T00:00:00.000","MCCP","1116","Managing Director","351","COMMN","1116A",,,"106.1625","135.5125",,,,
"FY18-19","2018-07-01T00:00:00.000","MCCP","1119","Chief Investment Officer","351","COMMN","1119A",,,"126.9375","162.0375",,,,
"FY18-19","2018-07-01T00:00:00.000","MCCP","1160","Executive Assistant to the Airport Director","351","COMMN","1160A","1160B","1160C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","1165","Manager, Department of Public Health","351","COMMN","1165A","1165B","1165C","98.5375","125.7375","125.7500","145.5625","145.5750","152.8500"
"FY18-19","2018-07-01T00:00:00.000","MCCP","1166","Administrator, Department of Public Health","351","COMMN","1166A","1166B","1166C","109.3375","139.5500","139.5625","161.5250","161.5375","169.6125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","1167","Physician Administrator, Department of Public Health","351","COMMN","1167A","1167B","1167C","136.9250","171.1500","171.1625","196.8250","196.8375","226.3375"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8148","Chief District Attorney's Investigator","351","COMMN","8148A","8148B","8148C","72.0750","91.9750","91.9875","106.4750","106.4875","111.7875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8148","Chief District Attorney's Investigator","351","SFMTA","8148A","8148B","8148C","72.0750","91.9750","91.9875","106.4750","106.4875","111.7875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8150","Principal District Attorney's Investigator, Special Unit","351","COMMN","8150A","8150B","8150C","57.9750","74.0000","74.0125","85.6875","85.7000","89.9750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8150","Principal District Attorney's Investigator, Special Unit","351","SFMTA","8150A","8150B","8150C","57.9750","74.0000","74.0125","85.6875","85.7000","89.9750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8315","Assistant Sheriff","351","COMMN","8315A","8315B","8315C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8317","Chief Deputy Sheriff (PERS)","351","COMMN","8317A","8317B","8317C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8330","Director, Log Cabin Ranch","351","COMMN","8330A","8330B","8330C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8344","Director, Juvenile Hall","351","COMMN","8344A","8344B","8344C","53.7875","68.6375","68.6500","79.4500","79.4625","83.4250"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8348","Undersheriff","351","COMMN","8348A","8348B","8348C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8413","Assistant Chief Probation Officer, Juvenile Probation","351","COMMN","8413A","8413B","8413C","72.0750","91.9750","91.9875","106.4750","106.4875","111.7875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8416","Director, Probation Services","351","COMMN","8416A","8416B","8416C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8418","Chief Probation Officer, Juvenile Court","351","COMMN","8418A","8418B","8418C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8435","Division Director, Adult Probation","351","COMMN","8435A","8435B","8435C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8436","Chief Adult Probation Officer","351","COMMN","8436A","8436B","8436C","77.2125","98.5375","98.5500","114.0500","114.0625","119.7625"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8438","Chief Deputy Adult Probation Officer","351","COMMN","8438A","8438B","8438C","57.9750","74.0000","74.0125","85.6875","85.7000","89.9750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8516","Assistant Sheriff (SFERS)","351","COMMN","8516A","8516B","8516C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8517","Chief Deputy Sheriff (SFERS)","351","COMMN","8517A","8517B","8517C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8518","Undersheriff (SFERS)","351","COMMN","8518A","8518B","8518C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
