"cnn","streetname","limits","jobordernum","effectivedate","expirationdate","modifieddate","id","x","y","latitude","longitude","location","point",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"13730000","WOOLSEY ST","BOWDOIN ST to DARTMOUTH ST (800 - 899)","2977J","2022-04-01T00:00:00.000","2027-04-01T00:00:00.000","2022-04-11T09:57:48.000","34852","6009287.77409","2091469.56417","37.72330157541044","-122.41000739523302","
,  
(37.72330157541044, -122.41000739523302)",,,,,,
"13731000","WOOLSEY ST","DARTMOUTH ST to COLBY ST (900 - 999)","2977J","2022-03-31T00:00:00.000","2027-03-31T00:00:00.000","2022-04-11T09:54:08.000","34854","6009000.99143","2091381.65588","37.72304412011837","-122.41099254630903","
,  
(37.72304412011837, -122.41099254630903)",,,,,,
"13732000","WOOLSEY ST","COLBY ST to UNIVERSITY ST (1000 - 1099)","2977J","2022-03-31T00:00:00.000","2027-03-31T00:00:00.000","2022-04-11T09:54:08.000","34856","6008714.5177","2091293.84225","37.72278693382726","-122.41197662933816","
,  
(37.72278693382726, -122.41197662933816)",,,,,,
"20876000","WOOLSEY ST","COLBY ST intersection","2977J","2022-03-31T00:00:00.000","2027-03-31T00:00:00.000","2022-04-11T09:54:08.000","34855","6008857.63845","2091337.71342","37.72291542361495","-122.41148498754468","
,  
(37.72291542361495, -122.41148498754468)",,,,,,
"20868000","WOOLSEY ST","BOWDOIN ST intersection","2977J","2022-04-01T00:00:00.000","2027-04-01T00:00:00.000","2022-04-11T09:57:48.000","34851","6009431.20368","2091513.53005","37.72343033432908","-122.4095146857055","
,  
(37.72343033432908, -122.4095146857055)",,,,,,
"20875000","DARTMOUTH ST","WOOLSEY ST intersection","2977J","2022-03-31T00:00:00.000","2027-03-31T00:00:00.000","2022-04-11T09:54:08.000","10900","6009144.34451","2091425.59826","37.72317281434684","-122.41050010301699","
,  
(37.72317281434684, -122.41050010301699)",,,,,,
"1105000","21ST ST","FOLSOM ST to SHOTWELL ST (3000 - 3049)","10037665","2021-10-13T00:00:00.000","2026-10-13T00:00:00.000","2021-10-18T11:03:21.000","2391","6008072.91009","2103863.7133","37.75726501404239","-122.41508383301647","
,  
(37.75726501404239, -122.41508383301647)",,,,,,
"20876000","COLBY ST","WOOLSEY ST intersection","2977J","2022-03-31T00:00:00.000","2027-03-31T00:00:00.000","2022-04-11T09:54:08.000","9992","6008857.63845","2091337.71342","37.72291542361495","-122.41148498754468","
,  
(37.72291542361495, -122.41148498754468)",,,,,,
"20875000","WOOLSEY ST","DARTMOUTH ST intersection","2977J","2022-03-31T00:00:00.000","2027-03-31T00:00:00.000","2022-04-11T09:54:08.000","34853","6009144.34451","2091425.59826","37.72317281434684","-122.41050010301699","
,  
(37.72317281434684, -122.41050010301699)",,,,,,
"20868000","BOWDOIN ST","WOOLSEY ST intersection","2977J","2022-04-01T00:00:00.000","2027-04-01T00:00:00.000","2022-04-11T09:57:48.000","7061","6009431.20368","2091513.53005","37.72343033432908","-122.4095146857055","
,  
(37.72343033432908, -122.4095146857055)",,,,,,
