"project_id","project_name","project_address","neighborhood","total_units","supervisor_district","affordable_units","project_sponsor","affordable_beds"
"1990-003","William Penn Hotel","94102","Tenderloin","91","6","89","Chinatown Community Development Center","0"
"2017-050","60 28th Street","94110","Noe Valley","6","8","6","Mission Economic Development Agency","0"
"1995-015","Geraldine Johnson Manor","94124","Bayview Hunters Point","54","10","53","Bridge Housing / San Francisco Housing Development Corporation (Bayview Senior Housing)","0"
"1992-014","1028 Howard","94103","South of Market","30","6","30","Mercy Housing California","0"
"2016-032","Garden Court Apartments","94103","Mission","16","9","16","Mission Housing Development Corporation","0"
"2015-012","Pigeon Palace","94110","Mission","6","9","6","San Francisco Community Land Trust","0"
"2006-027","125 Mason Street","94102","Tenderloin","81","6","80","Glide","0"
"2004-030","Mercy Terrace","94117","Lone Mountain/USF","158","5","32","Mercy Housing California / Sisters of Mercy","0"
"1969-001","Martin Luther King-Marcus Garvey Square Cooperative Apartments","94115","Western Addition","211","5","211","Martin Luther King-Marcus Garvey Square Cooperative Apartments, INC.","0"
"1991-007","555 Ellis Street Family Apartments","94109","Tenderloin","38","6","37","Asian Neighborhood Design","0"
"2016-056","3182-3198 24th Street","94110","Mission","8","9","8","Mission Economic Development Agency","0"
"1998-013","Golden Gate Apartments","94115","Japantown","72","5","71","Chinatown Community Development Center","0"
"1993-015","Precita House","94110","Bernal Heights","5","9","5","Bernal Heights Neighborhood Center","0"
"2010-022","Madonna Residence","94102","Tenderloin","70","6","69","Mercy Housing California","0"
"2013-033","990 Pacific Avenue","94133","Chinatown","92","3","91","Chinatown Community Development Center","0"
"1980-002","The Nathan Building","94102","Tenderloin","82","6","66","Indochinese Housing Development Corporation","0"
"2006-025","Richardson Apartments (Parcel G)","94102","Hayes Valley","120","5","120","Community Housing Partnership","0"
"2008-037","Marathon Hotel","94103","Tenderloin","44","6","10","Marathon Hotel & Appartments, LLC","0"
"2000-014","Curran House","94102","Tenderloin","67","6","66","Tenderloin Neighborhood Development Corporation","0"
"1980-007","Tennessee Street Housing Corporation","94107","Potrero Hill","6","10","6","Tennessee Street Housing Corporation","0"
"1989-003","Abel Gonzales Apartments","94110","Mission","30","9","30","Mission Housing Development Corporation","0"
"1995-019","Hazel Betsey","94110","Mission","9","8","9","Bernal Heights Housing Corporation","0"
"2015-051","568-570 Natoma Street","94103","South of Market","5","6","5","San Francisco Community Land Trust","0"
"1996-013","Hotel Isabel","94103","South of Market","75","6","73","TODCO Group","0"
"1999-015","Cameo House","94110","Mission","11","8","11","Center on Juvenile & Criminal Justice","0"
"1987-001","Coleridge Park Homes","94110","Bernal Heights","49","9","49","Bridge Housing","0"
"1982-008","Yosemite Apartments","94109","Tenderloin","32","6","20","Tenderloin Neighborhood Development Corporation","0"
"2012-009","Pacific Pointe","94124","Bayview Hunters Point","60","10","59","Amcal","0"
"2013-026","227 Bay Street","94133","North Beach","50","3","49","Chinatown Community Development Center","0"
"2013-045","Ping Yuen North","94133","Chinatown","200","3","199","Chinatown Community Development Center","0"
"1984-010","South Beach Marina Apartments","94107","Financial District/South Beach","414","6","101","South Beach Marina, Inc.","0"
"1982-009","Swiss American Hotel","94133","North Beach","66","3","65","Chinatown Community Development Center","0"
"2007-020","Octavia Court","94102","Hayes Valley","15","5","14","West Bay Housing Corporation / Satellite Housing","0"
"1988-006","Bayside Elderly Housing","94133","Chinatown","31","3","30","Chinatown Community Development Center","0"
"1981-002","Madrid Hotel","94107","Financial District/South Beach","44","6","44","Mission Housing Development Corporation","0"
"2018-043","65-69 Woodward","94103","Mission","6","9","6","Mission Economic Development Agency","0"
"1994-012","Glenridge Apartments","94131","Glen Park","275","8","273","Glenridge Apartments Residents' Council","0"
"2016-008","Francis of Assisi Community","94103","Mission","54","0","52","Mercy Housing","0"
"2017-002","4042 - 4048 Fulton Street","94118","Outer Richmond","5","1","5","San Francisco Community Land Trust","0"
"2000-008","Pierce Street Apartments","94117","Haight Ashbury","8","5","8","Tenderloin Neighborhood Development Corporation","0"
"1999-019","Maria Manor","94102","Tenderloin","119","6","119","Tenderloin Neighborhood Development Corporation","0"
"1982-004","2945 16th","94110","Mission","8","9","5","Mission Housing Development Corporation","0"
"1987-005","City Heights Apts (aka Avalon Nob Hill)","94109","Nob Hill","185","3","37","Bay Apartment Communities, Inc.","0"
"1992-006","Market Heights","94110","Bernal Heights","46","9","45","Bernal Heights Neighborhood Center","0"
"2012-002","Alice Griffith Phase 2 (Block 4)","94124","Bayview Hunters Point","91","10","90","McCormack Baron Salazar / Double Rock Ventures, LLC","0"
"2013-061","534-536 Natoma St","94103","South of Market","5","6","4","San Francisco Community Land Trust","0"
"1996-012","Presentation Senior Community","94102","Tenderloin","93","6","92","Mercy Housing California","0"
"2004-024","10th & Mission Family Housing","94103","South of Market","136","6","135","Mercy Housing California","0"
"2012-010","Transbay Block 9 Affordable","94105","Financial District/South Beach","311","0","108","BRIDGE Housing / Community Housing Partnership","0"
"2013-041","Westside Courts Public Housing","94115","Japantown","135","5","134","Related Company","0"
"2008-005","The Openhouse Community at 55 Laguna (Richardson Hall)","94102","Hayes Valley","40","8","39","Mercy Housing California","0"
"1984-002","Cadillac Hotel","94102","Tenderloin","158","6","158","Reality House West","0"
"2001-020","Folsom + Dore Apartments","94103","South of Market","98","6","96","Tenderloin Neighborhood Development Corporation","0"
"1997-018","Avalon At Mission Bay (Tower 1)","94107","Mission Bay","510","6","21","AvalonBay Communities Inc.","0"
"1998-022","Chinook Family Apartments","94130","Treasure Island","12","6","12","Swords To Plowshares","0"
"2013-047","3850 18th Street -Mission/Castro - RAD Cluster 6","94114","Castro/Upper Market","107","8","106","Bridge Housing & Mission Economic Development Agency","0"
"2001-015","The Dudley Apartments","94103","South of Market","75","6","74","Mercy Housing California","0"
"2007-004","Rene Cazenave Apts (Transbay Block 11A)","94105","Financial District/South Beach","120","6","120","Community Housing Partnership","0"
"1993-006","Woolsey Apartments","94134","Portola","10","9","9","Bernal Heights Neighborhood Center","0"
"2004-034","Parkview Terraces","94102","Western Addition","101","5","100","Chinatown Community Development Center / Bayside Communities","0"
"1994-008","2300 Van Ness","94109","Russian Hill","22","3","21","Asian, Inc.","0"
"2016-037","Howard Street Apartments","94103","Mission","12","6","12","Tenderloin Neighborhood Development Corporation","0"
"2016-066","3840 Folsom Street","94110","Bernal Heights","4","9","4","Mission Economic Development Agency","0"
