"st_num","st_name","st_type","apn","units","netunits_c","aff_hsg","aff_target","app_no","form","ext_use","prop_use","action","action_date","bp_descript","staff","year","yr_qtr","pln_district_name","supdist","supervisor","height","zoning_sim","zoning_districtname","location"
"1801","WEDEMEYER","ST","APN 1300001","1","1","0",,,"2",,"1 FAMILY DWELLING",,"2010-12-31T00:00:00.000","PRESIDIO LANDMARK 7 3 BR AVAIL OCT 2010","PRESIDIO","2010","2010_Q4","Presidio","SUPERVISORIAL DISTRICT 2","2","OS","P","PUBLIC","(37.7973613042, -122.466436854)"
"1801","WEDEMEYER","ST","APN 1300001","1","1","0",,,"2",,"1 FAMILY DWELLING",,"2010-12-31T00:00:00.000","PRESIDIO LANDMARK 7 3 BR AVAIL OCT 2010","PRESIDIO","2010","2010_Q4","Presidio","SUPERVISORIAL DISTRICT 2","2","OS","P","PUBLIC","(37.7973613042, -122.466436854)"
"3130","PACIFIC","AV","APN 0965005","1","1","0",,"200405214509","2",,"1 FAMILY DWELLING","CFC ISSUED","2007-08-20T00:00:00.000","ERECT A THREE STORY SINGLE FAMILY DWELLING","GCABRERO","2007","2007_Q3","Presidio","SUPERVISORIAL DISTRICT 2","2","40-X","RH-1","RESIDENTIAL- HOUSE, ONE FAMILY","(37.7919883489, -122.446824045)"
"760","TREAT","AV","APN 3612057","0","1","0",,"200208275053","3",,,"CFC ISSUED","2005-07-19T00:00:00.000","PROPOSED ADDITION OF 4TH FLOOR TO AN EXISTING 3 STORY TWO UNIT BUILDING TO ACCOMODATE ONE ADDITIONAL",,"2005","2005_Q3","Mission","SUPERVISORIAL DISTRICT 9","9","40-X","RH-3","RESIDENTIAL- HOUSE, THREE FAMILY","(37.7579720069, -122.413821803)"
"1646","ALABAMA","ST","APN 5526007","2","1","1","SEC","200703277427","8","1 FAMILY DWELLING","2 FAMILY DWELLING","CFC ISSUED","2007-03-29T00:00:00.000","RENEW FOR FINAL 200502286346.",,"2007","2007_Q1","Bernal Heights","SUPERVISORIAL DISTRICT 9","9","40-X","RH-2","RESIDENTIAL- HOUSE, TWO FAMILY","(37.7461340922, -122.410877847)"
"183","SADOWA","ST","APN 7138032","1","1","0",,"200312293131","2",,"1 FAMILY DWELLING","PRE-FINAL","2007-08-10T00:00:00.000","TO ERECT A NEW 2-STORY SINGLE FAMILY DWELLING BUILDING.","TWANG","2007","2007_Q3","Ingleside","SUPERVISORIAL DISTRICT 11","11","40-X","RH-1","RESIDENTIAL- HOUSE, ONE FAMILY","(37.7120445118, -122.458392599)"
"1478","12TH","AV","APN 1842026","1","-1","0",,"200305094260","6","1 FAMILY DWELLING",,"FINAL INSPECT/ APPRVD","2006-09-27T00:00:00.000","DEMOLISH A TWO STORY SINGLE FAMILY DWELLING","DSIROIS","2006","2006_Q3","Inner Sunset","SUPERVISORIAL DISTRICT 7","7","40-X","RH-2","RESIDENTIAL- HOUSE, TWO FAMILY","(37.7606030921, -122.468964236)"
"2964","25TH","ST","APN 4268013","0","3","0",,"200311069625","2",,,"CFC ISSUED","2005-05-02T00:00:00.000","ERECT A FOUR STORY THREE UNIT RESIDENTIAL BLDG",,"2005","2005_Q2","Mission","SUPERVISORIAL DISTRICT 9","9","40-X","RH-3","RESIDENTIAL- HOUSE, THREE FAMILY","(37.7514043406, -122.40944483)"
"1693","ALEMANY","BL","APN 3206014","-1","-1","0",,"200512220924","6","1 FAMILY DWELLING",,"FINAL INSPECT/ APPRVD","2007-12-04T00:00:00.000","TO DEMOLISH 1 STORY SINGLE FAMILY DWELLING BUILDING.","CJAROSLA","2007","2007_Q4","South Central","SUPERVISORIAL DISTRICT 11","11","40-X","RH-1","RESIDENTIAL- HOUSE, ONE FAMILY","(37.724839829, -122.436649322)"
"624","LAGUNA","ST","APN 0807012","0","30","0",,"200303119304","1",,,"TCO ISSUED","2005-08-12T00:00:00.000","ERECT A THREE STORY SENIOR CARE FACILITY",,"2005","2005_Q3","Western Addition","SUPERVISORIAL DISTRICT 5","5","40-X","NCT","HAYES NCT","(37.7770750102, -122.426128725)"
"1396","REVERE","AV","APN 4761013A","2","2","0",,"200410045895","2",,"2 FAMILY DWELLING","FINAL INSPECT/ APPRVD","2006-08-24T00:00:00.000","TO ERECT 3 STORY 2 FAMILY DWELLING UNITS.","SSNYDER","2006","2006_Q3","South Bayshore","SUPERVISORIAL DISTRICT 10","10","40-X","RH-2","RESIDENTIAL- HOUSE, TWO FAMILY","(37.7296530605, -122.386077627)"
"426","31ST","AV","APN 1462039","2","1","1","SEC","200212183817","3","1 FAMILY DWELLING","2 FAMILY DWELLING","CFC ISSUED","2006-09-06T00:00:00.000","HORIZONTAL AND VERTICAL ADDITION OF EXISTING DWELLING (TWO FAMILY) REMODEL EXISTING FLOORS ADD DWELL","GNELSON","2006","2006_Q3","Richmond","SUPERVISORIAL DISTRICT 1","1","40-X","RH-2","RESIDENTIAL- HOUSE, TWO FAMILY","(37.7811777349, -122.490926996)"
"2260","VAN NESS","AV","APN 0571013","2","2","0",,"200208073409","3","FOOD/BEVERAGE HND","2 FAMILY DWELLING","FINAL INSPECT/ APPRVD","2006-08-04T00:00:00.000","PROPOSED VERTICAL ADDITION & ALTERATION TO (E) BLDG., ADD 2 RESIDENTIAL UNITS OVER COMM'L","JMILLER","2006","2006_Q3","Northeast","SUPERVISORIAL DISTRICT 3","3","80-D","RC-3","RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY","(37.7966094078, -122.423178705)"
"179","SADOWA","ST","APN 7138032","1","1","0",,"200312293123","2",,"1 FAMILY DWELLING","PRE-FINAL","2007-08-10T00:00:00.000","ERECT A TWO STORY, SINGLE FAMILY DWELLING BUILDING.","ALARCONS","2007","2007_Q3","Ingleside","SUPERVISORIAL DISTRICT 11","11","40-X","RH-1","RESIDENTIAL- HOUSE, ONE FAMILY","(37.7120445118, -122.458392599)"
"0","HUDSON","AV","APN 4591A076","0","-1","0",,"200506306530","6",,,"FINAL INSPECT/APPRVD","2005-12-16T00:00:00.000","TO DEMOLISH 2 STORIES, 5 UNITS APARTMENT.",,"2005","2005_Q4","South Bayshore","SUPERVISORIAL DISTRICT 10","10","HP-RA","HP-RA","SEE HUNTERS POINT REDEVELOPMENT PLAN","(37.7267842922, -122.370515698)"
"2555","LEAVENWORTH","ST","APN 0045069","23","1","0",,"200508109955","3","APARTMENTS","APARTMENTS","FINAL INSPECT/ APPRVD","2006-07-31T00:00:00.000","UNIT 302 & UNIT 303 - REVERT LAYOUT FROM COMBINED UNIT BACK TO 2 UNITS.REMOVE EXIST KITCHEN AND INSTALL 2 NEW ONES. ADD 1 NEW BATH, 
& REMODEL 3 EXIST BATHROOMS. NO STRUCTURAL NOR EXTERIOR ALTERATION PROPOSED.","DDIBARTO","2006","2006_Q3","Northeast","SUPERVISORIAL DISTRICT 2","2","40-X","RH-3","RESIDENTIAL- HOUSE, THREE FAMILY","(37.8046931718, -122.418708691)"
"35","MOSS","ST","APN 3731067","2","-2","0",,"200407219345","6","2 FAMILY DWELLING",,"FINAL INSPECT/ APPRVD","2006-02-22T00:00:00.000","DEMOLISH A 2 STORY 2 FAMILY DWELLING","MSNYDER","2006","2006_Q1","South of Market","SUPERVISORIAL DISTRICT 6","6","45-X","RED","SOUTH OF MARKET RESIDENTIAL ENCLAVE","(37.7780764916, -122.408138918)"
"0","JERROLD","AV","APN 4591A076","0","-1","0",,"200506306530","6",,,"FINAL INSPECT/APPRVD","2005-12-16T00:00:00.000","TO DEMOLISH 2 STORIES, 5 UNITS APARTMENT.",,"2005","2005_Q4","South Bayshore","SUPERVISORIAL DISTRICT 10","10","HP-RA","HP-RA","SEE HUNTERS POINT REDEVELOPMENT PLAN","(37.7267842922, -122.370515698)"
