"cnn","street_name","from_street","to_street","pci_score","pci_change_date","treatment_or_survey","street_accepted_for_maintenance","functional_class","x","y","latitude","longitude","line","point",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"1918000","41st Ave","Pacheco St","Quintara St","100","2022-02-10T17:10:39.000","Treatment","Yes","Residential","5983543.06757","2101198.67221","37.748538543253666","-122.4997193035171","LINESTRING (-122.499784471068 37.749472435166, -122.499654137608 37.74760467878)",,,,,,
"1919000","41st Ave","Quintara St","Rivera St","100","2022-02-10T17:12:11.000","Treatment","Yes","Residential","5983565.98251","2100518.31951","37.74667182695884","-122.49958979042808","LINESTRING (-122.499654137608 37.74760467878, -122.499525444839 37.745739002557)",,,,,,
"10804000","QUANE ST","22ND ST","23RD ST","54","1995-08-23T00:00:00.000","Survey","No",,"6005258.11303","2102831.69007","37.75427273660809","-122.42474509340042","LINESTRING (-122.424822691646 37.75507498321, -122.424667496833 37.753470517442)",,,,,,
"11362000","SAN BRUNO AVE","25TH ST","END","55","2004-07-29T16:33:20.000","Survey","Yes","Residential","6011185.077","2101488.034","37.75091633771606","-122.40415349331411","LINESTRING (-122.404241792793 37.75184492914, -122.404074983716 37.750090680797)",,,,,,
"13529000","Webster St","Hayes St","Ivy St","75","2013-01-08T15:18:02.000","Survey","Yes","Arterial","6004017.262","2110871.199","37.7762771462908","-122.42960960665285","LINESTRING (-122.429554056586 37.776044285864, -122.429622603618 37.776331628076, -122.429626330589 37.776513152194)",,,,,,
"7500104","JERROLD AVE","MILTON I ROSS ST","LETTUCE LN","93","1993-01-01T00:00:00.000","Survey","No",,"6012774.39182","2098862.71298","37.743796428315974","-122.3984732582639","LINESTRING (-122.39852234 37.74385017, -122.39842418 37.74374272)",,,,,,
"7519000","Jessie St","Annie St","03rd St","58","2018-10-17T13:39:34.000","Survey","Yes","Residential","6012016.615","2114603.571","37.78697506330328","-122.4021999449297","LINESTRING (-122.401824659366 37.787271916973, -122.402575227493 37.786678208423)",,,,,,
"8361101","LINCOLN WAY","23RD AVE","24TH AVE","38","2007-07-26T16:21:27.000","Survey","Yes","Arterial","5988771.811","2107156.519","37.7652026335256","-122.48207500679756","LINESTRING (-122.481541007005 37.765259582322, -122.481649006087 37.765222376691, -122.482486512823 37.76518356065, -122.482614556233 37.765209825907)",,,,,,
"9528000","NELLIE ST","END","23RD ST","45","2004-07-29T16:33:20.000","Survey","No",,"6004248.92416","2102706.10069","37.753870847409125","-122.42822617266674","LINESTRING (-122.428287038413 37.754484814718, -122.428165307895 37.753256907625)",,,,,,
"9990000","Orizaba Ave","Montana St","Thrift St","99","2021-10-08T10:27:31.000","Survey","Yes","Residential","5994023.517","2089488.97","37.71699601405153","-122.46262904156293","LINESTRING (-122.462624770896 37.716570820288, -122.462633312278 37.717421207787)",,,,,,
"13031000","Urbano Dr","Corona St","De Soto St","95","2021-09-11T17:09:15.000","Survey","Yes","Residential","5993047.04","2091814.911","37.72332620086806","-122.46617315626506","LINESTRING (-122.466687930554 37.723387584147, -122.465658382826 37.723264815339)",,,,,,
"7626000","JUAN BAUTISTA CIR","DIAZ AVE","FONT BLVD","93","1994-01-01T00:00:00.000","Survey","Yes","Residential","5989811.187","2089875.605","37.71781412457227","-122.47721711754508","LINESTRING (-122.477173791546 37.718014352547, -122.477239918409 37.717708751582, -122.477309239324 37.717629814996)",,,,,,
"4610000","DAVIS ST","BROADWAY","VALLEJO ST","56","2008-10-29T13:59:26.000","Survey","No",,"6013093.49115","2119090.41469","37.79935491363526","-122.3987891818314","LINESTRING (-122.398695702376 37.798880967338, -122.398882662488 37.799828887344)",,,,,,
"8780000","MARS ST","17TH ST","CORBETT AVE","61","2008-10-29T13:59:26.000","Survey","Yes","Residential","5999570.057","2105495.367","37.761263649630735","-122.44460718880364","LINESTRING (-122.444195855752 37.761946770403, -122.444543605171 37.761575468275, -122.444610841899 37.761245734513, -122.444350393577 37.760513965232)",,,,,,
"2258000","AMES ST","21ST ST","22ND ST","47","1994-01-01T00:00:00.000","Survey","No",,"6005533.55258","2103431.45244","37.75593509741403","-122.42383519723064","LINESTRING (-122.423913207418 37.756733701384, -122.423757188707 37.75513652087)",,,,,,
"10650000","POST ST","PIERCE ST","SCOTT ST","65","1996-08-08T00:00:00.000","Survey","Yes","Collector","6001888.68947","2113958.55702","37.78463348175161","-122.4371940165932","LINESTRING (-122.43636835882 37.784736066744, -122.438019672055 37.784530918539)",,,,,,
"9963000","Orange Aly","24th St","25th St","85","2019-09-06T17:13:38.000","Survey","Yes","Residential","6006605.157","2101735.84219","37.751339778058785","-122.42000890610349","LINESTRING (-122.420084149955 37.75213917846, -122.419933663879 37.750540405142)",,,,,,
"2184201","ALEMANY BLVD","RALSTON ST","KEMPTON AVE","55","2007-07-26T16:21:27.000","Survey","Yes","Arterial","5992502.32","2087440.331","37.711283219212504","-122.46773813256682","LINESTRING (-122.467027507101 37.711494969725, -122.46722748078 37.711479327684, -122.468429691436 37.711017630791)",,,,,,
"10716000","POWHATTAN AVE","BANKS ST","PRENTISS ST","52","2004-07-29T16:33:20.000","Survey","No",,"6008765.95431","2098081.05832","37.741426055845565","-122.41227830362992","LINESTRING (-122.412588312 37.741441548625, -122.411968295369 37.741410589882)",,,,,,
"13769000","YORK ST","20TH ST","21ST ST","75","1992-01-01T00:00:00.000","Survey","Yes","Residential","6009918.656","2104265.613","37.75847210481396","-122.40872884768393","LINESTRING (-122.408903725589 37.759246640958, -122.408796982648 37.759193167702, -122.408651272182 37.757651116824)",,,,,,
"1156000","22ND ST","22ND ST","MICHIGAN ST","48","2008-10-29T13:59:26.000","Survey","No",,"6016508.74587","2103990.54492","37.75808371753963","-122.38591798495366","LINESTRING (-122.385489308571 37.758109477616, -122.386346661025 37.75805798349)",,,,,,
"9613000","Noe St","17th St","Ford St","78","2021-11-15T13:45:27.000","Survey","Yes","Residential","6002957.8048","2105773.2422","37.76221934525087","-122.43291026591048","LINESTRING (-122.432949137393 37.762618199568, -122.432871394821 37.76182051848)",,,,,,
"1501000","26TH ST","INDIANA ST","END","74","2008-10-29T13:59:26.000","Survey","No",,"6015048.56238","2101577.41019","37.751376847679694","-122.390799326864","LINESTRING (-122.390563582657 37.751390474309, -122.391035070967 37.75136324822)",,,,,,
"384000","07TH ST","DAGGETT ST","16TH ST","93","1993-01-01T00:00:00.000","Survey","No",,"6013820.28935","2107239.4141","37.76685525378521","-122.39544349100468","LINESTRING (-122.395826440376 37.767165956868, -122.395060544785 37.76654457705)",,,,,,
"2686000","Balboa St","41st Ave","42nd Ave","84","2015-10-06T00:14:11.000","Survey","Yes","Collector","5983054.92926","2111026.8422","37.775495252059855","-122.50213442970541","LINESTRING (-122.50159788867 37.775519961603, -122.50267097035 37.775470567663)",,,,,,
"2380000","Arago St","Paulding St","Havelock St","87","2019-10-17T16:09:20.000","Survey","Yes","Residential","5999725.839","2093174.683","37.72744289251228","-122.44318349512285","LINESTRING (-122.442720558066 37.7281332954, -122.443597157974 37.726825962437, -122.44361125119 37.726743473583)",,,,,,
"12384000","TARAVAL ST","WAWONA ST","CORTES AVE","74","2007-07-26T16:21:27.000","Survey","Yes","Arterial","5993273.56364","2099180.99925","37.74356470266915","-122.46592508901834","LINESTRING (-122.465806990381 37.743574050185, -122.466043187609 37.743555382657)",,,,,,
"1156000","22ND ST","22ND ST","MICHIGAN ST","70","1993-01-01T00:00:00.000","Survey","No",,"6016508.74587","2103990.54492","37.75808371753963","-122.38591798495366","LINESTRING (-122.385489308571 37.758109477616, -122.386346661025 37.75805798349)",,,,,,
"4051000","CIRCULAR AVE","MARSTON AVE","HAVELOCK ST","91","2004-07-29T16:33:20.000","Survey","No",,"5999009.375","2093068.607","37.72711075421901","-122.44565267620187","LINESTRING (-122.445307049105 37.727470117195, -122.445549731079 37.727237952002, -122.445797804624 37.72693143435, -122.445929810523 37.726715780901)",,,,,,
"2000000","45th Ave","Judah St","Kirkham St","61","2017-06-22T11:05:28.000","Survey","Yes","Residential","5982162.82718","2105234.639","37.7595390820497","-122.50479108644228","LINESTRING (-122.504856722533 37.760471791613, -122.50472545197 37.758606399889)",,,,,,
