"docusignid","filing","filingtype","originalfilingdate","electedofficername","electedofficerposition","electedofficeremail","timestamp","purposetrip","startdate","enddate","itinerary","entityname","entitystreet","entitycity","entitystate","entityzip","entitycontactpersonname","entitycontactpersontelephone","entitycontactpersonemail","amountgifted","amountfamilymembers","amountreimbursed","reimbursementtype","reimbursementdate","fairmarketvalueprocess","accompanyingpersonssubtablequery","additionalaccompanyingperson","contributorssubtablequery","additionalcontributors"
"8c254b45-e1aa-4222-bd06-6cf4c697715e","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/8c254b45-e1aa-4222-bd06-6cf4c697715e.pdf","Original",,"Matt Haney","Supervisor","matt.haney@sfgov.org","2020-08-18T16:49:45.643Z","Study Tour of Congestion Pricing Systems in London & Stockholm
","2019-10-02T00:00:00.000","2019-10-08T00:00:00.000","10/2/2019 London, United Kingdom
10/4/2019 Stockholm, Sweden
10/8/2019 - Return to San Francisco, CA","Bloomberg Philanthropies","25 East 78th Street","New York","NY","10075","Brianne Eby","202-879-4715","beby@enotrans.org","4544.38",,,,,,"https://data.sfgov.org/resource/gqui-q3n5.json?docusignid=8c254b45-e1aa-4222-bd06-6cf4c697715e",,"https://data.sfgov.org/resource/hpj3-vnwh.json?docusignid=8c254b45-e1aa-4222-bd06-6cf4c697715e",
"caad17ba-abfc-4563-a13c-610b307e1e76","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/caad17ba-abfc-4563-a13c-610b307e1e76.pdf","Original",,"Hillary Ronen","Supervisor","hillary.ronen@sfgov.org","2021-04-17T09:15:22.033Z","Immigration Caravan for the Children Campaign","2021-04-18T00:00:00.000","2021-04-19T00:00:00.000","Caravan for the Children Campaign is a national 100-day effort to demand the release, reunification and healing of migrant children still being held in ICE custody across the country. Organizers seek to hold all elected officials accountable to the Biden Immigration Plan.

We seek to organize, fund and implement a campaign focused on the first 100 days of the Biden/Harris administration. Spearheaded by a coalition of well-est","Caracen SF","3101 Mission Street","San Francisco","CA","94110","Olga Talamante","415-642-4400","olgapacifica@yahoo.com","334.79",,,,,,"https://data.sfgov.org/resource/gqui-q3n5.json?docusignid=caad17ba-abfc-4563-a13c-610b307e1e76",,"https://data.sfgov.org/resource/hpj3-vnwh.json?docusignid=caad17ba-abfc-4563-a13c-610b307e1e76",
"0fa38dd0-4ed0-4239-a673-53b30d0c609b","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/0fa38dd0-4ed0-4239-a673-53b30d0c609b.pdf","Original",,"Hank Heckel","Mayor","mayorlondonbreed@sfgov.org","2022-01-28T17:59:08.733Z","Submitted on behalf of Mayor London Breed traveling to promote San Francisco economic recovery by meeting with stakeholders to encourage travel to San Francisco and promote investment and job creation.  ","2022-01-31T00:00:00.000","2022-02-06T00:00:00.000","Arrive Chicago, IL, January 31
Arrive Washington, D.C., February 1
Arrive New York, NY, February 2
Depart New York, NY, February 6","The Chris Larsen Fund via Silicon Valley Community Foundation","2440 West El Camino Real, Ste 300","Mountain View","CA","94040","         Tracy Wingrove","650-450-5400","LarsenTeam@siliconvalleycf.org ","3478.97",,,,,,"https://data.sfgov.org/resource/gqui-q3n5.json?docusignid=0fa38dd0-4ed0-4239-a673-53b30d0c609b",,"https://data.sfgov.org/resource/hpj3-vnwh.json?docusignid=0fa38dd0-4ed0-4239-a673-53b30d0c609b",
"9ca3e16a-e5b8-472c-9354-4920491ee404","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/9ca3e16a-e5b8-472c-9354-4920491ee404.pdf","Original",,"London N. Breed","Mayor","mayorlondonbreed@sfgov.org","2022-03-22T16:15:17.630Z","Promote San Francisco Sister City relationship with Paris by fostering economic and cultural ties between the cities, meeting with Paris officials on common policy goals and promoting travel to and investment in San Francisco","2022-03-23T00:00:00.000","2022-03-26T00:00:00.000","3/23/2022 - Arrive Paris, France
3/26/2022 - Depart Paris, France "," Paris Sister City Committee","950 Rockdale Drive ","San Francisco","CA","94127","Thomas E. Horn","415-342-3180","Pagnol@earthlink.net","1500",,,,,,"https://data.sfgov.org/resource/gqui-q3n5.json?docusignid=9ca3e16a-e5b8-472c-9354-4920491ee404",,"https://data.sfgov.org/resource/hpj3-vnwh.json?docusignid=9ca3e16a-e5b8-472c-9354-4920491ee404",
"9962aeef-57d0-45a3-906f-bd1f1c04b1e3","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/9962aeef-57d0-45a3-906f-bd1f1c04b1e3.pdf","Amendment","2022-01-28T00:00:00.000","London N. Breed","Mayor","mayorlondonbreed@sfgov.org","2022-02-01T12:03:28.760Z","Traveling to promote San Francisco economic recovery by meeting with stakeholders to encourage travel to San Francisco and promote investment and job creation","2022-01-31T00:00:00.000","2022-02-06T00:00:00.000","Arrive Chicago, IL, January 31
Arrive Washington, D.C., February 1
Arrive New York, NY, February 2
Depart New York, NY, February 6","The Chris Larsen Fund via Silicon Valley Community Foundation ","2440 West El Camino Real, Ste 300","Mountain View","CA","94040","Tracy Wingrove","650-450-5400","LarsenTeam@siliconvalleycf.org ","3478.97",,,,,,"https://data.sfgov.org/resource/gqui-q3n5.json?docusignid=9962aeef-57d0-45a3-906f-bd1f1c04b1e3",,"https://data.sfgov.org/resource/hpj3-vnwh.json?docusignid=9962aeef-57d0-45a3-906f-bd1f1c04b1e3",
"2136fb1e-839b-4169-a3f6-c67f4bfc7f70","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/2136fb1e-839b-4169-a3f6-c67f4bfc7f70.pdf","Original",,"Rafael Mandelman","Supervisor","rafael.mandelman@sfgov.org","2022-05-09T15:23:19.433Z","Study Tour of Israel
","2022-05-12T00:00:00.000","2022-05-22T00:00:00.000","5/13/22 - 5/15/22: Tel Aviv, Israel
5/15/22 - 5/17/22: Kfar Blum, Israel
5/17/22 - 5/21/22: Jerusalem, Israel and West Bank ","Jewish Community Relations Council","121 Steaurt St., #301","San Francisco","CA","94105","Jonathan Mintzer","415-957-1551","jmintzer@jcrc.org","7000",,,,,,"https://data.sfgov.org/resource/gqui-q3n5.json?docusignid=2136fb1e-839b-4169-a3f6-c67f4bfc7f70",,"https://data.sfgov.org/resource/hpj3-vnwh.json?docusignid=2136fb1e-839b-4169-a3f6-c67f4bfc7f70",
"08f0eea5-a382-4e44-a319-31f13f5848fc","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/08f0eea5-a382-4e44-a319-31f13f5848fc.pdf","Original",,"George Gascon","District Attorney","george.gascon@sfgov.org","2018-03-20T23:37:06.000Z","Travel to Miami, FL for the Fair and Just Prosecution Convening on Mental Health","2018-03-21T00:00:00.000","2018-03-25T00:00:00.000","	Wed 3/21 – travel SF to Florida
	Thurs 3/22 through Fri 3/23 attend conference
	Sat 3/24 through Sun 3/25 personal time
	Sun 3/25 – travel Florida to SF","Center for Court Innovation","520 8th Avenue, 18th Floor","New York","NY","10018","Kiara Grant","646.386.3100","grantk@courtinnovation.org","1376.60",,,,,,"https://data.sfgov.org/resource/vamu-dmis.json?docusignid=08f0eea5-a382-4e44-a319-31f13f5848fc",,"https://data.sfgov.org/resource/b6ur-hv7p.json?docusignid=08f0eea5-a382-4e44-a319-31f13f5848fc",
"7e9f3917-5266-4e45-bf2f-bc8f8c133a06","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/7e9f3917-5266-4e45-bf2f-bc8f8c133a06.pdf","Original",,"José Cisneros","Treasurer","jose.cisneros@sfgov.org","2018-03-14T22:36:01.000Z","Attending and presenting at Equity Summit 2018.","2018-04-11T00:00:00.000","2018-04-13T00:00:00.000","SFO to Chicago -- arriving 4/11/2018
Chicago to SFO -- departing 04/13/2018","PolicyLink","1438 Webster Street, Suite 303","Oakland","CA","94612","Dalila Butler","510-663-4346","dalila@policylink.org","800.00",,,"Full",,,"https://data.sfgov.org/resource/vamu-dmis.json?docusignid=7e9f3917-5266-4e45-bf2f-bc8f8c133a06",,"https://data.sfgov.org/resource/b6ur-hv7p.json?docusignid=7e9f3917-5266-4e45-bf2f-bc8f8c133a06",
"977fd485-42c7-4694-ac9f-0bcffc8664ba","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/977fd485-42c7-4694-ac9f-0bcffc8664ba.pdf","Original",,"Hillary Ronen","Supervisor","hillary.ronen@sfgov.org","2018-04-17T18:17:57.000Z","To observe the LEAD (Law Enforcement Assisted Diversion) program in Seattle, a program which has just launched in San Francisco's District 9.","2018-04-17T00:00:00.000","2018-04-19T00:00:00.000","Arrive in Seattle evening of 4/17/18, observe LEAD program on 4/18 and 4/19, return the evening of 4/19.","Drug Policy Alliance","1330 Broadway","Oakland","CA","94612","Laura Thomas","510-487-7308","lthomas@drugpolicy.org","646.18",,,,,,"https://data.sfgov.org/resource/vamu-dmis.json?docusignid=977fd485-42c7-4694-ac9f-0bcffc8664ba",,"https://data.sfgov.org/resource/b6ur-hv7p.json?docusignid=977fd485-42c7-4694-ac9f-0bcffc8664ba",
"867ef372-a3fa-447a-920f-a24afe453822","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec3216d/867ef372-a3fa-447a-920f-a24afe453822.pdf","Original",,"José Cisneros","Treasurer","jose.cisneros@sfgov.org","2018-05-09T22:06:11.000Z","Travel to and attend EPIC Convening on Consumer Debt","2018-05-13T00:00:00.000","2018-05-15T00:00:00.000","05/13/18 -- SFO to Washington, DC
05/15/18 -- Washington, DC to SFO","The Aspen Institute","2300 N. St. NW, Suite 700","Washington","DC","20037","Kiese Hansen","202-736-3592","kiese.hansen@aspeninstitute.org","1000.00",,,,,,"https://data.sfgov.org/resource/vamu-dmis.json?docusignid=867ef372-a3fa-447a-920f-a24afe453822",,"https://data.sfgov.org/resource/b6ur-hv7p.json?docusignid=867ef372-a3fa-447a-920f-a24afe453822",
