UID,OSHPD_ID,Facility Name,Facility Type,Services,Location
3,106380929,California Pacific Med Ctr-pacific Campus,General Acute Care Hospital,Hospital,"2333 BUCHANAN STREET
San Francisco, CA
(37.79142444, -122.43103755)"
39,306384014,On Lok Senior Health Services,Community Clinic,Senior Health,"1000 MONTGOMERY STREET
San Francisco, CA
(37.79846727, -122.40385594)"
25,306384158,Institute On Aging,Community Clinic,Senior Health,"2700 GEARY BLVD.
San Francisco, CA
(37.78246781, -122.44834319)"
20,306381276,"Drug Detoxification, Rehab And After Care Svs. Prog.",Free Clinic,Drug Treatment,"529 CLAYTON STREET
San Francisco, CA
(37.77029461, -122.44870302)"
54,306384220,Woman's Community Clinic/tides Center,Community Clinic,Womens Health,"1833 FILLMORE STREET
San Francisco, CA
(37.7865244, -122.43338309)"
63,0,Silver Avenue Family Health Center,Community Health Network,,"1525 Silver Avenue
San Francisco, CA
(37.73222744, -122.40651746)"
76,0,Mission Neighborhood Health Centers-lpc,Community Health Network,,"1663 Mission St
San Francisco, CA
(37.77125833, -122.4194887)"
27,306384222,Lifeways Pace At The Coronet,Community Clinic,General Health,"3575 GEARY BLVD
San Francisco, CA
(37.78123364, -122.45766762)"
34,306380896,Native American Health Center,Community Clinic,Cultural General Health,"160 CAPP STREET
San Francisco, CA
(37.76411733, -122.41866509)"
67,0,Adult Immunization & Travel Clinic,Community Health Network,,"101 Grove St
San Francisco, CA
(37.77838372, -122.41869572)"
1,106380777,California Pacific Med Ctr-california West,General Acute Care Hospital,Hospital,"3700 CALIFORNIA STREET
San Francisco, CA
(37.78614406, -122.45591166)"
55,0,Castro-mission Health Center,Community Health Network,,"3850 17th StreetÂ 
San Francisco, CA
(37.76271772, -122.43184067)"
17,306384154,Chinese Community Health Services,Community Clinic,General Health,"1800 31ST AVENUE
San Francisco, CA
(37.75341278, -122.48927463)"
41,306382725,On Lok Senior Health Services - Powell,Community Clinic,Senior Health,"1441 POWELL STREET
San Francisco, CA
(37.79788399, -122.41037284)"
43,306380924,Planned Parenthood Golden Gate,Community Clinic,Family General Health,"815 EDDY STREET
San Francisco, CA
(37.78276346, -122.42154565)"
10,106380965,"St. Mary's Medical Center, San Francisco",General Acute Care Hospital,Hospital,"450 STANYAN STREET
San Francisco, CA
(37.77380449, -122.45440679)"
69,0,Housing And Urban Health Clinic,Community Health Network,,"234 Eddy Street
San Francisco, CA
(37.78413785, -122.41154248)"
40,306382724,On Lok Senior Health Services - Bush St,Community Clinic,Senior Health,"1333 BUSH STREET
San Francisco, CA
(37.78882313, -122.41904637)"
71,0,Women's Health Center,Community Health Network,,"1001 Potrero Ave.
San Francisco, CA
(37.75617447, -122.40659471)"
57,0,Chinatown Health Center,Community Health Network,,"1490 Mason Street
San Francisco, CA
(37.79693062, -122.41177222)"
56,0,Children's Health Center At Sfgh,Community Health Network,,"1001 Potrero Ave
San Francisco, CA
(37.75577951, -122.40619566)"
24,306384196,Haight Ashbury Integrated Care Center,Community Clinic,Free General Health,"1735 MISSION ST
San Francisco, CA
(37.7694838, -122.4199175)"
11,106381154,Ucsf Medical Center,General Acute Care Hospital,Hospital,"505 PARNASSUS AVENUE
San Francisco, CA
(37.76336734, -122.45856738)"
5,106382715,Chinese Hospital,General Acute Care Hospital,Hospital,"845 JACKSON STREET
San Francisco, CA
(37.79566209, -122.40917233)"
68,0,Breast & Cervical Cancer Services,Community Health Network,,"30 Van Ness Avenue
San Francisco, CA
(37.77587757, -122.41935578)"
26,306382737,Instituto Familiar De La Raza - Outpatient,Community Clinic,Cultural General Health,"2919 MISSION STREET
San Francisco, CA
(37.75034371, -122.41819551)"
42,306384163,On Lok Senior Health Services-mission Center,Community Clinic,Senior Health,"4430 MISSION STREET
San Francisco, CA
(37.72674014, -122.43329371)"
35,306382711,North East Medical Services,Community Clinic,Cultural General Health,"1520 STOCKTON STREET
San Francisco, CA
(37.79989739, -122.40902523)"
73,0,Cole Street Clinic,Community Health Network,,"555 Cole Street
San Francisco, CA
(37.76999193, -122.450374)"
32,306384045,Mission Neighborhood Health Ctr.-excelsior Clinic,Community Clinic,Cultural General Health,"4434 MISSION STREET
San Francisco, CA
(37.72668158, -122.43337675)"
12,106380895,Ucsf Medical Center At Mount Zion,General Acute Care Hospital,Hospital,"1600 DIVISADERO STREET
San Francisco, CA
(37.78477686, -122.43972581)"
36,306384210,North East Medical Services - Noriega,Community Clinic,Cultural General Health,"1450 NORIEGA STREET
San Francisco, CA
(37.75412784, -122.47940016)"
62,0,Potrero Hill Health Center,Community Health Network,,"1050 Wisconsin Street
San Francisco, CA
(37.75427069, -122.39873528)"
33,306384214,Mission Neighborhood Resource Center,Community Clinic,Cultural General Health,"165 CAPP ST
San Francisco, CA
(37.7640344, -122.41855477)"
21,306384194,First Resort,Community Clinic,Womens Health,"450 SUTTER ST., STE. 1740
San Francisco, CA
(37.78934797, -122.40778304)"
18,306384182,Chinese Hospital's Excelsior Health Services,Community Clinic,General Health,"888 PARIS STREET
San Francisco, CA
(37.71582646, -122.43940102)"
0,106380826,California Pacific Med Ctr-california East,General Acute Care Hospital,Hospital,"3698 SACRAMENTO STREET
San Francisco, CA
(37.78740232, -122.4535495)"
