"date","respondents","allegation_s","disposition","supporting_documents_url"
"2022-07-08T00:00:00.000","Gabriela López","SF C and GCC section 3.1-102(a)","Settled for $1,400","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-038GabrielaLopezSARPStipulationandExhibit-FinalSigned.pdf"
"2022-07-08T00:00:00.000","Darryl Honda","SF C and GCC section 3.1-102(a); 2 CCR 18730","Settled for $22,200","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-026DarrylHondaStipulation-FinalSigned.pdf"
"2022-05-13T00:00:00.000","Barbara Mumby","Count 1: SF C&GCC section 3.1-102(a) (Failure to file year 2020 SEI Form 700 and Leaving Office SEI Form 700);    Count 2: SF C&GCC section 3.218 (Engaging activities incompatible with City duties) ;    Count 3: SF C&GCC section 3.216(b) (Accepting a gift from a restricted source);    Count 4: SF C&GCC §§ 3.240 (Failing to cooperate and furnishing false documents and information)","Settled for $20,000","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2022-04-06_1920-051_BarbaraMumbyStipulationandExhibitAFInal_Redacted.pdf"
"2021-10-08T00:00:00.000","Sandra Lee Fewer for Supervisor 2016, Sandra Lee Fewer, and Nicholas Persky","SF C&GCC section 1.126 (Contribution Prohibition – Contractors doing business with the City)","Settled for $750","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-08-05_1617-020-2_Sandra_Lee_Fewer_for_Sup_2016_SARP_Stipulation_-_Signed.pdf"
"2021-10-08T00:00:00.000","Jennifer Stojkovic","SF C&GCC section 2.110(c) (Monthly lobbyist report filed with omissions)","Settled for $931","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-05-14_1920-011_Jennifer_Stojkovic_SARP_Stipulation_-_Signed.pdf"
"2021-10-08T00:00:00.000","No Plan, No Accountability, No on Prop C, Sponsored by the San Francisco Chamber of Commerce and Andrew Sinn","SF C&GCC section 1.161(a) (Campaign communication disclaimer disclosure)","Settled for $500","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-08-19_2021-042_No_on_C_SARP_Stipulation_and_Exhibit_-_Signed.pdf"
"2021-10-08T00:00:00.000","Brigitte Davila","SF C&GCC section 3.1-102(a) (Late-filing of Statements of Economic Interests)","Settled for $2,000","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-08-19_1819-034_and_1819-035_Brigitte_Davila_SARP_Stipulation_-_Signed-1.pdf"
"2021-08-13T00:00:00.000","London Breed","Government Code section 84211(c) (Failure to disclose campaign contributions), SF C&GCC § 1.114(a) and 1.114(f) (Contribution limit and failure to forfeit), SF C&GCC section 3.218 (Misuse of City title), and SF C&GCC section 3.216(c) (Gifts from subordinate).","Settled for $22792","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-07-30_1920-072_London_Breed_Stipulation_and_Exhibit_signed.pdf"
"2021-08-13T00:00:00.000","Norman Yee for Supervisor 2016, Norman Yee, and Lisa Le","SF C&GCC section 1.126 (Contribution Prohibition – Contractors doing business with the City)","Settled for $3850","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-06-24_1617-020_Norman_Yee_for_Sup_2016_SARP_Stipulation_-_Signed.pdf"
"2021-08-13T00:00:00.000","Eamonn Herlihy and Richard Hart","SF C&GCC section 1.114(e)(2) (Contribution Limits – Aggregation of affiliated entity contributions)","Settled for $1000","https://sfethicsstorage.blob.core.usgovcloudapi.net/case-resolutions/2021-07-15_1819-062_1920-035_Hart_and_Herlihy_SARP_Stipulation_and_Exhibit_-_Signed.pdf"
