"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id","department_name","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants"
"3342.0","500 Pine Rooftop Park","500 Pine St","San Francisco","94108","0258042","Own","49","Recreation And Parks",,"-122.40458094299998","37.79187874400003","3",
"3339.0","900 Innes Ave","900 Innes Ave","San Francisco","94124","4629A010","Own","49","Recreation And Parks",,"-122.37578143499996","37.73218698100004","10",
"10.0","Adam Rogers Park Bathrooms","45 George Ct","San Francisco","94124","4700055","Own","49","Recreation And Parks",,"-122.38370521099995","37.73087956100005","10",
"108.0","Alamo Square Bathrooms","1081 Fulton St","San Francisco","94117","0799001","Own","49","Recreation And Parks","500","-122.43433764499997","37.776069505000066","5",
"112.0","Alice Chalmers Clubhouse","670 Brunswick St","San Francisco","94112","6474001","Own","49","Recreation And Parks","2505","-122.447003258","37.709531742000024","11",
"114.0","Alioto Gazebo","490 Capp St","San Francisco","94110","3595016","Own","49","Recreation And Parks",,"-122.41825073899997","37.75891530900003","9",
"116.0","Alta Plaza Bathrooms","2599 Jackson St","San Francisco","94115","0607001","Own","49","Recreation And Parks","432","-122.43816191599996","37.791239380000036","2",
"117.0","Alta Plaza Maintenance Facilities","2599 Jackson St","San Francisco","94115","0607001","Own","49","Recreation And Parks","1200","-122.43822817099999","37.79120498700007","2",
"123.0","Anglers Lodge","1232 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","2196","-122.496615212","37.76800921800003","4",
"124.0","Anglers Lodge Maint Bldg","1232 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1130","-122.49736905699996","37.768018436000034","4",
"125.0","Anglers Lodge Parking Lot Trailer","Angler's Lodge","San Francisco","94121","1263011","Own","49","Recreation And Parks","1440","-122.49624885099996","37.76814715300003","4",
"129.0","Aptos Clubhouse","139 Aptos Ave","San Francisco","94127","3266A001","Own","49","Recreation And Parks",,"-122.46601428999998","37.72852776800005","7",
