"cnn","corridor","limits","cnnrightleft","blockside","fullname","weekday","fromhour","tohour","week1","week2","week3","week4","week5","holidays","blocksweepid","line"
"12043000","Sparta St","Ankeny St  -  Harkness Ave","R","West","Friday","Fri","12","15","1","1","1","1","1","0","1611118","LINESTRING (-122.403554923986 37.718336652479, -122.403470376794 37.718196907433, -122.403750276633 37.717545887113)"
"13148101","Van Ness Ave","Golden Gate Ave  -  Turk St","L","West","Tuesday","Tues","2","6","1","1","1","1","1","0","1598891","LINESTRING (-122.420439517797 37.781030842108, -122.420552025357 37.781125672257, -122.420692782737 37.781851534699, -122.420638249635 37.781960765928)"
"12146000","Steiner St","Pacific Ave  -  Broadway","L","West","Wed 1st & 3rd","Wed","11","13","1","0","1","0","0","0","1611173","LINESTRING (-122.436381034464 37.793136720893, -122.436567203045 37.794057580117)"
"13377000","Waller St","Clayton St  -  Belvedere St","L","South","Monday","Mon","8","10","1","1","1","1","1","0","1628458","LINESTRING (-122.448389686041 37.768864629361, -122.449454105126 37.768728892022)"
"188201","03rd St","18th St  -  19th St","R","West","Sunday","Sun","2","6","1","1","1","1","1","1","1613797","LINESTRING (-122.388737998431 37.763048278835, -122.388775944031 37.762950954817, -122.388749641768 37.76185373191, -122.388684015952 37.761766444853)"
"12886000","University St","Woolsey St  -  Dwight St","R","West","Wednesday","Wed","12","15","1","1","1","1","1","0","1598757","LINESTRING (-122.412468269252 37.722658455651, -122.411973057754 37.721457927786)"
"9969000","Ord St","17th St  -  Corbett Ave","L","East","Wednesday","Wed","8","10","1","1","1","1","1","0","1628405","LINESTRING (-122.440168280289 37.762186574295, -122.440133033749 37.761829685901)"
"9105000","Mission St","09th St  -  Washburn St","L","SouthEast","Tuesday","Tues","2","6","1","1","1","1","1","1","1618808","LINESTRING (-122.414711003922 37.776230519995, -122.415127952624 37.775889703335)"
"1474000","26th Ave","Anza St  -  Balboa St","L","East","Mon 2nd & 4th","Mon","8","10","0","1","0","1","0","0","1644244","LINESTRING (-122.485667402435 37.778117247851, -122.485532329198 37.776252458259)"
"11901000","Silver Ave","Vienna St  -  Madison St","L","North","Wednesday","Wed","10","12","1","1","1","1","1","0","1611056","LINESTRING (-122.424198685642 37.728735553407, -122.423739981275 37.728759936789)"
"9102000","Mission St","Julia St  -  08th St","L","SouthEast","Thursday","Thu","2","6","1","1","1","1","1","1","1618894","LINESTRING (-122.412413343787 37.778045328617, -122.413157691449 37.777457419935)"
"8740101","Market St","Pine St  -  Front St","R","NorthWest","Tuesday","Tues","2","6","1","1","1","1","1","0","1642414","LINESTRING (-122.397383445616 37.792405521236, -122.397406269634 37.792321953228, -122.398157919715 37.791731151712, -122.398264448474 37.791716058294)"
"8757101","Market St","Franklin St  -  Brady St","L","SouthEast","Friday","Fri","2","6","1","1","1","1","1","1","1640920","LINESTRING (-122.420698773999 37.774007805689, -122.420723870009 37.773922829721, -122.4212321554 37.773523380984)"
"8133000","Larkin St","Cedar St  -  Post St","L","West","Monday","Mon","6","8","1","1","1","1","1","0","1638899","LINESTRING (-122.418178853235 37.786565983357, -122.418270980371 37.787037947605)"
"11626000","Santiago St","35th Ave  -  36th Ave","R","North","Mon 2nd & 4th","Mon","9","11","0","1","0","1","0","0","1621343","LINESTRING (-122.492967690501 37.744162614951, -122.494038472956 37.744115445236)"
"13784000","Yosemite Ave","Lane St  -  Mendell St","R","NorthEast","Monday","Mon","4","6","1","1","1","1","1","0","1627753","LINESTRING (-122.393528887286 37.727913312884, -122.395437942887 37.72899662386)"
"912201","19th Ave","Kirkham St  -  Lawton St","R","West","Wed 1st, 3rd, 5th","Wed","7","9","1","0","1","0","1","0","1644984","LINESTRING (-122.476813892411 37.759833936288, -122.476880867885 37.759721854444, -122.476765983016 37.758080486904, -122.476684176961 37.75796898172)"
"5661000","Folsom St","Hawthorne St  -  03rd St","R","NorthWest","Wednesday","Wed","0","2","1","1","1","1","1","0","1631459","LINESTRING (-122.397811613327 37.784666586018, -122.398930331179 37.783784933736)"
"4174000","Clement St","24th Ave  -  25th Ave","R","North","Wed 1st & 3rd","Wed","7","9","1","0","1","0","0","0","1642873","LINESTRING (-122.483803727562 37.782076638936, -122.484874258404 37.782025494331)"
"2754000","Battery St","California St  -  Halleck St","L","West","Wednesday","Wed","2","6","1","1","1","1","1","0","1607129","LINESTRING (-122.399958736113 37.793209102271, -122.400058259781 37.793693587414)"
"2346000","Anza St","28th Ave  -  29th Ave","L","South","Mon 2nd & 4th","Mon","10","12","0","1","0","1","0","0","1644794","LINESTRING (-122.487804959511 37.778020352454, -122.488875521921 37.777971809109)"
"7383000","Jackson St","Stone St  -  Adele Ct","R","North","Wednesday","Wed","2","6","1","1","1","1","1","0","1597280","LINESTRING (-122.409343544069 37.795686364045, -122.409547220214 37.795660707158)"
"10934000","Rankin St","Palou Ave  -  Quesada Ave","L","SouthEast","Tuesday","Tues","9","11","1","1","1","1","1","0","1620110","LINESTRING (-122.398378464782 37.738214733718, -122.398942103539 37.737588671173)"
"6111000","Geary St","Mason St  -  Taylor St","L","South","Thursday","Thu","2","6","1","1","1","1","1","0","1606083","LINESTRING (-122.409874016327 37.787149143318, -122.41151576723 37.786939706696)"
"5440000","Fell St","Van Ness Ave  -  Franklin St","L","South","Thursday","Thu","2","6","1","1","1","1","1","0","1636255","LINESTRING (-122.419506293804 37.776368870039, -122.421148423722 37.776158764867)"
"6046201","Geary Blvd","Presidio Ave  -  Masonic Ave","R","North","Thursday","Thu","6","8","1","1","1","1","1","0","1632753","LINESTRING (-122.445820511205 37.782488032096, -122.445938826938 37.782570909027, -122.447301513476 37.782391642084)"
"4979000","Duboce Ave","Stevenson St  -  Valencia St","R","North","Friday","Fri","0","6","1","1","1","1","1","0","1620400","LINESTRING (-122.421582534495 37.769917758986, -122.422364818544 37.769867697908)"
"9642000","Norfolk St","Folsom St  -  Harrison St","R","SouthWest","Tuesday","Tues","4","6","1","1","1","1","1","0","1637548","LINESTRING (-122.414526088021 37.77140465082, -122.412751337013 37.770388697077)"
"6521000","Greenwich St","Pierce St  -  Scott St","R","North","Fri 1st & 3rd","Fri","12","14","1","0","1","0","0","0","1606719","LINESTRING (-122.439156219494 37.798533327711, -122.440798148262 37.798324415817)"
"5072000","Eddy St","Fillmore St  -  Steiner St","R","North","Thursday","Thu","12","14","1","1","1","1","1","0","1631016","LINESTRING (-122.432328981537 37.781428371173, -122.43397315752 37.781218802442)"
"5723101","Font Blvd","Arballo Dr  -  Lake Merced Blvd","L","SouthWest","Wed 2nd & 4th","Wed","6","7","0","1","0","1","0","0","1620867","LINESTRING (-122.482305621001 37.721784686708, -122.482501087176 37.721857620717, -122.482568526541 37.721947706535, -122.483430538527 37.72269197878, -122.483680818177 37.722746800048, -122.483754048767 37.722927119276, -122.484902260999 37.723921358869, -122.485075178289 37.723999726963)"
"13144101","Van Ness Ave","Fell St  -  Hayes St","L","West","Wednesday","Wed","2","6","1","1","1","1","1","0","1598923","LINESTRING (-122.419506293804 37.776368870039, -122.419603359393 37.776456622557, -122.419749665534 37.777192321896, -122.419693565872 37.777299856161)"
"6316000","Gough St","Hickory St  -  Fell St","L","West","Wednesday","Wed","0","2","1","1","1","1","1","0","1606342","LINESTRING (-122.422693093301 37.775486533217, -122.422787634299 37.775949862511)"
"13077000","Valencia St","Tiffany Ave  -  Mission St","R","West","Mon 2nd & 4th","Mon","6","8","0","1","0","1","0","0","1598851","LINESTRING (-122.420130342707 37.746576031925, -122.420019126612 37.745389020592)"
"11345000","San Benito Way","Upland Dr  -  Ocean Ave","R","NorthWest","Thu 2nd & 4th","Thu","11","13","0","1","0","1","0","0","1631961","LINESTRING (-122.467100065069 37.730490851222, -122.467238662598 37.730132829454, -122.467495765005 37.72966449797, -122.467715834924 37.729374565237, -122.468077261933 37.728974766823)"
"6061101","Geary Blvd","05th Ave  -  06th Ave","L","South","Mon 2nd, 4th, 5th","Mon","7","8","0","1","0","1","1","0","1644051","LINESTRING (-122.463210680143 37.781070164904, -122.463329796935 37.780990837662, -122.464132535814 37.780954472587, -122.46427917012 37.781018921641)"
"9015000","Middle Point Rd","Hare St  -  Ingalls St","L","East","Friday","Fri","9","11","1","1","1","1","1","0","1599712","LINESTRING (-122.379420864923 37.734479383849, -122.379439355329 37.734422111371, -122.379430744125 37.734081616981)"
"4883101","Dolores St","Cesar Chavez St  -  27th St","L","East","Mon 1st, 3rd, 5th","Mon","7","9","1","0","1","0","1","0","1620361","LINESTRING (-122.424768281093 37.747830304091, -122.424670394169 37.747717828467, -122.424615512594 37.747151214099, -122.42468979388 37.747033403328)"
"331000","06th St","Natoma St  -  Howard St","L","NorthEast","Thursday","Thu","4","6","1","1","1","1","1","0","1614337","LINESTRING (-122.407691414493 37.780162025776, -122.407159488015 37.779738905439)"
"8368201","Lincoln Way","30th Ave  -  31st Ave","R","North","Wed 2nd & 4th","Wed","8","10","0","1","0","1","0","0","1641971","LINESTRING (-122.489042082924 37.764928857235, -122.489167545364 37.764955537296, -122.48992177049 37.764921685159, -122.490116227188 37.764880646037)"
"4820000","Divisadero St","Washington St  -  Jackson St","L","West","Mon 1st & 3rd","Mon","12","14","1","0","1","0","0","0","1637257","LINESTRING (-122.440984381602 37.790755461731, -122.441154592841 37.791630842499)"
"12181000","Still St","Rotteck St  -  Lyell St","R","North","Monday","Mon","9","11","1","1","1","1","1","0","1598256","LINESTRING (-122.430843652843 37.731817124217, -122.431207747011 37.731790089321, -122.431390305849 37.731737130667)"
"5567000","Fillmore St","Lombard St  -  Chestnut St","L","West","Tue 1st & 3rd","Tues","6","8","1","0","1","0","0","0","1610368","LINESTRING (-122.43604617343 37.799842952496, -122.436225255416 37.800722316994, -122.436273910341 37.800814144214)"
"9140000","Mission St","Cortland Ave  -  Santa Marina St","R","NorthWest","Tue 1st, 3rd, 5th","Tues","6","8","1","0","1","0","1","0","1599856","LINESTRING (-122.422840576823 37.741027407651, -122.423089906388 37.740641886647)"
"6082101","Geary Blvd","25th Ave  -  26th Ave","L","South","Wed 2nd, 4th, 5th","Wed","7","8","0","1","0","1","1","0","1644104","LINESTRING (-122.484732261186 37.780092582495, -122.484860583521 37.780013321064, -122.485678069559 37.779977236103, -122.485807575664 37.780037953227)"
"13522000","Webster St","Waller St  -  Laussat St","L","West","Wednesday","Wed","8","10","1","1","1","1","1","0","1635200","LINESTRING (-122.428614043414 37.771383330179, -122.428708105695 37.77184975403)"
"786000","17th St","Potrero Ave  -  Hampshire St","L","South","Monday","Mon","0","6","1","1","1","1","1","0","1636494","LINESTRING (-122.407419737852 37.76448782976, -122.408423987686 37.764427172097)"
"11781000","Shafter Ave","Shafter Ave  -  Griffith St","R","NorthEast","Monday","Mon","12","14","1","1","1","1","1","0","1621531","LINESTRING (-122.380559376313 37.725272054333, -122.381377374461 37.725736373115)"
"6448000","Green St","Kearny St  -  Sonoma St","L","South","Wed 2nd & 4th","Wed","7","8","0","1","0","1","0","0","1641940","LINESTRING (-122.405834048301 37.799900855492, -122.406218668538 37.799852279945)"
"6052101","Geary Blvd","Parker Ave  -  Beaumont Ave","L","South","Fri 2nd & 4th","Fri","6","8","0","1","0","1","0","0","1643256","LINESTRING (-122.454175993557 37.78159882148, -122.454267483879 37.781503819191, -122.455196475132 37.78139746038, -122.45528074961 37.78145866084)"
"5656000","Folsom St","Grote Pl  -  01st St","R","NorthWest","Monday","Mon","0","2","1","1","1","1","1","0","1620738","LINESTRING (-122.393961919993 37.787708299896, -122.394481273193 37.787298215216)"
"487000","10th St","Howard St  -  Folsom St","R","SouthWest","Thursday","Thu","2","6","1","1","1","1","1","0","1642669","LINESTRING (-122.414367690494 37.774043327477, -122.412824226492 37.772812160116)"
"8242000","Leavenworth St","Ellis St  -  O'Farrell St","R","East","Sunday","Sun","6","8","1","1","1","1","1","0","1616832","LINESTRING (-122.41443019869 37.784657140749, -122.414617207257 37.785582474549)"
