"fiscal_year","eff_date","job_code","title","union_code","setid","grade","biweekly_min","biweekly_max","extended_range","step_1","step_2","step_3","step_4","step_5","step_6","step_7","step_8","step_9","step_10","step_11","step_12","step_13","step_14","step_15","step_16","step_17","step_18","step_19","step_20"
"FY18-19","2018-07-01T00:00:00.000","0140","Chief of Department, (Fire Department)","352","COMMN","0140P","12574","12574",,"157.1750",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0140","Chief of Department, (Fire Department)","352","Suppression","0140P","12574","12574",,"129.0965",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0150","Deputy Chief of Department, (Fire Department)","352","COMMN","0150P","10854","10854",,"135.6750",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0150","Deputy Chief of Department, (Fire Department)","352","Suppression","0150P","10854","10854",,"111.4374",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0170","Assistant Law Librarian","220","COMMN","0170P","5000","5000",,"62.5000",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0180","Law Librarian","220","COMMN","0180P","6808","6808",,"85.0962",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0190","Bookbinder","221","COMMN","0190P","3293","3293",,"41.1625",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0380","Inspector, (Police Department)","911","COMMN","0380P","5422","5422",,"67.7750",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0381","Inspector II","911","COMMN","0381P","5693","5693",,"71.1625",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0382","Inspector III","911","COMMN","0382P","5802","5802",,"72.5250",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0385","Crime Scene Investigations Manager","911","COMMN","0385P","5965","5965",,"74.5625",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0386","Crime Scene Investigations Manager 2","911","COMMN","0386P","6263","6263",,"78.2875",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0387","Crime Scene Investigations Manager 3","911","COMMN","0387P","6383","6383",,"79.7875",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0390","Chief of Police","353","COMMN","0390P","12799","12799",,"159.9875",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0395","Assistant Chief of Police","353","COMMN","0395P","11799","11799",,"147.4875",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0400","Deputy Chief","353","COMMN","0400P","10549","10549",,"131.8625",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0401","Deputy Chief II","353","COMMN","0401P","11076","11076",,"138.4500",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0402","Deputy Chief III","353","COMMN","0402P","11287","11287",,"141.0875",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0488","Commander (Police Department)","353","COMMN","0488P","8573","8573",,"107.1625",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0489","Commander II","353","COMMN","0489P","9002","9002",,"112.5250",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0490","Commander III","353","COMMN","0490P","9173","9173",,"114.6625",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0720","Member, Board of Supervisors","257","COMMN","0720P","4813","4813",,"60.1596",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0881","Mayoral Staff I","002","COMMN","0881P","1676","2035",,"20.9500","21.9875","23.0750","24.2250","25.4375",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0882","Mayoral Staff II","002","COMMN","0882P","1801","2189",,"22.5125","23.6250","24.8125","26.0625","27.3625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0883","Mayoral Staff III","002","COMMN","0883P","1938","2357",,"24.2250","25.4375","26.7000","28.0375","29.4625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0884","Mayoral Staff IV","002","COMMN","0884P","2085","2534",,"26.0625","27.3625","28.7250","30.1500","31.6750",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0885","Mayoral Staff V","002","COMMN","0885P","2243","2727",,"28.0375","29.4625","30.9250","32.4750","34.0875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0886","Mayoral Staff VI","002","COMMN","0886P","2402","2920",,"30.0250","31.5125","33.1000","34.7625","36.5000",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0887","Mayoral Staff VII","002","COMMN","0887P","2583","3140",,"32.2875","33.9125","35.6125","37.3875","39.2500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0888","Mayoral Staff VIII","002","COMMN","0888P","2781","3381",,"34.7625","36.5000","38.3250","40.2500","42.2625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0889","Mayoral Staff IX","002","COMMN","0889P","2991","3635",,"37.3875","39.2500","41.2125","43.2750","45.4375",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0890","Mayoral Staff X","002","COMMN","0890P","3232","3928",,"40.4000","42.4250","44.5500","46.7750","49.1000",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0891","Mayoral Staff XI","002","COMMN","0891P","3481","4232",,"43.5125","45.6875","47.9875","50.3750","52.9000",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","0892","Mayoral Staff XII","002","COMMN","0892P","3742","4547",,"46.7750","49.1125","51.5625","54.1250","56.8375",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1010","Information Systems Trainee","021","COMMN","1010P","2264","3541",,"28.3000","29.1250","41.9375","43.1000","44.2625","32.3500","33.2500","34.1625","29.9625","30.8000","31.6375",,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1010","Information Systems Trainee","021","SFMTA","1010P","2264","3541",,"28.3000","29.1250","41.9375","43.1000","44.2625","32.3500","33.2500","34.1625","29.9625","30.8000","31.6375",,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1011","IS Technician-Assistant","021","COMMN","1011P","1934","2349",,"24.1750","25.3750","26.6375","27.9750","29.3625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1011","IS Technician-Assistant","021","SFMTA","1011P","1934","2349",,"24.1750","25.3750","26.6375","27.9750","29.3625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1021","IS Administrator I","021","COMMN","1021P","2566","3119",,"32.0750","33.6625","35.3500","37.1375","38.9875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1021","IS Administrator I","021","SFMTA","1021P","2566","3119",,"32.0750","33.6625","35.3500","37.1375","38.9875",,,,,,,,,,,,,,,
