"fiscal_year","po_dt","purchase_order","purchase_order_line","agreement_no","agreement_title","purchasing_department","purchasing_department_title","post_date_original","post_date_current","commodity_code","commodity_title","vendor_name","vendor_street","vendor_city","vendor_state","vendor_zip_code","vendor_contact","vendor_email","vendor_phone","encumbered_quantity","encumbered_amount"
"1999",,"POPT99009447","002",,,"DPT2","PUB TRANSPORT - N/M GRANTS & PROJECTS","1999-04-01","1999-04-01","955815","LIGHT RAIL TRANSIT VEHICLE EQPT, PARTS, MATLS & SU","THALES TRANSPORT & SECURITY INC","5500 CORPORATE DR STE 500","PITTSBURGH","PA","152370000",,,"412-366-8814","0.00","2088625.00"
"1999",,"POPT99009447","003",,,"DPT2","PUB TRANSPORT - N/M GRANTS & PROJECTS","1999-04-01","1999-04-01","955815","LIGHT RAIL TRANSIT VEHICLE EQPT, PARTS, MATLS & SU","THALES TRANSPORT & SECURITY INC","5500 CORPORATE DR STE 500","PITTSBURGH","PA","152370000",,,"412-366-8814","0.00","208862.50"
"2002",,"POAR02000042","001",,,"ART","ART COMMISSION","2002-01-25","2002-01-25","725010","SVC,CONSULTING;ART WORK","TERRY HOFF","1525 GRAND AVE","PACIFICA","CA","94044",,,,"0.00","235924.00"
"2002",,"POAR02000043","001",,,"ART","ART COMMISSION","2002-01-25","2002-01-25","725010","SVC,CONSULTING;ART WORK","LEWIS DE SOTO","626 COSTA DR","NAPA","CA","945580000","LEWIS DE SOTO, ARTIST",,"707-257-0969","0.00","145000.00"
"2002",,"POAR02000045","001",,,"ART","ART COMMISSION","2002-02-15","2002-02-15","730078","SVC;ARTWORK/ART RESTORATION","OWEN SMITH","1608 FERNSIDE BLVD","ALAMEDA","CA","94501",,,"510-865-1911","0.00","13000.00"
"2002",,"POAR02000051","001",,,"ART","ART COMMISSION","2002-02-25","2007-12-03","725010","SVC,CONSULTING;ART WORK","TAKENOBU IGARASHI","YOKOSUKA-SHI, KANAGAWA-KEN","JAPAN 240-0105",,,,,,"0.00","257500.00"
"2002",,"POPO02000097","001",,,"PRT","PORT","2002-02-05","2002-02-05","725040","SVC,CONSULTING;MANAGEMENT","U R S CORPORATION","ONE MONTGOMERY ST #900","SAN FRANCISCO","CA","941044538","DES GARNER",,"415-896-5858","0.00","130933.00"
"2003",,"POAR03000123","001",,,"ART","ART COMMISSION","2003-04-16","2003-04-16","725010","SVC,CONSULTING;ART WORK","CHEONAE KIM","1925 BROWN PL","MURPHYSBORO","IL","62966",,,"618-684-2085","0.00","19500.00"
"2003",,"POAR03000160","001",,,"ART","ART COMMISSION","2003-06-11","2003-06-11","905015","ARTS&CRAFTS EQPT,MATLS&SUPPL","MERLE AXELRAD","2600 14TH ST","SACRAMENTO","CA","95818",,,"916-442-0464","0.00","47000.00"
"2003",,"POAR03000166","001",,,"ART","ART COMMISSION","2003-07-09","2003-07-09","730090","SVC;ARTISTIC CONCEPTUAL DESIGN","JIM GOLDBERG","1007 HAIGHT ST #3","SAN FRANCISCO","CA","94117",,,,"0.00","20000.00"
"2003",,"POAT03000048","001",,,"DPWAT","DPW - ARCHITECTURE","2002-09-19","2006-02-23","969536049000","REPROGRAPHIC SVCS; PUBLIC WORKS (DPW), ALL BUREAUS","ELITE REPROGRAPHICS OF THE BAY AREA, INC","363 6TH ST","SAN FRANCISCO","CA","941030000","SHAHLA DAVOUDI",,"415-957-1234","0.00","1500.00"
"2003",,"POAT03000051","001",,,"DPWAT","DPW - ARCHITECTURE","2002-09-19","2002-09-19","969536049000","REPROGRAPHIC SVCS; PUBLIC WORKS (DPW), ALL BUREAUS","ELITE REPROGRAPHICS OF THE BAY AREA, INC","363 6TH ST","SAN FRANCISCO","CA","941030000","SHAHLA DAVOUDI",,"415-957-1234","0.00","1000.00"
"2003",,"POAT03000074","001",,,"DPWAT","DPW - ARCHITECTURE","2002-10-16","2002-10-16","969536049000","REPROGRAPHIC SVCS; PUBLIC WORKS (DPW), ALL BUREAUS","ELITE REPROGRAPHICS OF THE BAY AREA, INC","363 6TH ST","SAN FRANCISCO","CA","941030000","SHAHLA DAVOUDI",,"415-957-1234","0.00","1500.00"
