"record_id","client_record_id","program_area","activity_name","race_ethnicity","income_level","age_category","supervisor_district","fiscal_year"
"1","1","Eviction Prevention","Financial Assistance (moving costs, security deposits, utilities, last month's rent) / Rapid Re-Housing","White","Extremely Low Income","35-44","6","2015-16"
"2","2","Eviction Prevention","Case Management / Rapid Re-Housing","Hispanic/Latino","Extremely Low Income","35-44","6","2015-16"
"3","3","Eviction Prevention","Rental Assistance / Rapid Re-Housing","Other","Extremely Low Income","16-24","6","2015-16"
"4","4","Legal Services","Counseling","Asian/Pacific Islander","Extremely Low Income","35-44","4","2015-16"
"5","5","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","25-34","11","2015-16"
"16","16","Access to Housing","Counseling","Other","Extremely Low Income","16-24","10","2015-16"
"27","27","Access to Housing","Counseling","White","Extremely Low Income","35-44","6","2015-16"
"38","38","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","45-54","9","2015-16"
"49","49","Access to Housing","Applications for Affordable Rental Units","Hispanic/Latino","Extremely Low Income","25-34","6","2015-16"
"60","49","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","16-24","6","2015-16"
"71","71","Access to Housing","Counseling","Hispanic/Latino","Low Income","45-54","6","2015-16"
"82","82","Access to Housing","Counseling","Black/African American","Extremely Low Income","35-44","1","2015-16"
"93","93","Access to Housing","Counseling","Other","Extremely Low Income","16-24","10","2015-16"
"104","104","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","25-34","9","2015-16"
"115","115","Legal Services","Employment Rights Education and Counseling","Asian/Pacific Islander","Extremely Low Income","45-54","3","2015-16"
"116","116","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","25-34","9","2015-16"
"127","127","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","16-24","10","2015-16"
"138","138","Access to Housing","Counseling","Other","Extremely Low Income","35-44","10","2015-16"
"149","149","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","35-44","5","2015-16"
"160","160","Access to Housing","Counseling","Black/African American","Extremely Low Income","16-24","6","2015-16"
"171","171","Access to Housing","Counseling","Hispanic/Latino","Low Income","25-34","10","2015-16"
"182","182","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","25-34","9","2015-16"
"193","193","Access to Housing","Counseling","Black/African American","Extremely Low Income","16-24","10","2015-16"
"204","204","Access to Housing","Counseling","Other","Extremely Low Income","25-34","Outside San Francisco","2015-16"
"215","215","Access to Housing","Counseling","White","Extremely Low Income","45-54","8","2015-16"
"226","226","Legal Services","Counseling","Asian/Pacific Islander","Extremely Low Income","45-54","2","2015-16"
"227","227","Access to Housing","Counseling","Other","Extremely Low Income","16-24","Outside San Francisco","2015-16"
"238","238","Access to Housing","Counseling","Black/African American","Extremely Low Income","16-24","10","2015-16"
"249","249","Access to Housing","Counseling","Black/African American","Extremely Low Income","16-24","Outside San Francisco","2015-16"
"260","260","Access to Housing","Applications for Affordable Rental Units","Other","Extremely Low Income","25-34","1","2015-16"
"271","260","Access to Housing","Counseling","Other","Extremely Low Income","25-34","1","2015-16"
"282","282","Access to Housing","Counseling","Other","Extremely Low Income","25-34","10","2015-16"
"293","293","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","25-34","10","2015-16"
"304","304","Access to Housing","Counseling","Hispanic/Latino","Low Income","45-54","9","2015-16"
"315","315","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","35-44","9","2015-16"
"326","326","Access to Housing","Applications for Affordable Rental Units","Hispanic/Latino","Extremely Low Income","25-34","Unmatched","2015-16"
"337","337","Legal Services","Counseling","Asian/Pacific Islander","Low Income","16-24","9","2015-16"
"338","326","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","16-24","Unmatched","2015-16"
"349","349","Access to Housing","Applications for Affordable Rental Units","Asian/Pacific Islander","Extremely Low Income","35-44","11","2015-16"
"360","349","Access to Housing","Counseling","Asian/Pacific Islander","Extremely Low Income","35-44","11","2015-16"
"371","371","Access to Housing","Counseling","Other","Extremely Low Income","25-34","9","2015-16"
"382","382","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","45-54","10","2015-16"
"393","393","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","25-34","11","2015-16"
"404","404","Access to Housing","Counseling","Hispanic/Latino","Extremely Low Income","25-34","11","2015-16"
"415","415","Access to Housing","Applications for Affordable Rental Units","Hispanic/Latino","Low Income","35-44","8","2015-16"
"426","415","Access to Housing","Counseling","Hispanic/Latino","Low Income","35-44","8","2015-16"
"437","437","Access to Housing","Counseling","Other","Extremely Low Income","25-34","10","2015-16"
"448","448","Legal Services","Counseling","Asian/Pacific Islander","Low Income","35-44","3","2015-16"
"449","449","Access to Housing","Applications for Affordable Rental Units","Black/African American","Extremely Low Income","25-34","5","2015-16"
"460","449","Access to Housing","Counseling","Black/African American","Extremely Low Income","25-34","5","2015-16"
