"department_name","strategic_goal","measure_title","measure_description","measure_methodology","measure_data_type","fiscal_year","end_calendar_year","target","mid_year_result","mid_year_projection","full_year_result","data_notes"
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2017-18","2018","1350000","602772","1188569","1295000",
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2018-19","2019","1350000","648600","1248300","1332080",
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2019-20","2020","1259000","635000","1205000","815703",
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2020-21","2021","1125000",,"238762","233732",
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2021-22","2022","631500","384277","845938",,
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2022-23","2023","1059983",,,,
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of visitors","Number of visitors to Aquarium and Academy.","Collection Method: Data collected by scanning tickets upon entry. The scans update data in Galaxy.   Timing:  Attendance reports are available daily.","Numeric","FY2023-24","2024","1136985",,,,"No public data notes."
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of volunteer hours","Total number of volunteer hours on an annual basis","Collection Method: Collected on daily sign in/out sheets.  Information is entered in to an access database monthly and housed on our network in the Volunteer Services department. Timing:  Sign in/out sheets are available daily.  Access database is updated and available monthly.  Currently we are producing a report annualy.","Numeric","FY2017-18","2018","65000","28597","67000","59988",
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of volunteer hours","Total number of volunteer hours on an annual basis","Collection Method: Collected on daily sign in/out sheets.  Information is entered in to an access database monthly and housed on our network in the Volunteer Services department. Timing:  Sign in/out sheets are available daily.  Access database is updated and available monthly.  Currently we are producing a report annualy.","Numeric","FY2018-19","2019","65000","30348","63000","65488",
"ACADEMY OF SCIENCES","Educate and inspire the world","Number of volunteer hours","Total number of volunteer hours on an annual basis","Collection Method: Collected on daily sign in/out sheets.  Information is entered in to an access database monthly and housed on our network in the Volunteer Services department. Timing:  Sign in/out sheets are available daily.  Access database is updated and available monthly.  Currently we are producing a report annualy.","Numeric","FY2019-20","2020","65000","32177","65000","44792.12",
