"the_geom","objectid","landuse","blklot","nameaddr","entitled","beststat","bestdate","units","tco_date","tco_unit","unitsnet","pipeline_u","affordable","affordab_1","section415","aff_target","tenure_typ","caseno","descript","dbidesc","total_gsf","net_gsf","cie_exist","cie","cienet","med_exist","med","mednet","mips_exist","mips","mipsnet","pdr_exist","pdr","pdrnet","ret_exist","ret","retnet","restaurant","restaura_1","visit_exis","visit","visitnet","hotel_room","hotel_ro_1","hotel_ro_2","planner","sponsor","contact","contactph","da","legalizati","adu","year_","qtr","year_qtr","tcocfc_dat","tcocfc_uni","pd","sd","nhood_37","nhood_41","plans","zoning","height_bul","pda","sud","latitude","longitude",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"POINT (-122.40166128836407 37.78207857162966)","47","Vacant","3733093","266 04TH ST","1","CONSTRUCTION","2019-02-20T00:00:00.000","0",,"0","0","0","0","0",,,,,,"ERECT CENTRAL TRANSIT SUBWAY STATION.","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","BFU",,,,,"0","0","2021","Q3","2021_Q3",,"0","9 - South of Market","6","South of Market","South of Market","Downtown Streetscape Plan; Central SoMa","MUR","180-CS","Downtown/Van Ness/Northeast Neighborhoods PDA","Youth and Family Zone; Central SoMa","37.7820785716","-122.401661288","32","32","1","10","34"
"POINT (-122.50511170831527 37.744063871708406)","139","Resident","2303016","2277 46TH AV","1","BP APPROVED","2018-07-13T00:00:00.000","2",,"0","1","1","0","0",,,,"2015-006562PRJ","LEGALIZE 2ND DWELLING UNIT AT THE GROUND FLOOR PER ORD #43-14. (N) KITCHEN ON 1ST FL.","(N) KITCHEN ON 1ST FL & LEGALIZE IN-LAW DWELLING UNIT UNDER ORD #43-14","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","NKWIATKO",,"NIU RONG A",,,"1","0","2021","Q3","2021_Q3",,"0","15 - Outer Sunset","4","Parkside","Sunset/Parkside",,"RH-1","40-X","Sunset Corridors PDA",,"37.7440638717","-122.505111708","39","39","10","7","35"
"POINT (-122.41704603015691 37.73550220971808)","245","CIE","5744001","650 ANDOVER ST","1","PL Approved","2017-06-12T00:00:00.000","1",,"0","-1","-1","0","0",,,,"2015-015866PRJ","Conversion of one dwelling unit to a Community Facility within an existing two unit residence",,"1500","1500","0","1500","1500","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","ESAMONSK","Quickdraw Permit Consulting",,"4155521888",,"0","0","2021","Q3","2021_Q3",,"0","11 - Bernal Heights","9","Bernal Heights","Bernal Heights",,"RH-2","40-X",,"Bernal Heights","37.7355022097","-122.41704603","61","61","9","2","2"
"POINT (-122.38510692587315 37.7133440211036)","272","Retail/Ent","5000001","490 JAMESTOWN AV","1","BP FILED","2015-10-27T00:00:00.000","0",,"0","0","0","0","0",,,,,,"BLDG #8. ERECT 1-STORY, TYPE 2-B, NO BASEMENT. NEW RETAIL BUILDING.","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0",,,,,"CP HPS II","0","0","2021","Q3","2021_Q3",,"0","10 - South Bayshore","10","Bayview","Bayview Hunters Point","Candlestick Point; Bayview Hunters Point","P","CP","Bayview/Southeast Neighborhoods PDA","Candlestick Pt Activity Node","37.7133440211","-122.385106926","79","79","2","9","1"
"POINT (-122.40918920268483 37.77468323479504)","397","Mixres","3755054","349 08TH ST","1","CONSTRUCTION","2020-02-19T00:00:00.000","38",,"0","38","0","6","6","BMR Ownership",,,"2015-004085PRJ","Construct a new 5-story mixed-use residential building consisting of 38 residential units with associated private and common open space.",,"1236.0","1236","0","0","0","0","0","0","0","0","0","0","0","0","0","1236.0","1236","0","0","0","0","0","0","0","0","KDURANDE",,,"415-649-6202",,"0","0","2021","Q3","2021_Q3","2021-08-31T00:00:00.000","38","9 - South of Market","6","South of Market","South of Market","Western SoMa (EN)","WMUG","55-X","Eastern Neighborhoods PDA","Western SoMa","37.7746832348","-122.409189203","32","32","1","10","34"
"POINT (-122.48004505725093 37.75450634697926)","419","Resident","2027012A","1779 22ND AV","0","BP FILED","2016-09-13T00:00:00.000","2",,"0","1","1","0","0",,,,,,"CONVERT EXISTING GROUND FLOOR IN-LAW UNIT FOR A LEGAL IN-LAW DWELLING UNIT PER ORD 43-14.","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","ADINASEE",,,,,"1","0","2021","Q3","2021_Q3",,"0","15 - Outer Sunset","4","Outer Sunset","Sunset/Parkside",,"RH-1","40-X","Sunset Corridors PDA",,"37.754506347","-122.480045057","39","39","10","7","35"
"POINT (-122.43278608393223 37.777029889754886)","461","Resident","0798055","802 - 808 STEINER ST","1","BP ISSUED","2019-12-19T00:00:00.000","1",,"0","1","1","0","0",,,,"2014.0020","Construction of three new four-story residential buildings containing a total of eight dwelling units (19,071 sf) over one level of below-grade parking (16 spaces).","TO ERECT 4 STORIES, SINGLE FAMILY RESIDENTIAL BUILDING. AS ""808 STEINER STREET, BLOCK 0798 LOT 055""","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0",,,,,,"0","0","2021","Q3","2021_Q3",,"0","5 - Western Addition","5","Western Addition","Hayes Valley",,"RH-3","40-X","Central City Neighborhoods PDA",,"37.7770298898","-122.432786084","23","23","4","11","9"
"POINT (-122.39282253214635 37.73442321286864)","592","Resident","5327027","1782 QUESADA AV","1","BP ISSUED","2018-10-12T00:00:00.000","2",,"0","2","2","0","0",,,,"2017-003299PRJ","TO ERECT 4 STORIES, 1 BASEMENT, TYPE VA, 2 UNITS RESIDENTIAL DWELLINGS.","TO ERECT 4 STORIES, 1 BASEMENT, TYPE VA, 2 UNITS RESIDENTIAL DWELLINGS.","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","LIAJELLO","Studio 12 Architecture","Jeff Burris","415-503-0212",,"0","0","2021","Q3","2021_Q3",,"0","10 - South Bayshore","10","Bayview","Bayview Hunters Point","Bayview Hunters Point","RH-2","40-X","Bayview/Southeast Neighborhoods PDA","3rd St Alcohol Restrict","37.7344232129","-122.392822532","87","87","2","9","1"
"POINT (-122.40360683729766 37.79523498592643)","633","Resident","0208028","655 MONTGOMERY ST","0","BP Filed","2017-06-15T00:00:00.000","33",,"0","0","0","0","0",,,,,,"GROUND FLOOR:CONVERT VACANT RESTAURANT SPACE TO BLDG OFFICE, CONFERENCE AND LOUNGE. NEW RESTROOMS AN","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0",,,,,,"0","0","2021","Q3","2021_Q3",,"0","3 - Northeast","3","Financial District","Chinatown","Downtown","C-3-O","200-S","Downtown/Van Ness/Northeast Neighborhoods PDA",,"37.7952349859","-122.403606837","104","104","6","3","6"
"POINT (-122.41498373323691 37.80284522964914)","739","Vacant","0066003","2205 TAYLOR ST","1","PL Approved","2018-01-24T00:00:00.000","6",,"0","1","1","0","0",,,,"2017-010477PRJ","Variance from the exposure requirements to permit the addition of an Accessory Dwelling Unit (ADU) in the existing rear yard.",,"0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","MCHANDLE","Drafting Green",,"8132972958",,"0","0","2021","Q3","2021_Q3",,"0","3 - Northeast","3","Russian Hill","Russian Hill",,"RM-1","40-X","Downtown/Van Ness/Northeast Neighborhoods PDA",,"37.8028452296","-122.414983733","107","107","6","3","32"
