"landuse","blklot","nameaddr","entitled","beststat","bestdate","units","unitsnet","affordable","affordablenet","section415","aff_target","tenure_type","caseno","descript","dbidesc","total_gsf","net_gsf","cie_exist","cie","cienet","med_exist","med","mednet","mips_exist","mips","mipsnet","pdr_exist","pdr","pdrnet","ret_exist","ret","retnet","restaurant","restaurantnet","visit_exist","visit","visitnet","hotel_room_exist","hotel_room_prop","hotel_room_net","planner","sponsor","contact","contactph","pd","sd","pda_exist","pda_proposed","nhood_37","nhood_41","plans","zoning","height_bulk","sud","latitude","longitude","geocoded_column",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"Resident","1026005","2704 CALIFORNIA ST","0","BP Filed","2018-01-10","4","4",,"0",,,,,,"Multiple Permits","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"2 - Marina","2",,,"Pacific Heights","Pacific Heights",,"RH-2","40-X",,"37.78852438","-122.4392726","POINT (-122.4392726 37.78852438)","102","102","4","6","30"
"Resident","5898035","771 SILVER AV","1","CONSTRUCTION","2019-06-17","1","1",,,,,,,,"CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING.","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,"0","0",,,,,,"EJARDINE",,,,"12 - South Central","9",,,"Excelsior","Excelsior",,"RH-1","40-X",,"37.72921516","-122.4199169","POINT (-122.4199169 37.72921516)","92","92","9","2","7"
"Resident","0439A048","37 RICO WY","1","BP ISSUED","2019-04-01 13:09","1","1",,,,,,,,"CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,"MAYCHRIS",,,,"2 - Marina","2",,,"Marina","Marina",,"RH-1","40-X",,"37.80464747","-122.4391582","POINT (-122.4391582 37.80464747)","17","17","4","6","13"
"Resident","2376024","3734 TARAVAL ST","0","BP FILED","2017-02-28","3","1",,,,,,,,"ORD 43-14. LEGALIZATION OF GROUND FLOOR UNIT PER ORD 43-14.","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,,,,,"15 - Outer Sunset","4",,"Sunset Corridors and Forest Hill","Parkside","Sunset/Parkside",,"RM-1","40-X",,"37.74191376","-122.5063309","POINT (-122.5063309 37.74191376)","39","39","10","7","35"
"Resident","6700032","2476 DIAMOND ST","0","BP Filed","2018-01-23","1","1",,"0",,,,,,"ERECT A 3 STORIES, NO BASEMENT, TYPE V-B,  ONE FAMILY DWELLING.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"7 - Central","8",,,"Glen Park","Glen Park",,"RH-1","40-X",,"37.73855902","-122.4350835","POINT (-122.4350835 37.73855902)","96","96","9","5","10"
"Vacant","0958022","2835 VALLEJO ST","0","BP Filed","2019-03-04","0","0",,"0",,,,,,"ERECT A 1-STORY, TYPE 5B, DETACHED GARAGE BLDG.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"2 - Marina","2",,,"Pacific Heights","Pacific Heights",,"RH-1(D)","40-X",,"37.79381424","-122.4439579","POINT (-122.4439579 37.79381424)","102","102","4","6","30"
"Resident","6742027A","2783 DIAMOND ST","1","BP REINSTATED","2018-05-31 11:47","1","1",,,,,,"2016-005252PRJ","TO ERECT 4 STORIES, NO BASEMENT, SINGLE FAMILY RESIDENCE.","TO ERECT 4 STORIES, NO BASEMENT, SINGLE FAMILY RESIDENCE.","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,"0","0",,,,,,"CTOWNES",,"DAYMON DEBORAH R",,"7 - Central","8",,"J Church and Mission Corridor","Glen Park","Glen Park",,"RH-2","40-X",,"37.73497904","-122.4335651","POINT (-122.4335651 37.73497904)","96","96","9","5","10"
"Resident","6544020","610 CLIPPER ST","1","BP ISSUED","2018-11-08 10:32","27","6",,,,,,"2017-000618PRJ","ADDITION OF 6 NEW DWELLING UNITS TO BE BUILT WITHIN THE (E) ENVELOPE OF THE BUILDING PER ORDINANCE# 162-16.","ADDITION OF 6 NEW DWELLING UNITS TO BE BUILT WITHIN THE (E) ENVELOPE OF THE BUILDING PER ORDINANCE# 162-16.","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,"SADINA","Angela Matt Architect Inc.",,"2133612483","7 - Central","8",,,"Noe Valley","Noe Valley",,"RH-2","40-X",,"37.74888268","-122.4385831","POINT (-122.4385831 37.74888268)","51","51","3","5","22"
"Retail/Ent","3115043","625 MONTEREY BL","0","BP FILED","2016-07-08",,,,,,,,"2010.0401","The proposed project is the expansion of an existing grocery store from 19,344 sq.ft. to 40,722 sq.ft., and from 62 parking spaces to 92 parking spaces.  The site is composed of two lots (054, 043) that would be merged as part of the project.  Additionally, modifications to the existing public right-of-way and street median are planned to accomadate truck turning radius requirements.","REMODEL AND EXPANSION OF AN (E) STRUCTURE;CONST. OF NEW INTERIOR FIXTURES & FINISHES W/IN (E) & EXPANSION AREAS. WORK INCLUDES: INTERIOR FRAMING, CONCRETE, STRUCTURAL EXPANSION ELECTRICAL, PLUMBING, MECH, SPRIKLERS ALL FOR A COMPLETE GROCERY STORE. SITE P","40722","21378","0",,,"0",,,"0","6905","6905","0",,,"0","33817","14473","0","0","0",,,,,,"MBOUDREA","Fred Ponce","Fred Ponce","415-362-4662","13 - Ingleside","7",,,"Outer Mission","West of Twin Peaks",,"NC-1","32-X",,"37.73123142","-122.4495509","POINT (-122.4495509 37.73123142)","95","95","9","8","41"
"Resident","7029002B","43 RESTANI WY","1","CONSTRUCTION","2019-06-27","2","1",,"0",,,,,,"UNIT LEGALIZATION ORD 43-14. LEGALIZE (E) KITCHEN AND CONSTRUCT (N) HALLWAY AND (N) UNIT 2. ALL WORK","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"12 - South Central","11","Mission-San Jose Corridor","Balboa Park and Southwest Corridors","Outer Mission","Outer Mission",,"RH-1","40-X",,"37.71773081","-122.4436353","POINT (-122.4436353 37.71773081)","80","80","9","1","28"
"Resident","1742014","1275 08TH AVE","0","PL FILED","2018-07-27","25","1",,,,,,"2018-008232PRJ","LEGALIZE (E) DWELLING UNIT AT 1ST FLR PER ORD# 43-14. PLANNING CODE SECTION 207.3, NEW UNIT INCLUDED BEDROOM, BATHROOM AND KITCHEN.",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,"DWEISSGL","Xie Associates Inc.",,"4156523047","14 - Inner Sunset","5",,"Central City Neighborhoods","Inner Sunset","Inner Sunset",,"RH-2","40-X",,"37.76456145","-122.4655998","POINT (-122.4655998 37.76456145)","109","109","10","11","14"
"Resident","3054003","580 MELROSE AV","0","BP Filed","2018-08-21","2","1",,"0",,,,,,"VERTICAL & HORIZONTAL ADDITION. ACCESSORY DWELLING UNIT ADDITION OF NEW 3RD FL WITH KITCHEN, BATH, L","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"13 - Ingleside","7",,,"West of Twin Peaks","West of Twin Peaks",,"RH-1(D)","40-X",,"37.73332708","-122.4537169","POINT (-122.4537169 37.73332708)","117","117","9","8","41"
"Mixres","6631049","497 29TH ST","1","CONSTRUCTION","2019-06-05","4","1",,"0",,,,"2016-013458PRJ","ADD 1 UNIT = STUDIO UNIT WITH KITCHEN & 1 BATHROOM. REMODEL AN (E) UNIT.  Addition of (1) ground floor ADU.  Removal/replacement of existing stairs and deck at rear, per plans.  Interior tenant improvements for existing unit at first floor.  Per CHA #2018-K574763 and NSR #2018-K574762 recorded 02/01/2018","ADD 1 UNIT = STUDIO UNIT WITH KITCHEN & 1 BATHROOM. REMODEL AN (E) UNIT. SOFT STORY APPROVED PER #2016-0822-5608.","500","0",,,"0",,,"0",,,"0",,,"0",,"500","0",,"0",,,"0",,,,"SADINA","Hood Thomas",,"4153852303","7 - Central","8","Mission-San Jose Corridor","J Church and Mission Corridor","Noe Valley","Noe Valley",,"RH-2","40-X",,"37.74325264","-122.4308869","POINT (-122.4308869 37.74325264)","84","84","9","5","22"
"Resident","6652035","18 HARPER ST","0","BP Filed","2018-08-30","3","1",,"0",,,,,,"LEGLAIZE UNIT ORD 43-14. ADD ELECTRIC CIRCUITS, CHANGE WATER LINES, SPRINKLERS & WATER INES. DEMOLIT","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"7 - Central","8","Mission-San Jose Corridor","J Church and Mission Corridor","Glen Park","Glen Park",,"RH-2","40-X",,"37.74130028","-122.4301511","POINT (-122.4301511 37.74130028)","59","59","9","5","10"
