"permit_no","description","site_address","site_city","site_zip","site_number","site_apn","parent_permit_no","reference_no","business_license","site_description","fees_charged","fees_paid","site_streetname","jobvalue","expired","balance_due","approved","issued","applied","subtype","finaled","type","site_subdivision","status","bldg_sf","project_number","other_date1","prefix","garage_sf","site_geotype","no_units","valid_for_days","application_no","paid_date","geocoded_column","duration","processing_time"
"13-00982",,,,,,,,,,,,,,"0","2013-08-27T00:00:00.000","0",,,"2013-02-28T00:00:00.000","BLD COMMERCIAL",,"BLD PLAN CHECK",,"EXPIRED","0",,,"BLD","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"13-05676","570 SCENIC AVE. JOB #",,,,,,,,,,"911.88","0",,"0","2014-06-03T00:00:00.000","911.88",,,"2013-12-05T00:00:00.000","PGE",,"ENCROACHMENT",,"EXPIRED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"13-05277","T/A DRAW DOWN ACCOUNT - BIGGE CRANE & RIGGING","ADK",,,,,,,,,"16","16","ADK","0","2014-05-07T00:00:00.000","0",,,"2013-11-08T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"EXPIRED","0",,,"EN","0",,"0",,,"2014-01-17T00:00:00.000",,,
"B14-06228",,,,,,,,,,,,,,"0","2014-11-18T00:00:00.000","0",,,"2014-05-22T00:00:00.000",,,"FD PLAN REVIEW FEES",,"EXPIRED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B15-00540",,,,,,,,,,,"97.51","0",,"0","2015-08-08T00:00:00.000","97.51",,,"2015-02-09T00:00:00.000","DEMOLITION",,"BLD COMMERCIAL",,"EXPIRED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B15-00400",,,,,,,,,,,"97","0",,"0","2015-07-21T00:00:00.000","97",,,"2015-01-22T00:00:00.000",,,"BLD RESIDENTIAL",,"EXPIRED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B15-10495",,,,,,,,,,,"97","0",,"0","2016-01-09T00:00:00.000","97",,,"2015-07-13T00:00:00.000","SOLAR",,"BLD ELC RESIDENTIAL",,"EXPIRED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B16-00507","EARTHQUAKE VALVE INSTALLATION",,,,,,,,,,"266.16","0",,"250","2016-08-23T00:00:00.000","266.16",,"2016-02-25T00:00:00.000","2016-02-25T00:00:00.000","HVAC REPLACE",,"BLD MCH RESIDENTIAL",,"HOLD","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,"1"
"B16-01961",,,,,,,,,,,,,,"0",,"0",,,,,,,,,"0",,,"B16","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B18-00813",,,,,,,,,,,,,,"0",,"0",,,"2018-03-19T00:00:00.000",,,"EDT",,"APPLIED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B18-02737","STRUCTURAL ADDITION TO AN EXISTING RESIDENTCE.",,,,,,,,,,"15.4","0",,"0",,"15.4",,,"2018-09-26T00:00:00.000","ALTERATION/REPAIR",,"BLD RESIDENTIAL",,"APPLIED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B18-01623",,,,,,,,,,,"33.56","0",,"0",,"33.56",,,"2018-06-06T00:00:00.000","SOLAR",,"BLD ELC RESIDENTIAL",,"VOID","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B18-01977",,,,,,,,,,,"33.56","0",,"0",,"33.56",,,"2018-07-12T00:00:00.000","SOLAR",,"BLD ELC RESIDENTIAL",,"VOID","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B18-02354",,,,,,,,,,,"15.4","0",,"0",,"15.4",,,"2018-08-16T00:00:00.000","ALTERATION/REPAIR",,"BLD RESIDENTIAL",,"APPLIED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B19-00891",,,,,,,,,,,"444.8","444.8",,"10000",,"0",,,"2019-04-08T00:00:00.000","REROOF",,"BLD RESIDENTIAL",,"HOLD","0",,,"B","0",,"0",,,"2020-07-02T00:00:00.000","POINT (-119.662127 37.211164)",,
"B20-00358",,,,,,,,,,,,,,"0",,"0",,,"2020-02-04T00:00:00.000","BLD COMMERCIAL",,"BLD RESIDENTIAL",,"APPLIED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B20-00229",,,,,,,,,,,,,,"0",,"0",,,"2020-01-21T00:00:00.000","ALTERATION/REPAIR",,"BLD RESIDENTIAL",,"APPLIED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"B21-00311","ESTIMATE ONLY:  COMMERCIAL - 1975 SQ.FT.",,,,,,,,,,"32522.3","0",,"0",,"32522.3",,,"2021-02-04T00:00:00.000","NEW",,"BLD COMMERCIAL",,"APPLIED","1975",,,"B","0",,"1",,,,"POINT (-119.662127 37.211164)",,
"B21-00001",,,,,,,,,,,"0","0",,"0",,"0",,,"2021-01-02T00:00:00.000",,,"BLD RESIDENTIAL",,"APPLIED","0",,,"B","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"BP21-00284",,,,,,,,,,,"0","0",,"0",,"0",,,"2021-04-26T00:00:00.000","BLD RESIDENTIAL",,"BLD PLAN CHECK",,"APPLIED","0",,,"BP","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"C19-00005",,,,,,,"C19-00004",,,,,,,"0",,"0",,,"2019-04-04T00:00:00.000","BUILDING ANNUAL",,"CHEVRON ANNUAL",,"APPLIED","0","CHM08-001",,"C","0",,"0",,,,"POINT (-119.662127 37.211164)",,
