"fund_type","study_area_code","company_name","carrier","latitude","longitude","deployment_address","deployment_city","deployment_state","deployment_zip_code","deployment_date","deployment_year","census_block","locations_obligation","locations_deployed","target_build_out","milestone_certification_date","speed_tier","technology","other_technology","latency","total_state_support"
"CAF II","401691","WINDSTREAM HOLDINGS, INC.","WINDSTREAM AR","34.174600","-94.298940","126 HOCKERSMITH LN","GILLHAM","AR","71841","2019-01-01T00:00:00.000","2019","051330801001040","32312","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"13163784"
"CAF II","371568","WINDSTREAM HOLDINGS, INC.","WINDSTREAM NE","41.152481","-97.313886","2831 D RD","RISING CITY","NE","68658","2019-01-01T00:00:00.000","2019","310239678002060","21560","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"13591440"
"CAF II","170176","WINDSTREAM HOLDINGS, INC.","WINDSTREAM PA","41.324131","-79.813358","486 TITUS RD","KENNERDELL","PA","16374","2019-09-10T00:00:00.000","2019","421212015001000","34807","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"13001364"
"CAF II","245194","AT&T INC.","SOUTHERN BELL-SC","34.946936","-82.894331","205 LONG COVE CT","SUNSET","SC","29685","2016-12-31T00:00:00.000","2016","450770101001197","30458","1",,,"10 Mbps/1 Mbps",,,,"9689448"
"CAF II","442147","WINDSTREAM HOLDINGS, INC.","WINDSTREAM SUGARLAND","31.426180","-95.352400","1273 COUNTY ROAD 1545","CROCKETT","TX","75835","2019-11-15T00:00:00.000","2019","482259501004070","44580","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"21260796"
"CAF II","361123","FRONTIER COMMUNICATIONS CORPORATION","CITIZENS-FRONTIER-MN","46.488174","-93.485021","32791 NUTHATCH AVE","AITKIN","MN","56431","2015-12-31T00:00:00.000","2015","270017905012003","46910","1",,,"10 Mbps/1 Mbps",,,,"26839288"
"CAF II","445216","AT&T INC.","SOUTHWESTERN BELL-TX","29.464029","-98.281821","10435 ROSALINA LOOP","CONVERSE","TX","78109","2019-12-31T00:00:00.000","2019","480291318022034","98432","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"42078420"
"CAF II","269690","WINDSTREAM HOLDINGS, INC.","WINDSTREAM LEXINGTON","38.405301","-83.902354","9625 ELIZAVILLE RD","EWING","KY","41039","2019-01-01T00:00:00.000","2019","210699203001019","62070","1","80","2019-12-31T00:00:00.000","100 Mbps/20 Mbps",,,,"21576984"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.731101000","-84.95606950","3670 KNOX LILLARD RD","GALLATIN COUNTY","KY","41083","2019-12-13T00:00:00.000","2019","210779601012159","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.581623000","-84.458851000","2042 JOHN DENNY RD","PENDLETON COUNTY","KY","41003","2019-12-06T00:00:00.000","2019","211919302002055","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","230479","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER COMMUNICATIONS OF THE CAROLINAS, INC.","35.314994","-83.812176","285 SNOWBIRD RD","ROBBINSVILLE","NC","28771","2015-12-31T00:00:00.000","2015","370759203003051","11981","1",,,"10 Mbps/1 Mbps",,,,"3680305"
"CAF II","341037","CONSOLIDATED COMMUNICATIONS, INC.","IL CONSOLIDATED TEL","39.493091","-88.222005","7950 BEREA LN","CHARLESTON","IL","61920","2016-12-01T00:00:00.000","2016","170290005001041","12079","1",,,"10 Mbps/1 Mbps",,,,"7061444"
"CAF II","269690","WINDSTREAM HOLDINGS, INC.","WINDSTREAM LEXINGTON","37.320350","-86.411130","3244 SUNNY POINT RD","BROWNSVILLE","KY","42210","2019-01-01T00:00:00.000","2019","210619202002006","62070","1","80","2019-12-31T00:00:00.000","100 Mbps/20 Mbps",,,,"21576984"
"CAF II","361123","FRONTIER COMMUNICATIONS CORPORATION","CITIZENS-FRONTIER-MN","46.977602","-92.568174","6391 CHURCH RD","ALBORN","MN","55702","2016-04-13T00:00:00.000","2016","271370112001047","46910","1",,,"10 Mbps/1 Mbps",,,,"27551364"
"CAF II","452172","FRONTIER COMMUNICATIONS CORPORATION","CITZENS-FRNTR-RURAL","35.614683","-114.231087","16836 N NAVAJO DR","DOLAN SPRINGS","AZ","86441","2015-12-31T00:00:00.000","2015","040159504012340","22768","1",,,"10 Mbps/1 Mbps",,,,"11171418"
"CAF II","269690","WINDSTREAM HOLDINGS, INC.","WINDSTREAM LEXINGTON","37.117910","-85.109490","740 ABRELL RD","COLUMBIA","KY","42728","2019-11-15T00:00:00.000","2019","210019703002033","62070","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"21576984"
"CAF II","265182","AT&T INC.","SO CENTRAL BELL-KY","37.081203","-86.693094","1260 WS ROMANS RD","MORGANTOWN","KY","42261","2019-12-31T00:00:00.000","2019","210319304001058","84333","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"30962544"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","32.252087","-84.084951","9 OLD VFW RD","OGLETHORPE","GA","31068","2019-11-15T00:00:00.000","2019","131930003001098","64721","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"24867804"
"AK Plan","613015","MATANUSKA TELEPHONE ASSOCIATION, INC.","MATANUSKA TEL ASSOC","61.63588","-149.29256","4831 N SKYVAN CIR","WASILLA","AK","99654","2019-09-19T00:00:00.000","2019","021700010012013","39040","1",,,"100 Mbps/5 Mbps",,,,"18720342"
"CAF II","145115","CONSOLIDATED COMMUNICATIONS INC.","CONSOLIDATED COMMUNICATIONS OF VERMONT COMPANY","44.388270","-72.256717","3197 DANVILLE HILL RD","CABOT","VT","05647","2019-01-01T00:00:00.000","2019","500239540001015","28399","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"8789364"
"CAF II","431965","WINDSTREAM HOLDINGS, INC.","WINDSTREAM OK","36.768146","-96.878733","19 EAGLE DR","KAW CITY","OK","74641","2019-01-01T00:00:00.000","2019","400710012001121","16741","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"7788216"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","34.556394","-83.176683","105 JENKINS FERRY RD","MARTIN","GA","30557","2019-01-01T00:00:00.000","2019","132579702003128","64721","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"24867804"
"CAF II","445216","AT&T INC.","SOUTHWESTERN BELL-TX","30.05694525","-94.26274254","2033 S MEEKER RD","BEAUMONT","TX","77713","2019-12-31T00:00:00.000","2019","482450114001078","98432","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"42078420"
"CAF II","145115","CONSOLIDATED COMMUNICATIONS INC.","CONSOLIDATED COMMUNICATIONS OF VERMONT COMPANY","44.804224","-72.481811","984 MINES RD","LOWELL","VT","05847","2019-01-01T00:00:00.000","2019","500199517001021","28399","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"8789364"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.7966751","-84.7330617","1330 WALNUT LICK","GALLATIN COUNTY","KY","41092","2019-12-20T00:00:00.000","2019","210779601021060","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","170176","WINDSTREAM HOLDINGS, INC.","WINDSTREAM PA","39.982005","-80.137573","515 CRAIG RUN RD","WAYNESBURG","PA","15370","2019-09-10T00:00:00.000","2019","420599703004002","34807","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"13001364"
"AK Plan","613015","MATANUSKA TELEPHONE ASSOCIATION, INC.","MATANUSKA TEL ASSOC","61.62618","-149.33917","4405 E ECHO AVE","WASILLA","AK","99654","2019-09-17T00:00:00.000","2019","021700010011007","39040","1",,,"100 Mbps/5 Mbps",,,,"18720342"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","34.795820","-83.846593","1129 BURT NIX RD","BLAIRSVILLE","GA","30512","2019-01-01T00:00:00.000","2019","132910002032000","64721","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"24867804"
"CAF II","269690","WINDSTREAM HOLDINGS, INC.","WINDSTREAM LEXINGTON","37.157791","-84.816934","2820 N HIGHWAY 837","SCIENCE HILL","KY","42553","2019-01-01T00:00:00.000","2019","211999303004010","62070","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"21576984"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","34.470060","-84.261770","110 WILDCAT LN","BIG CANOE","GA","30143","2019-11-15T00:00:00.000","2019","130859701003038","64721","1","80","2019-12-31T00:00:00.000","100 Mbps/20 Mbps",,,,"24867804"
"CAF II","210336","WINDSTREAM HOLDINGS, INC.","WINDSTREAM FL","29.874796","-82.692885","297 SW GIDEON PL","FORT WHITE","FL","32038","2019-01-01T00:00:00.000","2019","120231109032041","17891","1","80","2019-12-31T00:00:00.000","100 Mbps/20 Mbps",,,,"5236620"
"CAF II","269690","WINDSTREAM HOLDINGS, INC.","WINDSTREAM LEXINGTON","38.131655","-84.659542","300 LANSING LN","MIDWAY","KY","40347","2019-01-01T00:00:00.000","2019","212390504001066","62070","1","80","2019-12-31T00:00:00.000","100 Mbps/20 Mbps",,,,"21576984"
"CAF II","320750","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER OF INDIANA","38.437363","-87.096342","9771 E STATE ROAD 56","OTWELL","IN","47564","2016-05-31T00:00:00.000","2016","181259539002062","59894","1",,,"10 Mbps/1 Mbps",,,,"22815084"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.77359","-84.7674131","110 MILLERS RIDGE","GALLATIN COUNTY","KY","41095","2019-12-20T00:00:00.000","2019","210779601021065","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","105111","CONSOLIDATED COMMUNICATIONS INC.","NORTHERN NEW ENGLAND TELEPHONE OPERATIONS LLC","45.329715","-67.701057","81 TALMADGE RD","TALMADGE","ME","04492","2019-01-01T00:00:00.000","2019","230299551003079","35500","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"13289220"
"CAF II","150072","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-AUSABLE VAL","42.719472","-75.449893","663 COUNTY ROAD 24","SHERBURNE","NY","13460","2016-02-17T00:00:00.000","2016","360179701001078","45610","1",,,"10 Mbps/1 Mbps",,,,"17406372"
