"application_number","form_version","form_pdf","application_status","application_nickname","filing_window","applicant_name","billed_entity_address","billed_entity_city","billed_entity_state","billed_entity_zip_code","billed_entity_zip_code_ext","billed_entity_number","fcc_registration_number","applicant_type","applicant_subtype","contact_name","contact_phone","contact_email","consulting_firm","total_student_count","urban_rural_status","selected_members_entity_data","total_count_of_selected_members","unmet_student_needs_1","unmet_student_needs_2","unmet_student_needs_3","unmet_student_needs_4","unmet_student_needs_5","unmet_student_needs_6","unmet_student_needs_7","unmet_student_needs_8","unmet_student_needs_9","unmet_student_needs_10","unmet_student_needs_11","unmet_student_needs_12","total_funding_commitment_request_amount","certified_datetime","window_status","last_updated_datetime","funding_request_number","funding_request_status","funding_request_nickname","service_type","agreement_contract_type","service_provider_name","service_provider_identification_number","service_start_date","service_end_date","invoicing_method","new_construction_self_provisioned_network","funding_request_narrative","frn_recurring_charges","frn_one_time_charges","frn_total_charges","frn_approved_amount","recipients_of_service_entity_data","frn_total_count_of_recipients_of_service","invoice_deadline_date","service_delivery_date","obligation_file","fcdl_date","fcdl_comment_for_frn","frn_authorized_disbursement","frn_line_id","product_type","product_make","product_model","connection_type","bandwidth_download","bandwidth_upload","firewall_included","network_equipment_type","network_equipment_make_model","monthly_recurring_unit_cost","monthly_quantity","line_id_months_of_service","line_total_recurring_costs","one_time_unit_cost","one_time_unit_quantity","line_total_one_time_costs","line_total_cost"
"ECF202103034","Current",,"Committed","SPS-FY2021-ECF","ECF Window 1","SHONTO PREPARATORY SCHOOL DISTRICT","PO BOX 7900","SHONTO","AZ","86054",,"223981","0013916028","School District","Public School District","Kyle Hemstreet","928-640-3879","edgewaterit@gmail.com","{EDGEWATER IT|16075523}","430","Rural",,,"317","317","317","365","15","15","265","340","265","0","25","25","268497.5","2021-08-13T02:22:00.000","In Window","2022-04-26T09:16:24.000","ECF2190021125","Funded","Hotspots - Cellular One","Equipment","Contract","SMITH BAGLEY, INC.","143000989","2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Service Provider - FCC Form 474 (SPI Form)",,"Mobile Hotspots for Elementary, Junior High School, and High School Students in areas where Cellular One provides the best cellular data signal in the very remote and rural areas on the Navajo Reservation","0","22497.5","22497.5","22497.5",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","2","2021-10-12T00:00:00.000","Approved as Submitted.","0","1","Wi-Fi hotspots","Franklin","717 Wifi Hotspot",,,,,,,"0","0","0","0","89.99","250","22497.5","22497.5"
"ECF202100769","Current",,"Committed","Hartford PL 2021 ECF","ECF Window 1","HARTFORD PUBLIC LIBRARY","12 CHURCH ST. PO BOX 8","HARTFORD","MI","49057","0008","131337","0020625125","Library","Public Library","Janelle  Morgan","989-283-1200","jmorgan@elitefund.com","{ELITE FUND INC|16043589}",,"Rural",,,,,,,,,,,,,,,"15699.79","2021-07-07T08:28:48.000","In Window","2022-01-19T15:24:43.000","ECF2190000718","Funded","Amazon Fire HD Kids Pro Tablet $199.99","Equipment","Non-Contracted","AMAZON",,"2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Applicant - FCC Form 472 (BEAR Form)",,"This is for 8 Amazon Fire HD Pro kids tablets for patron use.","0","1599.92","1599.92","1599.92",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","1","2021-09-24T00:00:00.000","Approved as submitted.","1339.9","1","Tablets","Amazon Fire HD Kids Pro Tablet","Amazon Fire HD Kids Pro Tablet",,,,,,,"0","0","0","0","199.99","8","1599.92","1599.92"
"ECF202100334","Current",,"Committed","2021-22 ECF Application","ECF Window 1","ECOLE BILINGUE DE BERKELEY","1009 HEINZ AVE","BERKELEY","CA","94710",,"17007851","0026009076","School","Pre-K,Private School","Maer Ben-Yisrael","510-809-0624","tech@eb.org",,"395","Urban",,,"300","0","0","200","0","0","125","0","0","0","0","0","49700","2021-06-29T11:50:10.000","In Window","2022-08-16T17:56:23.000","ECF2190000275","Funded","2021-22 ECF Funding Req iPads","Equipment","Non-Contracted","APPLE INC.","143052953","2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Applicant - FCC Form 472 (BEAR Form)",,"Qty: 50 iPad 10.2 Inch 128 GB Wi-fi only model","0","19700","19700","19700",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","4","2021-11-08T00:00:00.000","Approved as submitted.","11190","1","Tablets","Apple","iPad 10.2 inch 128GB",,,,,,,"0","0","0","0","394","50","19700","19700"
"ECF202103108","Current",,"Committed","Boscobel Area School District - Chromebooks","ECF Window 1","BOSCOBEL AREA SCHOOL DISTRICT","1110 PARK ST","BOSCOBEL","WI","53805","1749","133028","0012046595","School District","Public School District","Bryanda Ramirez","661-716-1840","bramirez@infinitycomm.com","{E-RATE 360 SOLUTIONS, LLC|16048893},{INFINITY COMMUNICATIONS & CONSULTING|16043605}","773","Rural",,,"300","41","41","578","41","41","300","41","41","0","0","0","50000","2021-07-23T18:05:36.000","In Window","2021-09-24T12:35:02.000","ECF2190003259","Funded","Chromebooks","Equipment","Contract","TECHNOLOGY RESOURCE ADVISORS, INC.","143032857","2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Applicant - FCC Form 472 (BEAR Form)",,"(125) Lenovo Chromebooks","0","50000","50000","50000",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","1","2021-09-24T00:00:00.000","The funding request amount for Connected Device was reduced from $402.00 per connected device to $400.00 per connected device to remove the amount that exceeds the cap amount.","50000","1","Tablets","Lenovo","300e",,,,,,,"0","0","0","0","400","125","50000","50000"
"ECF202103413","Current",,"Committed","ECF1 Gloversville - Equipment","ECF Window 1","GLOVERSVILLE ENLARGED DISTRICT","234 LINCOLN STREET, PO BOX 593","GLOVERSVILLE","NY","12078",,"124073","0003443207","School District","Public School District","Shaneka N. Bratton","516-801-7806","sbratton@e-ratecentral.com","{E-RATE CENTRAL|16060891}","3536","Urban",,,"1500","45","0","2300","90","0","2000","0","0","0","0","0","602975","2021-07-29T10:37:54.000","In Window","2021-09-24T12:35:02.000","ECF2190003596","Funded","ECF1 - Gloversville - SHI - Equipment","Equipment","Non-Contracted","SHI INTERNATIONAL CORPO.","143012572","2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Service Provider - FCC Form 474 (SPI Form)",,"The Gloversville Enlarged City School District is seeking to purchase 2,000 Chromebooks for students who would otherwise lack access to sufficient devices to learn.","0","602975","602975","602975",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","1","2021-09-24T00:00:00.000","Approved as Submitted","602570","2","Laptops","Dell","NPN-BNDLE-JOJW4-1",,,,,,,"0","0","0","0","357.73","500","178865","178865"
"ECF202101019","Current",,"Committed","Success Prep ECF 471 2021","ECF Window 1","SUCCESS PREPARTORY ACADEMY","4621 CANAL ST","NEW ORLEANS","LA","70119",,"16048451","0027117209","School","Charter School,Public School","Sarah D. Hayes","225-283-4822 Ext. 102","sarah@ecserate.org","{EDUCATIONAL CONSULTING ASSOCIATES|17011185}","424","Urban",,,"30","0","0","410","0","0","360","0","0","0","0","0","84264","2021-07-02T13:00:35.000","In Window","2022-08-02T09:54:01.000","ECF2190001287","Funded","Chrome books- CDW","Equipment","Non-Contracted","CDW GOVERNMENT LLC","143005588","2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Applicant - FCC Form 472 (BEAR Form)",,"The school is requesting an FRN for 360 chrome books at $235 each","0","83190","83190","83190",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","1","2021-09-24T00:00:00.000","Approved as submitted.","76440","1","Laptops","HP Chromebook","11 G 11.6""",,,,,,,"0","0","0","0","235","354","83190","83190"
"ECF202101420","Current",,"Committed","OLQOP ECF1","ECF Window 1","OUR LADY QUEEN OF PEACE SCHOOL","5915 N BELT W","BELLEVILLE","IL","62223","4222","72634","0011861333","School","Private School","Jill Dare","618-927-4408 Ext. 1","4jdare@gmail.com","{AJD CONSULTING SERVICES|16062967}","211","Urban",,,"50","0","0","25","0","0","30","0","0","20","0","0","10132.96","2021-07-05T12:32:39.000","In Window","2022-08-16T17:56:23.000","ECF2190001431","Funded","MS Chromebooks","Equipment","Non-Contracted","AMAZON",,"2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Applicant - FCC Form 472 (BEAR Form)",,"Mobile devices to assist in closing the homework gap; especially during remote learning.","0","1907.96","1907.96","1907.96",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","1","2021-09-24T00:00:00.000","As submitted","0","2","Laptops","Acer","5 A515",,,,,,,"0","0","0","0","368","1","368","368"
"ECF202104463","Current",,"Committed","FY 22 ECF Bus Wifi","ECF Window 1","RANDOLPH CENTRAL SCHOOL DIST","18 MAIN ST","RANDOLPH","NY","14772","1112","125051","0009495854","School District","Public School District","Mike Frame","716-358-6161","mframe@randolphcsd.org","{ERIE 1 BOCES E-RATE CONSULTANTS|16079721}","905","Rural",,,"350","232","163","350","210","148","0","210","0","0","0","0","110620.4","2021-07-29T10:15:48.000","In Window","2022-01-19T15:24:43.000","ECF2190005213","Funded","Bus Wi-Fi Equipment","Equipment","Contract","KAJEET, INC.","143034849","2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Service Provider - FCC Form 474 (SPI Form)",,"With being a rural school district, we have many areas of our district that have limited or no broadband access at home.  We selected a system that allows for multiple carriers simultaneously as we have geographical areas where one carrier works and another doesn’t, just a few miles down the road it will be the opposite carrier.  For students who may not have access to Wi-Fi at home, Wi-Fi on the bus allows us to extend the classroom environment as if they never left their desks, allowing them to work on homework while traveling. If we become in the situation where we were in about a year ago, we would be able to strategically position buses throughout our district to provide hot spot areas for those underserved students.","0","76191.32","76191.32","76191.32",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","2","2021-10-12T00:00:00.000","Approved as submitted.","65317.56","2","Routers","Cradlepoint","IBR1700",,,,,,,"0","0","0","0","1609","28","45052","45052"
"ECF202105682","Current",,"Committed","laptops/hot spots","ECF Window 1","SHELL KNOB SCHOOL DIST 78","24400 STATE HIGHWAY 39","SHELL KNOB","MO","65747",,"137511","0007169543","School District","Public School District","Shelly Fransen","417-858-6743 Ext. 235","shellknobschool@shellknob78.com","{FRED NORMAN|17000231},{E2E EXCHANGE, LLC|16043595}","151","Rural",,,"40","60","40","20","0","0","151","151","151","20","0","20","19909.21","2021-07-30T14:02:17.000","In Window","2021-09-24T12:35:02.000","ECF2190006421","Funded","KBS","Equipment","Non-Contracted","KBS INTERNATIONAL LLC",,"2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Applicant - FCC Form 472 (BEAR Form)",,"hp chromebooks to asstin virtual classrooms","0","9599.2","9599.2","9599.2",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","1","2021-09-24T00:00:00.000","Approved as submitted","0","1","Laptops","HP Chrome book","MT8183. SKU# 11a-na0010nr",,,,,,,"0","0","0","0","239.98","40","9599.2","9599.2"
"ECF202105682","Current",,"Committed","laptops/hot spots","ECF Window 1","SHELL KNOB SCHOOL DIST 78","24400 STATE HIGHWAY 39","SHELL KNOB","MO","65747",,"137511","0007169543","School District","Public School District","Shelly Fransen","417-858-6743 Ext. 235","shellknobschool@shellknob78.com","{FRED NORMAN|17000231},{E2E EXCHANGE, LLC|16043595}","151","Rural",,,"40","60","40","20","0","0","151","151","151","20","0","20","19909.21","2021-07-30T14:02:17.000","In Window","2021-09-24T12:35:02.000","ECF2190006428","Funded","shell/cornor store","Equipment","Non-Contracted","THE CORNER STORE AKA :HATZLACHA LLC",,"2021-07-01T00:00:00.000","2022-06-30T00:00:00.000","Applicant - FCC Form 472 (BEAR Form)",,"more advance chrome books for advanced streaming","0","5946.81","5946.81","5946.81",,,"2023-08-29T00:00:00.000","2023-06-30T00:00:00.000","1","2021-09-24T00:00:00.000","Approved as submitted","0","1","Laptops","hp chromebook","14b-ca0010nr,",,,,,,,"0","0","0","0","312.99","19","5946.81","5946.81"
