"program","application_number","funding_year","hcp_number","hcp_name","status","applicant_type","site_consortium_name","site_address_line_1","site_address_line_2","site_city","site_county","site_state","site_zip_code","participating_site_locations","contact_first_name","contact_middle_initial","contact_last_name","contact_phone","contact_email","posting_start_date","allowable_contract_start_date","posting_end_date","number_of_days_posted","expected_bid_evaluation_period","requested_contract_period","request_for_services","cat_expense_leased_ind","cat_expense_equipment_ind","cat_expense_leased_cons","cat_expense_equipment_cons","cat_expense_design_cons","cat_expense_infrast_cons","cat_expense_mgmt_cons","rfp_submitted","link_to_fcc_form_pdf","mail_contact_first_name","mail_contact_middle_initial","mail_contact_last_name","mail_contact_organization_name","mail_contact_phone","mail_contact_fax","mail_contact_email","mail_address_line_1","mail_address_line_2","mail_city","mail_state","mail_zip","hcp_fcc_registration_number","mad","description_of_services_requested","rfp_1","rfp_2","rfp_3","rfp_4","rfp_5","rfp_6","rfp_7","rfp_8","rfp_9","rfp_10","additional_document_1","additional_document_2","additional_document_3","additional_document_4","additional_document_5","additional_document_6","additional_document_7","additional_document_8","additional_document_9","additional_document_10"
"HCF","100047087","2021","57429","Tennessee Telehealth Consortium","APPROVED","CONSORTIUM",,"41 PLEASANT ST",,"BANGOR",,"ME","04401",,,,,,,"2021-02-18","2021-03-19","2021-03-18",,,,,"N","N","Y","Y","N","N","N","1","https://rhc.usac.org/hcf/documents/downloadResource.xhtml?documentId=document_2106193",,,,,,,,,,,,,,,"Internet and Voice Services",,,,,,,,,,,,,,,,,,,,
"HCF","100031866","2019","52023","Gibson General Hospital - Rehab","APPROVED","INDIVIDUAL",,"7898 S. Professional Dr.",,"Fort Branch","Gibson","IN","47648",,"Mark",,"Boggs","(502) 292-2225","mark.boggs@hcfundconnect.com","2019-01-25","2019-02-23","2019-02-22","28",,,,"Y","Y","N","N","N","N","N","0","https://rhc.usac.org/hcf/documents/downloadResource.xhtml?documentId=document_1292509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HCF","100040542","2020","70561","CHI Saint Joseph Health Partners - Associates in EyeCare","APPROVED","INDIVIDUAL",,"207 MAIN ST",,"WILLIAMSBURG","Whitley","KY","40769",,"Marlena",,"Murataj","(720) 437-0167","marlenamurataj@catholichealth.net","2020-02-19","2020-03-19","2020-03-18","28",,,,"Y","Y","N","N","N","N","N","0","https://rhc.usac.org/hcf/documents/downloadResource.xhtml?documentId=document_1676613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HCF","100050827","2022","32963","MOOR - Foot Clinic","APPROVED","INDIVIDUAL",,"222 S BLISS AVE",,"DUMAS","Moore","TX","79029",,"David",,"Wagner","(203) 802-6223","support@pemfilings.com","2021-11-01","2021-11-30","2021-11-29","28",,,,"Y","Y","N","N","N","N","N","0","https://rhc.usac.org/hcf/documents/downloadResource.xhtml?documentId=document_2412401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HCF","100040924","2020","22878","Dignity Health - Medical Center, Angels Camp","APPROVED","INDIVIDUAL",,"222 S MAIN ST",,"ANGELS CAMP","Calaveras","CA","95222",,"Marlena",,"Murataj","(720) 437-0167","marlenamurataj@catholichealth.net","2020-02-27","2020-03-27","2020-03-26","28",,,,"Y","Y","N","N","N","N","N","0","https://rhc.usac.org/hcf/documents/downloadResource.xhtml?documentId=document_1686894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telecom","43136325","2013","30366","North Central Missouri Mental Health - Bethany","APPROVED","INDIVIDUAL",,"4114 Miller Street",,"Bethany","Harrison","MO","64424",,"Janelle",,"Wilson","(660) 425-3141","janelle@ncmmh.org","2013-06-06","2013-07-05","2013-07-04",,,,"Both Telecommunications & Internet Services",,,,,,,,,"https://rhc.usac.org/rhc/public/viewPdf.seam?documentId=2262241","Geoff",,"Boggs","USF Healthcare Consulting","(877) 223-5818","(888) 284-0010","gboggs@uasave.com","P.O. Box 326",,"Prospect","KY","40059","0021700869","106","Phones, Data, Internet, Telecommunications, Teleradiology, Transferring of patient information",,,,,,,,,,,,,,,,,,,,
"Telecom","43143571","2014","15925","Monroe County Hospital","APPROVED","INDIVIDUAL",,"88 Martin Luther King, Jr. Drive",,"Forsyth","Monroe","GA","31029",,"Jill",,"Darden","(478) 992-9746","jdarden@monroehospital.org","2014-05-21","2014-06-19","2014-06-18",,,,"Telecommunications Service ONLY",,,,,,,,,"https://rhc.usac.org/rhc/public/viewPdf.seam?documentId=2485039","Geoff",,"Boggs","USF HEalthcare Consulting","(502) 228-1907","(888) 284-0010","gboggs@uasave.com","P. O. Box 326",,"Prospect","KY","40059","0014004873","66","Telecommunications, internet, data, transferring of patient data",,,,,,,,,,,,,,,,,,,,
"HCF","100052397","2022","13595","Commonwealth of Kentucky/Fulton County Center – East","APPROVED","INDIVIDUAL",,"350 Browder Street",,"Fulton","Fulton","KY","42041",,"Timothy",,"Basile","(973) 581-5238","timothy.basile@solixinc.com","2021-12-07","2022-01-05","2022-01-04","28",,,,"Y","Y","N","N","N","N","N","0","https://rhc.usac.org/hcf/documents/downloadResource.xhtml?documentId=document_2437480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HCF","100031809","2019","42592","Summersville Speciality Clinic","APPROVED","INDIVIDUAL",,"702 Professional Park Drive",,"Summersville","Nicholas","WV","26651",,"Timothy",,"Basile","(973) 581-5238","timothy.basile@solixinc.com","2019-01-23","2019-02-21","2019-02-20","28",,,,"Y","Y","N","N","N","N","N","0","https://rhc.usac.org/hcf/documents/downloadResource.xhtml?documentId=document_1289877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HCF","100020028","2017","26254","HealthLinc - Knox","APPROVED","INDIVIDUAL",,"104 E Culver Road","#101","Knox","Starke","IN","46534",,"Michael",,"Tamburino","(973) 581-6714","michael.tamburino@solixinc.com","2017-01-19","2017-02-17","2017-02-16","28",,,,"Y","Y","N","N","N","N","N","0","https://rhc.usac.org/hcf/documents/downloadResource.xhtml?documentId=document_665879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
