"company","customer_service","carrier_type","city","carrier_state","zip_code","county","website"
"Air Voice Wireless","877-247-7799","Wireless","Shartlesville","PA","19506","Berks","http://feelsafewireless.com/DesktopMichigan.aspx"
"Access Wireless","866-594-3644","Wireless","Calumet City","IL","60473","Cook","https://www.accesswireless.com/"
"ITS Telecom","888-888-6242","Wireline","As Akoddo","MP","96951","Rota","http://www.itstelecom.net/"
"Kennebec Telephone Company","605-869-2220","Wireline","Presho","SD","57568","Lyman","http://kennebectelephone.com/"
"Assurance Wireless","888-898-4888","Wireless","Maupin","OR","97037","Wasco","http://www.assurancewireless.com"
"Access Wireless","866-594-3644","Wireless",,"OR","97292",,"https://www.accesswireless.com/"
"Air Voice Wireless","877-247-7799","Wireless","Linesville","PA","16424","Crawford","http://feelsafewireless.com/DesktopMichigan.aspx"
"StandUP Wireless","800-544-4441","Wireless","St. Peter","WI","54937","Fond du Lac","https://www.standupwireless.com/learn/"
"Air Voice Wireless","877-247-7799","Wireless","Kilbourne","OH","43032","Delaware","http://feelsafewireless.com/DesktopMichigan.aspx"
"MetroNet","877-407-3224","ACP Home Internet","Love Valley","NC","28625","Alexander,Davie,Iredell,Rowan","https://www.metroinc.com"
"Metro by T-Mobile","800-937-8997","ACP Mobile Internet","Hagarville","AR","72839","Johnson,Newton,Pope","https://www.t-mobile.com/customers/emergency-broadband-benefit"
"True Wireless","877-412-1919","Wireless","Ringling","OK","73456","Carter,Jefferson,Love","https://gotruewireless.com/"
"Life Wireless","888-543-3620","Wireless","La Mesa","CA","92020","San Diego","https://www.lifewireless.com/"
"iWireless","888-900-5899","Wireless","Laurel Mountain","PA","15655","Westmoreland","https://www.accesswireless.com/lifeline/about-the-lifeline-program"
"AT&T","800-288-2020","Wireline","Cedar Hill","TX","75249","Dallas","https://www.att.com/gen/general?pid=22888"
"Access Wireless","866-594-3644","Wireless","Woodcrest","CA","92504","Riverside","https://www.accesswireless.com/"
"Safelink Wireless","800-723-3546","Wireless","Alhambra Valley","CA","94553","Contra Costa","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Cox Communications","866-961-0027","Wireline","Laguna Beach","CA","92603","Orange","http://www.cox.com/residential/phone/lifeline.cox"
"AT&T","800-288-2747","Wireline","Poway","CA","92128","San Diego","https://www.att.com/gen/general?pid=22888"
"Safelink Wireless","800-723-3546","Wireless","Hillburn","NY","10931","Rockland","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet","Fort Myers","FL","33905","Lee","https://www.breezeline.com/"
"Assurance Wireless","888-898-4888","Wireless","Plantation","FL","34293","Sarasota","http://www.assurancewireless.com"
"Assurance Wireless","888-898-4888","Wireless","West Fairview","PA","17025","Cumberland","http://www.assurancewireless.com"
"Life Wireless","888-543-3620","Wireless","City View","SC","29601","Greenville","https://www.lifewireless.com/"
"Starry, Inc","888-231-9403","ACP Home Internet","Los Angeles","CA","90007","Los Angeles","https://www.starry.com"
"Access Wireless","866-594-3644","Wireless","Arjay","KY","40902","Bell","https://www.accesswireless.com/"
"Assurance Wireless","888-898-4888","Wireless","Cobb","CA","95426","Lake","http://www.assurancewireless.com"
"Access Wireless","866-594-3644","Wireless","Zionsville","IN","46112","Boone,Hendricks","https://www.accesswireless.com/"
"Access Wireless","866-594-3644","Wireless","Larose","LA","70374","Lafourche","https://www.accesswireless.com/"
"Access Wireless","866-594-3644","Wireless","Hewitt","TX","76706","Falls,McLennan","https://www.accesswireless.com/"
"AT&T","855-301-0355","Wireline","Kankakee","IL","60915","Kankakee","https://www.att.com/gen/general?pid=22888"
"Q Link Wireless","855-754-6543","Wireless","Ann Arbor","MI","48104","Washtenaw","https://qlinkwireless.com/"
"Boomerang Wireless","866-488-8719","Wireless","Bettsville","OH","44883","Seneca","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Boomerang Wireless","866-488-8719","Wireless","Ann Arbor","MI","48104","Washtenaw","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Life Wireless","888-543-3620","ACP Mobile Internet","West Haven","CT","06515","New Haven","https://www.lifewireless.com"
"StandUP Wireless","800-544-4441","Wireless","Gayle Mill","SC","29706","Chester,York","https://www.standupwireless.com/learn/"
"Q Link Wireless","855-754-6543","Wireless","Winthrop","MN","55396","Sibley","https://qlinkwireless.com/"
