"project_id","fiscal_year","functional_area","project_name","deliverable_objective","responsible_department","amount","fund_source"
"0121132170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Bloomfield Garfield Corporation","City Council","5000","CDBG"
"0121133170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Bloomfield Preservation & Heritage","City Council","2500","CDBG"
"0121142170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Brightwood Civic Group","City Council","2500","CDBG"
"0121181170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Hill Community Development Corporation","City Council","10000","CDBG"
"0121183170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Hill House Association","City Council","7500","CDBG"
"0121267170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Spring Hill Civic League","City Council","5000","CDBG"
"0121272170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Saint Clair Athletic Association","City Council","4000","CDBG"
"0121292170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Veterans Leadership Program of Western PA","City Council","2500","CDBG"
"0121296170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Washington Heights Ecumenical Food Bank","City Council","2500","CDBG"
"0121313170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Big Brothers Big Sisters","City Council","2500","CDBG"
"0121323170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Catholic Youth Association of Pittsburgh (Senior Center)","City Council","5000","CDBG"
"0121330170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","East Allegheny Community Council","City Council","2500","CDBG"
"0121365170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Elizabeth Seton Center","City Council","12000","CDBG"
"0121370170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Lower Bloomfield Unity Council","City Council","2500","CDBG"
"0121377170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","National Council of Jewish Women","City Council","2500","CDBG"
"0121379170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Oakland Planning & Development Corporation","City Council","2500","CDBG"
"0121379170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Oakland Planning & Development Corporation","City Council","2500","CDBG"
"0121384170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Persad Center","City Council","2500","CDBG"
"0121390170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option (to City-Wide Safety Net Organizations)","Pittsburgh Community Services - Hunger","City Council","64000","CDBG"
"0121391170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option (to City-Wide Safety Net Organizations)","Pittsburgh Community Services - Safety","City Council","16000","CDBG"
"0121401170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Fineview Citizens Council","City Council","1000","CDBG"
"0121924170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","PACE","City Council","5000","CDBG"
"0123032170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Lynn Williams Apartments","City Council","2500","CDBG"
"0123036170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","HACP/Northview Heights","City Council","2500","CDBG"
"0123052170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Reading is Fundamental of Pittsburgh","City Council","1000","CDBG"
"0123052170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Reading is Fundamental of Pittsburgh","City Council","2500","CDBG"
"0123054170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Riverview Manor","City Council","2500","CDBG"
"0123058170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Southwest Pittsburgh CDC/ Grass Cutting & Employment Center","City Council","32000","CDBG"
"0123096170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Angel's Place","City Council","5000","CDBG"
"0123101170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","The Children's Museum of Pittsburgh","City Council","2500","CDBG"
"0123124170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Oakland Business Improvement District","City Council","2500","CDBG"
"0123124170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Oakland Business Improvement District","City Council","2500","CDBG"
"0123125170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Union Project","City Council","5000","CDBG"
"0123128170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","JCC of Greater Pittsburgh","City Council","2500","CDBG"
"0123128170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","JCC of Greater Pittsburgh","City Council","2500","CDBG"
"0123130170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Brookline Christian Food Pantry","City Council","10000","CDBG"
"0123151170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pennsylvania Resource Council","City Council","2500","CDBG"
"0123151170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pennsylvania Resource Council","City Council","6000","CDBG"
"0123151170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pennsylvania Resource Council","City Council","2500","CDBG"
"0123179170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Community Human Services","City Council","2500","CDBG"
"0123179170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Community Human Services","City Council","2500","CDBG"
"0123179170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Community Human Services","City Council","2500","CDBG"
"0123179170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Community Human Services","City Council","2500","CDBG"
"0123198170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Project","City Council","5000","CDBG"
"0123198170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Project","City Council","2500","CDBG"
"0123198170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Project","City Council","2500","CDBG"
"0123200170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","St. Pauls Benevolent Education & Missionary Institute","City Council","2500","CDBG"
"0123243170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Parks Conservancy","City Council","2500","CDBG"
"0123243170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Parks Conservancy - Allegheny Commons Fountain","City Council","10000","CDBG"
"0123261170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Washington Heights Athletic Association","City Council","2500","CDBG"
"0123264170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Saint Michael's Food Bank","City Council","2500","CDBG"
"0123279170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Poise Foundation","City Council","75000","CDBG"
"0123289170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Prevention Point Pittsburgh","City Council","2500","CDBG"
"0123291170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Southside Slopes Neighborhood Association","City Council","2500","CDBG"
"0123304170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Emmaus Community","City Council","2500","CDBG"
"0123307170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Rebuilding Together Pittsburgh","City Council","30000","CDBG"
"0123332170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Lawrenceville Corporation","City Council","15000","CDBG"
"0123343170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Bidwell Training Center","City Council","5000","CDBG"
"0123365170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","PA Cleanways of Allegheny County","City Council","2500","CDBG"
"0123365170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","PA Cleanways of Allegheny County","City Council","3000","CDBG"
"0123365170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","PA Cleanways of Allegheny County","City Council","2500","CDBG"
"0123387170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Western Pennsylvania School for Blind Children","City Council","2500","CDBG"
"0123388170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Zionist Organization Association","City Council","2500","CDBG"
"0125046170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Women's Center & Shelter","City Council","500","CDBG"
"0125046170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Women's Center & Shelter","City Council","3000","CDBG"
"0125046170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Women's Center & Shelter","City Council","2500","CDBG"
"0126002170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Western Pennsylvania Conservancy","City Council","2500","CDBG"
"0126002170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Western Pennsylvania Conservancy","City Council","5000","CDBG"
"0126002170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Western Pennsylvania Conservancy","City Council","2500","CDBG"
"0128990170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Center for Victims - Crisis Intervention","City Council","500","CDBG"
"0128990170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Center for Victims - Crisis Intervention","City Council","2500","CDBG"
