"project_id","project_name","deliverable_objective","address","latitude","longitude","district","council"
"6025740018.50000.01","18th Street Signal Updates (TIP)","18th Street Signal Upgrades - Final Design","S 18th St & Jane St 15203","40.42696","-79.98073","District 3","3"
"6025740018.50000.01","18th Street Signal Updates (TIP)","18th Street Signal Upgrades - Final Design","S 18th St & Jane St 15203","40.42696","-79.98073","District 3","3"
"6025740018.50000.02","18th Street Signal Updates (TIP)","18th Street Signal Upgrades - Preliminary Design","S 18th St & Jane St 15203","40.42696","-79.98073","District 3","3"
"6025740018.50000.02","18th Street Signal Updates (TIP)","18th Street Signal Upgrades - Preliminary Design","S 18th St & Jane St 15203","40.42696","-79.98073","District 3","3"
"4025740817.50000.00","18th Street Signal Updates (TIP)","Preliminary Engineering","S 18th St & Jane St 15203","40.42696","-79.98073","District 3","3"
"4025740817.50000.00","18th Street Signal Updates (TIP)","Preliminary Engineering","S 18th St & Jane St 15203","40.42696","-79.98073","District 3","3"
"1121151170.58101.04","ADA Compliance","First Responders Guide for People with Disabilities","City-Wide",,,"City-Wide",
"1121151180.58101.03","ADA Compliance","Hearing Loops in Healthy Active Living Centers - Glen Hazel","945 Roselle Ct 15207","40.40672","-79.93276","District 5","5"
"1121151170.58101.03","ADA Compliance","Hearing Loops in Healthy Active Living Centers - Homewood","7321 Frankstown Ave 15208","40.45686","-79.89357","District 9","9"
"1121151170.58101.02","ADA Compliance","Hearing Loops in Healthy Active Living Centers - Morningside","President Way & Antietam St 15206","40.48410","-79.92493","District 7","7"
"1121151180.58101.01","ADA Compliance","Hearing Loops in Healthy Active Living Centers - Mt. Washington","122 Virginia Ave 15211","40.42993","-80.00802","District 2","2"
"1121151180.58101.02","ADA Compliance","Hearing Loops in Healthy Active Living Centers - North Side","6 Allegheny Square E 15212","40.45286","-80.00550","District 1","1"
"1121151170.58101.01","ADA Compliance","Hearing Loops in Healthy Active Living Centers - South Side Market House","S 12th St & Bedford Sq 15203","40.42943","-79.98645","District 3","3"
"1121151180.58101.04","ADA Compliance","Interpretive Services","City-Wide",,,"City-Wide",
"1121151180.58101.05","ADA Compliance","Rug Tiles in City Facilities","City-Wide",,,"City-Wide",
"6030170118.50000.00","Advanced Transportation & Congestion Management Technologies Development (ATCMTD)","ATCMTD - Design Services","City-Wide",,,"City-Wide",
"6030170118.50000.00","Advanced Transportation & Congestion Management Technologies Development (ATCMTD)","ATCMTD - Design Services","City-Wide",,,"City-Wide",
"4026711117.50000.01","Audible Pedestrian & Traffic Signals","Brownsville Road and Parkfield Street","Brownsville Rd & Parkfield St 15210","40.39133","-79.98662","District 4","4"
"6026711018.50000.00","Audible Pedestrian & Traffic Signals","Countdown Pedestrian Signal Upgrade","Shady Ave & Wilkins Ave 15217","40.44386","-79.92052","District 8","8"
"4026711117.50000.02","Audible Pedestrian & Traffic Signals","Haberman/Warrington/Busway Intersection Signal Update Design & Construction","Haberman Ave, E Warrington Ave, & South Busway 15211","40.42106","-80.00239","District 3","3"
"6026711118.50000.00","Audible Pedestrian & Traffic Signals","North Avenue - Design","E North Ave & Cedar Ave 15212","40.45623","-80.00266","District 1","1"
"6026711118.50000.00","Audible Pedestrian & Traffic Signals","North Avenue - Design","E North Ave & Cedar Ave 15212","40.45623","-80.00266","District 1","1"
