"candidate_name","affidavit_filing_date","expenditure_limit_per_election","office","district","county","reg_no","election_period","election","np","exceeded_limit"
"Acasio, Laura","2022-02-24T00:00:00.000","43540","Senate","1",,"CC11702","2020-2022","2022","2022-05-31T00:00:00.000",
"Ahia, Jennifer","2022-06-06T00:00:00.000","151102","Maui Council","Wailuku","Maui","CC11912","2020-2022","2022","2022-06-06T00:00:00.000",
"Aiu, Micah","2022-06-03T00:00:00.000","20350","House","32",,"CC11823","2020-2022","2022","2022-06-03T00:00:00.000",
"Akaka, Kalei","2022-06-06T00:00:00.000","166493","OHA","Oahu",,"CC11484","2018-2022","2022","2022-06-06T00:00:00.000",
"Ako, Julian","2022-06-06T00:00:00.000","166493","OHA","At-Large",,"CC11900","2018-2022","2022","2022-06-06T00:00:00.000",
"Alameda, Darcy","2022-06-07T00:00:00.000","20380","Hawaii Council","3","Hawaii","CC11811","2020-2022","2022","2022-06-07T00:00:00.000",
"Aldeguer, Maysana","2022-06-07T00:00:00.000","15539","House","45",,,"2020-2022","2022","2022-06-07T00:00:00.000",
"Allen, Julia","2022-06-01T00:00:00.000","18810","House","21",,"CC10322","2020-2022","2022","2022-06-06T00:00:00.000",
"Arakaki, Tracy","2022-05-12T00:00:00.000","23624","House","33",,"CC11026","2020-2022","2022","2022-06-07T00:00:00.000",
"Araki, Josiah","2022-06-06T00:00:00.000","18750","House","35",,"CC11924","2020-2022","2022","2022-06-07T00:00:00.000",
"Armstrong, Kelly","2022-05-31T00:00:00.000","22700","House","14",,"CC11887","2020-2022","2022","2022-05-31T00:00:00.000",
"Armstrong, Robert","2022-04-26T00:00:00.000","15742","House","28",,"CC11819","2020-2022","2022","2022-04-26T00:00:00.000",
"Azinga, P.M.","2022-06-01T00:00:00.000","13518","House","30",,"CC11919","2020-2022","2022","2022-06-07T00:00:00.000",
"Balinbin, Ernest","2022-06-07T00:00:00.000","22700","House","14",,"CC11321","2020-2022","2022","2022-06-07T00:00:00.000",
"Barannikov, Ilya","2022-06-01T00:00:00.000","27083","House","6",,"CC11833","2020-2022","2022","2022-06-01T00:00:00.000",
"Beekman, Patricia","2022-06-02T00:00:00.000","45431","Senate","16",,"CC11865","2020-2022","2022","2022-06-02T00:00:00.000",
"Bentley, Greg","2022-06-07T00:00:00.000","22074","House","15",,"CC11923","2020-2022","2022","2022-06-07T00:00:00.000",
"Boone, Nara","2022-06-06T00:00:00.000","151102","Maui Council","Makawao","Maui","CC11862","2020-2022","2022","2022-06-06T00:00:00.000",
"Bourgoin, Duke","2022-05-26T00:00:00.000","2081165","Governor",,,"CC11920","2020-2022","2022","2022-06-07T00:00:00.000",
"Bulosan, Addison","2022-06-07T00:00:00.000","66154","Kauai Council","At-Large","Kauai","CC11626","2020-2022","2022","2022-06-07T00:00:00.000",
"Burke, Jackie","2022-06-06T00:00:00.000","166493","OHA","Oahu",,"CC11665","2020-2022","2022","2022-06-06T00:00:00.000",
"Burns, Robert","2022-05-25T00:00:00.000","1165452","Lt. Governor",,,"CC11836","2018-2022","2022","2022-05-31T00:00:00.000",
"Caiazzo, Jessica","2022-06-06T00:00:00.000","24153","House","20",,"CC11921","2020-2022","2022","2022-06-06T00:00:00.000",
"Caires, Leo","2022-06-03T00:00:00.000","53455","Senate","7",,"CC11898","2020-2022","2022","2022-06-03T00:00:00.000",
"Cantere, Shekinah","2022-05-27T00:00:00.000","25879","House","11",,"CC11859","2020-2022","2022","2022-05-27T00:00:00.000",
"Carroll, Claire","2022-05-11T00:00:00.000","151102","Maui Council","East Maui","Maui","CC11366","2020-2022","2022","2022-05-11T00:00:00.000",
"Carvalho, Bernard","2022-05-18T00:00:00.000","66154","Kauai Council","At-Large","Kauai","CC10429","2020-2022","2022","2022-05-18T00:00:00.000",
"Cermelj, Hope","2022-04-04T00:00:00.000","166493","OHA","Hawaii",,"CC11802","2020-2022","2022","2022-04-04T00:00:00.000",
"Cho, Henry","2022-06-03T00:00:00.000","18732","Hawaii Council","6","Hawaii",,"2020-2022","2022","2022-06-03T00:00:00.000",
"Clements, Roger","2022-06-03T00:00:00.000","45541","Senate","19",,"CC11150","2020-2022","2022","2022-06-06T00:00:00.000",
"Cochran, Elle","2022-01-21T00:00:00.000","22700","House","14",,"CC11742","2020-2022","2022","2022-04-11T00:00:00.000",
"Cook, Tom","2022-04-27T00:00:00.000","151102","Maui Council","South Maui","Maui","CC11606","2020-2022","2022","2022-04-27T00:00:00.000",
"Cowden, Felicia","2022-04-14T00:00:00.000","66154","Kauai Council","At-Large","Kauai","CC11101","2020-2022","2022","2022-04-14T00:00:00.000",
"Cruz, Renee","2022-06-03T00:00:00.000","151102","Maui Council","Upcountry","Maui","CC11801","2020-2022","2022","2022-06-03T00:00:00.000",
"Cullen, Jamaica","2022-06-06T00:00:00.000","23983","House","39",,"CC11896","2020-2022","2022","2022-06-06T00:00:00.000",
"Cunningham, Daniel","2022-05-10T00:00:00.000","1165452","Lt. Governor",,,"CC11866","2018-2022","2022","2022-05-10T00:00:00.000",
"Danner, Michael","2022-06-06T00:00:00.000","26158","House","49",,"CC11875","2020-2022","2022","2022-06-06T00:00:00.000",
"DeCosta, Bill","2022-05-25T00:00:00.000","66154","Kauai Council","At-Large","Kauai","CC11445","2020-2022","2022","2022-05-25T00:00:00.000",
"Des, Ana Mo","2022-05-13T00:00:00.000","66154","Senate","8",,"CC11477","2020-2022","2022","2022-05-13T00:00:00.000",
"Dicks, Karl","2022-06-07T00:00:00.000","39292","Senate","17",,"CC11544","2020-2022","2022","2022-06-07T00:00:00.000",
"Doran, Charmaine","2022-05-20T00:00:00.000","80590","Honolulu Council","8","Honolulu","CC11860","2018-2022","2022","2022-05-23T00:00:00.000",
"Evslin, Luke","2022-06-07T00:00:00.000","66154","Kauai Council","At-Large","Kauai","CC11346","2020-2022","2022","2022-06-07T00:00:00.000",
"Fernandez, Antionette","2022-06-06T00:00:00.000","51982","Senate","24",,"CC11856","2020-2022","2022","2022-06-06T00:00:00.000",
"Flores, Cara","2022-06-01T00:00:00.000","151102","Maui Council","Kahului","Maui","CC11748","2020-2022","2022","2022-06-01T00:00:00.000",
"Fogel, Frederick","2022-06-01T00:00:00.000","44223","Senate","2",,"CC11572","2020-2022","2022","2022-06-01T00:00:00.000",
"Forsyth, Shaina","2022-05-09T00:00:00.000","49238","Senate","6",,"CC11831","2020-2022","2022","2022-05-09T00:00:00.000",
"Freitas, Makai","2022-05-26T00:00:00.000","27818","House","8",,"CC11845","2020-2022","2022","2022-05-26T00:00:00.000",
"Galimba, Michelle","2022-04-13T00:00:00.000","18732","Hawaii Council","6","Hawaii","CC11753","2020-2022","2022","2022-04-13T00:00:00.000",
"Godfrey, Lorene","2022-06-03T00:00:00.000","37743","Senate","15",,"CC11882","2020-2022","2022","2022-06-06T00:00:00.000",
"Goebbert, Tamara","2022-06-06T00:00:00.000","49238","Senate","6",,"CC11855","2018-2022","2022","2022-06-06T00:00:00.000",
"Goodwin, Travis","2022-05-27T00:00:00.000","24531","House","5",,"CC11757","2020-2022","2022","2022-05-27T00:00:00.000",
"Goulding, Maurice","2022-03-23T00:00:00.000","21284","Hawaii Council","2","Hawaii","CC11783","2020-2022","2022","2022-03-23T00:00:00.000",
"Gueso, Jamie","2022-03-31T00:00:00.000","20832","House","40",,"CC11804","2020-2022","2022","2022-05-16T00:00:00.000",
"Halperin, Susan","2022-06-07T00:00:00.000","25879","House","11",,"CC11861","2020-2022","2022","2022-06-07T00:00:00.000",
"Halversen, William","2022-03-14T00:00:00.000","21284","Hawaii Council","2","Hawaii","CC11785","2020-2022","2022","2022-03-14T00:00:00.000",
"Hawat, George","2022-06-06T00:00:00.000","2081165","Governor",,,"CC11916","2018-2022","2022","2022-06-06T00:00:00.000",
"Heely, Lee-Ann","2022-04-26T00:00:00.000","20776","Hawaii Council","8","Hawaii","CC11794","2020-2022","2022","2022-04-26T00:00:00.000",
"Hensley, Dianne","2022-06-02T00:00:00.000","44223","Senate","2",,,"2020-2022","2022","2022-06-02T00:00:00.000",
"Herrmann, Justin","2022-06-07T00:00:00.000","151102","Maui Council","West Maui","Maui","CC11891","2020-2022","2022","2022-06-07T00:00:00.000",
"Hocker, Jordan","2022-05-24T00:00:00.000","151102","Maui Council","Upcountry","Maui","CC11711","2020-2022","2022","2022-05-24T00:00:00.000",
"Hokama, Riki","2022-06-06T00:00:00.000","151102","Maui Council","Lanai","Maui","CC10252","2020-2022","2022","2022-06-06T00:00:00.000",
