"candidate_name","vendor_type","vendor_name","date","amount","authorized_use","expenditure_category","purpose_of_expenditure","address_1","address_2","city","state","zip_code","office","district","county","party","reg_no","election_period","location_1","inoutstate"
"Abbett, Richard","Candidate","Abbett, Richard E.","2014-08-10T00:00:00.000","50","Political Party Contributions","Contribution to Political Party","attendance at rally","PO BOX 6201",,"Ocean View","HI","96737","Hawaii Council",,,,"CC11028","2012-2014",,"HI"
"Abbett, Richard","Candidate","Abbett, Richard E.","2014-11-03T00:00:00.000","603.95","Directly Related to Candidate's Campaign","Travel & Lodging","mileage reimbursment","PO BOX 6201",,"Ocean View","HI","96737","Hawaii Council",,,,"CC11028","2012-2014",,"HI"
"Abbett, Richard","Candidate","Abbett, Richard E.","2014-07-30T00:00:00.000","148.99","Directly Related to Candidate's Campaign","Travel & Lodging","Mileage 7/01/2014-7/25/2014","PO BOX 6201",,"Ocean View","HI","96737","Hawaii Council",,,,"CC11028","2012-2014",,"HI"
"Abbett, Richard","Candidate","Abbett, Richard E.","2014-09-23T00:00:00.000","93.75","Directly Related to Candidate's Campaign","Advertising, Media & Collateral Materials","Ka'u Calendar ad","PO BOX 6201",,"Ocean View","HI","96737","Hawaii Council",,,,"CC11028","2012-2014",,"HI"
"Abbett, Richard","Candidate","Abbett, Richard E.","2014-11-17T00:00:00.000","6.25","Directly Related to Candidate's Campaign","Travel & Lodging","mileage reimbursment","PO BOX 6201",,"Ocean View","HI","96737","Hawaii Council",,,,"CC11028","2014-2016",,"HI"
"Abbett, Richard","Candidate","Abbett, Richard E.","2014-09-23T00:00:00.000","37.5","Directly Related to Candidate's Campaign","Other","Late fee to Campaign Spending Commission","PO BOX 6201",,"Ocean View","HI","96737","Hawaii Council",,,,"CC11028","2012-2014",,"HI"
"Abbett, Richard","Other Entity","County of Hawaii","2014-04-25T00:00:00.000","25","Directly Related to Candidate's Campaign","Filing Fee, Escheat, Fine","Nomination Paper Filing Fee","74-5044 Ane Keohokalole Highway, Bldg B",,"Kailua-Kona","HI","96740","Hawaii Council",,,,"CC11028","2012-2014",,"HI"
"Abbett, Richard","Political Party","Democratic Party of Hawaii","2014-06-25T00:00:00.000","25","Directly Related to Candidate's Campaign","Advertising, Media & Collateral Materials","Table at 4th of July Event","76-6181 Alii Drive",,"Kailua-Kona","HI","96740","Hawaii Council",,,,"CC11028","2012-2014","76-6181 Alii Drive
Kailua-Kona, HI 96740
(19.611121, -155.979577)","HI"
"Abbett, Richard","Individual","Eno, Jason","2016-11-08T00:00:00.000","90.77","Directly Related to Candidate's Campaign","Other","Reimbursement for campaign expenses","470 KALUANUI RD",,"Makawao","HI","96768","House",,,,"CC11314","2014-2016","470 KALUANUI RD
Makawao, HI 96768
(20.868855, -156.313666)","HI"
"Abbett, Richard","Other Entity","Harland Clarke","2014-06-11T00:00:00.000","19.5","Directly Related to Candidate's Campaign","Bank Charges, Merchant Fees & Adjustments","Checks","10931 Laureate Drive",,"San Antonio","TX","78249","Hawaii Council",,,,"CC11028","2012-2014","10931 Laureate Drive
San Antonio, TX 78249
(29.544487, -98.586397)","Out of State"
"Abbett, Richard","Other Entity","Lowes","2016-07-06T00:00:00.000","51.86","Directly Related to Candidate's Campaign","Other","Sign making supplies","270 Dairy Rd",,"Kahului","HI","96732","House",,,,"CC11314","2014-2016","270 Dairy Rd
Kahului, HI 96732
(20.882715, -156.454538)","HI"
"Abbett, Richard","Other Entity","Maui County Committee","2016-07-24T00:00:00.000","50","Directly Related to Candidate's Campaign","Contribution to Political Party","Table fee","60 S Church St",,"Wailuku","HI","96793","House",,,,"CC11314","2014-2016","60 S Church St
Wailuku, HI 96793
(20.886787, -156.502747)","HI"
