"meeting_body_name","committee","begin_date_time","is_all_day","has_end","end_date_time","building_name","room","address","address2","city","state","zip","webcast_url","webcast_plugin","is_video_conf","is_conf_call","conf_call_number","conf_call_id","conf_call_password","contact_first_name","contact_last_name","phone","email","notes","materials_url","archived_url","publication_date","amendments","amendment_date","latlng"
"Committee of Psychologists","Discipline SubCommittee","2022-07-26T12:15:00.000","0","0",,"Division of Professional Registration",,"3605 Missouri Boulevard",,"Jefferson City",,"65102",,,"0","1",,,,"Roxy","Brockman","(573) 751-0099","scop@pr.mo.gov","This meeting is closed pursuant to section 610.021 (1)(14) RSMo. and Section 324.001.8 and 324.001.9 RSMo.",,,"2022-06-24 21:42:59.0",,,"
,  
(38.581448, -92.252301)"
"Labor and Industrial Relations Commission",,"2022-07-26T14:00:00.000","0","0",,"Via WebEx",,,,,,,,,"1","1",,,,"Jamie","Luebbert","(573) 751-2461",,"Portions of the meeting may be closed pursuant to Sections 610.021(1)(14) RSMo.  For information to access the meeting via Webex, please contact Jamie Luebbert at 573-751-2461",,,"2022-07-22 20:25:33.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri State Committee of Marital and Family Therapists",,"2022-07-27T08:00:00.000","0","0",,"Division of Professional Registration & Via WebEx",,"3605 Missouri Boulevard",,"Jefferson City",,,,,"0","1",,"2462 016 2410",,,,"(573) 751-0870",,"Portions of this meeting may be closed pursuant to Sections 610.021 (1)(14) RSMo, and Section 324.001.8 and 324.001.9 RSMo.",,,"2022-07-20 20:47:26.0",,,"
,  
(38.581448, -92.252301)"
"Missouri Family Trust Board of Trustees",,"2022-07-27T10:00:00.000","0","0",,"Via Teams Remote Meeting",,,,,,,,,"1","1",,,,"Kathy","Birkes","(573) 256-5055","kbirkes@midwestspecialneedstrust.org","Portions of the meeting will be closed pursuant to Section 610.021 (3) RSMo.",,,"2022-07-13 18:17:19.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri Public Utility Alliance","Missouri Gas Commission Board of Directors and Executive Committee","2022-07-27T10:00:00.000","0","0",,"Microsoft Teams/MPUA Office & Training Center","Board Room","2200 Maguire Blvd",,"Columbia",,"65201",,,"1","1",,,,"Elizabeth","Baysinger","(573) 445-3279","ebaysinger@mpua.org","Portions of this meeting may be closed pursuant to Section 610.021 (1)(2) RSMo.",,,"2022-07-25 14:08:10.0",,,
"Labor and Industrial Relations Commission",,"2022-07-27T10:30:00.000","0","0",,"Department of Labor and Industrial Relations","Conference Room A &amp; B","3315 West Truman Boulevard",,"Jefferson City",,,,,"1","1",,,,"Glenda","Kemna","(573) 751-2461",,"Portions of the meeting may be closed pursuant to Sections 610.021(1)(3)(14) RSMo.  For information to access the video conferencing portion, please contact Glenda Kemna at 573-751-2461.",,,"2022-07-22 20:27:44.0",,,"
,  
(38.5910439, -92.24260699999999)"
"Missouri Autism Projects Southeast Parent Advisory Council",,"2022-07-27T10:30:00.000","0","0",,"Zoom Meeting & SEMO University Autism Center",,"611 N. Fountain St.",,"Cape Girardeau",,"63701","https://zoom.us/j/96415492868?pwd=WkxJcHhBa1dBcitvMnVnT0NLYXBKQT09",,"0","1",,"964 1549 2868",,"Roxie","Looney","(573) 472-6528","roxie.looney@dmh.mo.gov","Password:  697624",,,"2022-05-23 20:02:34.0",,,"
,  
(37.3127133, -89.5222958)"
"Committee of Psychologists","Credentials Sub-Committee","2022-07-27T16:30:00.000","0","0",,"Division of Professional Registration",,"3605 Missouri Boulevard",,"Jefferson City",,"65102",,,"0","1",,,,"Roxy","Brockman","(573) 751-0099","scop@pr.mo.gov","This meeting is closed pursuant to section 610.021 (1)(14) RSMo. and Section 324.001.8 and 324.001.9 RSMo.",,,"2022-06-24 21:39:05.0",,,"
,  
(38.581448, -92.252301)"
"Division of Environmental Quality","Missouri Air Conservation Commission","2022-07-28T09:00:00.000","0","0",,"Elm Street Conference Center & WebEx","Bennett Springs Conference Room","1730 East Elm Street",,"Jefferson City",,"65101","https://dnr.mo.gov/commissions-boards-councils/air-conservation-commission",,"1","1",,,,,,"(573) 751-4817",,,,,"2022-06-06 20:33:04.0",,"2022-06-06 20:34:48.0","
,  
(38.5531201, -92.15244589999999)"
"Children's Trust Fund","Board of Directors - Program Committee","2022-07-28T09:00:00.000","0","0",,"Via Zoom",,,,,,,,,"0","1",,"842 8876 2664",,"Nicole","Dunmire","(573) 751-5147","Nicole.Dunmire@oa.mo.gov",,,,"2022-07-22 19:22:09.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri Emergency Response Commission","1st Quarter 2023 Missouri Emergency Response Commission meeting","2022-07-28T10:00:00.000","0","0",,"State Emergency Management Agency","Governor's Conference Room","2302 Militia Drive",,"Jefferson City",,"65101",,,"0","1",,,,"Karla","Marshall","(573) 526-9113","karla.marshall@sema.dps.mo.gov",,,,"2022-07-18 19:35:31.0",,,"
,  
(38.5526044, -92.07515939999999)"
"Missouri Commission on Autism Spectrum Disorder",,"2022-07-28T10:00:00.000","0","0",,"Department of Health and Senior Services & Via WebEx",,"930 Wildwood",,"Jefferson City",,"65102","https://stateofmo.webex.com/stateofmo/j.php?MTID=m493013ed0c5aeecbb1ec0626a45c2bcf",,"1","1",,"2460 469 3508",,"Kristin","Morgan","(573) 522-1691","Kristin.Morgan@dmh.mo.gov","Password: Wigb4uMp55x",,,"2022-07-26 13:42:29.0",,,"
,  
(38.5, -92.14999999999999)"
"Missouri Propane Safety Commission","Commission Meeting","2022-07-28T13:00:00.000","0","0",,"Old Kinderhook",,,,,,,,,"0","0",,,,,,"(573) 893-1073",,,,,"2022-07-14 20:25:11.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri Consolidated Health Care Plan","Board Meeting","2022-07-28T13:00:00.000","0","0",,"Via Teleconference",,,,,,,"https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZmUzYTQyM2ItYmFlZC00ODQxLWFiNDktZjQyOTc3NGRlY2Jj%40thread.v2/0?context=%7b%22Tid%22%3a%225bc17907-f4f8-46a3-b84d-e9d36e498ec7%22%2c%22Oid%22%3a%2255a0a8d0-6388-4e53-b2c7-f3aec6a167fd%22%7d",,"1","1",,"943 80 2265#",,"Tammy","Flaugher","(573) 526-4922","tammy.flaugher@mchcp.org",,,,"2022-07-26 18:57:16.0",,,"
,  
(44.5165436, -67.5845034)"
