"epa_id","company","phone","expires","tran_id","services","mailcity","state","mailzip","website","location_1"
"MOR000560623","Bennett Heavy and Specialized LLC","8778936082","2022-02-19T00:00:00.000","551221","1, 2, 3, 4, 5, 6, 7, 8, 9, B","MCDONOUGH","MO","30253",,"1001 Industrial PKY"
,"Biolink LLC","5012825707","2021-10-29T00:00:00.000","3001604","B, IW","Alexandria","LA","71315",,"414 West Shore Drive"
,"Aftermath Services LLC","6304055161","2021-10-08T00:00:00.000","1407143","IW","Aurora","IL","60504",,"75 Executive Dr."
"CAR000181560","Remedial Transportation Services INC","6613431453","2022-07-09T00:00:00.000","1089698","9, B","Bakersfield","CA","93380",,"P.O. Box 81856"
"KYR000073379","Jason Anderson Trucking LLC","2707095191","2021-08-27T00:00:00.000","3433531","9, B","Ledbetter","KY","42058",,"305 Scott Road"
"PAD987357829","MCCLYMONDS SUPPY & TRANSIT CO INC.","7243688040","2021-10-05T00:00:00.000","269478","4, 9, B","Portersville","PA","16051",,"PO BOX 296"
"TXD980796338","Cactus Disposal of North Texas LP","8595560756","2021-10-07T00:00:00.000","374722","3, 4, 5, 6, 8, 9, B","Dallas","TX","75212",,"4960 Singleton Blvd"
"TXR000031286","INTERGULF CORPORATION","7135984513","2021-12-16T00:00:00.000","921807","3, 6, 8, 9, B","LAPORTE","TX","77571",,"428 HWY 146 S"
"MIR000017079","HM ENVIRONMENTAL SERVICES INC","5864690041","2022-02-16T00:00:00.000","783385","3, 5, 8, 9, B","MOUNT CLEMENS","MI","48043",,"42826 NORTH WALNUT"
"TXR000084265","ALLIED INTERNATIONAL EMERGENCY LLC","8175950100","2022-02-16T00:00:00.000","3321534","3, B","FORT WORTH","TX","76140",,"3024 WICHITA CT"
"MOR000563981","JCE Holdings LLC","3146602491","2022-03-12T00:00:00.000","3411765","2, 3, 4, 5, 6, 8, 9, B","Jefferson City","MO","65109",,"2611 Schellridge Rd"
"ALD981023492","Terra First LLC","205-695-7161","2022-08-10T00:00:00.000","2294085","9","Vernon",,"35592",,"P.O. Box 1617"
"TXR000083462","G L MORRIS ENTERPRISES INC.
Dba Sunbelt Industrial Services","972-492-5108","2022-03-23T00:00:00.000","2821943","2, 3, 4, 5, 6, 7, 8, 9, B, UO","CARROLLTON","TX","75010","sun-belt.com","2425 PARKER ROAD BUILDING 3B"
"MIK593743838","US Ecology Transportation Solutions INC","7345218104","2021-09-25T00:00:00.000","3224674","1, 2, 3, 4, 5, 6, 7, 8, 9, IW","Livonia","MI","48152",,"17440 COLLEGE PKWY STE 300"
"PAD981038227","World Resources Company","570-622-4747","2022-04-11T00:00:00.000","817466","8, 9","Pottsville","PA","17901",,"170 WALNUT LANE"
"VAR000533430","Neie Medical Waste Services LLC","8665784730","2022-07-23T00:00:00.000","2460870","IW","BLAIRSVILLE","VA","15717",,"12 WEST MARKET STREET"
"MN5000154823","Klingberg Trucking INC","9522382718","2021-09-19T00:00:00.000","798457","9, B","Jordan","MN","55352",,"18105 DAIRY LANE"
"OHR000210260","Sustain LLC","3304578196","2021-11-20T00:00:00.000","3183922","2, 3, 4, 5, 6, 8, 9, B","New Waterford","OH","44445",,"4684 BENTWOOD RD"
,"Preferred Waste Concepts LLC","3144716117","2022-01-24T00:00:00.000","3326217","B, IW","St. Louis","MO","63111",,"300 E Davis St."
"KYR000043695","Usher Transport INC.","6063311543","2022-01-21T00:00:00.000","105257","3, 5, 8, 9, B","Louisville","KY","40216",,"3801 Shanks Ln."
"TXR000080316","Spring Transport","3467074109","2022-02-19T00:00:00.000","2087324","3, 8, 9","PASADENA","TX","77507",,"9918 CHEMICAL ROAD"
"TXR000079159","CKG SERVICES LLC","936-446-3662","2022-03-17T00:00:00.000","1647956","3, 8, 9, B","CONROE","TX","77305","www.ckg-services.com","PO BOX 1159"
"MID106869506","YOUNGS ENVIRONMENTAL CLEANUP INC.","810 789-7155","2022-08-03T00:00:00.000","360583","2, 3, 4, 5, 6, 7, 8, 9, B, IW, UO","FLINT","MI","48505","YOUNGSENVIRONMENTAL.COM","G5305 N DORT HIGHWAY"
,"STERIMED SOLUTIONS LLC, dba Steriport Solutions","573-442-5040","2021-08-16T00:00:00.000","2585223","B, IW","COLUMBIA","MO","65201","www.sterimedsystems.com","900  OLD HIGHWAY 63 NORTH"
"MOR000558734","O6 ENVIRONMENTAL LLC","314-862-6671","2021-10-18T00:00:00.000","2963573","9, B, UO","SAINT LOUIS","MO","63130","O6env.com","6311 BARTMER INDUSTRIAL DR"
"ILR000196808","RICHARD W CORRIGAN JR
dba Redbird Recycling Group","618-610-5142","2022-01-05T00:00:00.000","3068959","9, B, UO","Godfrey","IL","62035","www.facebook.com","320 Hand Drive"
"FLR000168203","FLORIDA TRANSFORMER INC","850-892-2711","2022-01-30T00:00:00.000","160401","2, 3, 4, 5, 6, 8, 9, B, UO","DEFUNIAK SPRINGS","FL","32435","www.emeraltransformer.com","PO BOX 507"
