LICENSEE,DBANAME,STREET NUMBER,STREET,CITY,STATE,ZIPCODE,PHONE NUMBER,PRIMARY LICENSE,SECONDARY LICENSE,PRIMARY TYPE,SECONDARY TYPE,COUNTY,DISTRICT,SUBDIST,LATLNG,Missouri Counties,School Districts,Counties
EL KADIR SHRINE ASSN. INC.,,2401,S BALTIMORE,KIRKSVILLE,MO,635014632,6606653312,7,269585,RBD,SBD ,ADAIR,2,00,,,,
LOYAL ORDER OF MOOSE 1751,LODGE 1751,2405,E ILLINOIS,KIRKSVILLE,MO,63501,6606658300,16,270477,RBD,SBD ,ADAIR,2,00,"(40.197216, -92.55663899999999)",12,32,509
KNIGHTS OF COLUMBUS,JOHN J. DILLON KC CLUB,,HWY 15 NORTH,MEXICO,MO,652650425,5735811550,135,0,COL,    ,AUDRAIN,2,00,,,,
LOYAL ORDER OF MOOSE 1706,LODGE 1706,205,S ELMWOOD DRIVE,MEXICO,MO,65265,5735812288,150,0,RBD,    ,AUDRAIN,2,00,,,,
COUNTRY CLUB OF MISSOURI,,1300,WOODRAIL AVE,COLUMBIA,MO,652030999,5734497201,463,519,RBD,SBD ,BOONE,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 594,LODGE 594,4747,E. ELK PARK DRIVE,COLUMBIA,MO,652017502,5734426416,464,28639,RBDE,SBD ,BOONE,2,00,,,,
FRATERNAL ORDER OF EAGLES 2730,AERIE 2730,2513,STADIUM BLVD,COLUMBIA,MO,65202,5734455444,467,68777,RBD,SBD ,BOONE,2,00,"(38.980871, -92.37320299999999)",40,464,2691
DILLON STORES DIVISION INC.,GERBES SUPER MARKET #125,2900,N PARIS ROAD,COLUMBIA,MO,65201,4178953000,546,136053,OPL,OPT ,BOONE,2,00,,,,
DILLON STORES DIVISION INC.,GERBES SUPER MARKET #125,2900,N PARIS ROAD,COLUMBIA,MO,65201,4178953000,546,71641,OPL,SOP ,BOONE,2,00,,,,
AMERICAN LEGION 359,PONY EXPRESS POST 359,2414,S. 4TH ST.,ST. JOSEPH,MO,645013718,8162322335,681,0,RBD,    ,BUCHANAN,1,00,"(39.743921, -94.855772)",25,77,2692
FRATERNAL ORDER OF EAGLES 49,AERIE 49,2004,N BELT HWY,ST JOSEPH,MO,645062202,8162793014,704,27131,RBD,SBD ,BUCHANAN,1,00,"(39.7846661, -94.80411389999999)",25,77,2692
VETERANS OF FOREIGN WARS,CORPORAL FRED SEIFERT POST 1668,821,N. 4TH STREET,ST. JOSEPH,MO,645011139,8163649178,779,25986,RBD,SBD ,BUCHANAN,1,00,"(39.772832, -94.8551279)",25,77,2692
VETERANS OF FOREIGN WARS,POST 2657,,HWY 54 SOUTH,FULTON,MO,652511053,5736424090,1076,27751,RBD,SBD ,CALLAWAY,2,00,,,,
SAULTS DRUG INC.,SAULTS DRUG,505,COURT STREET,FULTON,MO,652511901,5736424186,1091,0,OPL,    ,CALLAWAY,2,00,,,,
SHOW ME OIL COMPANY INC.,SHOW ME OIL CO. #2,,HWY 54,AUXVASSE,MO,65231,5733862888,1117,70819,OPL,SOP ,CALLAWAY,2,00,,,,
SHOW ME OIL COMPANY INC.,SHOW ME OIL CO. #2,,HWY 54,AUXVASSE,MO,65231,5733862888,1117,244618,OPL,OPT ,CALLAWAY,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2517,LODGE 2517 LAKE OF THE OZARKS,5161,OSAGE BEACH PARKWAY,OSAGE BEACH,MO,650653285,5733483798,1185,32184,RBDE,SBD ,CAMDEN,2,00,,,,
