"career_center_name","address1","address2","city","state","zipcode","phone","fax","toll_free","email","latlng"
"Jefferson City/Capital City Job Center","3600 Country Club Drive","Suite 2004, Room 100","Jefferson City","MO","65109","573-526-8115",,"1-888-728-5627","jeffcity@dhewd.mo.gov","(38.5856768, -92.2522733)"
"Washington Job Center","1108 Washington Square Shopping Center",,"Washington","MO","63090","636-583-9670",,"1-888-728-5627","washington@dhewd.mo.gov","(38.5370852, -91.0029706)"
"St. Louis County-Florissant Job Center","4040 Seven Hills Drive, Suite 166",,"Florissant","MO","63033","314-475-7900",,"1-888-728-5627","florissant@dhewd.mo.gov","(38.7769747, -90.2786587)"
"Poplar Bluff Job Center","2080 Three Rivers BLVD",,"Poplar Bluff","MO","63901","573-840-9595",,"1-888-728-5627","poplarbluff@dhewd.mo.gov","(36.7758725, -90.4305626)"
"Monett Limited","801 N. Lincoln",,"Monett","MO","65708","417-635-1207",,,,"(36.9269707, -93.9305089)"
"Kennett Job Center","1100 South By-Pass, Suite 2",,"Kennett","MO","63857","573-888-4518",,"1-888-728-5627","kennett@dhewd.mo.gov","(36.2277567, -90.0457456)"
"Hannibal Job Center","203 North Sixth Street",,"Hannibal","MO","63401","573-248-2520",,"1-888-728-5627","hannibal@dhewd.mo.gov","(39.7086298, -91.3612039)"
"Kansas City - Northland Job Center","3100 N.E. 83rd, Suite 2100",,"Kansas City","MO","64119","816-468-8767",,"1-888-728-5627",,"(39.2446757, -94.5427004)"
"Cape Girardeau Job Center","40 S Sprigg St.",,"Cape Girardeau","MO","63701","573-381-2482",,"1-888-728-5627",,"(37.3033865, -89.5269266)"
"Columbia Job Center","101 Park De Ville Drive","Suite E","Columbia","MO","65203","573-441-6361",,"1-888-728-5627","columbia@dhewd.mo.gov","(38.9573027, -92.3860297)"
"Lebanon Job Center","2639 South Jefferson Avenue, Suite 1",,"Lebanon","MO","65536","417-532-6146",,"1-888-728-5627","lebanon@dhewd.mo.gov","(37.6427183, -92.6502992)"
"Maryville Job Center","114 W. 3rd St.",,"Maryville","MO","64468","660-582-8980",,"1-888-728-5627",,"(40.3476739, -94.8735995)"
"Fulton Missouri Job Center","512 Market St.",,"Fulton","MO","65251","573-642-7760",,,,"(38.8481465, -91.9467865)"
"West Plains Job Center","408 Washington Avenue","Suite 100","West Plains","MO","65775","417-256-3158",,"1-888-728-5627","westplains@dhewd.mo.gov","(36.7353002, -91.8524911)"
"Trenton Missouri Job Center","1104 Main",,"Trenton","MO","64683","660-359-5636",,,,"(40.0761256, -93.6175137)"
"St. Louis County—The Crossings at Northwest","715 Northwest Plaza Drive",,"St. Ann","MO","63074"," (314) 615-6010",,"1-888-728-5627","wfd@stlouisco.com","(38.731271, -90.4002986)"
"Nevada Job Center","621 East Highland Ave., Suite 3",,"Nevada","MO","64772","417-448-1177",,"1-888-728-5627","nevada@dhewd.mo.gov","(37.8586383, -94.3479686)"
"South Kansas City","6025 South Prospect",,"Kansas City","MO","64130","816-448-7601",,"1-888-728-5627",,"(0.0, 0.0)"
