"office_id","parent_office","agency_name","city","state","zip","street_address","address_line_2","phone","phone2","website","counties_served","social_media"
,,"Alliance for Life - Missouri, Inc.","Lee's Summit","MO","64081","487 SW Ward Road",,"(816) 806-4168",,"https://www.allianceforlifemissouri.com","Adair, Chariton, Clark, Knox, Lewis, Linn, Macon, Marion, Monroe, Putnam, Ralls, Randolph, Schuyler, Scotland, Shelby, Sullivan, Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline, Audrain, Boone, Callaway, Camden, Cole, Cooper, Gasconade, Howard, Miller, Moniteau, Montgomery, Morgan, Osage, Crawford, Dent, Laclede, Maries, Phelps, Pulaski, Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington, Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster, Carter, Douglas, Howell, Oregon, Ozark, Reynolds, Ripley, Shannon, Texas, Wright, Bollinger, Butler, Cape Girardeau, Dunklin, Iron, Madison, Mississippi, New Madrid, Pemiscot, Scott, Stoddard, Wayne",
,,"Alpha House","Bolivar","MO","65613","469 S Albany Ave",,"(417) 777-5433",,"https://www.alphahouseprc.org","Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster",
,,"Bethany Christian Services","St Louis","MO","63136","1300 Hampton Ave. Suite 202",,"(314) 781-6363",,"https://www.bethany.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Care Net Pregnancy Resource Center - Neosho","Neosho","MO","64850","1245 Southard Dr.",,"(417) 455-0100",,"https://www.carenetneosho.org","Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster",
,,"Catholic Charities of Kansas City-St. Joseph, Inc.","St. Joseph","MO","64503","1123 S. 10th St.",,"(816) 232-2885",,"https://www.catholiccharities-kcsj.org","Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline",
,,"Catholic Charities of Kansas City-St. Joseph, Inc.","Kansas City","MO","64130","4001 Blue Parkway, Suite 250",,"(816) 659-8275",,"https://www.catholiccharities-kcsj.org","Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline",
,,"Catholic Charities of Southern Missouri","Springfield","MO","65807","424 East Monastery Street",,"(417) 720-4213",,"https://www.ccsomo.org","Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster",
,,"Catholic Charities of Southern Missouri","Sikeston","MO","63801","205 W.Malone, Suite B",,"(573) 481-0659",,"https://www.ccsomo.org","Bollinger, Butler, Cape Girardeau, Dunklin, Iron, Madison, Mississippi, New Madrid, Pemiscot, Scott, Stoddard, Wayne",
,,"Catholic Charities of Southern Missouri","Van Buren","MO","63965","504 Ash Street",,"(573) 323-4044",,"https://www.ccsomo.org","Carter, Douglas, Howell, Oregon, Ozark, Reynolds, Ripley, Shannon, Texas, Wright",
,,"Christian Family Services","Webster Groves","MO","63119","7955 Big Bend Blvd.",,"(314) 968-2216",,"https://www.stlcfs.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Faith Maternity Care","Fulton","MO","65251","1900 Lake Drive",,"(573) 642-7414",,"https://www.faithmaternity.com","Audrain, Boone, Callaway, Camden, Cole, Cooper, Gasconade, Howard, Miller, Moniteau, Montgomery, Morgan, Osage",
,,"Free Women's Center","Waynesville","MO","65583","704 Historic Route 66 #106",,"(573) 774-4992",,"https://www.freewomenscenter.com","Crawford, Dent, Laclede, Maries, Phelps, Pulaski",
,,"Golden Valley Door of Hope","Clinton","MO","64735","205 S. Washington Street",,"(660) 890-7011",,"https://www.gvdoorofhope.org","Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline",
,,"Good Shepherd Children and Family Services","University City","MO","63130","1340 Partridge Ave.",,"(314) 854-5703",,"https://www.goodshepherdstl.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Haven of Grace","St Louis","MO","63106","1225 Warren",,"(314) 621-6507",,"https://www.havenofgracestl.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Laclede County Pregnancy Support Center","Lebanon","MO","65536","525 S. Washington",,"(417) 532-8555",,"https://www.pregnancyhelplebanon.com","Crawford, Dent, Laclede, Maries, Phelps, Pulaski, Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster, Carter, Douglas, Howell, Oregon, Ozark, Reynolds, Ripley, Shannon, Texas, Wright",
,,"Life Network of Central MO","Columbia","MO","65203","802 N. Providence, Suite 2",,"(573) 874-3561",,"https://www.lifenetworkfriends.com","Audrain, Boone, Callaway, Camden, Cole, Cooper, Gasconade, Howard, Miller, Moniteau, Montgomery, Morgan, Osage",
,,"Lifeline Pregnancy Care Center","Cuba","MO","65453","201 Lucia Ave",,"(573) 885-3040",,"https://www.lifelinepcc.com","Crawford, Dent, Laclede, Maries, Phelps, Pulaski",
,,"Lifeline Pregnancy Help Clinic","Kirksville","MO","63501","1515 N New St.",,"(660) 665-5688",,"https://www.lifelinepregnancyhelp.org","Adair, Chariton, Clark, Knox, Lewis, Linn, Macon, Marion, Monroe, Putnam, Ralls, Randolph, Schuyler, Scotland, Shelby, Sullivan",
,,"Light House","Kansas City","MO","64113","400 W. Meyer",,"(816) 361-2233",,"https://www.lighthousekc.org","Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline",
,,"Lutheran Family and Childrens Services of Missouri","St. Louis","MO","63132","9666 Olive Blvd.",,"(314) 787-5100",,"https://www.lfcsmo.org","Bollinger, Butler, Cape Girardeau, Dunklin, Iron, Madison, Mississippi, New Madrid, Pemiscot, Scott, Stoddard, Wayne, Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster, Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington, Audrain, Boone, Callaway, Camden, Cole, Cooper, Gasconade, Howard, Miller, Moniteau, Montgomery, Morgan, Osage, Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline, Andrew, Atchison, Buchanan, Caldwell, Clinton, Daviess, DeKalb, Gentry, Grundy, Harrison, Holt, Livingston, Mercer, Nodaway, Worth",
,,"MBCH Children and Family Ministries","Bridgeton","MO","63044","11300 St. Charles Rock Road",,"(314)739-6811",,"https://www.mbch.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Metro Pregnancy Resource Services","St Louis","MO","63118","3501 Arkansas",,"(314) 772-1444",,,"Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Mother's Refuge","Independence","MO","64055","14400 E. Hwy 42nd Street",,"(816) 353-8070",,"https://www.MothersRefuge.org","Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline",
,,"MyLife Medical & Resource Center","House Springs","MO","63051","2608 Gravois Rd",,"(636) 495-6566",,"https://www.mylifemrc.com","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Nightlight Christian Adoptions","Hillsboro","MO","63050","10306 Business 21",,"(636) 797-4100",,"https://www.nightlight.org/missouri-office","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Nurses for Newborns","St. Louis","MO","63143","3 Sunnen Drive",,"(314) 544-3433",,"https://www.nursesfornewborns.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Options for Women - St. Genevieve","St. Genevieve","MO","63670","615 Kiefer Street",,"573-883-2088",,"https://www.optionsforwomenmo.com","Bollinger, Butler, Cape Girardeau, Dunklin, Iron, Madison, Mississippi, New Madrid, Pemiscot, Scott, Stoddard, Wayne",
,,"Options Pregnancy Center of Ava","Ava","MO","65608","131 E. Lincoln Ave",,"(417) 683-2315",,"https://www.optionsofava.com","Carter, Douglas, Howell, Oregon, Ozark, Reynolds, Ripley, Shannon, Texas, Wright",
,,"Options Pregnancy Clinic","Branson","MO","65616","192 Expressway Lane, Suite 100",,"(417) 336-5483",,"https://www.optionspregnancyclinic.com","Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster",
,,"Our Lady's Inn","St Louis","MO","63111","4223 S. Compton",,"(314) 351-4590",,"https://www.ourladysinn.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Pregnancy Care Center","Springfield","MO","65804","1342 Primrose Street",,"(417) 877-0800",,"https://www.417choices.com","Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster",
,,"Pregnancy Help Center","Camdenton","MO","65020","948 E Hwy 54",,"(573) 346-3337",,"https://www.pregnancyhelpcenters.org","Audrain, Boone, Callaway, Camden, Cole, Cooper, Gasconade, Howard, Miller, Moniteau, Montgomery, Morgan, Osage",
,,"Pregnancy Help Center South County","St Louis","MO","63129","4150 Crescent Dr.",,"(314) 894-9800",,"https://www.thepregnancyhelpcenter.com","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Pregnancy Life Line","Branson West","MO","65737","19621 State Hwy 413",,"(417) 272-5210",,"https://www.pllwomensresourcecenter.com","Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster",
,,"Pregnancy Resource Center of Mountain Grove","Mountain Grove","MO","65711","600 E State Street, Annex Bldg.",,"(417) 926-3310",,"https://www.prcofmg.net","Carter, Douglas, Howell, Oregon, Ozark, Reynolds, Ripley, Shannon, Texas, Wright",
,,"Queen of Peace Center","St Louis","MO","63108","325 N. Newstead",,"(314) 531-0511",,"https://www.qopcstl.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Resource Health Services","Lee's Summit","MO","64086","1260 NE Windsor Dr.",,"(816) 921-5050",,"https://resourcehealth.org/","Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline",
,,"Ray of Hope PCM","Macon","MO","63552","309 N. Missouri Suite B",,"(660) 395-8099",,"https://www.rayofhopepregnancycenter.com","Adair, Chariton, Clark, Knox, Lewis, Linn, Macon, Marion, Monroe, Putnam, Ralls, Randolph, Schuyler, Scotland, Shelby, Sullivan",
,,"Republic Pregnancy Resource Center","Republic","MO","65738","291 US Hwy 60 West",,"417-732-5993",,"https://www.republicprc.org","Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster",
,,"Riverways Pregnancy Resource Center","Salem","MO","65560","1600 Doss Road",,"(573) 739-4673",,"https://www.riverwaysprc.org","Crawford, Dent, Laclede, Maries, Phelps, Pulaski",
,,"ThriVe St. Louis","St Louis","MO","63108","4331 Lindell Blvd",,"(314) 783-3040",,"https://www.thrivestlouis.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
,,"Tri-County Pregnancy Resource Center","Aurora","MO","65605","315 S Madison Ave",,"(417) 678-0090",,"https://www.tcprc.com","Barry, Barton, Cedar, Christian, Dade, Dallas, Greene, Hickory, Jasper, Lawrence, McDonald, Newton, Polk, St. Clair, Stone, Taney, Vernon, Webster",
,,"Well of Hope Maternity Home","Clinton","MO","64735","205 S. Washington Street",,"(660) 890-7011",,"https://www.gvdoorofhope.org","Bates, Benton, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Pettis, Platte, Ray, Saline",
,,"Whole Kids Outreach","Ellington","MO","63638","62143 Highway 21",,"(573) 663-3257",,"https://www.wholekidsoutreach.org","Carter, Douglas, Howell, Oregon, Ozark, Reynolds, Ripley, Shannon, Texas, Wright",
,,"Yourothermother Inc.","Union","MO","63068","16 S Washington Ave",,"(636) 744-2550",,"https://www.yourothermother.org","Franklin, Jefferson, Lincoln, Perry, Pike, St. Charles, Ste. Genevieve, St. Francois, St. Louis, St. Louis City, Warren, Washington",
