"company_name","ban","cgdc","rd","substance_abuse","lcsw","lpc","mft","lmsw","plpc","psychiatric_nurse_practitioner","psychiatrist","psychologist","alcohol_and_substance_abuse","anger_management","child_adolescent","compulsive_gambling","domestic_violence","eating_disorder","faith_based","family_marriage","general_mental_health","post_traumatic_stress","sexual_assault","suicide_prevention","traumatic_brain_injury","telehealth","website","phone_number","zip_code","country","tricare","military_culture","admin_notes","location_1","suite_no"
"New Leaf Counseling Center","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","https://www.newleafcounseling.org","8162906409","64112","United States","No","Not yet, but I would like to work with the military community",,"435 Nichols Rd
Kansas City, Missouri 64112
(39.041259, -94.593226)","Suite 2nd floor"
"Rediscover","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","http://www.rediscovermh.org","8169651126","64127","United States","Yes","Not yet, but I would like to work with the military community",,"2659 Peery Ave
Kansas City, Missouri 64127
(39.0993231, -94.5505965)",
"Lindsey Therapy Group","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No",,"6369222000","63303","United States","Yes","Not yet, but I would like to work with the military community",,"2536 Old Highway 94 S.
St. Charles, Missouri 63303
(38.744917, -90.581045)","Suite 220"
"Eileen Long LCSW LLC","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","Yes","Yes",,"5734241108","65109","United States","No","Yes, I have training in military culture",,"1001 Southwest Blvd
Jefferson City, Missouri 65109
(38.573328, -92.199361)",
"Washington Avenue VA Clinic","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","https://www.va.gov/st-louis-health-care/locations/washington-avenue-va-clinic/","3146524100","63103","United States","Yes","Yes, I have training in military culture",,"2727 Washington Avenue
St. Louis, Missouri 63103
(38.635761, -90.216991)",
"Compass Health Network","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://compasshealthnetwork.org/","8448538937","65251","United States","Yes","Not yet, but I would like to work with the military community",,"2625 Fairway Drive
Fulton, Missouri 65251
(38.87998, -91.965483)",
"New Beginnings Counseling Services LLC","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes",,"5735579795","65049","United States","No","Yes, I have served in the military",,"2935 Bagnell Dam Blvd
Lake Ozark, Missouri 65049
(38.180564, -92.62769)","Suite 124"
"Arthur Center Community Health-Mexico","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://arthurcenter.com/","5735821234","65265","United States","No","Not yet, but I would like to work with the military community",,"340 Kelley Pkwy
Mexico, Missouri 65265
(39.146307, -91.887599)",
"Gilley Counseling, LLC","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","https://www.compassionatecounselingalliance.com/marty-gilley","8165144455","64064","United States","No","Not yet, but I would like to work with the military community",,"3720 NE Troon Dr
Lees Summit, Missouri 64064
(38.980817, -94.365301)",
"Traci Smith, LPC","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","http://www.tracismithlpc.webs.com","8169220202","64068","United States","No","Not yet, but I would like to work with the military community",,"9 Victory Drive
Liberty, Missouri 64068
(39.243177, -94.448606)","Suite 1A"
"Preferred Family Healthcare (Adolescent)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","http://pfh.org/","6363325835","63376","United States","Yes","Not yet, but I would like to work with the military community",,"2120 Parkway Dr
St. Peters, Missouri 63376
(38.79813, -90.572699)",
"COMTREA","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.comtrea.org/","6362966206","63010","United States","Yes","Not yet, but I would like to work with the military community",,"21 Municipal Drive
Arnold, Missouri 63010
(38.444966, -90.403393)",
"St. Louis County VA Clinic","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","https://www.va.gov/st-louis-health-care/locations/st-louis-county-va-clinic/","3146524100","63033","United States","Yes","Yes, I have training in military culture",,"6854 Parker Road
Florissant, Missouri 63033
(38.796198, -90.234157)",
"Southeast Missouri Behavioral Health","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","https://semobh.org/","5736865090","63901","United States","No","Not yet, but I would like to work with the military community",,"308 Vine St.
Poplar Bluff, Missouri 63901
(36.756228, -90.393069)",
"White Oak Psychiatric Services","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes",,"8168862184","64064","United States","Yes","Not yet, but I would like to work with the military community",,"4045 NE Lakewood Way
Lee's Summit, Missouri 64064
(38.985697, -94.355187)","Suite 130"
"Towina M. Jones, LLC","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","www.towinamjones.com","3142391007","63873","United States","No","Not yet, but I would like to work with the military community",,"
Portageville, Missouri 63873
(36.42961, -89.70062)",
"Sandhill Counseling & Consultation","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","http://www.sandhillcounseling.com/geoffschaefer.html","6363791779","63366","United States","No","Not yet, but I would like to work with the military community",,"801 S Woodlawn Ave
O'Fallon, Missouri 63366
(38.800374, -90.705753)","Suite 15"
"Brave Counseling & Wellness","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","https://brave-mo.com/","5738256441","65201","United States","No","Not yet, but I would like to work with the military community",,"3610 Buttonwood Dr
Columbia, Missouri 65201
(38.910633, -92.329625)","Suite 200"
"Joyce Coleman, LCSW","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes",,"3145093310","63168","United States","No","Not yet, but I would like to work with the military community",,"1810 Criag Rd
St. Louis, Missouri 63168
(38.692167, -90.443613)","Suite 203"
"Solution-Focused Counseling","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","www.solution-focusedcounseling.com","5736834472","63823","United States","Yes","Not yet, but I would like to work with the military community",,"3251 West 404th Road
Bertrand, Missouri 63823
(36.90269, -89.439041)",
"Enlitens, LLC","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","https://www.enlitens.com","4053610659","63128","United States","No","Yes, I have training in military culture",,"13023 Tesson Ferry Rd
St. Louis, Missouri 63128
(38.494378, -90.383657)",
"Integrative NeuroCounseling","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","http://nicholeoliverlpc.com","3145666160","63005","United States","No","Not yet, but I would like to work with the military community",,"17295 Chesterfield Airport Rd
Chesterfield, Missouri 63005
(38.66904, -90.59857)","Suite 260"
