"area","office","phone","location_1","hours_of_operation","additional_address_info","mailing_address","mailing_city","mailing_state","mailing_zip_codes","fax"
"Cape Girardeau","Cape Girardeau","573-290-5720","471 Siemers Drive
Cape Girardeau, MO 63701
(37.29054967125558, -89.57720723)","8 am to 5 pm M-F","Suite B","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Jasper","Joplin","866-313-9960","1110 E. 7th Street
Joplin, MO 64801
(37.0821431, -94.5005863)","8 am to 5 pm M-F","Suite 200","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Scotland","Memphis","866-313-9960","#1 Child Support Lane
Memphis, MO 63555
(40.45013602210725, -92.16536129137457)","8 am to 5 pm M-F",,"PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"St. Louis City","Wainwright","866-313-9960","111 N. 7th Street
St. Louis, MO 63101-2166
(38.62739336122085, -90.19219930185757)","8 am to 5 pm M-F","Room 204","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Cole","Jefferson City","573-751-4224","205 Jefferson Street
Jefferson City, MO 65101
(38.57753902, -92.1711977)","8 am to 5 pm M-F","1st Floor","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Jefferson","Hillsboro","866-313-9960","10325 Business 21
Hillsboro, MO 63050
(38.24391604, -90.559099)","8 am to 5 pm M-F","Suite 110","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Phelps","Rolla","573-368-2250","1111 Kingshighway
Rolla, MO 65401
(37.943847, -91.78672)","8 am to 5 pm M-F","Suite D","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"St. Louis","Page","866-313-9960","9900 Page Avenue
St Louis, MO 63132
(38.68948383, -90.3778001)","8 am to 5 pm M-F",,"PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Greene","Springfield","866-313-9960","1735 W Catalpa
Springfield, MO 65807-111
(37.1937134, -93.3164145)","8 am to 5 pm M-F","Suite A","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"St. Louis","Seven Hills","866-313-9960","4040 Seven Hills Drive
Florissant, MO 63033
(38.7771895, -90.2785001)","8 am to 5 pm M-F","Suite 141","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Johnson","Warrensburg","660-543-7962","505 A North Ridgeview Drive
Warrensburg, MO 64093
(38.7677228, -93.7102674)","8 am to 5 pm M-F",,"PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Howell","West Plains","866-313-9960","3417 Division Drive
West Plains, MO 65775
(36.7813591, -91.8944911)","8 am to 5 pm M-F","Suite 3","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"St. Charles","St. Charles","636-940-3131","3737 Harry S Truman Blvd
St. Charles, MO 63301
(38.79621739, -90.5627874)","8 am to 5 pm M-F","Suite 200","PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Pemiscot","Caruthersville","866-313-9960","911 Highway 84
Caruthersville, MO 63830
(36.198489, -89.66572)","8 am to 5 pm M-F",,"PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
"Jackson","Fletcher Daniels Office Building","866-313-9960","615 East 13th Street
Kansas City, MO 64106
(39.0983802, -94.5757241)","8 am to 5 pm M-F",,"PO Box 6790","Jefferson City","MO","62102-6790","573-635-7545"
