"resource_center","complex_name","drop_box_information","hours_of_operation","location_1","additional_address_info","mailing_address","phone_number","automated_24_hour_information_line","fax"
"East Prairie Resource Center",,"T, W, F","Normal Hours 8 am to 5 pm T, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","718 North Martin Ave
East Prairie, MO 63845
(36.7842801, -89.38301657)",,"PO Box 410
Eldon, MO 65026","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Kirksville Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","1612 N Osteopathy
Suite A Kirksville, MO 63501
(40.20702915, -92.59084323)","Suite A","PO Box 670
Kirksville, MO 63501","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Mexico Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","4690 S Clark
Mexico, MO 65265
(39.12191911, -91.89367161)",,"PO Box 2700
Jefferson City, MO 65102","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Lamar Resource Center",,"T, TH","Normal Hours 8am to 5pm T, Th. We continue to honor appointments and accept walk-ins.","501 W 13th St
Lamar, MO 64759
(37.4923774, -94.28195082)",,"PO Box 1353
Joplin, MO 64802-1353","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Poplar Bluff Resource Center","Poplar Bluff Square","M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","1903 Northwood Drive
Poplar Bluff, MO 63901
(36.77770879, -90.4211426)",,"PO Box 2700
Jefferson City, MO 65102","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Fulton Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","108 N Hospital Dr
Fulton, MO 65251
(38.84272864, -91.96484001)",,"PO Box 2700
Jefferson City, MO 65102","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Cape Girardeau Resource Center","Blattner Building","NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","3102 Blattner Dr
Cape Girardeau, MO 63702
(37.29454536, -89.56903699)",,"PO Box 2700
Jefferson City, MO 65102","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Keytesville Resource Center",,"M, W","Normal Hours 8 am to 5 pm M and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","121 East Jackson
Keytesville, MO 65261
(39.43274045, -92.93533857)",,"PO Box 670
Kirksville, MO 63501","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Kahoka Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T, TH.  We continue to honor appointments and accept walk-ins.","320 West Main
Kahoka, MO 63445
(40.4204014, -91.72244562)",,"PO Box 670
Kirksville, MO 63501","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Boonville Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T, TH, F.  We continue to honor appointments and accept walk-ins.","512 Jackson Road
Boonville, MO 65233
(38.949909, -92.740874)",,"PO Box 2700
Jefferson City, MO 65102","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Greenfield Resource Center",,"T, TH","Normal Hours 8 am to 5 pm T, TH.  We continue to honor appointments and accept walk-ins.","2 North Main Street
Greenfield, MO 65661
(37.415738, -93.840348)",,"PO Box 1353
Joplin, MO 64802-1353","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Kennett Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","1100 Hwy 25 S Bypass
Kennett, MO 63857
(36.228864, -90.045565)","Suite 1","PO Box 2700
Jefferson City, MO 65102","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Washington Resource Center","Washington Square Shopping Center","NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","1108 Washinton Sq Shopping Center
Washington, MO 63090
(38.536169, -91.003596)",,"PO Box 670
Kirksville, MO 63501","(855) 373-4636","(800) 392-1261","(573) 526-9400"
