"pwsid","name","county"
"MO1010001","ADRIAN PWS","BATES"
"MO1010006","ALBANY PWS","GENTRY"
"MO1010009","ALMA PWS","LAFAYETTE"
"MO1010010","ALTAMONT PWS","DAVIESS"
"MO1010013","AMAZONIA PWS","ANDREW"
"MO1010014","AMORET PWS","BATES"
"MO1010024","ARCHIE PWS","CASS"
"MO1010046","BARNARD PWS","NODAWAY"
"MO1010049","BATES CITY PWS","LAFAYETTE"
"MO1010061","BELTON PWS","CASS"
"MO1010068","BETHANY PWS","HARRISON"
"MO1010070","BIRMINGHAM VILLAGE OF PWS","CLAY"
"MO1010076","BLAIRSTOWN PWS","HENRY"
"MO1010080","BLUE SPRINGS PWS","JACKSON"
"MO1010084","BOLCKOW PWS","ANDREW"
"MO1010098","BRAYMER PWS","CALDWELL"
"MO1010099","BRECKENRIDGE PWS","CALDWELL"
"MO1010113","BUCKNER PWS","JACKSON"
"MO1010117","BURLINGTON JUNCTION PWS","NODAWAY"
"MO1010118","BUTLER PWS","BATES"
"MO1010122","CAINSVILLE PWS","HARRISON"
"MO1010123","CALHOUN PWS","HENRY"
"MO1010131","CAMERON PWS","CLINTON"
"MO1010150","CENTERVIEW PWS","JOHNSON"
"MO1010161","CHILHOWEE PWS","JOHNSON"
"MO1010167","CLARKSDALE PWS","DEKALB"
"MO1010173","CLEARMONT PWS","NODAWAY"
"MO1010174","CLEVELAND PWS","CASS"
"MO1010177","HENRY COUNTY WATER COMPANY","HENRY"
"MO1010179","COFFEY PWS","DAVIESS"
"MO1010182","CONCEPTION JUNCTION PWS","NODAWAY"
"MO1010184","CONCORDIA PWS","LAFAYETTE"
"MO1010191","CRAIG PWS","HOLT"
"MO1010193","CREIGHTON PWS","CASS"
"MO1010204","DEARBORN PWS","PLATTE"
"MO1010205","DEEPWATER PWS","HENRY"
"MO1010225","DREXEL PWS","CASS"
"MO1010233","EAST LYNNE PWS","CASS"
"MO1010234","EASTON PWS","BUCHANAN"
"MO1010237","EDGERTON PWS","PLATTE"
"MO1010249","ELMO PWS","NODAWAY"
"MO1010254","EMMA PWS","LAFAYETTE"
"MO1010261","EXCELSIOR SPRINGS PWS","CLAY"
"MO1010265","FAIRFAX PWS","ATCHISON"
"MO1010277","FILLMORE PWS","ANDREW"
"MO1010292","FREEMAN PWS","CASS"
"MO1010299","GALLATIN PWS","DAVIESS"
"MO1010301","MO AMERICAN GARDEN CITY","CASS"
"MO1010306","GILMAN CITY PWS","HARRISON"
"MO1010307","GLADSTONE PWS","CLAY"
"MO1010318","GOWER PWS","CLINTON"
"MO1010319","GRAHAM PWS","NODAWAY"
"MO1010320","GRAIN VALLEY","JACKSON"
"MO1010324","GRANT CITY PWS","WORTH"
"MO1010342","HAMILTON PWS","CALDWELL"
"MO1010346","HARDIN PWS","RAY"
"MO1010349","HARRISONVILLE PWS","CASS"
"MO1010358","HENRIETTA PWS","RAY"
"MO1010363","HIGGINSVILLE PWS","LAFAYETTE"
"MO1010371","HOLDEN PWS","JOHNSON"
"MO1010378","HOPKINS PWS","NODAWAY"
"MO1010388","HUME PWS","BATES"
"MO1010399","INDEPENDENCE PWS","JACKSON"
"MO1010406","JAMESPORT PWS","DAVIESS"
"MO1010415","KANSAS CITY PWS","JACKSON"
"MO1010416","KEARNEY PWS","CLAY"
"MO1010425","KING CITY PWS","GENTRY"
"MO1010426","KINGSTON PWS","CALDWELL"
"MO1010427","KINGSVILLE PWS","JOHNSON"
"MO1010432","KNOB NOSTER PWS","JOHNSON"
"MO1010445","LAKE WAUKOMIS PWS","PLATTE"
"MO1010453","LATHROP PWS","CLINTON"
"MO1010454","MO AMERICAN LAWSON","RAY"
"MO1010459","LEES SUMMIT","JACKSON"
"MO1010460","LEETON PWS","JOHNSON"
"MO1010464","LEXINGTON PWS","LAFAYETTE"
"MO1010466","LIBERTY PWS","CLAY"
"MO1010481","FERRELVIEW PWS","PLATTE"
"MO1010489","MAITLAND PWS","HOLT"
"MO1010508","MARYVILLE PWS","NODAWAY"
"MO1010510","MAYSVILLE PWS","DEKALB"
"MO1010511","MAYVIEW PWS","LAFAYETTE"
"MO1010532","MISSOURI CITY PWS","CLAY"
"MO1010541","MONTROSE PWS","HENRY"
"MO1010546","MOSBY PWS","CLAY"
"MO1010548","MOUND CITY PWS","HOLT"
"MO1010567","NEW HAMPTON PWS","HARRISON"
"MO1010580","NORTH KANSAS CITY PWS","CLAY"
"MO1010583","NORTHMOOR PWS","PLATTE"
"MO1010589","OAK GROVE PWS","JACKSON"
"MO1010599","ODESSA PWS","LAFAYETTE"
"MO1010605","OREGON PWS","HOLT"
"MO1010607","MO AMERICAN ORRICK","RAY"
"MO1010609","OSBORN PWS","DEKALB"
"MO1010625","MO AMERICAN PLATTE COUNTY","PLATTE"
"MO1010627","PARNELL PWS","NODAWAY"
"MO1010632","PATTONSBURG PWS","DAVIESS"
"MO1010633","PECULIAR PWS","CASS"
"MO1010646","PLATTE CITY PWS","PLATTE"
"MO1010648","PLATTSBURG PWS","CLINTON"
"MO1010649","PLEASANT HILL PWS","CASS"
"MO1010653","POLO PWS","CALDWELL"
"MO1010673","RAVENWOOD PWS","NODAWAY"
"MO1010675","RAYMORE PWS","CASS"
"MO1010676","RAYTOWN WATER COMPANY","JACKSON"
"MO1010682","RICH HILL PWS","BATES"
"MO1010685","RICHMOND PWS","RAY"
"MO1010688","RIDGEWAY PWS","HARRISON"
"MO1010696","ROCK PORT PWS","ATCHISON"
"MO1010698","ROCKVILLE PWS","BATES"
"MO1010714","MO AMERICAN ST JOSEPH","BUCHANAN"
"MO1010724","SAVANNAH PWS","ANDREW"
"MO1010739","SHERIDAN PWS","WORTH"
"MO1010742","SIBLEY PWS","JACKSON"
"MO1010744","SKIDMORE PWS","NODAWAY"
"MO1010748","SMITHVILLE PWS","CLAY"
"MO1010755","STANBERRY PWS","GENTRY"
"MO1010757","ROSENDALE PWS","ANDREW"
"MO1010762","STEWARTSVILLE PWS","DEKALB"
"MO1010773","SUGAR CREEK PWS","JACKSON"
"MO1010786","TARKIO BOARD OF PUBLIC WORKS","ATCHISON"
"MO1010795","TRACY PWS","PLATTE"
"MO1010802","UNION STAR PWS","DEKALB"
"MO1010808","URICH PWS","HENRY"
"MO1010833","MO AMERICAN WARRENSBURG","JOHNSON"
"MO1010839","WAVERLY PWS","LAFAYETTE"
"MO1010842","WEATHERBY LAKE PWS","PLATTE"
"MO1010846","WELLINGTON PWS","LAFAYETTE"
"MO1010850","WESTBORO PWS","ATCHISON"
"MO1010851","WESTON PWS","PLATTE"
"MO1010865","WINDSOR PWS","HENRY"
"MO1010871","WOOD HEIGHTS PWS","RAY"
"MO1010880","LAKE WINNEBAGO PWS","CASS"
"MO1010921","UNITY VILLAGE","JACKSON"
"MO1010940","LEVASY PWS","JACKSON"
"MO1010980","LAKE TAPAWINGO PWS","JACKSON"
"MO1011067","PRATHERSVILLE PWS","CLAY"
"MO1011181","DEKALB PWS","BUCHANAN"
"MO1011182","BIG LAKE VILLAGE OF PWS","HOLT"
"MO1020869","JACKSON COUNTY PWSD 16","JACKSON"
"MO1021071","HENRY COUNTY PWSD 1","HENRY"
"MO1021080","DAVIESS COUNTY PWSD 2","DAVIESS"
"MO1021082","CASS COUNTY PWSD 11","CASS"
"MO1021098","CASS BATES COUNTY PWSD 12","CASS"
"MO1021117","HENRY COUNTY PWSD 3","HENRY"
"MO1021160","BATES COUNTY PWSD 7","BATES"
"MO1021175","HENRY COUNTY PWSD 4","HENRY"
"MO1021221","GENTRY COUNTY PWSD 2","GENTRY"
"MO1021304","HOLT COUNTY PWSD  1","HOLT"
"MO1021318","CALDWELL COUNTY PWSD 3","CALDWELL"
"MO1021595","ATCHISON COUNTY WHOLESALE WATER COMM","ATCHISON"
"MO1024004","ANDREW COUNTY PWSD 1","ANDREW"
"MO1024005","ANDREW COUNTY PWSD 2","ANDREW"
"MO1024006","ANDREW COUNTY PWSD 3","ANDREW"
"MO1024007","ANDREW COUNTY PWSD 4","ANDREW"
"MO1024009","ATCHISON COUNTY PWSD 1","ATCHISON"
"MO1024030","BATES COUNTY PWSD 1","BATES"
"MO1024031","BATES COUNTY PWSD 2","BATES"
"MO1024032","BATES COUNTY PWSD 3","BATES"
"MO1024033","BATES COUNTY PWSD 4","BATES"
"MO1024034","BATES COUNTY PWSD 5","BATES"
"MO1024035","BATES COUNTY PWSD 6","BATES"
"MO1024064","BUCHANAN COUNTY PWSD 1","BUCHANAN"
"MO1024078","CALDWELL COUNTY PWSD 1","CALDWELL"
"MO1024079","CALDWELL COUNTY PWSD 2","CALDWELL"
"MO1024110","CASS COUNTY PWSD 10","CASS"
"MO1024111","CASS COUNTY PWSD 7","CASS"
"MO1024112","CASS COUNTY PWSD 6","CASS"
"MO1024113","CASS COUNTY PWSD 1","CASS"
"MO1024114","CASS COUNTY PWSD 2","CASS"
"MO1024115","CASS COUNTY PWSD 3","CASS"
"MO1024116","CASS COUNTY PWSD 4","CASS"
"MO1024117","CASS COUNTY PWSD 5","CASS"
"MO1024118","CASS COUNTY PWSD 9","CASS"
"MO1024119","CASS COUNTY PWSD 8","CASS"
"MO1024142","CLAY COUNTY PWSD 2","CLAY"
"MO1024143","CLAY COUNTY PWSD 3","CLAY"
"MO1024144","CLAY COUNTY PWSD 4","CLAY"
"MO1024145","CLAY COUNTY PWSD 5","CLAY"
"MO1024146","CLAY COUNTY PWSD 6","CLAY"
"MO1024147","CLAY COUNTY PWSD 7","CLAY"
"MO1024149","CLAY COUNTY PWSD 8","CLAY"
"MO1024150","CLAY COUNTY PWSD 9","CLAY"
"MO1024153","CLINTON COUNTY PWSD 1","CLINTON"
"MO1024154","CLINTON COUNTY PWSD 4 SYS 2","CLINTON"
"MO1024155","CLINTON COUNTY PWSD 3","CLINTON"
"MO1024156","CLINTON CO PWSD 4 SYS 1","CLINTON"
"MO1024186","DAVIESS COUNTY PWSD 1","DAVIESS"
"MO1024191","DEKALB COUNTY PWSD 1","DEKALB"
"MO1024223","GENTRY COUNTY PWSD 1","GENTRY"
"MO1024241","HARRISON COUNTY PWSD 1","HARRISON"
"MO1024242","HARRISON COUNTY PWSD 2","HARRISON"
"MO1024247","HARRY S TRUMAN PWSD 2","HENRY"
"MO1024275","JACKSON COUNTY PWSD 1","JACKSON"
"MO1024276","JACKSON COUNTY PWSD 2","JACKSON"
"MO1024278","JACKSON COUNTY PWSD 12","JACKSON"
"MO1024279","JACKSON COUNTY PWSD 13","JACKSON"
"MO1024281","JACKSON COUNTY PWSD 15","JACKSON"
"MO1024282","JACKSON COUNTY PWSD 17","JACKSON"
"MO1024309","JOHNSON COUNTY PWSD 1","JOHNSON"
"MO1024310","JOHNSON COUNTY PWSD 2","JOHNSON"
"MO1024311","JOHNSON COUNTY PWSD 3","JOHNSON"
"MO1024324","LAFAYETTE COUNTY PWSD 1","LAFAYETTE"
"MO1024326","LAF JO SALINE COUNTY CONS PWSD 2","LAFAYETTE"
"MO1024428","NODAWAY COUNTY PWSD 1","NODAWAY"
"MO1024476","PLATTE COUNTY PWSD 2","PLATTE"
"MO1024477","PLATTE COUNTY PWSD 3","PLATTE"
"MO1024478","PLATTE CO PWSD 4","PLATTE"
"MO1024479","PLATTE COUNTY CONS PWSD 1","PLATTE"
"MO1024480","PLATTE COUNTY PWSD 6","PLATTE"
"MO1024481","PLATTE COUNTY PWSD 7","PLATTE"
"MO1024482","PLATTE COUNTY PWSD 8","PLATTE"
"MO1024483","PLATTE CO PWSD 9","PLATTE"
"MO1024510","RAY COUNTY PWSD 1","RAY"
"MO1024511","RAY COUNTY CONS PWSD 2","RAY"
