"jobpostingid","title","salarybasis","salarystart","salaryend","openingdate","closingdate","vacancytotal","organization","jobdescription","jobtype","name","address1","address2","city","state","zip","contactphone","contactextension","contactfax","contactemail","contactcomments","postingtype","specialty","workzip","onetcode","soctitle","onet","jobdetailsurl","joburl","employer"
"290","Personnel Analyst II","Annual","36204.00","51096.00","2015-02-11","2015-03-11","1","St. Louis Psychiatric Rehabilitation Center","Review all position descriptions, classification issues and position management and send appropriate information to OA Position Control in Jefferson City; maintain position control files, assign position code number; request position reviews; request new positions; prepare and maintain file of assigned organizational codes as given by Accounting Department; ensure that PSMT's are assigned to appropriate organizational codes in the SAM-II database with corret FTE percentage.    Maintain EMPHS Staffing Plan ensuring that it is in agreement with ifnormation contained in the SAM-II database for each  employee and that each employee has a separata position code number providing monthly and periodic rejport to HR Director.    Assure that all PERforM information is entered correctly for all EMPHS employees; create and maintain periodic PERforM reports for HR Director and managers/supervisors regarding performance plans and appraisal tracking; and train/assit in matters pertaining to PERforM at all EMPHS facilities.     Process all EMPHS requests for Family & Medical Leave (FMLA) according to DOL directives and EMPHS policies and procedures; maintain monthly reports for FMLA usage for all EMPHS facilties and supply such information to HR Director and COOs at each facility.    Maintain monthly or bi-monthly leave reports for all three EMPHS facilities for nursing and other departments within the facility on separate report forms so supervisors don't have to work through hugh amounts of paper.    Maintain applicant files; assist managers with hiring process; assist with advertising and recruiting; ensure that applicant background screenings are completed prior to hire; ensure that vacant positions are filled in accordance with OA/DMH/EMPHS Rules and Regulations, and assist with new employee orientation regarding HR issues  Assist employees with information regarding retirement, retirement benefits and State disability information; provide guidance in completion of retirement forms and disability forms, and ensure that all forms are submitted in a timely manner to Mosers, MCHCP and Standard Insurance.    Develop and distribute various employee reports to department heads/supervisors to ensure DMH/HCPH Policies and Procedures are followed.    Assist HR Director with regional supervisory training.    Supervise, train and prepare performance planning and appraisal documents for clerical employee(s) this position supervises in accordance with established guidlelines; assist Human Resources Manager, as needed or assigned.    Other duties and preparation of reports as assigned.","Full-Time","Donna Harris","5300 Arsenal",,"St. Louis","MO","63139","3148775948",,"3148775950","donna.harris-brekel@dmh.mo.gov",,"Merit",,"63139","43416100","Office and Administrative Support Occupations","Human Resources Assistants, Except Payroll and Timekeeping",,"https://apps1.mo.gov/mocareers/Details?id=290","STATE OF MISSOURI"
"319","Maintenance Worker II","Annual","28104.00","38928.00","2015-02-18","2015-02-27","1","Western Reception Diagnostic & Correctional Center","An opening exists for the position listed above at the Western Reception Diagnostic and Correctional Center.  This position is located within a large all male facility and would be responsible for general duties within that job description.","Full-Time",,,,,,,,,,,,"Merit",,"64506","33909999","Protective Service Occupations","Protective Service Workers, All Other",,"https://apps1.mo.gov/mocareers/Details?id=319","STATE OF MISSOURI"
"300","Revenue Processing Technician I","Annual","23160.00","30924.00","2015-02-12","2015-02-18","1","Business Tax Bureau","This is entry-level work in the Missouri Department of Revenue reviewing and processing a variety of motor vehicle titling, registration, drivers licensing, business tax, individual tax, tax return, and/or related documents, applications, and transactions.","Full-Time","Personnel Servies Bureau","301 W High Street","Suite 225","Jefferson City","MO","65102","5737511291",,"5737515294","Personnel@dor.mo.gov","If you would like to apply for this position, please visit our website, create an account, complete your on-line application and apply for the position of interest.","Other",,"65102","43405100","Office and Administrative Support Occupations","Customer Service Representatives","https://sa.dor.mo.gov/hr/jobopp/default.aspx","https://apps1.mo.gov/mocareers/Details?id=300","STATE OF MISSOURI"
"317","Utility Operations Technical Specialist II","Annual","37548.00","52092.00","2015-02-17","2015-03-06","1","Missouri Public Service Commission","Specialist I - An employee in this class performs routine engineering analysis of utility operations, and prepares material which may be used as testimony in PSC hearings on utility rates, services, construction or production. Work involves participating in the evaluation of specific types of designs, or working in engineering areas such as electrical, telecommunications, steam, water, gas or nuclear systems, or in specific aspects of statistics or industrial activity reporting. Close supervision is received from a higher-level Utility Engineering Specialist, Utility Regulatory Engineer or an administrative superior, and work is reviewed for technical accuracy and conformance to established policies.  Specialist II - An employee in this class performs moderately complex engineering analysis of utility operations, and prepares material which may be used as testimony in PSC hearings on utility rates, services, construction or production. Work involves serving as an engineering technical resource in the evaluation of specific types of designs, or in engineering areas such as electrical, telecommunications, steam, water, gas or nuclear systems, or in specific aspects of statistics or industrial activity reporting. Work may also involve serving as lead worker over lower-level Utility Engineering Specialists on routine projects in small utilities. General supervision is received from a higher-level Utility Engineering Specialist, Utility Regulatory Engineer or an administrative superior; however, the employee exercises independent judgment in determining methods for completion of work, and work is reviewed for conformance to established policies.","Full-Time","Sheryl Gregory","200 Madison Street","PO Box 360","Jefferson City","MO","65102-0360","5737513233",,"5735264935","pscjobs@psc.mo.gov","Qualified candidates will possess a minimum of three years of technical experience in an energy- or inspection-related field, preferably related to natural gas or pipeline operations.   Candidates must have a working knowledge of, or ability to quickly learn the principals of engineering as applied in construction, maintenance and operation of gas utilities.  The ability to present ideas clearly and concisely, both orally and in writing is essential.  Proficiency in Microsoft Word and Excel preferred.  Position requires extensive travel within the state and some travel outside Missouri.  To be considered for this position, submit an application, resume, a copy of all transcripts, and one to two page technical writing sample by 5:00 pm March 6, 2015 to: MO Public Service Commission, Reference UO040315, P.O. Box 360, Jefferson City, MO  65102 or via e-mail to pscjobs@psc.mo.gov.","Other",,"65102","17207100","Architecture and Engineering Occupations","Electrical Engineers","http://psc.mo.gov/General/Career_Opportunities","https://apps1.mo.gov/mocareers/Details?id=317","STATE OF MISSOURI"
"292","Youth Specialist I/II","Annual","28104.00","30984.00","2015-02-11","2015-02-24","1","Division of Youth Services","Serves as a youth supervisor with responsibility for the safety, personal conduct, care, education and therapy of the youth during a shift, implements group and individual treatment plans, maintains security in buildings, grounds, and other posts, and intervenes during emergencies or altercations to prevent escapes and gain physical control of youth.","Full-Time","Connie Rea/Ryan Magers","1631 W. Bennett",,"Springfield","MO","65807","4178956240",,"4178956243","connie.rea@dss.mo.gov","You must include a cover letter, resume, photocopy of official transcripts, DSS Application for Employment and DYS Employment Application Addendum.","Merit",,"65807","21102999","Community and Social Services Occupations","Social Workers, All Other",,"https://apps1.mo.gov/mocareers/Details?id=292","STATE OF MISSOURI"
"275","Clerk Typist","Monthly","2086.00","2086.00","2015-02-10","2015-02-25","1",,"The Missouri State Public Defender System is accepting applications for a Clerk Typist in the Kansas City Trial Office.  Individual will assist staff attorneys in the preparation of cases for trial including maintaining the trial calendar and typing motions, jury instructions, and correspondence. Individual will also answer the phone, greet visitors, and perform other clerical duties.","Full-Time","Amy Johnson","1000 W Nifong Bldg 7 Ste 100",,"Columbia","MO","65203","5737779977","202","5737779976","human.resources@mspd.mo.gov","Applications are available online at www.publicdefender.mo.gov; by calling 573-777-9977, ext. 202; or by visiting any local public defender office.  Employment Application must be received by mail, email, or fax in Human Resources no later than February 25, 2015 to be considered for position.    Send completed application to:  Office of State Public Defender  Woodrail Centre  1000 West Nifong, Bldg. 7, Ste. 100  Columbia, MO 65203-5661  Fax: 573-777-9976  Email: human.resources@mspd.mo.gov","Other",,"64106","23209999","Legal Occupations","Legal Support Workers, All Other",,"https://apps1.mo.gov/mocareers/Details?id=275","STATE OF MISSOURI"
"285","Functional Unit Manager (Corrections)","Annual","37548.00","53208.00","2015-02-11","2015-02-25","1","DAI - ERDCC","This is senior level professional and supervisory work overseeing multi-disciplinary staff in one or more functional unit(s) with the Missouri Department of Corrections, Division of Adult Institutions.","Full-Time",,,,,"MO",,,,,,,"Merit",,"63628","11919900","Management Occupations","Managers, All Other","http://oa.mo.gov/personnel/classification-specifications/5100","https://apps1.mo.gov/mocareers/Details?id=285","STATE OF MISSOURI"
"258","Financial Services Technician/Senior Financial Services Technician","Monthly","2382.00","3634.00","2015-02-06","2015-02-20","1","Risk & Benefits Management Division","--- Financial Services Technician ---  ï¿½ Maintains program records and files.  ï¿½ Collects and sorts financial related documents and supporting information; verifies correct accounting transaction and/or vendor information.  ï¿½ Debits, credits, and totals accounts on computer spreadsheets and databases, using specialized accounting software.  ï¿½ Classifies, records, and summarizes numerical and financial data in order to compile and keep financial records.  ï¿½ Calculates, prepares, and issues bills, invoices, account statements, and other financial statements according to established procedures.  ï¿½ Assists with benefit payroll transactions and payroll adjustments.  ï¿½ Provides routine technical support for processes in PeopleSoft which is the eligibility management system for the Plan.  ï¿½ Processes payroll transactions and payroll adjustments.  ï¿½ Provides employee benefit advisory assistance to employees and members of the plan and assists in completing the necessary forms for the various benefit options.  ï¿½ Performs other responsibilities as required or assigned.    --- Senior Financial Services Technician ---  ï¿½ Maintains program records and files.  ï¿½ Performs independent advanced specialized accounting tasks, including accounts receivable, accounts payable, and payroll functions.  ï¿½ Reviews and processes complex invoices and other documents for payment by verifying transaction information, scheduling and preparing disbursements, and obtaining   authorization for payment.  ï¿½ Secures financial information and maintains financial historical records by creating and/or maintaining electronic files and/or filing accounting documents.  ï¿½ Reviews and reconciles various financial transactions.  ï¿½ Compiles statistical, financial, accounting or auditing reports and tables pertaining to such matters as cash receipts, expenditures, and accounts payable and receivable.  ï¿½ Coordinate benefit payroll transactions and payroll adjustments.  ï¿½ Provides routine technical support for processes in PeopleSoft which is the eligibility management system for the Plan.  ï¿½ Provides employee benefit advisory assistance to employees and members of the plan and assists in completing the necessary forms for the various benefit options.  ï¿½ Performs other responsibilities as required or assigned.","Full-Time","Stacy Kaiser","630 W. Main",,"Jefferson City","MO","65101","5737518478",,"5735260561","Stacy.Kaiser@modot.mo.gov","To view entire job posting and to apply for this position, please visit www.modot.org/jobs.","Other",,"65102","43919999","Office and Administrative Support Occupations","Office and Administrative Support Workers, All Other","http://www.modot.org/jobs","https://apps1.mo.gov/mocareers/Details?id=258","STATE OF MISSOURI"
"320","Assistant District Engineer","Monthly","6265.00","8674.00","2015-02-18","2015-03-03","1","Southwest District","ï¿½ Supervises and provides direction to district department heads; supports employee development through mentoring, performance management and area work plans.  ï¿½ Monitors and ensures district programs and projects are on schedule and will meet the department's expectations; investigates schedule delays and recommends remedial action as assigned; conducts field visits to monitor activities for assigned areas.  ï¿½ Directs and tracks the district operating budget, state transportation improvement plan, equipment purchases, facilities program and business plan; allocates resources within the district to meet budget and funding needs; plans for future district operational needs; prioritizes district projects and activities.  ï¿½ Serves as the district engineer as required.  ï¿½ Responds to requests for information from other districts and divisions.  ï¿½ Responds to complaints and requests for information from public officials, consultants, contractors, community groups, the public, media representatives and legislative bodies; represents the department at public functions.  ï¿½ Disseminates and implements department policies and procedures pertaining to activities of assigned areas.  ï¿½ Informs the district engineer of important district activities and personnel issues, and recommends appropriate action.  ï¿½ Conducts public hearings and meetings and acts as a spokesperson for the district to local committees, civic groups and media.  ï¿½ Makes recommendations on personnel utilization including the location of personnel authorizations; reviews and approves district disciplinary actions, promotions and staffing decisions.  ï¿½ Performs supervisory responsibilities in a manner consistent with the department's Affirmative Action Program.  ï¿½ Performs other responsibilities as required or assigned.","Full-Time","Jaylyn O'Connor","3025 E. Kearney",,"Springfield","MO","65803","4178957222",,,,"In order to be considered for this vacancy please go to the MoDOT Employment Application System (www.modot.org/jobs) and submit an on-line application. Applications, and if applicable transcripts, must be received by no later than 11:55 pm on March 3, 2015.","Other",,"65803","17205100","Architecture and Engineering Occupations","Civil Engineers","http://modot.org/jobs","https://apps1.mo.gov/mocareers/Details?id=320","STATE OF MISSOURI"
"257","Laundry Manager","Annual","33744.00","47892.00","2015-02-06","2015-02-19","1","DAI","An opening exists for the position listed above at the Western Missouri Correctional Center which is a large all male institution which houses approximately 2000 offenders.  The selected individual would be responsible for general duties within this position.","Full-Time","Amanda Stith","609 E. Pence Rd.",,"Cameron","MO","64429","8166321390","2114","8166322191","amanda.stith@doc.mo.gov",,"Merit",,"64429","37101100","Building and Grounds Cleaning and Maintenance Occupations","First-Line Supervisors/Managers of Housekeeping and Janitorial Workers",,"https://apps1.mo.gov/mocareers/Details?id=257","STATE OF MISSOURI"
