"venue","location","region","phone","email","location_1","address_2"
"Joplin","Division Office","Joplin","417-629-3032","JoplinDocketing@labor.mo.gov","3311 Texas
Joplin, MO 64804
(37.052422, -94.48242)",
"Kansas City","Divison Office - Gateway Bldg","Kansas City","816-889-2481","KCDocketing@labor.mo.gov","1410 Genessee St.
Kansas City, MO 64102
(39.097688, -94.605963)","#210"
"St. Louis","250 Wainwright Bldg.","St. Louis","314-340-6865","STLDocketing@labor.mo.gov","111 N. 7th St
St. Louis, MO 63101
(38.627129, -90.192014)",
"Bloomfield","Stoddard County Courthouse","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","403 S. Prairie
Bloomfield, MO 63825
(36.883897, -89.928621)",
"Farmington","Ste. Genevieve County Courthouse","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","55 S. Third St., Room 23
Ste. Genevieve, MO 63670
(37.979187, -90.04632)",
"Franklin","City Hall","St. Charles","636-949-1999","STCDocketing@labor.mo.gov","405 Jefferson St.
Washington, MO 63090
(38.557176, -91.012912)",
"St. Joseph","Division Office","St. Joseph","816-387-2275","STJoeDocketing@labor.mo.gov","525 Jules
St. Joseph, MO 64501
(39.768611, -94.853793)","Rm. 315"
"Rolla","Rolla City Hall","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","901 N. Elm St.
Rolla, MO 65401
(37.950905, -91.770731)","Council Chambers 1st Floor"
"Franklin","Franklin County Municipal Ct.","St. Charles","636-949-1999","STCDocketing@labor.mo.gov","#15 South Church St.
Union, MO 63084
(38.44512, -91.006026)","#304 (Stierberger Courtroom)"
"Macon","Macon Municipal Court","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","106 West Bourke
Macon, MO 63552
(39.738455, -92.474054)",
"Sikeston","Sikeston Municipal Court Bldg.","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","131 N. New Madrid St
Sikeston, MO 63801
(36.877555, -89.589806)",
"Maryville","Nodaway County Court House","St. Joseph","816-387-2275","STJoeDocketing@labor.mo.gov","305 N. Main St.
Maryville, MO 64468
(40.348332, -94.872297)","Assoc. Courtroom 2nd Floor"
"Maryville","Administration Center (Backup)","St. Joseph","816-387-2275","STJoeDocketing@labor.mo.gov","403 N. Market
Maryville, MO 64468
(40.349062, -94.871222)",
"Lamar","Nevada Police Department","Springfield","417-888-4100","SGFDocketing@labor.mo.gov","120 S. Ash
Nevada, MO 64772
(37.83806, -94.35937)",
"Kirksville","Adair County Courthouse","St. Joseph","816-387-2275","STJoeDocketing@labor.mo.gov","106 W. Washington
Kirksville, MO 63501
(40.195143, -92.583758)","Div 3 Courtroom, 1st Floor"
"West Plains","Howell County Administrative Bldg","Springfield","417-888-4100","SGFDocketing@labor.mo.gov","35 Court Square
West Plains, MO 65775
(36.728426, -91.853226)","Room 304"
"Springfield","Division Office","Springfield","417-888-4100","SGFDocketing@labor.mo.gov","1736 E. Sunshine
Springfield, MO 65804
(37.180639, -93.263168)","Ste. 610"
"Hannibal","Marion County Courthouse (Primary)","St. Louis","314-340-6865","STLDocketing@labor.mo.gov","906 Broadway
Hannibal, MO 63401
(39.706492, -91.364287)","Room 203, 2nd Floor"
"Mexico","5900 Tower Bldg.","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","5900-B N Tower Dr
Columbia, MO 65202
(39.016568, -92.313269)",
"New Madrid","New Madrid County Courthouse","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","450 Main St.
New Madrid, MO 63869
(36.587827, -89.527759)",
"Lexington","Lafayette Hall/White Dome","Kansas City","816-889-2481","KCDocketing@labor.mo.gov","116 S 10th
Lexington, MO 64067
(39.18467, -93.883046)","Courthroom B"
"Marshall","Sedalia City Hall","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","200 S. Osage Ave
Sedalia, MO 65301
(38.7099, -93.22955)",
"Caruthersville","Pemiscot County Courthouse","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","610 Ward Ave
Caruthersville, MO 63830
(36.189725, -89.65704)",
"Neosho","Division Office","Joplin","417-629-3032","JoplinDocketing@labor.mo.gov","3311 Texas
Joplin, MO 64804
(37.052423, -94.48243)",
"Branson West","Branson West City Hall","Springfield","417-888-4100","SGFDocketing@labor.mo.gov","110 Silver Lady Lane
Branson West, MO 65737
(36.700841, -93.368132)",
"Fulton","Division Office","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","3315 W. Truman Blvd
Jefferson City, MO 65109
(38.591269, -92.242879)",
"St. Charles","Division Office","St. Charles","636-949-1999","STCDocketing@labor.mo.gov","3737 Harry S. Truman Blvd
St. Charles, MO 63301
(38.797961, -90.562453)","Suite 300"
"Cape Girardeau","Division Office","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","3102 Blattner Dr
Cape Girardeau, MO 63703
(37.294529, -89.569031)","Suite 101"
"Camdenton","Osage Beach City Hall","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","1000 City Pkwy, Boardroom
Osage Beach, MO 65065
(38.125941, -92.672373)",
