"business_name","zip_code","license_number","license_type","city"
"A TO Z WINEWORKS LLC","971326966","158858","22S","NEWBERG"
"A.R.T. LLC","993627308","273153","22S","WALLA WALLA"
"A.V.V. WINERY COMPANY LLC","954489642","147198","22S","HEALDSBURG"
"ABIGAIL ADAMS WINE CO.","945991369","274522","22S","YOUNTVILLE"
"ABITA BREWING COMPANY LLC","704200000","231298","22S","ABITA SPRINGS"
"ABLE BEVERAGE LLC","040976101","284360","22S","NORTH YARMOUTH"
"ACCOLADE WINES NORTH AMERICA, INC","945592956","283949","22S","NAPA"
"ACKERMAN FAMILY VINEYARDS LLC","945593874","280616","22S","NAPA"
"ACKLEY BRANDS LTD.","971168516","238512","22S","FOREST GROVE"
"AHA PARTNERS LLC","945089606","259181","22S","ANGWIN"
"AKA WINES LLC","954762805","261847","22S","SONOMA"
"ALASKAN BREWING LLC","998019540","252677","22S","JUNEAU"
"ALBERT BICHOT USA, LLC","232331028","281335","22S","HENRICO"
"ALL STAR WINE IMPORTS LLC","44103","280501","22S","CLEVELAND"
"ALLIED IMPORTERS USA LTD.","112051072","163603","22S","BROOKLYN"
"ALPHA & OMEGA WINERY LLC","945730000","238992","22S","RUTHERFORD"
"ALPHA MARKETING NETWORK","331695714","203348","22S","MIAMI"
"ALTA WINES LLC","945586187","244700","22S","NAPA"
"AMAVI, L.L.C.","993627007","279618","22S","WALLA WALLA"
"AMICUS CELLARS II LLC","945586187","265377","22S","NAPA"
"AMPHORA IMPORTS LLC","554322515","270571","22S","FRIDLEY"
"ANDERS-LANE ARTISAN WINES LP","950373201","178188","22S","MORGAN HILL"
"ANDERSON'S CONN VALLEY WINERY, INC.","945749646","185613","22S","ST. HELENA"
"ANNE HUBATCH-VINTNER LLC","972144602","268351","22S","PORTLAND"
"ANTIPODEAN WINE LLC","100382543","272900","22S","NEW YORK"
"ANXO LOGISTICS LLC","200115246","269538","22S","WASHINGTON"
"APPELLATION TRADING COMPANY LLC","945587590","280499","22S","NAPA"
"APPELLATIONS LP","945583853","265383","22S","NAPA"
"APPELT'S QUALITY LIQUORS WHOLESALE DIST.","633793812","252083","22S","TROY"
"AQUAM VINOS LLC","665020000","258990","22S","MANHATTAN"
"ARANO LLC","334318510","257789","22S","BOCA RATON"
"AREL GROUP WINES AND SPIRITS, INC.","300408233","141546","22S","CUMMING"
"ARETE WINES, LLC","934364970","278379","22S","LOMPOC"
"ARIETTA INC.","94559","213303","22S","NAPA"
"ARMIDA WINERY, INC.","954489342","279347","22S","HEALDSBURG"
"ARTY'S INC. PARTNERSHIP","549291669","237354","22S","CLINTONVILLE"
"ASCENT WINES INC.","33715","254572","22S","ST PETERSBURG"
"ASGRAM LLC","331343803","273927","22S","MIAMI"
"ASV WINES INC.","93250","53763","22S","MCFARLAND"
"ATHENEE IMPORTERS & DISTRIBUTORS LTD","115512039","210241","22S","HEMPSTEAD"
"ATLAS DRINKS LLC","993628662","217480","22S","WALLA WALLA"
"ATLAS WINE COMPANY, LLC","956849207","282416","22S","SOMERSET"
"AUBREY FARMS LLC","660859059","228051","22S","OVERLAND PARK"
"AUGUST WINE GROUP LLC","981162812","131367","22S","SEATTLE"
"AUSA PACIFIC LLC","945151410","226061","22S","CALISTOGA"
