"applicant","award_fiscal_year","project_number","category","eligible_mitigation_action","old_vehicle_type","new_vehicle_type","new_fuel_type","est_lifetime_nox_reduction","funding_requested","actual_funding_awarded","maximum_vw_cost_share","vehicle_cost","address","city","zip","county","state","point"
"City Utilities of Springfield","2020","D04-CITY-5/7-1344","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","Backhoe",,"diesel","0.484","25000.00","23625.00","0.25","94500.00",,"Springfield","65804","Greene","MO","POINT (-93.252959 37.15592)"
"Odessa Special Road District","2019","R-GT7-RODE-T1","Category 2: Government Trucks",,,,"diesel","0.711","25000.00","65297.50","0.5","130595.00","100 N Main Street","Poplar Bluff","63901","Butler","MO","POINT (-90.437071 36.769948)"
"Estes Express Lines","2020","NG03-ESTE-1/5-9866","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","5.192","25249.00","23191.59","0.25","92766.34","205 Soccer Park Road","Fenton","63026","Saint Louis County","MO","POINT (-90.463646 38.504609)"
"Department of Corrections","2021","DOC-4014-0572M","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","0.12","114659.02","114659.02","1","114659.02","2730 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Republic Services INC","2020","NG20-REPU-11/30-2626","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","4.78","30726.75","30726.75","0.25","179023.39","7153 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Middle Grove C-1","2019","SB57-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.782","100000.00","90000.00","1","90000.00","11476 State Highway M","Madison","65263","Monroe","MO","POINT (-92.217098 39.481823)"
"Metropolitan St. Louis Sewer Department","2020","GT17-MSWR-7954","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.91","35600.00","0.00","0.5",,"10 E Grand Ave","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"Holcomb R-III School District","2019","SB34-B2","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.401","100000.00","95240.00","1","95240.00","102 South Cherry Street","Holcomb","63852","Dunklin","MO","POINT (-90.014705 36.381105)"
"Scotland County R-I School District","2019","SB75-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.717","22000.00","22000.00","0.25","88102.00","438 W. Lovers Lane","Memphis","63555","Scotland","MO","POINT (-92.212677 40.445106)"
"Republic Services INC","2020","NG20-REPU-2/30-8957","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","LONG HAUL COMBINATION",,"diesel","0.875","13110.00","13110.00","0.25","231952.00","7157 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-8/43-7600","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","4.64","18750.00","18750.00","0.25","89854.00","1146 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Adair County R-I School District","2019","SB01-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.717","100000.00","95255.00","1","95255.00","600 Rombauer Ave.","Novinger","63559","Adair","MO","POINT (-92.750299 40.298058)"
"Thornfield R-I","2020","SB20-THOR-6495","Category 1: school Bus","EMA 27","School Bus","School Bus","Diesel","1.12","54000.00","47377.20","0.6","78962.00","37 County Rd 855","Thornfield","65762","Ozark","MO","POINT (-92.65836 36.711128)"
"De Soto School District #73","2019","SB13-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.058","22000.00","22000.00","0.25","97282.00","610 Vineland School Rd","De Soto","63020","Jefferson","MO","POINT (-90.548316 38.111471)"
"Republic Services INC","2020","NG20-REPU-5/30-3028","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","4.43","30726.75","30726.75","0.25","176448.39","7165 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Miller R-II School District","2019","SB59-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.717","22000.00","22000.00","0.25","91086.00","306 W. 1st Street","Miller","65707","Lawrence","MO","POINT (-93.835121 37.227787)"
"R+L Carriers, Inc","2020","NG18-R+LC-11/33-8096","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","2.982","25367.63","25367.63","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"FedEx Freight Corporation","2020","NG27-FEDE-17/35-2139","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","refuse hauler",,"diesel","1.628","25570.94","25318.97","0.25","101275.86","4085 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"South Harrison County R-II School District","2019","SB77-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.739","22000.00","20778.50","0.25","83114.00","3400 Bulldog Avenue","Bethany","64424","Harrison","MO","POINT (-94.02688 40.257334)"
"Dexter Public Schools","2020","SB33-DEXT-9320","Category 1: school Bus","EMA 49","School Bus","School Bus","Diesel","1.207","22500.00","22500.00","0.25","98455.00","1031 Brown Pilot Lane","Dexter","63841","Stoddard","MO","POINT (-89.974364 36.780439)"
"Hardin-Central C-2 School District","2020","SB03-HARD-7419","Category 1: school Bus","EMA 5","School Bus","School Bus","Diesel","0.946","54000.00","54000.00","0.6","98557.00","P.O. Box 548","Hardin","64035","Ray","MO","POINT (-93.825666 39.310893)"
"Kirbyville R-VI School District","2020","SB06-KIRB-5389","Category 1: school Bus","EMA 8","School Bus","School Bus","Diesel","1.033","54000.00","54000.00","0.6","100849.00","6225 E. State Hwy 76","Kirbyville","65679","Taney","MO","POINT (-93.110371 36.599308)"
"Logan Rogersville R-VIII School District","2019","SB49-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.746","22000.00","22000.00","0.25","96726.00","100 East Front Street","Rogersville","65742","Webster","MO","POINT (-93.084819 37.124148)"
"Ash Grove R-IV School District","2019","SB04-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.08","22000.00","21157.00","0.25","84628.00","101 N. Maple Lane","Ash Grove","65604","Lawrence","MO","POINT (-93.582453 37.305448)"
"Republic Services Inc","2020","NG07-REPU-4201","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","2.736","35128.80","0.00","0.25",,"7197 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Doniphan R-1 School District","2019","SB15-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.467","22000.00","22000.00","0.25","95971.00","309 Pine Street","Doniphan","63935","Ripley","MO","POINT (-90.891344 36.652448)"
"Hillsboro R-III School District","2019","SB33-B2","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","School Bus","School Bus","diesel",,"22000.00","22000.00","0.25","96318.00","5 Ridgewood Drive","Hillsboro","63050","Jefferson","MO","POINT (-90.572632 38.261258)"
"Ozarks Coca Cola/Dr Pepper Bottling Company","2020","NG03-OZAR-9003","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","3.795","32387.50","32158.25","0.25",,"1777 N Packer Rd","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Republic Services Inc","2020","NG07-REPU-2624","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","4.34","30726.75","0.00","0.25",,"7188 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"School of the Osage R-II","2019","SB73-B2","State Clean Diesel","EMA 4","School Bus","School Bus","diesel","0.278","22000.00","21769.50","0.25","87078.00","1501 School Rd.","Lake Ozark","65049","Camden","MO","POINT (-92.673709 38.199954)"
