FACILITY,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,HOURS OF OPERATION,Location,School Districts,Missouri Counties,Counties
Sarcoxie Public Library,506 Center Street,Sarcoxie,64862,Jasper,417-548-2736,"Mon - Fri 9:00am to 6:00pm
Sat 9:00am to 1:00pm","(37.068798, -94.116238)",410,94,1966
Friendship Hall,205 East Main Street,Iberia,65486,Miller,573-793-2747,Mon-Fri - 8:00am to 4:00pm,"(38.091028, -92.291629)",296,64,2124
"YMCA - Salt Fork - Marshall, MO",740 E Yerby,Marshall,65340,Saline,660-886-9622,"M-Th 5am-10pm, F 5am-7pm, Sa 6am-6pm, Su 1pm-6pm","(39.113616, -93.182654)",148,38,2211
Ozark Senior Center,727 North 9th Street,Ozark,65721,Christian,417-581-2538,Mon-Fri - 8:00am to 3:30pm,"(37.027513, -93.211991)",421,101,515
Maries County Library - Belle Library,206-B South Alvarado,Belle,65013,Maries,573-859-6285,"Tue, Wed, Fri 1:00pm to 5:00pm
Thu 1:00pm to 7:00pm
Sat 9:00am to 1:00pm","(38.287382, -91.721055)",263,65,531
Monett Senior Center,405 North Dairy,Monett,65708,Barry,417-235-3285,Mon-Fri - 8:00am to 3:30pm,"(36.915542, -93.918592)",429,107,2649
Clarkton Branch Library,113 South Main Street,Clarkton,63837,Dunklin,573-448-3803,Mon - Fri 1:00pm to 5:00pm,"(36.450445, -89.967483)",541,114,1957
Maplewood Public Library,7550 Lohmeyer Avenue,Saint Louis,63143,St Louis,314-781-2174,"Mon-Thu - 9:00am to 8:00pm
  Fri-Sat - 9:00am to 5:00pm
  Sunday-Closed","(38.614748, -90.325262)",226,51,2210
Salvation Army Adair County,1004 West Gardner,Kirksville,63501,Adair,660-665-7885,Mon-Fri - 8:00am to 4:00pm,"(40.201176, -92.593781)",32,12,509
Seymour Senior Center,205 Commercial,Seymour,65746,Webster,417-935-2211,Mon-Fri - 8:00am to 3:30pm,"(37.146984, -92.769738)",397,91,2221
St. Louis County Library Bridgeton Trails Branch,3455 McKelvey Road,Saint Louis,63044,St. Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.748973, -90.42155)",204,51,2210
California Nutrition Center,107 W. Versailles Ave,California,65018,Moniteau,573-796-4240,Mon-Fri - 8:00am to 4:00pm,"(38.628476, -92.567195)",210,53,532
St. Patrick Center,800 North Tucker Blvd,St. Louis,63101,St Louis City,314-802-1982,Mon - Fri 9:00am to 4:00pm; Sat and Sun 8:00am to 4:30pm,"(38.633339, -90.195634)",200,54,2223
Cole Camp Senior Center,206 Junge Street,Cole Camp,65325,Benton,660-668-2352,Mon-Fri - 8:00am to 2:00pm,"(38.461093, -93.202261)",234,61,511
KCMO Parks and Recreation - Gregg/Klice Community Center,"1600 John ""Buck"" O'Neil Way",Kansas City,64108,Jackson,816-513-0652,M-F 6am-9pm; Sa-Su 9am-6pm,"(39.092638, -94.563442)",151,43,525
Salvation Army Jefferson City,927 Jefferson Street,Jefferson City,65101,Cole,573-635-1975,Mon-Fri - 9:00am to 12:30pm and 1:30pm to 3:00pm,"(38.570121, -92.17987)",465,58,2702
Nixa Senior Center,404 South Main,Nixa,65714,Christian,417-725-2322,Mon-Fri - 8:00am to 3:30pm,"(37.039479, -93.29471)",489,101,515
East Alton Public Library,250 Washington Avenue,East Alton,62024,Madison,618-259-0787,"Mon-Thu - 9:30am to 6:00pm
Fri and Sat - 9:30am to 5:00pm","(38.877933, -90.103307)",,,1749
Winona Senior Center,212 Snapper Street,Winona,65588,Shannon,573-325-4636,Mon-Fri - 8:00am to 3:30pm,"(37.009699, -91.325172)",411,92,542
Holden Senior Center,204 W. Second St,Holden,64040,Johnson,816-732-5757,Tues-Friday-9:00am to 3:00pm; Closed Mondays.,"(38.718163, -93.991306)",183,49,526
Ralls County Library,102 North Public Street,Center,63436,Ralls,573-267-3200,"Mon, Wed, Thu and Fri - 8:30am to 5:30pm
Tue - 8:30am to 7:00pm
Sat - 8:30am to 12:30pm","(39.509541, -91.529572)",94,29,2173
Salvation Army Chillicothe Service Center,621 West Mohawk Road,Chillicothe,64601,Livingston,660-646-3538,Mon-Fri - 9:00am to 4:00pm,"(39.819079, -93.551231)",63,22,2119
Camdenton Senior Center,594 South State Highway 5,Camdenton,65020,Camden,573-346-2776,Mon-Fri - 8:00am to 4:00pm,"(37.986747, -92.701292)",292,68,2694
St. Louis Public Library Walnut Park Branch,5760 West Florissant Ave,Saint Louis,63120,St Louis City,314-383-1210,"Mon – 12:00pm(Noon) to 8:00pm
Tue-Thu – 10:00am to 6:00pm
Fri and Sat – 10:00am to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.703826, -90.247055)",200,54,2223
KCMO Parks and Recreation - Line Creek Community Center,5940 N.W. Waukomis Drive,Kansas City,64151,Platte,816-513-0760,M-F 6am-9pm; Sa-Su 9am-6pm,"(39.202741, -94.609786)",132,35,2170
Sever Memorial Library,207 West Chestnut Street,Kahoka,63445,Clark,660-727-3262,"Mon - 9:00am to 6:00pm
Tue-Fri - 8:00am to 5:00pm
Sat - 9:00am to 1:00pm","(40.422512, -91.720987)",7,1,2700
Sullivan County Multi Purpose Senior Center,111 North Market,Milan,63556,Sullivan,660-265-3534,"Mon-Fri - 6:30am to 2:00pm
- Due to COVID-19 restrictions, guests can stay in the center for up to an hour and a max of 18 people are allowed in the building","(40.202338, -93.125643)",28,11,543
