"business_name","address1","address2","city","state","zipcode","county","contact_name","website","email","company_profile","company_description","location_description","latlong"
"Kiwanis Club of Kirksville Farmers' Market","Elson Street (on the Square)",,"Kirksville","MO","63501","Adair","Ted Frushour","https://www.facebook.com/kirksvillekiwanisfarmersmarket/","kirksvillemarket@gmail.com","The Kiwanis Club of Kirksville Farmers&#39; Market is open May through October on Saturday from 7 am to 12 pm.","The Kiwanis Club of Kirksville Farmers&#39; Market sells a variety of products.","The Kiwanis Club of Kirksville Farmers&#39; Market is located on the Square on Elson Street.","(40.202543, -92.584304)"
"Whispering Dreams Ranch","6362 County Rd 206",,"Union Star","MO","64494","Andrew","Dayan Garst","http://whisperingdreamsranch.com","jjack6@gmail.com","<p>Retired friends who joined together to start a Dexter herd and beef business. 20 acres and a dozen cows later, we bring you beef!</p>","100% Grass Fed beef provided from our grassy ranch hills to your family table. Steaks, roasts, ground, half or whole. We can provide your grass fed beef needs.","South Side Farmers Market Lake &amp; Illinois in St Joseph MO. Saturdays 8am-12-pmWe also do deliveries weekly in St Joseph &amp; Maryville.","(40.0248489, -94.694374)"
"S&M Produce","5356 ACR 217",,"Centralia","MO","65240","Audrain","Michelle Parrott","https://www.facebook.com/SM-Produce-103814341266637","michelleparrott@yahoo.com","S&amp;M Produce was established 10 years ago. They first started out selling produce at Mexico Farmer&#39;s Market in Mexico, MO selling on Saturday morning and Wednesday evenings. Since then they have grown both in product and number of markets. In 2018 their daughter and son-in-law became part of the farm and are representing S&amp;M at the Fulton Farmers Market in Fulton, MO selling vegetables on Saturdays downtown.","Our specialty is tomatoes. We grow approximately 1,000 tomato plants. We grow a variety of heirloom tomatoes such as Cherokee Purple, Ms. Maxwells (locally derived from a local family). These are our top two sellers at both markets. We also have Big Beef, Blue Ribbon, Cherry tomatoes, Carolina Gold. We also have a variety of other vegetables, onions, squash, peppers, blackberries, strawberries, green beans, cantaloupe, watermelon, broccoli, squash, spinach, lettuce, radishes, cabbage, beets, sweet potatoes, red and white potatoes.","<p>We are at Mexico Farmers Market Saturdays 8 am-12 pm the first Saturday of April through the last Saturday of October. Our Wednesday Market starts generally early June depending on the produce each year. We also sell directly from the farm daily. Local people reach us through Facebook at S&amp;M Produce as well as word of mouth.</p>","(39.2110741, -92.137959)"
"Mexico Farmers' Market","500 W Jackson Street",,"Mexico","MO","65265","Audrain","Matthew Van Schyndel","https://www.facebook.com/MexicoMOAreaFarmersMarket/","mexicofarmersmarket@gmail.com","<p>The Mexico Farmers&#39; Market (MFM) is a market comprised of local farmers or producers in Audrain County or within one of the adjoining counties of Audrain.</p><p>Farmers or producers who grow raw agricultural products such as vegetables, fruits, flowers and plants and animal-based products such as meat, eggs, honey, etc. may sell at the market. Vendors selling animal-based products or produce may be subject to a farm visit(s) by Board Members or Market Manager. </p><p>The resale of produce or animal-based products from any source is not allowed at the MFM. Direct sales and craft vendors are welcome, and it is at the Market Manager’s discretion to approve prior to the selling of any products. No duplicate direct sale vendors are allowed.  </p>","The Mexico Farmers&#39; Market sells a variety of items.","<p>The Mexico Farmers&#39; Market is located at 3001 S. Clark St.</p><p>The Mexico Farmers&#39; Market is open April through October on Saturdays from 8 a.m. to 12 p.m.</p>","(39.12039, -91.891991)"
"Monett Area Farmers Market sponsored by Tyson Foods","490 East Front Street",,"Monett","MO","65708","Barry","Jeff Meredith","https://www.facebook.com/MonettFarmersMarket/?epa=SEARCH_BOX","jeff@monett-mo.com","April- October, Saturday 8:00 a.m.- 12:00 p.m.<br><br>The Monett Area Farmers Market is located at 504 Front Street in Monett, MO. The hours are Saturday 8-12, April 28-October 31st. The market is proud to be a producer-only market, which means all agricultural products sold at the market are grown within a 75 mile radius.","For additional information about products available at the Monett Area Farmers&#39; Market, visit our Facebook page or contact the market manager directly.","The Monett Area Farmers Market is located at 504 Front Street in Monett, MO. The hours are Saturday 8-12, April 28-October 31st. The market is proud to be a producer-only market, which means all agricultural products sold at the market are grown within a 75 mile radius.","(36.920138, -93.922706)"
"Asali Gold Honey","22499 Farm Road 2020",,"Crane","MO","65633","Barry","Ericka Clark","http://Asaligoldhoney.com","asaligoldhoney@gmail.com","<p>Asali Gold Honey was born out of doing the next thing placed before us. After serving for 8 years in Kenya (asali is honey in Swahili), my husband wanted to work with bees again and I joined him and fell in love. A couple years later he asked me to take care of the bees solely. The business has grown to selling honey and giving tours of the apiary (the bee yard).</p>","We have local southwest Missouri honey from our apiary and from other local beekeepers in the region. We have infused honeys, habañero, lemon, lavender, vanilla-cinnamon, and an herbal one with rosemary, sage, and thyme. We have Creamy honey in vanilla cinnamon and pumpkin spice. With the wax, we make lip balm and hand salve.","Down Home Mercantile in Aurora, MO (Lawrence co.)","(36.896885, -93.658634)"
"Garden Sass Farmers' Market","7th & Mineral Springs Rd",,"Cassville","MO","65625","Barry","Albert Wolfe","https://www.facebook.com/Gardensassfarmers/",,"The Garden Sass Farmers&#39; Market is open year round on Saturday from 7 am to 11 am.","The Garden Sass Farmers&#39; Market sells a variety of products.","The Garden Sass Farmers&#39; Market is located at 7th and Mineral Springs Road in Cassville, MO.","(36.672611, -93.859914)"
"10th Street Community Farmers' Market","Moore Pavilion, 10th & Poplar",,"Lamar","MO","64759","Barton","Lendi Davis","https://www.facebook.com/TenthStreetCommunityFarmersMarket/","lendery@keinet.net","Tenth Street Community Farmers&#39; Market is a well organized farmers&#39; market with set and strict rules of operation that all of our vendors adhere to. We offer the very best of local growers and the products our many farmers and residents produce. All produce and products are raised and/or produced within a 50 mile radius and so provides a local and convenient market for all whose livelihood depends on their sales. Our motto is &quot;Buy Local &amp; Eat Fresh&quot; and everyone from vendors to the Steering Committee are in every respect devoted to the commitment of bringing fresh from the farm produce and products to consumers. We provide a well-located source of fresher, healthier, tastier products; educational experiences for young and old alike, music, charitable organizations food stands with a picnic area and a destination where everyone can have an entertaining time.","The Tenth Street Community Farmers&#39; Market offers the best of Barton County growers and the products our many farmers and residents produce. A vast variety of locally grown vegetables, fruits, meat, eggs, baked goods, honey, jams and jellies, herbs, bedding plants and farm-made products such as soaps, candles, quilts and yarns/wool is offered throughout the Market&#39;s season. Throughout the season special events and festivals, cooking/craft demonstrations, music and food service offer an excellent place to shop and an enjoyable experience for all ages.","<p>Located just 1 block east of the Lamar Square at the Moore Pavilion, 10th &amp; Poplar Street, the Market is open from April through October - Saturdays 9 am - 12 pm. </p><p><br></p><p>From Highway 71, take the Lamar exit east for 1 mile and turn left onto Poplar Street (by the Thiebaud Auditorium), the Market is at the end of the block on the left.</p>","(37.4967278, -94.274565)"
"Cole Camp Farmers' Market","Stand Setup on Highway 52",,"Cole Camp","MO","65325","Benton","Regina Fischer","https://www.facebook.com/ColeCampAreaFarmersMarket/","colecampfarmersmarket@gmail.com","Refer to our Facebook Page at <a href=""https://www.facebook.com/ColeCampAreaFarmersMarket/"" target=""_blank"">https://www.facebook.com/ColeCampAreaFarmersMarket/</a>.","Refer to our Facebook Page at <a href=""https://www.facebook.com/ColeCampAreaFarmersMarket/"" target=""_blank"">https://www.facebook.com/ColeCampAreaFarmersMarket/</a>.","May - October, Saturdays 8:00 a.m. - 12:00 p.m.","(38.460273, -93.207609)"
"Cape Locally Grown","RR 5 Box 5",,"Patton","MO","63662","Bollinger","Lance Green","https://www.capelocallygrown.net/","info@capelocallygrown.net","Cape Locally Grown is a dynamic network of small farms, food artisans, wild crafters and gardeners located around Cape Girardeau, Missouri and founded in the fall of 2014. All members are dedicated to supplying their customers with the freshest and highest quality vegetables, herbs, baked goods, milled products, dairy, eggs, meats, fruits, flowers and transplants. Participating producers vary in size, farming methods and specialty, but all carry the common thread of dedication to creating a sustainable local food community.","Cape Locally Grown is like an online farmers&#39; market and each customer buys from the individual producer or local food hub. Each product is produced locally. All producers are responsible for being transparent about their growing practices.<br><br>A unique part of Cape Locally Grown is that the vegetables, fruits, herbs, flowers, baked products and dairy/egg products are not sitting around on a shelf or warehouse somewhere waiting to be ordered. They are still growing and staying fresh in their grower&#39;s care and they are not picked or produced until you order it. This allows the utmost of nutrition to be available for you when you receive it.","You can find us online at <a href=""https://www.capelocallygrown.net"" target=""_blank"">www.capelocallygrown.net</a>.<br><br>We deliver to the Cape Girardeau/Jackson area.<br><br>Orders are received Thursday through Monday evening.<br><br>Orders are delivered on Wednesday afternoon.","(37.502279, -90.013441)"
