License Number,Licensee Name,DBA Name,License Type,Current Status,Effective Date,Fee Date,Fee Type,Expiration Date,Business Phone,Manager Phone,First Name,Last Name,District,SubDistrict,County,Street Number,Street,City,State,Zip Code,Mailing Address 1,Mailing Address 2,Mailing Address 3,Mailing Address 4,Legal 1,Legal 2,Legal 3,Legal 4,Legal 5,Legal 6,Legal 7,Legal 8,latlng,Missouri Counties,School Districts,Counties
259084,MINIT MART LLC,MINIT MART #780,SOP,ACT,08/24/2022,,DBA,06/30/2023,8164831855,5736357166,LORENE,WILLIAMS,1,00,JACKSON,7447,STATE LINE RD.,KANSAS CITY,MO,64114,MINIT MART LLC,MINIT MART #780,PO BOX 456,JEFFERSON CITY MO 65102,,,,,,,,,,,,
201548,FETZER VINEYARDS,VIÑA CONCHA Y TORO USA,WDS,ACT,08/09/2022,,DBA,06/30/2023,7077447489,7077447489,CHUN LUNG,CHEN,7,00,OUT OF STATE,12625,OLD RIVER ROAD,HOPLAND,CA,954490611,FETZER VINEYARDS,FETZER VINEYARDS,PO BOX 611,HOPLAND  CA  95449-0611,"12625 OLD RIVER ROAD, HOPLAND, CA 95449",,,,,,,,,,,
201548,FETZER VINEYARDS,VIÑA CONCHA Y TORO USA,WDS,ACT,08/09/2022,,DBA,06/30/2023,7077447489,7077447489,CHUN LUNG,CHEN,7,00,OUT OF STATE,12625,OLD RIVER ROAD,HOPLAND,CA,954490611,FETZER VINEYARDS,FETZER VINEYARDS,PO BOX 611,HOPLAND  CA  95449-0611,"12625 OLD RIVER ROAD, HOPLAND, CA 95449",,,,,,,,,,,
259083,MINIT MART LLC,MINIT MART #780,OPL,ACT,08/24/2022,,DBA,06/30/2023,8164831855,5736357166,LORENE,WILLIAMS,1,00,JACKSON,7447,STATE LINE RD.,KANSAS CITY,MO,64114,MINIT MART LLC,MINIT MART #780,PO BOX 456,JEFFERSON CITY MO 65102,"ALL OF A ONE STORY BUILDING, 7447 STATE LINE RD., KANSAS CITY, MO.",,,,,,,,,,,
285787,DONIPHAN INVESTMENTS LLC,DONIPHAN INVESTMENTS,SOP,ACT,08/24/2022,,EMP,06/30/2023,5739969707,5737074721,SHARON,ABBOTT,4,00,RIPLEY,103,OLD FIRST ST.,DONIPHAN,MO,63935,DONIPHAN INVESTMENTS LLC,DONIPHAN INVESTMENTS,"6819 CRUMPLER BLVD, STE. 100",OLIVE BRANCH MS 38654-1932,,,,,,,,,,,,
285786,DONIPHAN INVESTMENTS LLC,DONIPHAN INVESTMENTS,OPL,ACT,08/24/2022,,EMP,06/30/2023,5739969707,5737074721,SHARON,ABBOTT,4,00,RIPLEY,103,OLD FIRST ST.,DONIPHAN,MO,63935,DONIPHAN INVESTMENTS LLC,DONIPHAN INVESTMENTS,"6819 CRUMPLER BLVD, STE. 100",OLIVE BRANCH MS 38654-1932,"ALL OF A BUILDING LOCATED AT 103 OLD FIRST STREET, DONIPHAN, MO.",,,,,,,,,,,
268838,HQ WINERY LLC,ELYSE WINERY,WDS,ACT,08/08/2022,,LATE,06/30/2023,7079442900,7077382705,JOSHUA,PEEPLES,7,00,OUT OF STATE,2100,HOFFMAN LANE,NAPA,CA,945589786,,,,,"2100 HOFFMAN LN., NAPA CA 94558-9786",,,,,,,,"(38.3835544, -122.3544446)",,,1172
274114,REN ACQUISITION INC.,REN ACQUISITION,WDS,ACT,08/08/2022,,LATE,06/30/2023,7072661590,9176571833,JAMES,SILVER,7,00,OUT OF STATE,500,MEADOWOOD LN.,SAINT HELENA,CA,945749643,REN ACQUISITION INC.,REN ACQUISITION,2771 NAPA VALLEY CORPORATE DR.,"NAPA, CA 94558-6216","500 MEADOWOOD LANE, SAINT HELENA, CA 94574-9643",,,,,,,,,,,
274397,GERLACH HOWELL AND LOPEZ LLC,GERLACH HOWELL AND LOPEZ,RBD,ACT,08/09/2022,,LATE,06/30/2023,5736164556,5732915530,JOE,LOPEZ,2,00,COLE,2523,W MAIN ST,JEFFERSON CITY,MO,651090753,GERLACH HOWELL AND LOPEZ LLC,GERLACH HOWELL AND LOPEZ,2412 HYDE PARK,"JEFFERSON CITY, MO 65109","ALL OF A BUILDING LOCATED AT 2523 W. MAIN STREET, JEFFERSON CITY, MO.",,,,,,,,,,,
273097,JESSI CORP,EL JARCHITO,SBD,ACT,08/17/2022,,LEGA,06/30/2023,3146069437,3146069437,NICOLE,RAMIREZ,4,00,ST. FRANCOIS,1,SW MAIN ST,BONNE TERRE,MO,636281741,,,,,,,,,,,,,,,,
150,LOYAL ORDER OF MOOSE 1706,LODGE 1706,RBD,ACT,08/26/2022,,LEGA,06/30/2023,5735812288,5735813930,PATRICK,SHAW,2,00,AUDRAIN,205,S ELMWOOD DRIVE,MEXICO,MO,65265,LOYAL ORDER OF MOOSE 1706,LODGE 1706,PO BOX 446,MEXICO               MO 65265,"ALL OF A METAL BUILDING, TO INCLUDE FRONT COVERED PATIO AND ATTACHED",165 FOOT WEST BY 184 FOOT NORTH BY 162 FOOT EAST FENCED AREA LOCATED,"AT 205 SOUTH ELMWOOD DRIVE, MEXICO, MISSOURI.",,,,,,,,,
275836,BANDANAS MISSOURI LLC,BANDANAS BAR B Q,5BDW,ACT,08/09/2022,,LEGA,06/30/2023,6365378200,3147994550,RICK,WHITE,5,00,PHELPS,1705,MARTIN SPRINGS DR,ROLLA,MO,65401,BANDANAS MISSOURI LLC,BANDANAS BAR B Q,"16141 SWINGLEY RIDGE RD, STE 205","CHESTERFIELD, MO 63017-1780","ALL OF A ONE STORY BUILDING, 1705 MARTIN SPRINGS DRIVE, ROLLA, MO.","CENTRAL WAREHOUSE, ALL OF A ONE STORY BUILDING, 1705 MARTIN SPRINGS DR","ROLLA, MO.",,,,,,,,,
278090,OLD ROUTE 24 BAR LLC,OLD ROUTE 24 BAR,SBD,ACT,08/08/2022,,LEGA,06/30/2023,6603225055,6603290128,DANIEL,THOMAS,1,00,CARROLL,108,BUSINESS HWY 24 E,CARROLLTON,MO,64633,,,,,,,,,,,,,,,,
150025,ALDI INC.,ALDI #44,OPL,ACT,08/25/2022,,LEGA,06/30/2023,3148662031,6362882274,ROBERT,JEFFRIES,3,00,ST. LOUIS CO.,301,WATSON PLZ,ST. LOUIS,MO,63126,ALDI INC,ALDI #44,PO BOX 8800,"O'FALLON, MO 63366-8800","GROUND FLOOR OF A ONE STORY BRICK BUILDING, 301 WATSON RD, ST. LOUIS,",MISSOURI,,,,,,,,,,
282465,"FANCY PHEASANT LLC, THE","FANCY PHEASANT, THE",RBD,ACT,08/26/2022,,LEGA,06/30/2023,5733404055,3146509224,HANNAH,HESSLER,2,00,GASCONADE,209,SCHILLER ST,HERMANN,MO,65041,,,,,"ALL OF A BUILDING LOCATED AT 209 SCHILLER STREET, TO INCLUDE AN","APPROXIMATE 30 FOOT X 10 FOOT COURTYARD PATIO, LOCATED ON THE",SOUTHSIDE OF THE BUILDING.,,,,,,,,,
256650,NOBLETONS LLC,NOBLETONS DISTILLING HOUSE,LMS,ACT,08/24/2022,,LEGA,06/30/2023,3147080942,3147080942,DEMETRIUS,CAIN,2,00,FRANKLIN,529,COMMERCIAL DRIVE,UNION,MO,63084,,,,,"ALL OF A BUILDING LOCATED AT 529 COMMECRIAL DRIVE, UNION, MO.",,,,,,,,,,,
279881,OLD ROUTE 24 BAR LLC,OLD ROUTE 24 BAR,RBDR,ACT,08/08/2022,,LEGA,06/30/2023,6603225055,6603290128,DANIEL,THOMAS,1,00,CARROLL,108,BUSINESS HWY 24 E,CARROLLTON,MO,64633,,,,,"ALL OF A BUILDING, INCLUDING FENCED 15'X 75' PATIO, LOCATED AT 108","BUSINESS HIGHWAY 24 EAST, CARROLLTON, MO.",,,,,,,,,,
286058,KELLI'S COMPANY LLC,KELLI'S COMPANY,RBDC,ACT,08/27/2022,,LEGA,08/27/2022,8163312700,8164192700,KELLI,JONES,1,00,CASS,505,E. WALNUT ST.,RAYMORE,MO,640839725,KELLI'S COMPANY LLC,KELLI'S COMPANY,P.O. BOX 1586,RAYMORE MO 64083,"ALL OF A TEMPORARY CONCESSION STAND, 515 MAIN STREET, BELTON, MO",,,,,,,,,,,
252624,HOST D&D STL 3KG FB LLC,BISCUITS BEER AND BBQ,EHSL,ACT,08/12/2022,,LEGA,06/30/2023,2406944634,3143084107,DARRYL,JONES,3,00,ST. LOUIS CO.,10701,LAMBERT INTERNATIONL BLVD.,ST. LOUIS,MO,63145,HOST D&D STL 3KG FB LL,BISCUITS BEER AND BBQ,6905 ROCKLEDGE DRIVE MS 7-1,BETHESDA MD 20817,,,,,,,,,"(38.7419782, -90.3649791)",51,191,2210
256651,NOBLETONS LLC,NOBLETONS DISTILLING HOUSE,LWS,ACT,08/24/2022,,LEGA,06/30/2023,3147080942,3147080942,DEMETRIUS,CAIN,2,00,FRANKLIN,529,COMMERCIAL DRIVE,UNION,MO,63084,,,,,"ALL OF A BUILDING LOCATED AT 529 COMMECRIAL DRIVE, UNION, MO.",,,,,,,,,,,
219913,BANDANA'S MISSOURI LLC,BANDANA'S BAR B Q,5BDW,ACT,08/09/2022,,LEGA,06/30/2023,6365378200,3147994550,RICK,WHITE,5,00,LACLEDE,1015,S. JEFFERSON ST.,LEBANON,MO,655363672,BANDANA'S MISSOURI LLC,BANDANA'S BAR B Q,"16141 SWINGLEY RIDGE ROAD, SUITE 205",CHESTERFIELD  MO  63017-1780,"ALL OF A ONE STORY BUILDING LOCATED AT 1015 S. JEFFERSON ST.,","LEBANON, MO.",WAREHOUSE AT ALL OF ONE STORY BUILDING 1705 MARTIN SPRINGS DR. ROLLA,MO.,,,,,"(37.6716152, -92.6526711)",79,495,2008
235626,IVORY GRILL LLC,IVORY GRILLE,SBD,ACT,08/17/2022,,LEGA,06/30/2023,6608290060,6608273160,ERICA,EISENMENGER,2,00,PETTIS,317,S OHIO ST,SEDALIA,MO,65301,IVORY GRILL LLC,IVORY GRILLE,"501 S OHIO, SUITE 200",SEDALIA  MO  65301,,,,,,,,,,,,
267218,ZOLLICKER OIL COMPANY INC.,ZOLLICKER OIL CO.,SOP,ACT,08/11/2022,,LEGA,06/30/2023,6608856756,6608856125,MARGARET,ZOLLICKER-EDWARDS,5,00,HENRY,1805,E OHIO ST,CLINTON,MO,64735,ZOLLICKER OIL COMPANY INC.,ZOLLICKER OIL CO.,PO BOX 10,CLINTON MO 64735,,,,,,,,,,,,
282466,"FANCY PHEASANT LLC, THE","FANCY PHEASANT, THE",SBD,ACT,08/26/2022,,LEGA,06/30/2023,5733404055,3146509224,HANNAH,HESSLER,2,00,GASCONADE,209,SCHILLER ST,HERMANN,MO,65041,,,,,,,,,,,,,,,,
194110,IVORY GRILL LLC,IVORY GRILLE,RBD,ACT,08/17/2022,,LEGA,06/30/2023,6608290060,6608273160,ERICA,EISENMENGER,2,00,PETTIS,317,S OHIO ST,SEDALIA,MO,65301,IVORY GRILL LLC,IVORY GRILLE,"501 S OHIO, SUITE 200",SEDALIA  MO  65301,"ALL OF A SEVEN STORY BRICK BLDG., INCLUDING BASEMENT AND TEMPORARY","PATIO/PARKLET LOCATED ADJACENT TO THE BUILDING ON A PUBLIC STREET,","317 & 319 S OHIO ST., SEDALIA, MO",,,,,,,,,
150026,ALDI INC.,ALDI #44,SOP,ACT,08/25/2022,,LEGA,06/30/2023,3148662031,6362882274,ROBERT,JEFFRIES,3,00,ST. LOUIS CO.,301,WATSON PLZ,ST. LOUIS,MO,63126,ALDI INC,ALDI #44,PO BOX 8800,"O'FALLON, MO 63366-8800",,,,,,,,,,,,
286159,SISTER TAYLOR LLC,CHEVAL,RBD,ACT,08/24/2022,,LEGA,06/30/2023,9132311509,8162236753,RICHARD,BRYANT,1,00,JACKSON,3940,MAIN ST,KANSAS CITY,MO,64111,SISTER TAYLOR LLC,CHEVAL,1111 MAIN ST #750,KANSAS CITY MO 64105,"ALL OF A ONE STORY BUILDING, INCLUDING BASEMENT, 3940 MAIN STREET,","KANSAS CITY, MO",,,,,,,,,,
125681,JASHKICAJU LLC,J MCGRAUGH'S,RBD,ACT,08/10/2022,,LEGA,06/30/2023,3148638555,3145377471,RICHARD,THORNTON,3,00,ST. LOUIS CO.,8405,MARYLAND AVENUE,CLAYTON,MO,631053646,,,,,"GROUND FLOOR OF A ONE STORY BRICK BUILDING AND OUTDOOR PATIO, 8405","MARYLAND AVENUE, CLAYTON, MO.",,,,,,,,,,
219914,BANDANA'S MISSOURI LLC,BANDANA'S BAR B Q,5SBD,ACT,08/09/2022,,LEGA,06/30/2023,6365378200,3147994550,RICK,WHITE,5,00,LACLEDE,1015,S. JEFFERSON ST.,LEBANON,MO,655363672,BANDANA'S MISSOURI LLC,BANDANA'S BAR B Q,"16141 SWINGLEY RIDGE ROAD, SUITE 205",CHESTERFIELD  MO  63017-1780,,,,,,,,,"(37.6716152, -92.6526711)",79,495,2008
252623,HOST D&D STL 3KG FB LLC,BISCUITS BEER AND BBQ,SBD,ACT,08/12/2022,,LEGA,06/30/2023,2406944634,3143084107,DARRYL,JONES,3,00,ST. LOUIS CO.,10701,LAMBERT INTERNATIONL BLVD.,ST. LOUIS,MO,63145,HOST D&D STL 3KG FB LL,BISCUITS BEER AND BBQ,6905 ROCKLEDGE DRIVE MS 7-1,BETHESDA MD 20817,,,,,,,,,"(38.7419782, -90.3649791)",51,191,2210
283497,BRAIN FREEZE DAQ LLC,BRAIN FREEZE DAQ LLC,RBD,ACT,08/22/2022,,LEGA,06/30/2023,8168054320,8168054320,JAMES,THOMAS,1,00,JACKSON,3028,GILLHAM RD #24,KANSAS CITY,MO,64108,BRAIN FREEZE DAQ LLC,BRAIN FREEZE DAQ LLC,2800 E 62ND ST,KANSAS CITY MO 64130,"ALL OF A STORAGE UNIT 24, 3028 GILLHAN RD., KANSAS CITY, MO.",,,,,,,,,,,
267217,ZOLLICKER OIL COMPANY INC.,ZOLLICKER OIL CO.,OPL,ACT,08/11/2022,,LEGA,06/30/2023,6608856756,6608856125,MARGARET,ZOLLICKER-EDWARDS,5,00,HENRY,1805,E OHIO ST,CLINTON,MO,64735,ZOLLICKER OIL COMPANY INC.,ZOLLICKER OIL CO.,PO BOX 10,CLINTON MO 64735,"ALL OF A BUILDING AND DETACHED SHED AT 1805 EAST OHIO STREET, CLINTON,",MO,,,,,,,,,,
275837,BANDANAS MISSOURI LLC,BANDANAS BAR B Q,5SBD,ACT,08/09/2022,,LEGA,06/30/2023,6365378200,3147994550,RICK,WHITE,5,00,PHELPS,1705,MARTIN SPRINGS DR,ROLLA,MO,65401,BANDANAS MISSOURI LLC,BANDANAS BAR B Q,"16141 SWINGLEY RIDGE RD, STE 205","CHESTERFIELD, MO 63017-1780",,,,,,,,,,,,
