"code","name","policy_no","stplan","medselect","group_ind","eligibility","issue_basis","age_rate","effective_date","lives","reqrate","phone","website","open_closed"
"11121","Unified Life Insurance Company","UNMSAI2015-MO","A","N","I","All Ages","GI","IA","2022-07-01T00:00:00.000","1","0.199","833-657-1452","https://www.unifiedlife.com/","O"
"11121","Unified Life Insurance Company","UNMSFI2015-MO","F","N","I","All Ages","GI","IA","2022-07-01T00:00:00.000","293","0.199","833-657-1452","https://www.unifiedlife.com/","O"
"11121","Unified Life Insurance Company","UNMSGI2015-MO","G","N","I","All Ages","GI","IA","2022-07-01T00:00:00.000","99","0.199","833-657-1452","https://www.unifiedlife.com/","O"
"11121","Unified Life Insurance Company","UNMSNI2015-MO","N","N","I","All Ages","GI","IA","2022-07-01T00:00:00.000","40","0.199","833-657-1452","https://www.unifiedlife.com/","O"
"11121","Unified Life Insurance Company","UNMSRI2015-MO","FH","N","I","All Ages","GI","IA","2022-07-01T00:00:00.000","0","0.199","833-657-1452","https://www.unifiedlife.com/","O"
"13100","Omaha Insurance Company","NM20","A","N","I","These policy forms will be issued to all individuals age 65+ who are eligible for Medicare. In states where required by law, these forms will also be issued to individuals under the age of 65 and eligible for Medicare due to disability or ESRD.","UW","IA","2022-08-01T00:00:00.000","3","0","(800) 667-2937","www.mutualofomaha.com/states","O"
"13100","Omaha Insurance Company","NM23","F","N","I","These policy forms will be issued to all individuals age 65+ who are eligible for Medicare. In states where required by law, these forms will also be issued to individuals under the age of 65 and eligible for Medicare due to disability or ESRD.","UW","IA","2022-08-01T00:00:00.000","2507","0.12","(800) 667-2937","www.mutualofomaha.com/states","O"
"13100","Omaha Insurance Company","NM24","G","N","I","These policy forms will be issued to all individuals age 65+ who are eligible for Medicare. In states where required by law, these forms will also be issued to individuals under the age of 65 and eligible for Medicare due to disability or ESRD.","UW","IA","2022-08-01T00:00:00.000","23263","0.12","(800) 667-2937","www.mutualofomaha.com/states","O"
"13100","Omaha Insurance Company","NM34","FH","N","I","These policy forms will be issued to all individuals age 65+ who are eligible for Medicare. In states where required by law, these forms will also be issued to individuals under the age of 65 and eligible for Medicare due to disability or ESRD.","UW","IA","2022-08-01T00:00:00.000","404","0.06","(800) 667-2937","www.mutualofomaha.com/states","O"
"13100","Omaha Insurance Company","NM35","N","N","I","These policy forms will be issued to all individuals age 65+ who are eligible for Medicare. In states where required by law, these forms will also be issued to individuals under the age of 65 and eligible for Medicare due to disability or ESRD.","UW","IA","2022-08-01T00:00:00.000","892","0.06","(800) 667-2937","www.mutualofomaha.com/states","O"
